Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-127.1484	-289.1403	161.9919	1.163199	6.751898	0.1785349	0.3223477	1.034246	2.579317	1.917021
6	-125.6822	-287.7056	162.0234	1.43723	6.299775	0.8230811	0.8873954	0.3765056	3.311091	1.052981
12	-132.8986	-297.9838	165.0851	1.136709	3.914331	0.1321201	0.8873954	3.355237	0.5879739	1.100793
18	-133.3833	-298.0387	164.6554	3.104219	3.38657	0.6618786	0.297225	2.910053	0.3546181	1.153315
24	-137.7511	-304.3604	166.6093	0.857532	3.607863	3.356504	0.0296843	0.7026581	0.05080516	0.9891597
30	-132.2113	-297.6534	165.4421	1.104621	4.322421	2.848736	0.1439704	0.5976477	0.5876674	1.147248
36	-126.3336	-293.5781	167.2444	1.834704	4.165395	1.490151	0.2588662	0.08569707	0.1414976	1.026687
42	-139.3654	-306.462	167.0966	1.302209	2.724121	1.964034	0.2990764	1.31935	0.5700795	0.9292773
48	-143.3783	-309.9901	166.6118	0.9771864	2.724121	0.3476664	0.3043043	3.067164	1.478281	0.5155787
54	-147.4781	-310.2246	162.7465	0.7624749	6.616134	0.4041457	0.1516438	3.263644	1.429571	0.2839288
60	-135.8637	-299.5151	163.6514	4.128537	3.542463	0.116446	0.7302997	1.507254	2.227568	1.00549
66	-151.5121	-313.2723	161.7602	3.739831	4.066646	0.4715079	0.231517	2.015192	3.464596	1.00549
72	-133.2548	-297.2393	163.9845	2.713809	3.36811	2.76308	1.452753	0.4002875	0.2196956	1.442738
78	-133.1642	-301.1939	168.0298	1.303324	1.661191	0.4403519	2.052855	0.6501755	0.344912	1.596238
84	-128.5564	-296.7228	168.1664	2.560046	1.511327	0.3515874	2.052855	0.5492897	0.09400991	1.092764
90	-131.8133	-294.4891	162.6759	2.560046	3.041246	0.6999969	2.052855	0.7746203	2.535731	1.820538
96	-124.3901	-289.3998	165.0097	1.414069	5.694363	1.413689	0.4846735	0.4761242	0.1556733	1.476577
102	-138.2288	-305.5961	167.3673	0.7998275	2.688103	1.539106	1.190251	0.5445892	0.05248878	1.805843
108	-135.1847	-299.1026	163.9179	1.592941	6.318155	1.323661	0.1452322	0.1667525	0.38441	2.044626
114	-125.4715	-290.3935	164.922	2.089093	4.238577	2.486555	0.05733	0.7339853	0.5957383	1.151369
