Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
0	-3507.053	-3663.386	156.3328	1.296258	2.094141	1.315441	8.284984
6	-3505.536	-3657.547	152.0111	1.514533	2.635038	1.129246	10.32699
12	-3509.13	-3661.695	152.5651	1.39054	2.335549	0.9294842	10.32699
18	-3505.87	-3658.439	152.5693	1.297983	2.541567	1.270978	10.10987
24	-3510.78	-3665.104	154.324	1.358979	2.875675	1.410273	8.948166
30	-3502.127	-3654.669	152.5423	1.264223	2.038205	1.313938	10.33069
36	-3494.027	-3650.005	155.9777	1.264223	2.264435	1.554684	8.289716
42	-3494.39	-3650.782	156.3915	1.252971	2.758374	1.34302	7.986594
48	-3490.482	-3645.408	154.926	1.395538	2.407155	1.660953	8.662258
54	-3495.421	-3646.437	151.0164	1.320513	2.124826	0.949178	11.25468
60	-3500.914	-3654.93	154.0158	1.367935	2.298825	1.154603	9.471763
66	-3494.538	-3646.195	151.6567	1.434355	2.206861	1.108477	10.741
72	-3487.874	-3642.302	154.4284	1.376424	2.347436	1.266115	9.169961
78	-3489.738	-3643.922	154.1831	1.332174	2.354956	1.266115	9.319876
84	-3489.953	-3644.061	154.1076	1.332174	2.444827	1.271411	9.319876
90	-3500.007	-3654.255	154.2482	1.343529	2.622866	1.23572	9.186716
96	-3501.08	-3654.987	153.9067	1.303829	2.353223	1.398768	9.411503
102	-3501.099	-3655.476	154.3771	1.34143	2.439941	1.541814	9.031441
108	-3492.401	-3648.079	155.6779	1.232195	1.945075	1.541814	8.613555
114	-3500.788	-3654.182	153.3936	1.294926	2.276542	1.296361	9.773002
120	-3491.037	-3646.698	155.6615	1.465976	2.900243	1.65809	8.039762
126	-3495.411	-3651.288	155.8768	1.481251	2.573277	1.667266	8.039762
132	-3497.528	-3653.73	156.2024	1.375854	2.902432	1.504652	7.880297
138	-3499.881	-3655.627	155.7459	1.278975	2.902432	1.269654	8.300455
144	-3506.409	-3661.745	155.3355	1.324562	2.110781	1.439859	8.726317
150	-3508.609	-3662.083	153.4745	1.213226	1.895357	1.070709	10.05928
156	-3505.724	-3658.637	152.913	1.289766	2.181012	1.315708	10.05928
162	-3496.115	-3648.893	152.7782	1.425891	1.947354	1.140796	10.25322
168	-3495.005	-3652.072	157.0671	1.312673	2.411185	1.19875	7.810944
174	-3513.595	-3665.901	152.3064	1.551661	2.35394	1.147065	10.25627
180	-3507.852	-3662.991	155.139	1.195028	2.369142	1.087697	8.975294
186	-3503.155	-3658.806	155.6515	1.291646	2.134669	1.394986	8.589462
192	-3512.509	-3666.092	153.5836	1.454079	2.514113	1.491626	9.387773
198	-3506.419	-3661.35	154.9312	1.244932	2.125356	1.676331	8.851144
204	-3502.774	-3657.17	154.3963	1.50455	2.125356	1.615796	9.029019
210	-3507.883	-3661.216	153.333	1.514366	1.885738	1.176462	9.924006
216	-3498.557	-3653.16	154.6029	1.414631	2.397692	1.479696	8.923481
222	-3505.534	-3655.533	149.9988	1.247595	1.946913	0.8517203	11.95351
228	-3505.594	-3656.014	150.4203	1.533168	2.340609	1.248795	11.20731
234	-3495.141	-3646.205	151.0648	1.449461	2.340609	1.041663	11.02217
240	-3499.741	-3649.584	149.8423	1.449461	2.601826	1.042453	11.55597
246	-3501.476	-3653.242	151.7658	1.364892	2.061042	0.9828959	10.84906
252	-3508.214	-3660.017	151.8037	1.30783	2.158007	1.180404	10.71343
258	-3511.583	-3663.607	152.0243	1.430574	2.454168	1.295023	10.34927
264	-3522.66	-3676.852	154.1914	1.210748	2.138768	1.222055	9.494822
270	-3525.058	-3675.209	150.1517	1.234108	2.201537	1.000572	11.69216
276	-3504.402	-3655.349	150.9465	1.512715	2.050815	1.230735	11.07546
282	-3493.94	-3649.768	155.8285	1.276227	2.198973	1.432285	8.455848
288	-3487.044	-3643.268	156.2236	1.276227	2.374568	1.184906	8.302707
