Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-666.6441	-837.2728	170.6287	0.6407692	0.3590953	1.229823	0.185324	0.814676	0.498858	0.501142	0.7087029
6	-658.8546	-829.5518	170.6971	0.2630328	0.6250599	0.9747588	0.348909	0.651091	0.46344	0.53656	0.9841846
12	-665.7402	-836.106	170.3658	0.06161931	0.8196934	1.10454	0.395539	0.604461	0.448977	0.551023	1.170756
18	-665.5881	-835.8288	170.2407	0.2503516	0.8215075	1.10454	0.532553	0.467447	0.408708	0.591292	1.104856
24	-665.0788	-835.276	170.1972	0.4111856	0.8215075	1.10454	0.346668	0.653332	0.439937	0.560063	1.029784
30	-665.6184	-835.8601	170.2417	0.0518586	0.95359	1.236071	0.493284	0.506716	0.454155	0.545845	1.029784
36	-665.6438	-836.2674	170.6236	0.04754572	0.4782684	1.183519	0.372454	0.627546	0.583834	0.416166	1.156792
42	-665.9045	-835.8886	169.9841	0.3702105	0.9344568	0.897822	0.476568	0.523432	0.441113	0.558887	1.294324
48	-665.5692	-835.8172	170.248	0.05129328	0.7036874	1.214064	0.313046	0.686954	0.5778	0.4222	1.328554
54	-653.1327	-823.696	170.5632	0.2048648	0.5889924	0.9551949	0.446193	0.553807	0.404756	0.595244	1.18431
60	-661.9339	-831.7961	169.8622	0.4089894	0.6869945	0.9791544	0.519144	0.480856	0.431541	0.568459	1.48458
66	-659.9824	-830.4865	170.5041	0.2531649	0.6207282	0.696416	0.48576	0.51424	0.43934	0.56066	1.371
72	-663.3404	-833.4665	170.126	0.4691762	0.7649065	0.8551558	0.415501	0.584499	0.5094	0.4906	1.273763
78	-679.4984	-850.316	170.8176	0.1089492	0.4952929	0.8551558	0.406861	0.593139	0.391675	0.608325	1.206224
84	-668.9861	-839.2276	170.2416	0.6763744	0.6912626	0.8148022	0.375498	0.624502	0.445969	0.554031	1.109769
90	-674.873	-845.257	170.3839	0.5742675	0.591707	1.014301	0.302096	0.697904	0.526685	0.473315	1.010296
96	-667.1119	-837.4774	170.3655	0.1428152	0.5632204	0.9547602	0.437595	0.562405	0.412709	0.587291	1.411808
102	-664.2213	-834.5712	170.3499	0.2760558	0.4367599	1.224691	0.335925	0.664075	0.414544	0.585456	1.198252
108	-667.5778	-837.5433	169.9654	0.5113331	0.8575415	1.139285	0.467499	0.532501	0.344579	0.655421	1.084553
114	-668.0203	-838.0672	170.047	0.9447114	0.4880643	0.9777854	0.366604	0.633396	0.452198	0.547802	1.040483
120	-658.4587	-828.2589	169.8002	0.8203585	0.6901785	1.27416	0.426363	0.573637	0.448512	0.551488	0.9302908
126	-662.7695	-833.0402	170.2708	0.4960154	0.5744247	1.126975	0.317658	0.682342	0.448512	0.551488	1.089069
132	-674.9365	-845.5289	170.5924	0.1209183	0.5744247	1.402646	0.383701	0.616299	0.490576	0.509424	0.7983241
138	-671.2594	-840.7009	169.4415	1.106815	0.686592	1.357218	0.381796	0.618204	0.490576	0.509424	0.9357303
144	-665.0006	-835.3471	170.3465	0.3312666	0.5916248	0.6387842	0.450685	0.549315	0.359907	0.640093	1.523169
150	-658.5815	-829.1103	170.5288	0.1877066	0.5916248	0.848214	0.354182	0.645818	0.453652	0.546348	1.334409
156	-672.5462	-843.0229	170.4767	0.2454446	0.6449662	0.848214	0.354435	0.645565	0.451907	0.548093	1.293902
