Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1239.791	-1401.554	161.7631	1.814046	0.9787711	5.950363	0.7550624	0.1929748	0.1355333	2.231528	2.130661
6	-1247.709	-1411.009	163.2995	1.274462	1.096751	4.070739	0.8093513	0.09057362	0.1320623	2.364077	2.541514
12	-1247.259	-1411.229	163.9708	1.748872	1.08055	5.131285	0.687489	0.04682103	0.1390436	1.869207	1.53751
18	-1244.149	-1407.992	163.8428	0.9325095	0.8043028	6.280996	0.6901138	0.1122724	0.06994635	1.905664	1.53751
24	-1240.536	-1402.34	161.804	2.331005	1.126042	5.696054	0.9370214	0.04632147	0.1730117	2.780348	1.442232
30	-1258.926	-1420.364	161.4382	2.276982	0.8978328	7.059076	0.6628212	0.03636484	0.08433109	2.433799	1.436802
36	-1259.737	-1420.903	161.1661	2.389253	0.8461864	7.522858	0.5660478	0.07428431	0.22865	2.433799	1.181513
42	-1259.458	-1421.757	162.2981	0.9765901	0.9883512	7.253256	1.010266	0.2162577	0.08689699	2.606525	0.8332037
48	-1244.636	-1405.732	161.0963	1.517351	0.8355508	5.951213	1.27651	0.1314785	0.1249983	4.614696	0.687253
54	-1245.515	-1406.181	160.6661	2.083241	1.028562	6.790748	1.058885	0.1174591	0.162685	3.25836	1.184028
60	-1247.192	-1410.439	163.2468	1.313838	1.003327	5.519803	0.8448223	0.1150883	0.2302945	2.643119	1.327526
66	-1246.106	-1409.083	162.9775	1.647789	0.9610654	4.653473	0.9391123	0.1387247	0.1661983	3.278536	1.463685
72	-1257.753	-1420.17	162.4167	1.298293	0.7377825	4.152292	0.1572791	0.5545463	1.724638	4.197097	1.04441
78	-1252.784	-1413.446	160.6615	1.751996	0.7377825	5.222856	0.3640026	0.3359318	1.342212	5.197597	0.5649488
84	-1252.434	-1412.579	160.1446	1.785625	0.9407377	5.4455	0.1921582	0.2250633	1.880573	5.015309	0.5111808
90	-1253.699	-1412.912	159.213	1.905793	1.039801	5.99613	0.5370971	0.2250633	1.809527	4.909091	0.5719156
96	-1257.804	-1415.558	157.754	1.554802	0.8875015	6.149851	0.5946208	0.4297949	1.809527	6.419649	0.5660722
102	-1245.961	-1405.377	159.4156	1.867158	1.15216	7.027692	0.3331437	0.2175914	1.180902	4.411117	0.379174
108	-1248.407	-1406.481	158.0745	1.971883	0.9964503	7.027692	0.3331437	0.1766288	1.565875	5.497781	0.4312168
114	-1245.878	-1406.848	160.9697	1.654644	0.9465408	6.772544	0.2685665	0.1000302	1.339483	3.562745	0.469352
120	-1245.2	-1407.185	161.9844	2.106327	0.9734886	5.809629	0.2628498	0.1562725	0.8173492	3.562745	0.538542
126	-1241.916	-1405.502	163.5863	2.377428	1.197023	4.933043	0.1412986	0.1133521	0.9863053	2.391899	0.538542
132	-1245.692	-1409.009	163.3166	2.01987	0.977107	4.818504	0.2615043	0.07633037	0.9863053	3.152215	0.6814046
