Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
462	-663.9735	-835.2841	171.3106	0.1404746	0.8986825	1.009811	1.051343
468	-676.7827	-847.8354	171.0527	0.03896622	0.8587922	0.7895069	1.557419
474	-670.9995	-841.8867	170.8871	0.3551661	0.8220481	1.229534	1.111498
480	-682.9083	-853.977	171.0687	0.6172699	0.7759353	0.9082583	1.038903
486	-694.4349	-864.3644	169.9295	1.5837	0.7337106	1.179672	0.9809912
492	-677.4713	-848.8154	171.3441	0.2384418	0.8722881	0.8524415	1.099974
498	-679.1998	-849.003	169.8032	1.287184	1.079738	0.6856767	1.471449
504	-679.7322	-848.9327	169.2005	1.895202	1.295838	0.6232796	1.350553
510	-673.6568	-843.8102	170.1534	1.001005	1.141798	1.222129	0.8875834
516	-676.9765	-847.4296	170.4531	0.2247876	1.355097	1.164965	1.20148
522	-678.5876	-848.7481	170.1605	0.2247876	1.684083	1.150561	1.20148
528	-679.5186	-850.5019	170.9833	0.1632346	0.8478324	1.118763	1.26792
534	-671.6905	-841.9584	170.2679	0.2619411	1.444307	1.313135	1.126754
540	-671.0536	-841.8858	170.8321	0.2429025	1.040565	1.047395	1.226936
546	-679.1404	-849.0497	169.9093	0.7710254	1.568754	1.007071	1.161488
552	-681.9279	-852.3647	170.4368	0.1314493	1.862787	0.8721164	1.146648
558	-677.4562	-848.0849	170.6287	0.3674403	0.8583079	0.9793245	1.487592
564	-668.496	-838.5937	170.0976	0.3838606	1.897315	0.9781765	1.102247
570	-677.852	-848.3707	170.5188	0.3609139	1.196356	1.230143	1.102247
576	-683.4737	-854.7986	171.3249	0.6118945	0.455039	0.9155279	1.036748
582	-682.19	-852.2913	170.1013	0.6444219	1.403226	1.116182	1.144726
588	-676.6358	-848.018	171.3822	0.1520315	0.763345	1.033142	1.075778
594	-678.5149	-846.3744	167.8595	2.447746	0.7940477	1.33439	1.773997
600	-673.4932	-841.8976	168.4044	2.447746	0.8135357	1.073532	1.55738
606	-665.2807	-836.0036	170.7229	0.3283803	1.161141	1.015194	1.172032
612	-661.0209	-831.5118	170.4909	0.1241715	1.432425	1.188001	1.172032
618	-669.9066	-840.8773	170.9707	0.5054799	0.8183045	0.9312665	1.172032
624	-674.8195	-845.6194	170.7998	0.2591257	1.16966	0.9716643	1.19576
630	-666.2631	-837.4101	171.147	0.05009138	0.8885507	0.8459999	1.413085
636	-676.8494	-848.0334	171.184	0.1541875	0.8885507	0.948183	1.216573
642	-670.9705	-841.4009	170.4304	0.6341343	0.8754982	1.31633	1.145902
648	-680.9979	-851.539	170.5411	0.6455277	1.226853	0.8447406	1.145902
654	-680.6785	-851.8272	171.1487	0.5223667	0.5990756	1.095532	1.026484
660	-689.6018	-859.6361	170.0343	0.9595679	0.9725355	1.516093	0.9270506
666	-687.679	-858.1599	170.4809	0.1287785	1.195304	1.680139	0.9253092
672	-677.9322	-849.1429	171.2108	0.2862682	0.8333205	0.7789443	1.270884
678	-675.0101	-845.6659	170.6559	0.1623563	1.275185	1.12802	1.179118
684	-679.7102	-850.6318	170.9216	0.06312972	1.490487	0.6827679	1.241019
690	-661.9322	-832.9566	171.0243	0.1005945	1.05643	0.7793361	1.390764
696	-677.0632	-847.8944	170.8312	0.1672151	1.043207	1.018472	1.311814
702	-676.7423	-846.9279	170.1855	0.1914746	1.292574	1.393543	1.311814
708	-675.5639	-846.39	170.8261	0.1473793	1.287919	0.985618	1.15704
714	-674.3795	-845.3204	170.9409	0.1116142	1.287919	1.033398	1.040587
720	-673.2547	-844.2261	170.9714	0.2013802	1.0703	0.9203296	1.226642
726	-667.5254	-838.7407	171.2153	0.3188499	0.6525505	0.9033002	1.277992
732	-667.9986	-838.714	170.7155	0.1686835	1.005019	1.209416	1.280512
