Iteration	Posterior	Likelihood	Prior	tree_length
786	-15.90338	-189.0259	173.1225	1.192347
792	-20.77909	-193.8211	173.0421	1.260282
798	-16.88074	-190.1372	173.2565	1.07231
804	-22.30751	-195.5812	173.2736	1.056117
810	-22.82412	-196.0071	173.1829	1.13944
816	-22.46455	-195.7267	173.2622	1.066963
822	-31.99874	-205.1483	173.1495	1.168926
828	-25.62536	-198.7353	173.1099	1.203159
834	-36.04024	-208.6547	172.6145	1.590412
840	-27.72218	-200.8108	173.0887	1.221241
846	-25.42663	-198.7953	173.3687	0.9618535
852	-20.49966	-193.8859	173.3862	0.9433967
858	-25.84936	-198.8034	172.954	1.331965
864	-24.81338	-197.7461	172.9327	1.348934
870	-23.77756	-197.2162	173.4387	0.8855248
876	-22.27633	-194.9304	172.6541	1.561367
882	-13.72804	-186.5671	172.8391	1.422188
888	-13.3137	-186.1528	172.8391	1.422188
894	-13.43278	-186.2719	172.8391	1.422188
900	-11.15487	-184.3614	173.2065	1.118297
906	-17.02083	-190.3205	173.2997	1.031149
912	-13.42422	-186.441	173.0167	1.281143
918	-11.36412	-184.096	172.7319	1.503639
924	-12.57684	-185.9072	173.3303	1.000952
930	-7.034673	-180.2709	173.2362	1.091137
936	-7.179646	-180.4743	173.2947	1.035985
942	-6.46288	-179.8622	173.3993	0.9293873
948	-9.308849	-182.5035	173.1946	1.128999
954	-12.75908	-185.8755	173.1164	1.197621
960	-13.66128	-187.2782	173.6169	0.6102607
966	-12.23812	-185.8166	173.5784	0.693235
972	-9.113035	-182.4853	173.3723	0.9581302
978	-4.518055	-177.9282	173.4101	0.9175498
984	-3.875967	-177.2861	173.4101	0.9175498
990	-9.090498	-182.2443	173.1538	1.16515
996	-14.571	-188.0832	173.5122	0.7945013
1002	-12.85567	-186.3104	173.4547	0.8668132
1008	-5.831656	-179.3472	173.5156	0.7899593
1014	-20.95138	-193.469	172.5176	1.660341
1020	-10.84104	-184.4001	173.559	0.7260916
1026	-14.36521	-187.8865	173.5213	0.7821296
1032	-20.17892	-193.3645	173.1856	1.137075
1038	-20.63903	-194.2223	173.5833	0.6843124
1044	-20.66696	-194.2515	173.5845	0.6820181
1050	-10.33167	-183.6555	173.3238	1.007456
1056	-12.54382	-185.6521	173.1083	1.20453
1062	-9.641584	-183.0051	173.3635	0.9671833
1068	-10.2273	-183.7297	173.5024	0.8075586
1074	-15.17971	-188.7939	173.6142	0.6176436
1080	-19.49837	-192.7461	173.2477	1.080478
1086	-3.558067	-177.1957	173.6377	0.4850187
1092	-20.88313	-194.466	173.5829	0.685086
1098	-16.89613	-190.0766	173.1805	1.141641
1104	0.1214324	-173.3382	173.4596	0.8609969
1110	-0.1382139	-173.1732	173.035	1.266134
1116	-10.28348	-183.6019	173.3184	1.01281
1122	-11.56405	-184.7113	173.1472	1.17091
1128	-16.66005	-189.7438	173.0837	1.225416
1134	-19.11855	-192.7026	173.584	0.6829905
1140	-17.14749	-190.7642	173.6167	0.610792
1146	-12.93764	-186.5189	173.5813	0.6881124
1152	-7.262384	-180.8809	173.6185	0.6057341
1158	-12.6559	-185.8905	173.2346	1.092619
1164	-10.92644	-184.5119	173.5854	0.6803587
1170	-14.3121	-187.5917	173.2796	1.05046
1176	-4.411942	-177.9197	173.5077	0.8005207
1182	-10.54253	-183.8277	173.2851	1.045165
1188	-16.53913	-190.1001	173.561	0.7229738
1194	-11.46414	-185.0179	173.5538	0.7344053
1200	-15.12424	-188.7348	173.6106	0.6266963
1206	-14.62472	-187.9266	173.3019	1.028984
1212	-17.46818	-191.075	173.6068	0.6357989
1218	-21.16	-194.0054	172.8454	1.4173
1224	-28.90226	-202.4187	173.5165	0.7887382
1230	-14.34454	-187.9165	173.572	0.7045938
1236	-13.72059	-187.0563	173.3358	0.9955208
1242	-8.460863	-181.7966	173.3358	0.9955208
1248	-12.40243	-186.0392	173.6367	0.5267888
1254	-6.06296	-179.4222	173.3592	0.9716294
1260	-6.516214	-180.0227	173.5065	0.8021357
1266	-14.48301	-187.8246	173.3415	0.9896862
1272	-18.27165	-191.7622	173.4905	0.8229373
1278	-10.93553	-184.3487	173.4132	0.9141823
1284	-20.08169	-193.4212	173.3395	0.9917717
1290	-29.86073	-202.9578	173.0971	1.214088
1296	-19.21105	-192.8297	173.6186	0.6054153
1302	-9.000065	-182.3917	173.3917	0.9375996
1308	-4.209177	-177.7328	173.5237	0.7788131
1314	-1.302227	-174.9206	173.6184	0.6060576
1320	-7.449431	-180.9779	173.5285	0.7720565
1326	-7.951439	-181.3886	173.4371	0.8872589
1332	-16.11409	-189.5512	173.4371	0.8872589
1338	-15.29893	-188.8684	173.5694	0.336834
1344	-2.883487	-176.336	173.4525	0.8694047
1350	-16.94948	-190.4499	173.5005	0.8101441
1356	-22.65575	-196.1562	173.5005	0.8101441
1362	-16.41685	-189.9152	173.4983	0.8129248
1368	-18.4208	-191.9191	173.4983	0.8129248
1374	-13.53188	-186.9121	173.3802	0.9497337
1380	-13.05559	-186.1788	173.1232	1.191713
1386	-11.24894	-184.7669	173.518	0.7866742
1392	-10.44836	-183.7453	173.297	1.033752
1398	-15.09558	-188.4407	173.3451	0.9860984
1404	-11.62267	-185.0604	173.4377	0.8866498
1410	-8.935285	-182.2799	173.3446	0.9865985
1416	-10.5346	-183.8792	173.3446	0.9865985
1422	-11.64073	-185.2047	173.564	0.7180199
1428	-8.927727	-182.201	173.2733	1.056476
1434	-21.17142	-194.781	173.6096	0.6290937
1440	-15.8242	-188.9947	173.1705	1.150466
