Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-274.0856	-441.036	166.9503	1.566439	0.9108997	1.081353	3.261299	0.6324272
6	-262.221	-428.8081	166.5871	2.088822	1.920555	1.402511	1.856794	0.5591344
12	-261.3177	-427.231	165.9132	3.121451	1.321581	2.0424	1.34363	0.8067927
18	-256.5513	-423.3902	166.8389	3.121451	1.272276	0.9900264	1.251226	1.021779
24	-259.8665	-426.0908	166.2243	1.746454	2.969214	1.205387	1.936247	0.5681418
30	-271.1737	-440.4251	169.2514	0.05393304	1.56243	1.242935	1.308768	1.088653
36	-262.6282	-432.3011	169.673	0.05393304	0.9537445	1.159852	1.198023	1.393696
42	-258.876	-427.2388	168.3627	0.04335925	1.181286	2.912243	0.9618359	1.273126
48	-255.7894	-424.8338	169.0443	0.04335925	0.9652847	1.795841	1.378776	1.273126
54	-254.9611	-423.5076	168.5465	0.04335925	1.224962	1.344441	1.48468	1.690238
60	-252.2174	-420.4755	168.2581	0.03977544	1.748481	1.156998	1.397582	1.740356
66	-261.5663	-429.5953	168.029	0.03977544	1.748481	0.9103695	1.83322	1.767963
72	-269.0718	-436.0785	167.0068	0.03977544	1.612115	1.000416	2.992827	1.694812
78	-263.5624	-429.9874	166.425	0.04521532	3.429366	0.9606837	3.064743	1.005964
84	-253.6285	-422.221	168.5924	0.04521532	1.045491	1.669494	2.324528	0.8243779
90	-259.3554	-428.3155	168.9601	0.04521532	1.169847	1.329523	1.613273	1.334347
96	-253.8226	-422.0295	168.2069	0.04521532	1.169847	1.583035	1.090713	2.072727
102	-249.2012	-418.0593	168.8581	0.04521532	1.327675	1.917003	1.401038	1.002986
108	-248.9355	-418.1429	169.2074	0.05491076	1.222993	1.979994	1.090146	1.002986
114	-251.6054	-421.0339	169.4285	0.05491076	1.772081	0.8116477	1.174905	1.257756
120	-259.102	-427.1165	168.0145	0.05491076	1.449	3.364241	0.6523569	1.336463
126	-252.1597	-421.5996	169.4399	0.05491076	1.597786	0.8419167	1.443004	1.127015
132	-254.7287	-424.6713	169.9426	0.06959883	0.6850029	1.358193	1.720784	0.6095797
138	-254.4521	-424.8167	170.3646	0.3103623	0.9576242	1.263584	0.8791671	0.6258545
144	-241.8181	-411.8244	170.0064	0.260073	1.404794	1.417118	0.69955	0.6258545
150	-250.3249	-420.4254	170.1005	0.3393371	0.6715398	1.896166	0.8098238	0.6202654
156	-236.1688	-406.9001	170.7313	0.1898251	0.6538504	1.285366	0.884827	0.6680019
162	-253.7415	-416.357	162.6156	6.342508	1.54382	1.054714	2.1366	0.7896977
168	-241.8793	-408.3137	166.4344	2.745741	1.546355	1.738805	0.7267009	1.309594
174	-252.348	-421.7578	169.4098	0.5936288	0.6912499	1.392909	1.609985	0.760451
180	-262.1375	-432.2358	170.0983	0.2776591	0.4135563	1.969964	0.8962876	0.7772435
186	-260.5413	-430.8217	170.2805	0.7589441	0.5880888	0.9271863	1.056991	0.8465893
