Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-329.8516	-492.6047	162.7531	1.205581	13.0073	2.341	0.958638	0.0413617	0.581843	0.418157	1.25871
6	-326.0927	-487.1549	161.0623	1.736283	19.8437	2.379931	0.964389	0.0356112	0.66248	0.33752	0.9244142
12	-328.7743	-487.3805	158.6062	1.907695	30.86931	2.553519	0.959913	0.0400871	0.513501	0.486499	1.06445
18	-333.1823	-494.5144	161.3321	0.9851909	23.18103	2.30056	0.979375	0.0206247	0.479412	0.520588	1.06445
24	-336.1019	-496.6422	160.5403	1.627582	24.39921	1.582313	0.964351	0.0356488	0.590619	0.409381	1.405511
30	-347.1773	-508.3655	161.1882	1.27976	14.79793	2.776686	0.935664	0.0643358	0.561406	0.438594	1.548312
36	-341.7584	-505.4689	163.7105	1.523931	8.528267	1.657171	0.937206	0.0627938	0.725951	0.274049	1.801646
42	-335.4851	-499.9702	164.4851	0.6673216	7.711305	1.657171	0.899657	0.100343	0.600028	0.399972	1.860642
48	-323.141	-483.1005	159.9594	1.241545	29.48445	1.393048	0.942329	0.0576706	0.616145	0.383855	1.5017
54	-324.6878	-486.3958	161.708	1.241545	20.93854	1.855428	0.97922	0.0207805	0.523586	0.476414	1.262815
60	-327.316	-488.0723	160.7564	1.645928	19.84209	2.392464	0.95017	0.0498296	0.627758	0.372242	1.121974
66	-326.6588	-484.2471	157.5883	1.44211	41.54333	2.178082	0.962217	0.0377833	0.65335	0.34665	1.536223
72	-334.2042	-491.7518	157.5476	1.709943	39.80651	2.017252	0.952397	0.047603	0.588577	0.411423	1.529398
78	-323.9962	-484.3447	160.3485	1.467279	22.32072	1.372531	0.95688	0.04312	0.663938	0.336062	2.029264
84	-336.1931	-500.5799	164.3867	1.206749	10.16244	1.607121	0.984056	0.0159437	0.5881	0.4119	1.579353
90	-338.5692	-500.4566	161.8874	1.676706	14.38313	2.15016	0.900371	0.0996289	0.629165	0.370835	1.115759
96	-353.8078	-512.7676	158.9598	0.982662	22.61518	4.340935	0.921543	0.0784568	0.566627	0.433373	0.8631704
102	-341.8815	-502.7337	160.8522	1.021116	22.4305	2.408482	0.953033	0.0469669	0.566477	0.433523	1.139676
108	-342.4387	-502.3801	159.9414	1.194467	22.4305	2.67383	0.898172	0.101828	0.662774	0.337226	1.277841
114	-350.1444	-511.3748	161.2304	1.215425	17.33533	2.58535	0.933123	0.0668769	0.668721	0.331279	1.277841
120	-349.5816	-513.1562	163.5747	1.118375	9.452487	2.183678	0.933123	0.0668769	0.488464	0.511536	1.472083
126	-347.9204	-509.7592	161.8388	1.724237	12.38153	1.522876	0.960873	0.039127	0.609485	0.390515	2.265513
132	-338.3491	-498.2385	159.8894	1.738693	18.42876	3.205593	0.917784	0.0822162	0.573198	0.426802	1.119347
138	-338.3458	-502.0113	163.6655	0.8802716	9.19886	1.906666	0.884469	0.115531	0.496222	0.503778	1.666938
144	-355.5954	-516.0956	160.5001	1.216596	20.41118	1.257192	0.876045	0.123955	0.605287	0.394713	2.068659
150	-348.9464	-509.5039	160.5576	1.887826	16.05509	2.756544	0.972617	0.0273827	0.437999	0.562001	1.654463
