Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-196.4925	-364.5069	168.0144	1.291541	1.55878	0.04301509	2.317831	0.117016	2.140011	0.6358728
6	-198.7778	-365.575	166.7973	2.677931	2.501847	1.028832	0.9577316	0.03742842	1.717106	0.4836268
12	-196.5441	-365.1585	168.6144	1.861767	1.339084	0.7410316	1.066371	0.9289813	0.6397577	1.058151
18	-210.846	-377.5144	166.6684	6.544155	0.6120321	0.7410316	1.470247	0.6574974	0.5822059	0.8085376
24	-206.1907	-373.5248	167.3341	1.595996	0.7664885	3.152584	1.7518	0.4813499	0.2280428	0.908541
30	-200.0144	-368.4978	168.4834	2.551502	0.5261422	1.486665	1.693051	0.1959937	0.3026633	1.132703
36	-208.4373	-376.6924	168.2551	2.475895	0.8864841	1.486665	1.693051	0.6993515	0.01527845	0.8352928
42	-211.1363	-373.439	162.3027	5.029828	0.9701084	1.069379	0.5199136	4.735421	1.750401	0.9337957
48	-205.0363	-371.5142	166.4779	3.472244	0.8315976	1.069379	0.590716	2.485335	0.4339337	1.265604
54	-208.3263	-372.5237	164.1975	3.300436	1.474211	1.784116	1.219638	2.485335	1.15725	0.9788958
60	-210.7006	-373.8733	163.1727	2.375142	1.117473	2.230123	0.6442938	3.681198	2.072282	1.04579
66	-223.4899	-387.4152	163.9252	2.350263	1.571444	3.79171	0.2110806	0.9660614	2.570836	0.9466266
72	-212.4052	-377.7845	165.3793	1.681607	0.8018823	2.430079	0.5330985	2.139738	1.580034	1.567227
78	-204.8319	-372.9706	168.1386	2.35525	0.8707585	1.45957	2.115675	0.460289	0.1231761	0.7855053
84	-205.9226	-371.2976	165.375	1.264431	1.647991	3.540473	2.112775	1.398487	0.1674947	0.5596543
90	-199.7876	-366.7512	166.9636	1.756428	1.700676	0.8546374	2.122743	1.705643	0.4381065	0.4586359
96	-205.3908	-373.4493	168.0585	1.95388	1.539939	1.190996	1.45977	0.06186517	1.294795	0.5777518
102	-215.2826	-379.0301	163.7475	7.644496	2.358721	0.3448042	0.3943493	1.345419	2.205442	0.4260614
108	-213.4346	-380.8305	167.3959	2.345364	2.358721	0.1922903	0.3742081	2.537909	0.4239682	0.4260614
114	-197.3851	-366.4574	169.0722	0.9636201	1.837276	0.6178579	0.5361044	1.40494	1.055684	0.6156311
120	-201.4407	-372.8258	171.3851	0.8359022	1.510195	0.6831155	0.509382	0.2549884	0.3245779	0.5603153
126	-201.0225	-370.5435	169.521	0.6325143	1.510195	0.1164687	0.5874703	2.163936	0.8860536	0.7258275
132	-199.6032	-366.6366	167.0334	3.904124	1.485318	0.8523515	0.5633666	2.011862	0.2576456	0.5993191
138	-208.5005	-372.916	164.4156	2.502289	0.815329	3.247017	0.05951569	1.352146	3.283286	0.5109492
144	-202.5165	-369.0064	166.4899	2.808269	0.9535526	1.038635	0.5665668	3.247636	0.5112848	0.8101807
150	-205.3182	-377.002	171.6838	0.5803627	1.366534	0.6895431	0.4391762	0.4427951	0.2326463	0.6800524
156	-208.1995	-377.6054	169.4059	2.003606	1.628475	0.6820784	0.4391762	0.9428472	0.2411019	0.925113
162	-211.8854	-382.3122	170.4268	2.276219	1.201057	0.4523808	0.2522047	0.8016073	0.216131	0.497927
168	-207.2175	-374.3631	167.1456	1.151172	1.52593	2.666513	2.371374	0.3364822	0.3119187	0.535841
174	-211.649	-378.3971	166.7481	4.151768	1.398637	0.7176223	0.2458015	1.603456	1.02718	1.026228
180	-209.5214	-375.9338	166.4125	6.662728	1.449795	0.3481165	1.461243	0.08326885	0.9626634	0.7558531
186	-203.8843	-372.0212	168.1369	3.092179	0.7515255	0.1333521	2.76856	0.1003481	0.7675269	0.7380033
