Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
0	-876.6377	-1047.667	171.0292	0.02953907	1.178097	1.856603
6	-879.7266	-1050.606	170.8798	0.2227663	1.013367	1.938659
12	-881.2744	-1052.271	170.9962	0.1844437	1.303517	1.684212
18	-870.7763	-1041.477	170.7005	0.2486009	1.059343	2.01065
24	-876.7567	-1047.76	171.0037	0.160628	1.02391	1.889775
30	-884.4434	-1054.741	170.2976	0.2969562	1.050958	2.247851
36	-878.3665	-1048.651	170.2846	0.1892283	1.050958	2.32511
42	-874.945	-1045.695	170.7496	0.3110252	1.092765	1.913415
48	-874.6977	-1044.452	169.7546	0.2799864	1.049092	2.601898
54	-880.9835	-1050.512	169.5281	0.2741315	0.9446113	2.80855
60	-873.2445	-1043.867	170.6229	0.01624894	0.8456697	2.350555
66	-877.7209	-1048.765	171.0439	0.01032937	0.9445106	2.017115
72	-871.8003	-1042.247	170.447	0.1701987	0.8932727	2.334226
78	-877.4755	-1048.06	170.5847	0.3463393	1.450412	1.756627
84	-874.7083	-1045.413	170.7043	0.2102395	1.398627	1.804097
90	-876.6855	-1047.403	170.7176	0.1517474	1.321156	1.888226
96	-862.327	-1033.253	170.9257	0.05564651	0.9573768	2.056871
102	-872.6234	-1043.205	170.5812	0.2539569	1.210829	1.985612
108	-879.9683	-1051.212	171.2439	0.03173784	0.9664259	1.852984
114	-881.2844	-1051.275	169.9901	0.6239167	0.9611662	2.292948
120	-875.0018	-1045.61	170.6083	0.17502	1.292898	1.965375
126	-869.3082	-1039.99	170.6821	0.2683641	1.125773	1.965375
132	-874.5072	-1045.479	170.9719	0.1189549	1.044124	1.925817
138	-866.9264	-1037.722	170.7954	0.1436736	0.9433459	2.093946
144	-880.3042	-1050.633	170.3293	0.3651544	1.167978	2.107073
150	-871.5465	-1041.991	170.4449	0.2156423	1.088956	2.180729
156	-882.2432	-1052.671	170.4283	0.2156423	1.105581	2.180729
162	-878.6294	-1049.314	170.6847	0.08027167	1.27381	1.990413
168	-884.78	-1055.466	170.6864	0.267022	1.703878	1.55903
174	-878.8279	-1049.59	170.7625	0.1525832	1.288553	1.879283
180	-876.9219	-1047.797	170.8749	0.07147089	1.288553	1.857903
186	-886.3669	-1056.762	170.3949	0.1370018	1.216911	2.181177
192	-875.2738	-1046.092	170.8182	0.2656872	1.237336	1.798474
198	-867.0625	-1037.931	170.8687	0.1585364	1.143113	1.901906
204	-874.94	-1045.637	170.6972	0.1940457	1.279093	1.901906
210	-877.391	-1048.116	170.7255	0.2612304	1.34434	1.791685
216	-871.4203	-1042.241	170.8209	0.2612304	1.248979	1.791685
222	-869.7431	-1040.346	170.6032	0.1746882	1.016335	2.151635
228	-878.0561	-1048.975	170.9193	0.005723703	1.356715	1.825742
234	-878.3073	-1049.327	171.0193	0.04990321	1.144154	1.872635
240	-862.5142	-1033.043	170.5286	0.05378074	1.144154	2.195593
246	-854.5745	-1025.676	171.1013	0.08912647	1.10136	1.818861
252	-862.2735	-1032.724	170.4505	0.1042599	1.049146	2.274583
258	-854.8084	-1025.47	170.6615	0.1106396	1.204136	2.032035
264	-860.7703	-1031.62	170.8502	0.05584645	1.204136	1.94257
270	-865.5813	-1036.235	170.6533	0.02243524	1.204136	2.09565
276	-891.8019	-1062.051	170.2495	0.3063612	1.487119	1.987634
282	-879.3026	-1049.942	170.6393	0.3646598	1.671543	1.545562
288	-882.9559	-1053.679	170.7233	0.1234431	1.671543	1.659867
294	-878.0366	-1049.188	171.1518	0.1375514	1.600668	1.382659
300	-875.4941	-1046.207	170.7132	0.05896293	1.545815	1.800775
306	-864.1176	-1035.04	170.922	0.04016732	1.545815	1.667207
312	-871.3371	-1042.35	171.0126	0.3679617	1.517596	1.376276
318	-880.5193	-1051.451	170.9317	0.2010305	1.880815	1.28381
324	-880.4209	-1051.167	170.746	0.2738674	1.19334	1.872705
330	-873.8638	-1044.896	171.0318	0.1245254	1.366701	1.656472
336	-879.6612	-1050.41	170.7485	0.1830477	1.22501	1.91122
342	-888.0916	-1058.891	170.7991	0.4052761	1.162861	1.7665
348	-895.5409	-1065.742	170.2014	0.3385565	1.162861	2.21096
354	-884.1668	-1054.934	170.7669	0.1647802	1.056361	2.024237
360	-873.7896	-1044.615	170.8258	0.01374652	1.031243	2.10157
366	-873.7527	-1044.33	170.577	0.1154122	0.9751899	2.233682
372	-888.1582	-1058.048	169.8895	0.2848962	0.7782676	2.682698
378	-887.576	-1058.444	170.8681	0.2693048	0.8529047	2.02272
384	-870.5892	-1041.486	170.897	0.169826	1.040546	1.944427
390	-880.7236	-1051.319	170.5958	0.1799922	1.040546	2.137211
396	-882.9665	-1053.874	170.9072	0.1799922	1.352194	1.715943
