Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-3247.932	-3411.072	163.1404	0.148932	0.8022283	1.130056	1.005817	0.479033	0.520967	0.552812	0.447188	4.987393
6	-3252.107	-3414.432	162.3257	0.3405862	0.79485	0.9952547	0.935047	0.469606	0.530394	0.586646	0.413354	5.455307
12	-3233.219	-3396.661	163.4423	0.04888194	0.8660858	1.014102	1.064259	0.426712	0.573288	0.458561	0.541439	4.876445
18	-3238.902	-3402.381	163.4792	0.1237291	0.9365844	0.9053288	1.064259	0.54284	0.45716	0.54378	0.45622	4.831834
24	-3249.574	-3413.122	163.5484	0.2705963	0.9426894	0.8851512	1.1593	0.556739	0.443261	0.598821	0.401179	4.676338
30	-3241.287	-3404.555	163.268	0.2705963	0.8656403	1.132453	1.140534	0.367404	0.632596	0.445417	0.554583	4.7575
36	-3246.325	-3409.938	163.6124	0.1126245	0.7788869	1.127502	1.157082	0.553393	0.446607	0.599509	0.400491	4.684934
42	-3252.488	-3415.648	163.1595	0.3231906	0.8460421	1.025716	1.189374	0.518441	0.481559	0.568617	0.431383	4.813651
48	-3240.925	-3404.852	163.9267	0.1340473	0.8483861	1.000032	1.109911	0.400322	0.599678	0.458046	0.541954	4.55527
54	-3246.221	-3408.892	162.6709	0.03766923	0.9387549	1.000284	1.020027	0.468189	0.531811	0.509989	0.490011	5.295841
60	-3248.371	-3411.274	162.9031	0.02050214	0.8457381	0.9188791	0.9842055	0.554709	0.445291	0.529395	0.470605	5.295841
66	-3247.137	-3409.776	162.6391	0.1341831	0.8253851	1.245416	0.9570008	0.488624	0.511376	0.454022	0.545978	5.223836
72	-3244.381	-3407.219	162.8377	0.1644953	0.8253851	1.031071	1.015964	0.449035	0.550965	0.478392	0.521608	5.183004
78	-3244.297	-3407.306	163.0091	0.157454	0.864505	1.057912	1.015964	0.410471	0.589529	0.578381	0.421619	5.068301
84	-3234.475	-3397.442	162.9672	0.2342674	0.864505	0.9168259	0.9334672	0.556299	0.443701	0.576934	0.423066	5.167029
90	-3240.842	-3403.901	163.0593	0.1382069	0.9893162	1.031172	1.048556	0.447708	0.552292	0.448092	0.551908	4.968906
96	-3229.934	-3392.988	163.0531	0.2049153	1.092518	0.862704	1.063209	0.514335	0.485665	0.601007	0.398993	4.968906
102	-3241.887	-3404.803	162.9163	0.2067198	0.9112521	0.9938854	0.9829484	0.473896	0.526104	0.529435	0.470565	5.106266
108	-3239.041	-3401.958	162.9167	0.159369	0.9671011	1.069121	1.078636	0.428455	0.571545	0.522587	0.477413	5.011207
114	-3247.092	-3410.253	163.1612	0.1208786	0.9468916	0.9965189	0.9369025	0.478822	0.521178	0.483216	0.516784	5.021511
120	-3249.61	-3412.496	162.8853	0.2098579	0.9859106	0.8436816	0.9436505	0.510187	0.489813	0.503211	0.496789	5.18339
126	-3249.962	-3412.163	162.2013	0.2797754	1.065668	1.025822	0.9436505	0.510187	0.489813	0.570312	0.429688	5.383846
132	-3244.851	-3408.387	163.5363	0.02267502	1.047554	0.7991449	1.111972	0.456533	0.543467	0.570312	0.429688	4.829682
138	-3245.863	-3409.195	163.3328	0.009467939	0.7893581	1.122743	1.181326	0.456533	0.543467	0.49015	0.50985	4.86992
144	-3242.599	-3405.933	163.3335	0.1393369	0.8795315	0.9364063	1.078158	0.440901	0.559099	0.49015	0.50985	4.910777
150	-3234.003	-3396.915	162.9124	0.2689501	0.9542083	0.9530347	1.054848	0.500333	0.499667	0.508547	0.491453	5.031302
156	-3241.92	-3405.1	163.1799	0.105638	0.9542083	0.8845676	1.04513	0.463129	0.536871	0.607569	0.392431	5.031302
162	-3247.82	-3411.043	163.2235	0.01935306	1.035847	0.9128876	1.069173	0.463129	0.536871	0.540472	0.459528	4.969313
