Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
0	-798.6767	-966.4558	167.7791	1.486199	4.202811	0.8507841
6	-791.418	-958.9528	167.5348	1.848035	3.974208	0.9738572
12	-801.8912	-971.0309	169.1397	1.055135	2.994791	1.133481
18	-798.3377	-966.4847	168.147	1.543545	3.679157	0.960801
24	-789.1503	-956.7478	167.5975	1.652314	4.28281	0.7660795
30	-797.8498	-963.934	166.0842	1.275638	6.251103	0.6258287
36	-799.4119	-967.4208	168.0089	1.536365	4.006687	0.7373132
42	-797.7545	-965.5724	167.8179	1.639638	4.041739	0.8116467
48	-810.5061	-977.8829	167.3768	1.584652	4.58036	0.7527291
54	-812.0853	-979.947	167.8617	1.783331	3.858631	0.8059461
60	-799.9416	-967.2041	167.2625	1.456427	4.828941	0.7434922
66	-798.587	-965.4488	166.8618	1.752566	4.828941	0.8802129
72	-800.9969	-966.9798	165.9829	1.912375	5.687308	0.6856982
78	-794.1178	-959.6577	165.5399	1.806505	6.127511	0.8437401
84	-796.1027	-960.4691	164.3664	1.748837	7.370361	0.8292182
90	-786.7536	-954.0758	167.3222	1.089964	5.156017	0.7110331
96	-796.078	-962.8601	166.7821	1.560257	5.156017	0.8128737
102	-809.823	-977.7346	167.9116	1.806963	3.359	1.230593
108	-812.2081	-976.6115	164.4034	1.806963	7.127075	0.9938149
114	-797.2975	-964.1905	166.8929	1.920594	4.350734	1.156002
120	-818.437	-984.2546	165.8176	2.17717	4.901813	1.377489
126	-795.9331	-965.0771	169.1441	1.16121	3.19801	0.8064234
132	-787.7468	-953.0153	165.2684	1.642895	6.712173	0.5904334
138	-799.7646	-965.1088	165.3443	1.492989	6.712173	0.741164
144	-797.7593	-966.297	168.5378	1.007933	4.008854	0.7331738
150	-802.1408	-970.2447	168.1039	1.610471	3.785601	0.8107887
156	-802.9285	-969.4803	166.5518	1.73564	4.808097	1.215407
162	-801.2726	-968.6094	167.3368	1.356844	4.808097	0.8084225
168	-801.091	-966.793	165.702	1.356844	6.556811	0.6136224
174	-794.915	-961.8653	166.9504	1.429652	5.092554	0.8453456
180	-817.7636	-986.4503	168.6867	1.711377	2.709162	1.205424
186	-802.4057	-970.5977	168.192	1.118157	4.135342	0.8776232
192	-796.3434	-964.6318	168.2884	1.382928	3.761572	0.8921362
198	-794.7453	-962.7997	168.0544	1.697247	3.735456	0.8273128
204	-804.582	-972.9119	168.3298	1.305376	3.735456	0.9598017
210	-799.1988	-968.017	168.8182	1.050529	3.628241	0.8146836
216	-803.8812	-971.7849	167.9037	1.290985	4.19548	0.9391826
222	-793.9868	-960.7793	166.7925	1.567438	5.122382	0.8333483
228	-801.2256	-969.5562	168.3307	1.299683	3.972661	0.6444302
234	-792.9842	-961.6305	168.6463	1.744077	2.958128	0.9825763
240	-799.2563	-966.4986	167.2423	1.43711	4.869768	0.7415515
246	-804.6746	-973.6162	168.9416	1.202379	3.295882	0.8841915
252	-791.1714	-956.6478	165.4765	1.700176	6.200818	0.9526427
258	-784.5731	-952.5494	167.9763	1.287621	4.254894	0.7855405
264	-788.7974	-956.3975	167.6001	1.301633	4.617132	0.7855405
270	-797.729	-963.7459	166.0169	1.44965	6.090218	0.729619
276	-791.6271	-960.2046	168.5776	1.102559	3.921512	0.647554
282	-785.374	-953.3481	167.9741	1.133139	4.477148	0.6822553
