Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
324	-1425.658	-1588.808	163.1503	1.035307	0.9974196	0.7477685	0.9093606	0.6645073	0.6368876	5.371856
330	-1419.172	-1583.211	164.039	0.9905411	0.9996079	0.7477685	0.4784563	0.6645073	0.4490429	5.246345
336	-1420.558	-1585.089	164.5305	0.9905411	1.00882	0.7347099	0.5369557	0.6645073	0.6117334	4.852964
342	-1421.103	-1586.148	165.0441	0.9106995	1.135895	0.6592135	0.463996	0.6645073	0.6582479	4.596251
348	-1429.08	-1594.028	164.9477	0.8953329	1.092841	0.6592135	0.6036594	0.6645073	0.6480592	4.610456
354	-1427.651	-1592.248	164.5975	0.8953329	1.130284	0.6592135	0.6080121	0.6645073	0.447055	4.89512
360	-1434.526	-1601.012	166.4856	1.034709	0.9173972	0.0002316354	1.492741	0.008393705	1.59414	3.45541
366	-1435.107	-1602.478	167.3704	1.112212	0.8861182	0.0004533909	1.437338	0.02543458	1.59414	2.925919
372	-1424.744	-1593.15	168.406	0.877262	0.9009679	0.000179059	0.9812022	0.004877471	0.9299573	3.120691
378	-1441.748	-1609.982	168.2341	0.9527924	1.05537	0.0009927278	0.7527752	0.01255891	0.8442669	3.267666
384	-1433.777	-1600.697	166.9204	1.180941	1.132168	0.0002032469	1.320105	0.02731172	1.340826	3.227287
390	-1420.027	-1587.676	167.6488	0.9675754	0.9069774	0.007244175	1.130922	0.007813186	1.251843	3.227287
396	-1439.707	-1605.953	166.2456	1.157276	1.002373	0.009506203	1.320272	0.004136405	1.15372	3.826919
402	-1430.483	-1596.384	165.9005	1.157276	1.069345	0.02391921	1.401979	0.005141243	1.334683	3.826919
408	-1440.142	-1606.47	166.3283	1.090836	1.195256	0.002702714	1.679772	0.01527844	1.397077	3.352344
414	-1435.34	-1601.727	166.3872	0.9766961	0.9785448	0.008221401	1.424104	0.00444329	1.809925	3.422718
420	-1430.699	-1596.954	166.2545	1.152442	0.9870899	0.001232419	1.599506	0.001526023	1.809925	3.295434
426	-1440.352	-1604.827	164.4749	1.182298	0.9686312	0.00193902	1.886526	0.0007307422	2.573481	3.714304
432	-1433.202	-1596.41	163.2077	1.182298	0.9081672	0.0632105	2.728263	0.001071195	2.658357	3.909668
438	-1443.102	-1607.879	164.7769	0.9366332	1.050334	0.0632105	2.052681	0.002122784	1.997273	3.834446
444	-1427.604	-1592.103	164.499	1.070653	0.8167843	0.03072987	2.198895	0.002320165	1.829751	4.08119
450	-1418.693	-1582.164	163.4709	1.147593	0.8167843	0.01000897	3.543078	0.001875824	2.873817	3.261296
456	-1425.482	-1589.118	163.6359	0.9763205	1.06108	0.04306288	2.813732	0.01880094	3.420269	3.198861
462	-1422.95	-1586.078	163.1276	1.33417	1.139224	0.0198519	3.875959	0.01199239	3.420269	2.62156
468	-1414.411	-1580.917	166.5056	1.008773	0.8981585	0.0312102	2.46139	0.002324135	2.441271	2.356209
474	-1414.96	-1579.401	164.4409	1.061369	0.8981585	0.03359876	3.50127	0.01239582	3.162415	2.506444
480	-1415.087	-1580.693	165.6057	1.207296	0.8892182	0.03848413	2.329579	0.01239582	2.920271	2.573886
486	-1427.842	-1593.662	165.8206	0.9843525	0.8294236	0.01309298	2.814645	0.002544834	2.458695	2.622424
492	-1426.944	-1593.698	166.7543	0.923245	1.373516	0.004365087	1.454949	0.003256235	1.869915	2.951387
498	-1424.123	-1592.098	167.9744	0.9006143	1.125524	0.02414656	1.016956	0.002621479	1.244153	3.00848
504	-1431.054	-1598.555	167.5015	1.14757	1.169488	0.004342731	0.9635625	0.003715475	0.9675964	3.323991
510	-1425.505	-1593.003	167.4977	1.201286	1.128483	0.001229458	0.9635625	0.005177105	1.209394	3.177141
516	-1428.199	-1595.495	167.2954	0.820562	1.044742	0.0008692927	0.9094918	0.01222947	1.46432	3.446254
522	-1422.462	-1590	167.5383	0.9225834	1.0829	0.004181009	0.8367102	0.004126006	0.9783909	3.552218
528	-1418.783	-1586.339	167.5555	0.9391195	1.179746	0.001056905	0.8367102	0.001018629	1.007404	3.462819
534	-1422.399	-1589.618	167.2191	1.077836	0.8761753	0.002464745	0.8367102	0.004318724	1.007404	3.751119
540	-1420.198	-1586.009	165.8112	0.9860979	1.262123	0.0061075	1.328895	0.0132622	1.441858	3.851509
546	-1429.05	-1594.696	165.6456	1.001798	1.262123	0.0004672139	1.306123	0.0136099	1.223941	4.078024
552	-1426.335	-1588.636	162.3013	0.8806274	1.112838	0.04547784	2.478228	0.004502102	2.641287	4.636774
558	-1424.85	-1585.364	160.5139	0.7838957	0.952789	0.04749853	3.713036	0.004884815	3.446283	4.636774
564	-1419.579	-1581.437	161.8579	1.168239	0.9150803	0.02569123	3.367743	0.00248032	2.879818	4.212987
570	-1420.909	-1585.147	164.2384	1.282794	1.02798	0.005296873	2.864302	0.002362539	1.915416	3.571661
576	-1422.144	-1585.825	163.6807	1.295833	0.8859787	0.00756305	2.489411	0.01858715	2.470347	3.853916
582	-1418.319	-1581.801	163.4815	1.099208	0.8918578	0.04849917	2.656059	0.04718693	3.05407	3.60397
588	-1425.586	-1587.473	161.8874	0.9606549	0.8646279	0.01133493	3.963607	0.02625864	2.432425	4.252664
594	-1424.804	-1586.638	161.8337	1.081418	0.9232893	0.01272626	3.438978	0.009729104	2.432425	4.486478
600	-1425.035	-1587.487	162.4515	1.131195	0.913267	0.00315356	3.040253	0.0008226783	2.192339	4.486478
606	-1417.01	-1583.089	166.0786	1.255521	0.9965198	0.01275637	2.01501	0.008896382	1.635195	3.180336
612	-1425.077	-1591.891	166.8141	1.012894	0.9231707	0.01311477	2.004609	0.0158897	1.635195	2.930099
618	-1419.941	-1586.65	166.7091	1.123677	1.010674	0.00681883	1.729074	0.05932514	1.780512	2.930099
624	-1412.733	-1579.329	166.5955	1.092381	1.010674	0.02940669	2.074906	0.00268894	1.780512	2.829063
630	-1419.493	-1587.859	168.366	0.8646964	0.8077743	0.1894557	0.4431731	0.2852348	0.3386437	3.593933
636	-1424.32	-1591.479	167.1591	1.077532	0.9744795	0.1894557	0.3450495	0.2977305	0.3514133	4.111626
642	-1421.764	-1589.73	167.9659	1.210264	0.9640739	0.1756144	0.3065408	0.3578135	0.208432	3.656616
648	-1427.337	-1594.883	167.5462	1.297629	0.9534233	0.1756144	0.3231236	0.3578135	0.3195416	3.78208
654	-1431.291	-1599.111	167.8207	0.9081538	0.8531767	0.1756144	0.4250923	0.3578135	0.3452624	3.830567
660	-1423.26	-1590.899	167.6391	0.9950067	1.121965	0.2183615	0.3311958	0.3578135	0.2225305	3.830567
666	-1405.111	-1572.084	166.9722	1.166584	1.040748	0.1992198	0.1930731	0.2503197	0.2420892	4.299527
672	-1416.964	-1583.07	166.1055	0.9272092	1.015789	0.2005512	0.2189568	0.27852	0.3445333	4.845524
