Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
66	-2098.951	-2364.714	265.7628	0.938176	3.78265e-07	0.000410438	8.46231e-08	0.000814829	0.000393298	0.000535565	0.000116321	0.000538921	0.00127368	0.00228579	0.0016348	0.00581566	0.00165301	0.00282724	0.000116646	0.00250256	0.00462572	0.00121343	0.00222997	0.00177139	0.00260968	0.00232795	0.000807577	0.00104438	0.00352472	0.00242078	0.00424027	0.000792344	0.00151557	0.00135484	0.000183291	0.0010982	0.00336034	0.000466824	0.00531758	0.5797898
72	-2105.031	-2370.778	265.7472	0.932464	3.75962e-07	0.000407939	8.41079e-08	0.000809868	0.000390903	0.000532304	0.000194194	0.00053564	0.00126592	0.00227187	0.00162485	0.00334108	0.0037294	0.00281003	0.000115936	0.00248732	0.00459756	0.00120604	0.00221639	0.00176061	0.00399234	0.00231378	0.00080266	0.00103802	0.00350326	0.00240604	0.00421446	0.00078752	0.00155723	0.00544945	0.000182175	0.00109151	0.00333989	0.00127422	0.00528521	0.6255177
78	-2111.875	-2377.649	265.7735	0.929417	3.74734e-07	0.000406606	1.88966e-07	0.000807222	0.000389626	0.000216595	0.00019356	0.00053389	0.00126179	0.00226445	0.00161954	0.00333017	0.00371722	0.00280085	0.000115557	0.0024792	0.00458253	0.0012021	0.00220915	0.00533598	0.0039793	0.00230622	0.000800038	0.00103463	0.00349181	0.00239818	0.00420069	0.000784947	0.00155215	0.00543164	0.00018158	0.00108795	0.00332897	0.00127005	0.00526794	0.5200787
84	-2118.373	-2384.116	265.7426	0.929127	3.74617e-07	0.000406479	1.88907e-07	0.000806969	0.000389504	0.000216527	0.00118785	0.000533723	0.00126139	0.00226374	0.00161903	0.00332912	0.00371605	0.00279997	0.000115521	0.000432594	0.0045811	0.00120172	0.00220846	0.00533431	0.00397805	0.0023055	0.000799787	0.0010343	0.00349072	0.00239743	0.00419937	0.000784701	0.00155166	0.00542995	0.000181523	0.0024519	0.00332793	0.00126966	0.00526629	0.6367352
90	-2114.913	-2380.681	265.7677	0.931044	3.7539e-07	0.000407318	1.89296e-07	0.000808634	0.000390308	0.000216974	0.0011903	0.000534824	0.00171743	0.00226841	0.00162237	0.00140164	0.00372372	0.00280575	0.00011576	0.000433487	0.00459055	0.0012042	0.00221302	0.00534531	0.00398626	0.00231025	0.000801438	0.00103644	0.00349792	0.00240237	0.00420804	0.00078632	0.000972624	0.00544115	0.000181898	0.00245696	0.0033348	0.00127228	0.00527716	0.5595229
96	-2118.969	-2384.731	265.7616	0.929787	3.74883e-07	0.000406768	1.89041e-07	0.000531968	0.000389781	0.000216681	0.00118869	0.000534102	0.00171511	0.00389074	0.00162018	0.00139975	0.00371869	0.00280196	0.000115603	0.000432902	0.00458436	0.00120258	0.00221003	0.0053381	0.00398088	0.00230713	0.000800356	0.00103504	0.0034932	0.00239913	0.00420236	0.000785259	0.000971311	0.0054338	0.000181652	0.00245364	0.0033303	0.00127056	0.00527003	0.5838735
102	-2108.464	-2374.227	265.7631	0.932758	3.76081e-07	0.000408068	1.04116e-07	0.001072	0.000391027	0.000217373	0.00119249	0.000535809	0.000349921	0.00390317	0.00162536	0.00140422	0.00373058	0.00281091	0.000115973	0.000434285	0.00459901	0.00120642	0.00221709	0.00296551	0.0039936	0.00231451	0.00097429	0.00103834	0.00350437	0.0024068	0.00421578	0.000787768	0.000974415	0.00545117	3.73414e-05	0.00246148	0.00334094	0.00127462	0.00528687	0.5787006
108	-2114.443	-2380.206	265.7631	0.932881	7.67414e-07	0.000167324	1.0413e-07	0.0015016	0.00028325	0.000217402	0.00119265	0.00053588	0.000349967	0.00390369	0.00162557	0.00140441	0.00337445	0.00281128	0.000115988	0.000434342	0.00459961	0.00120658	0.00221739	0.0029659	0.00399413	0.00231481	0.00111757	0.00103848	0.00350483	0.00240712	0.00421634	0.000787872	0.000974544	0.00545189	3.73464e-05	0.00246181	0.00334138	0.00127479	0.00528757	0.5787006
114	-2128.752	-2394.515	265.7631	0.924188	7.60263e-07	0.000165764	1.03159e-07	0.00148761	0.00028061	0.00966996	0.00118153	0.000530886	0.000346706	0.00386731	0.00161042	0.00255288	0.003343	0.00278509	0.000114907	0.000430295	0.00455675	0.00119534	0.00219672	0.00380947	0.00178851	0.00229324	0.00110716	0.0010288	0.00347217	0.00238468	0.00417705	0.00078053	0.000965462	0.00540108	3.69984e-05	0.00243886	0.00331024	0.00126291	0.0052383	0.5787006
120	-2110.449	-2376.211	265.7613	0.932491	7.25139e-07	7.7072e-05	1.33334e-08	0.00283356	0.000332947	0.000918105	0.00101044	0.00027441	0.000138911	0.00313828	0.00363008	0.00194329	0.000404588	0.00317753	0.000983306	0.000179076	0.00176884	0.000788153	0.00188122	0.00210049	0.000780691	0.00457077	0.00841081	0.000539544	0.00119486	0.00106673	0.00663993	0.000661847	0.00100232	0.00322748	0.000263402	0.00406017	0.00263895	0.00288697	0.00398397	0.58503
