Iteration	Posterior	Likelihood	Prior	tree_length
798	-735.5721	-908.3267	172.7547	1.486523
804	-731.4601	-904.2048	172.7446	1.494068
810	-725.9238	-898.4969	172.5731	1.62046
816	-727.3846	-899.927	172.5424	1.642567
822	-726.7804	-899.3163	172.5358	1.647286
828	-722.8977	-895.5425	172.6449	1.568146
834	-730.8712	-903.5161	172.6449	1.568146
840	-736.3803	-909.0252	172.6449	1.568146
846	-731.6471	-903.988	172.3409	1.784865
852	-731.2576	-903.8537	172.5962	1.603729
858	-737.1206	-909.6757	172.5551	1.633441
864	-743.3462	-915.7716	172.4254	1.725759
870	-729.0157	-901.5945	172.5788	1.61633
876	-726.3603	-899.1384	172.7781	1.468828
882	-721.4486	-894.4312	172.9826	1.308941
888	-734.4489	-907.1217	172.6728	1.547578
894	-741.3032	-913.9561	172.6529	1.56229
900	-732.2471	-904.9378	172.6907	1.534308
906	-727.9765	-900.6673	172.6907	1.534308
912	-731.9906	-904.445	172.4545	1.70526
918	-736.4272	-909.05	172.6228	1.584333
924	-721.2835	-894.1995	172.916	1.362178
930	-740.0586	-912.5591	172.5005	1.672569
936	-735.2709	-907.9212	172.6504	1.564115
942	-730.5581	-903.2007	172.6426	1.569793
948	-732.8024	-905.6317	172.8293	1.429727
954	-744.8165	-917.4089	172.5923	1.606497
960	-732.9098	-905.6698	172.76	1.48253
966	-736.9476	-910.1029	173.1553	1.163835
972	-732.9812	-905.5352	172.554	1.634223
978	-736.4261	-908.6889	172.2628	1.838785
984	-726.1923	-898.9832	172.7909	1.459084
990	-736.9799	-909.42	172.4402	1.715377
996	-730.2016	-902.9574	172.7558	1.485651
1002	-731.662	-904.7249	173.0629	1.242899
1008	-729.8613	-902.6002	172.7389	1.498384
1014	-726.6835	-899.4224	172.7389	1.498384
1020	-735.2547	-908.033	172.7783	1.46866
1026	-738.3957	-911.1869	172.7912	1.458858
1032	-742.2078	-915.1179	172.9101	1.36681
1038	-722.6611	-895.3084	172.6472	1.56641
1044	-727.6618	-900.7298	173.068	1.238673
1050	-723.7054	-896.5584	172.8531	1.411389
1056	-727.4024	-899.9244	172.5221	1.657168
1062	-725.3865	-898.0156	172.629	1.579751
1068	-738.3336	-910.8322	172.4985	1.673987
1074	-734.7391	-907.604	172.8649	1.402254
1080	-733.3869	-905.9011	172.5142	1.662758
1086	-731.4287	-904.2436	172.8149	1.440749
1092	-726.7127	-899.5277	172.8149	1.440749
1098	-732.0542	-904.5646	172.5103	1.665568
1104	-722.1987	-895.2453	173.0466	1.256509
1110	-735.377	-908.238	172.861	1.405256
1116	-734.8825	-907.716	172.8334	1.426556
1122	-735.9583	-908.6771	172.7188	1.513432
1128	-735.2239	-907.8978	172.6738	1.546827
1134	-727.1832	-899.423	172.2398	1.854558
1140	-730.1729	-903.0991	172.9263	1.354064
1146	-733.0487	-905.8725	172.8238	1.433936
1152	-739.5428	-911.9321	172.3893	1.751098
1158	-750.2514	-922.7472	172.4958	1.675931
1164	-740.8694	-913.3778	172.5085	1.666889
1170	-740.3566	-913.2326	172.876	1.3936
1176	-735.5712	-908.3179	172.7466	1.492573
1182	-733.231	-906.2822	173.0511	1.252749
1188	-728.1998	-900.8749	172.6751	1.545888
1194	-732.3951	-905.0702	172.6751	1.545888
1200	-729.266	-902.2718	173.0058	1.290142
1206	-738.8054	-911.4162	172.6108	1.593073
1212	-730.3592	-902.5217	172.1624	1.907251
1218	-725.9501	-898.8254	172.8753	1.39415
1224	-725.2173	-898.3002	173.0829	1.226136
1230	-723.1223	-896.0782	172.9558	1.330501
1236	-725.7007	-898.5125	172.8118	1.443152
1242	-739.2355	-911.4882	172.2527	1.845725
1248	-747.7882	-920.749	172.9608	1.326509
1254	-737.5129	-910.0594	172.5465	1.639591
1260	-750.4733	-923.0199	172.5465	1.639591
1266	-746.1854	-918.9243	172.7389	1.498392
1272	-734.9988	-907.6912	172.6924	1.533097
1278	-736.628	-909.2135	172.5855	1.611482
1284	-725.3105	-898.169	172.8585	1.407209
1290	-741.9184	-914.7035	172.7851	1.463493
1296	-752.0828	-925.0574	172.9746	1.315447
1302	-748.8481	-921.4415	172.5934	1.605712
1308	-746.9167	-919.5324	172.6157	1.589481
1314	-737.5886	-910.4827	172.8941	1.379425
1320	-742.3551	-915.2535	172.8984	1.376069
1326	-735.7833	-908.5081	172.7249	1.50891
1332	-743.9045	-916.3468	172.4423	1.71388
1338	-727.4664	-900.0006	172.5342	1.648448
1344	-729.402	-902.2178	172.8159	1.440025
1350	-745.2356	-918.1489	172.9133	1.364309
1356	-738.9553	-911.5996	172.6443	1.568563
1362	-747.1673	-919.8116	172.6443	1.568563
1368	-730.9399	-903.6307	172.6908	1.534238
1374	-732.2689	-904.9544	172.6855	1.538196
1380	-735.9037	-908.6359	172.7322	1.503428
1386	-725.5931	-898.3022	172.7091	1.520679
1392	-730.4358	-903.0193	172.5835	1.612932
1398	-731.2143	-904.0298	172.8155	1.440296
1404	-720.8063	-893.2114	172.4051	1.740014
1410	-724.9545	-898.1888	173.2342	1.092988
1416	-731.6264	-904.2841	172.6578	1.558689
1422	-751.3483	-924.0336	172.6852	1.538409
1428	-740.1817	-913.066	172.8843	1.387079
1434	-739.0422	-911.668	172.6257	1.582184
1440	-730.0589	-902.7444	172.6855	1.538193
1446	-734.0014	-906.9944	172.993	1.300563
1452	-733.0815	-905.3935	172.312	1.804885
1458	-732.4197	-905.2104	172.7907	1.459269
1464	-727.0628	-899.7974	172.7346	1.501625
1470	-734.6791	-907.4547	172.7756	1.470741
1476	-735.8471	-908.5496	172.7025	1.525558
1482	-727.645	-900.5123	172.8673	1.400373
1488	-723.8851	-896.6561	172.7709	1.474258
1494	-724.6807	-897.4516	172.7709	1.474258
1500	-724.4948	-897.1809	172.686	1.537798
1506	-723.5238	-896.2697	172.7459	1.493092
1512	-730.4241	-903.1276	172.7034	1.524905
1518	-730.3888	-902.929	172.5402	1.64419
1524	-730.4024	-902.987	172.5846	1.61209
1530	-746.5183	-919.1861	172.6678	1.55129
1536	-751.0673	-923.7262	172.6589	1.557839
1542	-741.4417	-913.8649	172.4232	1.727363
1548	-742.0706	-914.7937	172.7231	1.510215
1554	-731.0412	-903.5677	172.5265	1.654
1560	-729.546	-902.232	172.686	1.537823
1566	-730.281	-903.0156	172.7346	1.501604
1572	-719.78	-892.686	172.9059	1.370126
1578	-718.358	-891.2691	172.9111	1.366067
1584	-722.6335	-895.4259	172.7924	1.457951
1590	-727.9227	-901.1145	173.1918	1.131501
1596	-730.0831	-902.6247	172.5416	1.64314
1602	-722.9838	-895.429	172.4452	1.711815
1608	-732.2287	-904.9843	172.7556	1.485826
1614	-727.8715	-900.8229	172.9514	1.334014
1620	-730.9164	-903.6579	172.7415	1.496424
1626	-730.876	-903.7205	172.8445	1.418007
1632	-741.5717	-914.3863	172.8146	1.441006
1638	-732.2422	-904.7057	172.4635	1.698884
1644	-732.388	-905.3358	172.9478	1.336922
1650	-730.7277	-903.6755	172.9478	1.336922
1656	-731.6038	-904.2762	172.6725	1.547838
1662	-731.7564	-904.4515	172.6951	1.531092
1668	-736.0368	-908.7039	172.6672	1.551748
1674	-734.9205	-907.5877	172.6672	1.551748
1680	-741.2582	-913.9142	172.656	1.559969
1686	-738.3654	-910.7906	172.4252	1.725946
1692	-726.6732	-899.5822	172.909	1.367713
1698	-727.7507	-900.6597	172.909	1.367713
1704	-738.6428	-911.0584	172.4156	1.732683
1710	-737.2974	-909.7995	172.5021	1.6714
1716	-729.8809	-902.3689	172.488	1.681458
1722	-735.0612	-907.7706	172.7095	1.5204
1728	-732.6227	-905.3884	172.7657	1.478177
1734	-741.0665	-913.4872	172.4207	1.729061
1740	-744.507	-917.3556	172.8486	1.414821
1746	-746.5645	-919.209	172.6445	1.568443
1752	-744.255	-916.9134	172.6585	1.558164
1758	-734.9089	-907.5674	172.6585	1.558164
1764	-716.6135	-889.523	172.9096	1.367265
1770	-720.5746	-893.2037	172.6291	1.579713
1776	-731.3034	-904.0471	172.7438	1.494736
1782	-728.7027	-900.8869	172.1842	1.892476
1788	-732.0808	-904.7488	172.668	1.551138
1794	-720.3177	-892.9353	172.6175	1.588188
1800	-724.1242	-897.0801	172.9559	1.330424
1806	-730.4782	-903.116	172.6379	1.57328
1812	-728.8874	-901.6831	172.7957	1.455457
1818	-724.2395	-896.5968	172.3572	1.773494
1824	-721.5109	-894.0501	172.5392	1.644897
1830	-725.4307	-898.0483	172.6175	1.588162
1836	-731.7322	-904.3925	172.6603	1.556819
1842	-743.1394	-915.9513	172.8119	1.443069
1848	-732.587	-905.3803	172.7933	1.457303
1854	-730.8855	-903.5938	172.7083	1.521241
1860	-736.0683	-908.3914	172.3231	1.797237
1866	-751.5255	-923.9285	172.4031	1.741453
1872	-733.0311	-905.544	172.5129	1.66375
1878	-730.1508	-902.7442	172.5934	1.605746
1884	-733.9552	-906.7251	172.7699	1.47504
1890	-729.3086	-901.8609	172.5522	1.63549
1896	-728.9567	-901.7641	172.8074	1.446529
1902	-723.333	-895.904	172.571	1.621966
1908	-730.7243	-903.5108	172.7865	1.462482
1914	-739.8338	-912.2616	172.4278	1.724123
1920	-738.0402	-910.7147	172.6745	1.54634
1926	-738.8622	-911.5367	172.6745	1.54634
1932	-736.4521	-909.1688	172.7167	1.514975
1938	-728.4287	-901.069	172.6404	1.571466
1944	-727.0151	-899.886	172.871	1.397511
1950	-750.2893	-923.2368	172.9475	1.337138
1956	-739.5816	-912.1986	172.6169	1.588595
1962	-729.4736	-901.982	172.5084	1.666949
1968	-725.2354	-897.8708	172.6354	1.575093
1974	-730.4902	-903.2962	172.806	1.447603
1980	-732.4967	-905.3027	172.806	1.447603
1986	-726.3147	-899.4187	173.104	1.208188
1992	-725.2569	-898.1104	172.8535	1.411038
1998	-731.1361	-903.7274	172.5913	1.607269
2004	-729.9527	-901.9969	172.0442	1.986805
2010	-725.5364	-898.0941	172.5577	1.631572
2016	-734.203	-907.1384	172.9354	1.346797
2022	-740.2418	-912.9041	172.6623	1.555326
2028	-736.6114	-909.5586	172.9472	1.337378
2034	-737.9397	-910.6754	172.7357	1.500805
2040	-744.1422	-916.8208	172.6785	1.543358
2046	-729.4513	-902.227	172.7757	1.470652
2052	-731.6069	-904.3185	172.7116	1.518812
2058	-740.8208	-913.5886	172.7678	1.47659
2064	-729.5025	-902.1757	172.6732	1.547294
2070	-742.2808	-915.2038	172.9229	1.356719
2076	-719.3746	-892.0472	172.6725	1.547793
2082	-727.5234	-900.2173	172.6938	1.532015
2088	-732.4034	-905.3907	172.9874	1.30508
2094	-734.6083	-907.2875	172.6792	1.542858
2100	-730.3607	-902.9304	172.5697	1.622866
2106	-738.1059	-911.0349	172.9291	1.351822
2112	-730.4882	-902.8538	172.3656	1.767687
2118	-731.9973	-905.0077	173.0105	1.286295
2124	-720.8423	-893.8528	173.0105	1.286295
2130	-729.1668	-901.7337	172.5669	1.624896
2136	-733.2217	-906.0959	172.8741	1.395022
2142	-730.1344	-902.7371	172.6027	1.598972
2148	-737.1039	-909.937	172.8331	1.426787
2154	-738.4652	-911.1925	172.7274	1.507014
2160	-728.1544	-900.8818	172.7274	1.507014
2166	-731.5748	-904.0689	172.4941	1.677136
2172	-736.1343	-908.8743	172.74	1.497565
