Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1889.363	-2050.297	160.9342	8.829439	1.11938	2.478556	0.5770682	2.981863	0.9916214	0.5579216	1.090756
6	-1889.763	-2049.955	160.1925	10.90835	0.9841847	2.714724	0.5789637	2.981863	0.5782644	0.8159569	1.179799
12	-1893.921	-2054.923	161.0028	9.059985	1.34023	1.948582	0.5540301	2.833348	0.6729009	0.8898524	1.362383
18	-1883.676	-2045.149	161.4733	9.059985	1.34023	2.106095	0.7365502	2.662964	0.4497772	0.4728551	1.362383
24	-1883.591	-2045.519	161.9282	8.612488	1.091316	2.865564	0.1794112	2.489292	0.6532872	0.4819465	1.118396
30	-1896	-2055.002	159.0021	8.612488	1.153485	3.008064	0.4976309	3.792949	1.469198	0.7659905	1.118396
36	-1893.943	-2052.342	158.3988	7.640754	1.0686	2.587892	0.4276155	4.717709	0.9173236	1.889392	1.164631
42	-1897.088	-2055.096	158.0084	9.503644	0.7265339	2.539626	0.5843602	4.717709	0.6740592	2.132428	1.105174
48	-1883.176	-2039.615	156.4393	11.09517	1.321432	2.685587	0.5843602	4.881144	0.9482023	2.132428	0.9944604
54	-1880.783	-2040.413	159.6301	10.65186	0.7841103	2.570168	0.1214425	4.126401	0.9171816	1.101272	0.8567771
60	-1887.286	-2047.429	160.1431	11.05076	1.174398	2.934411	0.09000887	3.024507	1.030876	0.8699067	0.6486212
66	-1895.931	-2054.335	158.4045	19.50684	0.9960775	2.934411	0.07987914	3.199558	0.6090465	0.8849125	0.7582989
72	-1884.513	-2045.492	160.9791	10.19643	1.009699	2.934411	0.1078141	2.754678	0.5806774	0.8750005	1.02551
78	-1879.779	-2043.906	164.1264	8.972825	1.132235	2.359847	0.03445417	1.229781	0.1427861	0.3463044	1.279221
84	-1893.377	-2054.765	161.3884	20.34687	0.6439318	3.249692	0.09050455	0.3282984	1.088442	0.1582299	0.3257386
90	-1869.357	-2033.097	163.7403	9.363841	0.9250534	2.719767	0.09886608	1.231556	0.2772444	0.3318856	1.203494
96	-1880.216	-2043.453	163.237	9.021201	1.253023	2.363444	0.2933551	1.483891	0.5685262	0.2980913	1.159694
102	-1878.916	-2043.087	164.1713	10.56991	1.025533	2.924002	0.07598347	0.2433255	0.7909691	0.2122514	0.5761925
108	-1878.245	-2042.532	164.2862	9.306053	1.011578	2.924002	0.1001641	0.3437293	0.9014269	0.265972	0.6558093
114	-1884.188	-2047.514	163.3259	11.79964	0.9699555	2.333013	0.1001641	0.3577807	1.668879	0.2984559	0.6181117
120	-1889.214	-2053.954	164.7397	7.929798	0.9160978	2.174314	0.04814481	0.3067311	1.852526	0.3087317	0.6356242
126	-1882.576	-2047.395	164.8193	10.32366	0.896892	1.912847	0.1269529	0.2575762	1.123287	0.3134586	0.7310353
132	-1901.519	-2065.482	163.9635	10.70146	0.9429593	2.470391	0.3129864	0.1931428	1.123287	0.1067096	0.9923461
138	-1898.998	-2061.504	162.5063	13.39248	0.7702485	3.42896	0.3301594	0.0996604	1.086871	0.203873	0.8886663
144	-1885.981	-2049.523	163.5413	9.793434	1.170635	3.091181	0.1855511	0.2075088	0.9971741	0.122213	1.082271
150	-1886.53	-2050.432	163.9021	9.969413	1.176737	2.388871	0.2315539	0.3432436	1.18292	0.02265328	1.090551
156	-1888.401	-2052.654	164.2525	9.513783	0.9113462	2.76999	0.1727518	0.2818143	0.9352953	0.02364107	1.138758
162	-1891.463	-2055.114	163.6511	11.35592	1.041915	2.614332	0.2006128	0.2656069	0.9352953	0.05409262	1.132615
168	-1895.35	-2058.012	162.6621	13.76762	0.9292846	3.289922	0.1408993	0.2224043	0.8386585	0.1304895	1.010723
174	-1893.246	-2057.829	164.5821	11.01338	1.080271	2.122747	0.08899246	0.118422	0.987971	0.115302	0.9079021
180	-1887.838	-2051.247	163.4089	13.11362	1.003438	3.005226	0.1170411	0.1954228	0.7355822	0.03334552	0.8947775
186	-1880.234	-2043.12	162.8859	11.24396	0.9627686	4.138025	0.1031067	0.1335555	0.5237972	0.06713071	1.116874
192	-1870.206	-2034.296	164.0904	11.69389	0.9246868	2.986142	0.06985084	0.1537528	0.6778127	0.05799354	0.8243941
198	-1882.403	-2046.504	164.1004	10.45458	0.975996	2.986142	0.1191782	0.1393992	0.6778127	0.1641187	1.020564
204	-1888.769	-2052.177	163.408	10.26011	1.108458	2.986142	0.03960313	0.2534831	0.787633	0.1385622	1.447226
210	-1899.76	-2064.278	164.5179	9.749058	1.065868	2.078157	0.06612749	0.06629221	0.5015137	0.2210329	1.720498
216	-1890.615	-2054.054	163.4387	10.28826	1.277109	2.480661	0.1197271	0.08880833	0.4805945	0.1081892	1.959404
222	-1881.557	-2045.706	164.149	10.62545	1.011158	2.209481	0.341681	1.011347	0.08686867	0.2591672	1.059061
