Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
324	-338.7102	-503.2803	164.5701	4.74388	2.138415	0.510225	0.5068387	0.6108099	3.377677	0.3905308
330	-329.7618	-490.2311	160.4694	12.91976	3.395404	1.602277	0.2820929	0.4422954	2.4281	0.3472632
336	-347.9181	-507.3359	159.4179	9.632955	3.155989	5.067051	0.9068227	0.3114269	0.7253757	0.3119249
342	-335.9927	-501.483	165.4903	4.11676	2.87029	2.081526	0.8621619	0.3360278	0.3573852	0.7537297
348	-326.8241	-488.3561	161.532	4.078606	5.11337	2.081526	0.9901358	1.144937	1.19252	0.6983998
354	-315.5266	-480.107	164.5804	4.570444	3.097608	1.870074	0.3845863	1.386685	0.2955267	0.9107697
360	-309.6165	-474.3364	164.7199	3.826664	2.125442	1.921132	0.1723626	0.7349229	2.362577	0.9221411
366	-307.5743	-472.8417	165.2674	5.675988	2.372917	1.921132	0.2574633	0.8931574	0.4581036	0.7541067
372	-310.8564	-478.3339	167.4775	3.298461	2.645083	0.6230745	0.1176867	0.6864451	0.8121213	0.934328
378	-316.6996	-484.904	168.2044	3.298461	2.312544	0.5362077	0.06139168	0.2039399	0.9513373	1.028304
384	-338.6794	-502.3881	163.7088	2.352057	2.45761	0.3116474	0.7598755	5.042364	0.6620862	1.039903
390	-315.3411	-478.7958	163.4548	5.365979	2.26324	1.399422	3.047416	0.1299817	0.6313015	1.173126
396	-302.794	-469.7177	166.9238	4.202906	1.802857	0.6968282	1.407574	0.1236906	0.651905	1.123898
402	-310.0927	-478.8024	168.7097	3.95317	1.802857	0.0814305	0.241753	0.4240463	0.1187234	1.433166
408	-319.0389	-484.3177	165.2788	4.343142	0.8334603	0.0946828	0.4433183	4.255668	0.01514932	1.604399
414	-297.7618	-466.2548	168.493	4.622227	1.095519	0.09810889	0.9155217	0.6052245	0.3262284	0.9672735
420	-304.7412	-473.1701	168.4289	3.017091	1.095519	0.8747168	0.2443746	1.08308	0.1564408	1.509379
426	-307.5792	-473.9449	166.3657	5.868568	3.144259	0.2618854	0.7781422	0.3080299	0.1820823	0.8073237
432	-316.9139	-483.9741	167.0602	3.272381	1.758499	1.723843	0.7781422	0.1890606	0.9553151	0.8355707
438	-310.0545	-477.6833	167.6288	3.272381	1.484062	0.9065403	1.209747	0.1890606	1.047839	0.8344109
444	-306.8592	-473.37	166.5108	2.926835	1.835284	1.355007	1.795622	0.7312726	0.1254677	1.184824
450	-314.7613	-479.6581	164.8967	4.890986	1.275578	1.527721	1.501406	0.6394	1.315895	1.184824
456	-318.5662	-481.6392	163.073	4.379032	1.705863	0.9343568	1.112782	0.5461084	3.429824	1.675481
462	-330.3015	-494.5854	164.2839	2.112038	2.517953	0.2324412	1.100112	0.1504926	4.577202	1.281383
468	-306.0045	-473.5945	167.5901	3.315001	1.681233	1.310439	0.4865438	0.3554503	0.7947222	1.066891
474	-310.2459	-478.4369	168.191	3.19883	2.121119	0.4571939	0.4695943	0.3034305	0.86435	0.957691
480	-322.4547	-489.2262	166.7715	4.140496	2.121119	0.1139814	0.5680378	1.328857	0.5266816	1.304943
486	-310.2705	-476.4311	166.1606	6.555077	2.383644	0.1139814	0.1627392	0.9035621	0.9035912	0.9251442
492	-312.9839	-480.2845	167.3006	3.603909	2.550696	0.07253392	0.349723	1.359915	0.7475275	0.623159
498	-317.0738	-482.5033	165.4296	3.935194	1.058728	0.2292482	0.4452145	4.004937	0.822064	0.9007019
504	-313.0397	-477.406	164.3663	9.393638	1.240054	0.2554412	0.5265351	2.856243	0.4076474	0.7722513
510	-312.7399	-477.8518	165.1119	6.752109	1.419455	0.2360943	1.210036	2.395468	0.2022593	0.8885411
516	-302.8938	-469.6031	166.7093	2.479688	1.659404	0.5083973	0.07001741	1.606706	1.927458	1.351959
522	-307.5444	-473.6495	166.1052	6.16727	1.659404	0.07431185	0.07196407	1.756586	0.6163662	1.386493
528	-311.0171	-473.9313	162.9142	4.057921	2.440084	0.08889194	0.1566141	3.951536	1.941453	1.293544
534	-299.5425	-467.5525	168.01	3.356215	1.898646	0.713859	0.06975487	0.3174166	1.280698	0.9693552
540	-303.1832	-471.626	168.4428	2.572124	1.329104	0.7168938	0.01580098	0.4390052	1.750118	1.113425
546	-300.4807	-465.9563	165.4756	5.750767	2.576519	1.161274	0.01322588	0.1601015	1.750118	0.7502381
552	-312.2108	-479.1548	166.944	1.917404	0.7819788	0.4969002	0.0751197	0.3892629	4.638381	1.015532
558	-311.9531	-480.8964	168.9434	2.684299	1.118568	0.02395957	0.3768981	0.2426558	2.147146	0.8668709
564	-316.8468	-483.5323	166.6855	4.598665	1.512225	0.6702874	0.1368038	0.1726658	2.363124	0.9733694
570	-312.6951	-481.3127	168.6176	2.247874	1.352316	0.2859737	0.03794501	0.5076295	2.344792	0.916138
576	-316.4311	-482.8057	166.3746	3.356389	1.56731	3.289736	0.1638699	0.5407034	0.2889973	1.034367
582	-311.673	-476.7988	165.1259	3.225941	2.02021	2.464053	0.8314926	1.825887	0.3408361	0.6663386
588	-313.8074	-479.6969	165.8895	4.628272	1.903379	2.442852	0.8314926	0.3072881	0.4296564	0.4805165
594	-322.8466	-488.781	165.9345	4.539224	1.9675	2.442852	0.5107995	0.6169365	0.3630687	0.4102031
