Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-2913.61	-3067.246	153.6369	10.46516	2.943442	1.266443	4.540084	1.739111
6	-2896.627	-3052.064	155.4371	7.912123	3.329508	1.229463	5.25665	1.602453
12	-2902.238	-3057.933	155.6953	7.770441	3.329508	1.26464	5.212805	1.523739
18	-2905.853	-3062.995	157.1428	6.968799	2.842235	1.163919	5.095541	1.453286
24	-2905.299	-3058.336	153.0372	10.70644	3.46035	1.232926	4.816124	1.571153
30	-2906.692	-3064.525	157.8335	6.42947	2.832874	1.176944	4.480707	1.784667
36	-2904.768	-3058.228	153.4593	10.60047	2.757662	1.232646	4.643243	1.812598
42	-2910.183	-3063.437	153.254	10.60047	2.646004	1.333196	5.131528	1.601478
48	-2914.341	-3070.596	156.2552	6.86734	3.353985	1.298376	5.690628	1.383732
54	-2914.143	-3066.708	152.5652	9.42458	3.688249	1.124063	6.910531	1.279424
60	-2909.945	-3062.191	152.2456	10.73927	3.481659	1.008616	6.186347	1.259182
66	-2905.727	-3060.72	154.9923	7.92809	3.01395	1.088205	6.400854	1.327939
72	-2904.659	-3059.92	155.2602	7.117124	3.79541	1.272716	6.267375	1.314183
78	-2908.346	-3060.393	152.0462	10.57189	3.79541	1.23059	6.130928	1.262599
84	-2910.595	-3062.372	151.7776	10.57189	4.372697	1.131982	6.167411	1.253515
90	-2911.244	-3067.513	156.2687	6.979005	3.036265	1.162431	5.844341	1.437543
96	-2907.333	-3063.197	155.8639	7.12119	3.609776	1.15427	5.844341	1.352209
102	-2902.817	-3058.293	155.4762	7.507485	3.426949	1.160879	5.973537	1.338711
108	-2902.779	-3057.727	154.9474	7.904351	3.426949	1.296157	5.865625	1.422661
114	-2917.288	-3071.915	154.6268	7.904351	3.897172	1.296157	5.853615	1.451372
120	-2907.341	-3057.819	150.4782	12.36051	3.897172	1.227539	5.613087	1.451372
126	-2892.373	-3047.606	155.2331	8.907547	2.741952	1.050995	4.892744	1.715774
132	-2901.131	-3053.834	152.7032	11.16834	3.322994	1.223914	4.803848	1.558738
138	-2898.669	-3054.3	155.6318	7.0946	3.705725	1.266826	5.57456	1.621874
144	-2899.224	-3054.143	154.9189	8.57453	2.984002	1.313411	5.277809	1.593778
150	-2910.194	-3063.401	153.2068	9.948157	3.005439	1.171848	6.006227	1.393481
156	-2906.82	-3060.218	153.3979	9.462484	3.662668	1.036047	6.160855	1.26527
162	-2909.22	-3060.746	151.5261	11.31723	3.916377	1.036047	5.871286	1.386092
168	-2902.226	-3054.897	152.6715	10.8214	2.919547	1.272886	5.582029	1.430274
174	-2903.715	-3058.59	154.8752	9.357729	3.309937	1.152189	4.372439	1.66705
180	-2905.882	-3061.583	155.7009	8.362544	2.8919	1.082992	4.554269	1.906058
186	-2909.687	-3065.763	156.0765	8.362544	2.679204	1.359438	4.004703	1.944699
192	-2900.225	-3054.982	154.7576	9.512855	3.039609	1.073973	4.727539	1.572146
198	-2906.367	-3060.999	154.632	8.958022	3.40683	1.124557	5.038677	1.624219
204	-2910.195	-3065.213	155.0185	8.9207	3.40683	1.11461	4.834257	1.525385
210	-2905.081	-3061.546	156.4648	6.708965	3.35446	1.295191	5.478208	1.509042
216	-2905.656	-3061.266	155.6098	8.376239	2.750905	1.273375	4.717857	1.787832
222	-2900.942	-3057.449	156.5066	7.84658	3.054697	1.140808	4.194387	1.836569
228	-2904.901	-3060.938	156.0372	7.84658	3.011386	1.056412	5.000623	1.681002
234	-2905.179	-3059.078	153.8988	10.0573	3.145099	1.216684	4.84949	1.556168
240	-2921.371	-3075.69	154.3183	9.815837	2.636159	1.155308	4.936304	1.67133
246	-2912.265	-3069.178	156.9128	6.649415	2.837759	1.309096	5.578743	1.397174
252	-2915.424	-3071.929	156.5046	7.700728	3.07763	1.208622	4.552115	1.630768
258	-2912.564	-3068.205	155.6402	7.700728	3.61049	1.205029	4.985481	1.689864
264	-2913.328	-3070.946	157.618	5.785887	3.26651	1.32398	5.351595	1.453946
270	-2904.605	-3058.893	154.2878	9.225789	3.363664	1.272295	5.251448	1.435727
276	-2908.298	-3063.558	155.2598	8.381835	3.308269	1.308284	5.009168	1.523244
282	-2916.493	-3071.826	155.333	8.381835	3.114011	1.215095	5.009168	1.632285
288	-2931.348	-3088.974	157.626	5.944129	3.178812	1.378151	4.919993	1.654745
294	-2915.985	-3068.568	152.5834	9.822768	3.010473	1.286412	6.570564	1.44637
300	-2916.265	-3069.623	153.3573	9.822768	3.010473	1.231617	5.865533	1.434619
306	-2916.24	-3069.594	153.3543	9.822768	3.514327	1.231617	5.57079	1.404162
312	-2928.82	-3084.687	155.8671	6.885679	3.228517	1.259599	6.159971	1.400636
