Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-570.814	-739.3605	168.5465	0.06060078	1.633559	1.143504	1.493703	0.485947	0.514053	0.682155	0.317845	0.7775892
6	-579.3019	-747.1997	167.8978	0.240981	1.633559	0.9775577	2.099584	0.457818	0.542182	0.540107	0.459893	0.7223433
12	-575.8372	-745.0887	169.2515	0.2904064	1.335926	0.6318903	1.247772	0.422855	0.577145	0.574966	0.425034	0.8296729
18	-578.2413	-747.1056	168.8643	0.2487706	1.027194	1.017905	1.573707	0.574562	0.425438	0.446411	0.553589	0.8654096
24	-574.3679	-743.6235	169.2556	0.0610799	1.026611	0.9165287	1.573707	0.521387	0.478613	0.524416	0.475584	0.703559
30	-574.8676	-743.8641	168.9965	0.2036675	0.6414963	1.812256	1.298475	0.267598	0.732402	0.637717	0.362283	0.8048759
36	-577.4807	-745.6355	168.1548	0.6513828	0.6294795	1.662844	1.912886	0.327552	0.672448	0.670893	0.329107	0.4036647
42	-576.3329	-744.2975	167.9646	0.4485991	0.4951894	1.503936	2.508524	0.412616	0.587384	0.653815	0.346185	0.4514736
48	-574.8502	-742.1154	167.2652	0.4313054	0.8091748	1.436347	2.996655	0.518394	0.481606	0.650134	0.349866	0.4221197
54	-568.3649	-736.0049	167.64	0.1609475	0.3124977	1.707062	2.996655	0.307184	0.692816	0.590499	0.409501	0.4490484
60	-576.2118	-745.147	168.9352	0.04339419	0.3124977	1.350714	2.292844	0.202195	0.797805	0.599509	0.400491	0.4483287
66	-570.1643	-738.5059	168.3416	0.7577995	0.5284957	0.8715028	2.372367	0.393421	0.606579	0.558019	0.441981	0.4114389
72	-588.5872	-755.2086	166.6214	0.3225753	0.380587	0.7814835	4.623644	0.333574	0.666426	0.627301	0.372699	0.2816284
78	-589.3339	-755.9352	166.6013	0.2716841	0.7185784	1.145985	4.255689	0.333436	0.666564	0.659277	0.340723	0.429316
84	-589.9607	-758.3248	168.364	0.8139939	1.495848	0.7670682	1.477732	0.482186	0.517814	0.679764	0.320236	0.689076
90	-583.7045	-750.3656	166.6611	1.322546	0.5485697	0.9226521	3.384465	0.359804	0.640196	0.602506	0.397494	0.3177548
96	-596.4764	-763.9568	167.4804	1.229043	0.4384448	0.9226521	2.842029	0.294316	0.705684	0.540876	0.459124	0.4592636
102	-580.8579	-748.9104	168.0524	0.2405744	1.03749	0.8545362	2.712202	0.462924	0.537076	0.532402	0.467598	0.5465836
108	-572.5776	-740.0627	167.4851	0.2981112	0.9773244	1.725159	2.503454	0.576436	0.423564	0.654262	0.345738	0.478764
114	-578.707	-744.2721	165.5651	2.169682	1.503985	1.018227	2.689149	0.636831	0.363169	0.556179	0.443821	0.4366483
120	-577.7064	-745.3825	167.676	0.4661711	1.492015	1.17524	2.055346	0.529362	0.470638	0.539435	0.460565	0.6746078
126	-571.0103	-740.2536	169.2433	0.09806477	1.034201	1.17524	1.329848	0.426415	0.573585	0.602632	0.397368	0.6746078
132	-582.5953	-748.9557	166.3605	2.357017	1.293269	1.331515	1.321346	0.544368	0.455632	0.604796	0.395204	0.9594415
138	-572.7112	-739.2681	166.5568	2.357017	1.348613	0.8151536	1.579598	0.558821	0.441179	0.527617	0.472383	0.9433341
144	-577.7102	-746.5881	168.8779	0.346419	1.031334	0.8151536	1.7208	0.360659	0.639341	0.527617	0.472383	0.8209746
150	-571.0867	-740.1276	169.041	0.3168181	1.1288	0.7804445	1.7208	0.415567	0.584433	0.723898	0.276102	0.6408804
156	-582.7006	-750.8845	168.1839	0.233648	1.507777	0.8300764	2.122763	0.466109	0.533891	0.675289	0.324711	0.7560147
162	-573.1306	-741.9271	168.7965	0.03890903	0.7579485	0.808895	2.497027	0.361716	0.638284	0.411336	0.588664	0.672795
168	-584.9342	-754.3871	169.4529	0.06185354	0.8385896	0.8148127	1.777118	0.309746	0.690254	0.354268	0.645732	0.7147837
174	-568.5747	-737.7244	169.1497	0.2652691	0.8147574	0.7764849	1.857734	0.458707	0.541293	0.470529	0.529471	0.6428973
