Iteration	Posterior	Likelihood	Prior	tree_length
0	-1330.777	-1504.221	173.444	0.8793379
6	-1328.414	-1501.79	173.376	0.9541882
12	-1336.888	-1510.292	173.4045	0.9237435
18	-1335.864	-1509.31	173.4453	0.877871
24	-1328.136	-1501.612	173.476	0.841098
30	-1324.989	-1498.484	173.4941	0.8183221
36	-1327.759	-1501.221	173.4617	0.858555
42	-1326.766	-1500.13	173.3638	0.9669057
48	-1330.648	-1504.048	173.4002	0.9284087
54	-1335.907	-1509.154	173.2472	1.080938
60	-1340.223	-1513.442	173.2182	1.107642
66	-1340.553	-1513.939	173.3855	0.9441865
72	-1340.745	-1514.212	173.4672	0.8519418
78	-1329.656	-1502.922	173.2662	1.063213
84	-1331.401	-1504.667	173.2662	1.063213
90	-1334.738	-1507.956	173.218	1.107879
96	-1332.374	-1505.675	173.3016	1.029295
102	-1342.834	-1516.315	173.4803	0.8358425
108	-1340.709	-1514.007	173.2974	1.03336
114	-1323.68	-1497.075	173.3944	0.9346476
120	-1323.152	-1496.594	173.4419	0.8817655
126	-1326.312	-1499.724	173.4116	0.9159641
132	-1328.784	-1502.32	173.536	0.7612305
138	-1323.882	-1497.265	173.3834	0.9464169
144	-1343.228	-1516.594	173.3656	0.9650634
150	-1344.832	-1518.107	173.2747	1.055074
156	-1341.756	-1515.161	173.405	0.923134
162	-1340.5	-1513.912	173.4126	0.914809
168	-1341.816	-1515.099	173.2829	1.047291
174	-1338.556	-1511.888	173.3325	0.9987636
180	-1332.805	-1506.204	173.3986	0.9301225
186	-1331.159	-1504.635	173.4762	0.8409495
192	-1344.824	-1518.212	173.3876	0.9419787
198	-1337.491	-1510.954	173.4622	0.8578662
204	-1325.045	-1498.386	173.3416	0.9896224
210	-1330.652	-1503.994	173.3416	0.9896224
216	-1330.133	-1503.533	173.4006	0.9279678
222	-1328.344	-1501.734	173.3892	0.9402618
228	-1329.343	-1502.787	173.4438	0.8796156
234	-1321.792	-1495.279	173.4876	0.826634
240	-1330.473	-1503.662	173.1894	1.133686
246	-1332.314	-1505.689	173.3747	0.9555196
252	-1334.573	-1508.021	173.4478	0.8749509
258	-1324.38	-1497.828	173.4478	0.8749509
264	-1321.484	-1494.881	173.3971	0.9317531
270	-1323.081	-1496.382	173.3007	1.030156
276	-1314.691	-1487.992	173.3007	1.030156
282	-1326.434	-1499.639	173.2049	1.119781
288	-1319.471	-1492.762	173.2911	1.039389
294	-1321.247	-1494.538	173.2911	1.039389
300	-1322.321	-1495.743	173.4223	0.904045
306	-1321.28	-1494.71	173.4299	0.8955643
312	-1327.013	-1500.449	173.4358	0.8888463
318	-1316.41	-1489.751	173.3411	0.9900973
324	-1318.387	-1491.821	173.4337	0.8911677
330	-1339.072	-1512.516	173.4441	0.8792745
336	-1330.407	-1503.814	173.4075	0.9204929
342	-1322.098	-1495.385	173.2865	1.043861
348	-1319.384	-1492.882	173.4974	0.8141728
354	-1314.397	-1487.958	173.5608	0.723248
360	-1319.898	-1493.27	173.3721	0.9583196
366	-1326.051	-1499.325	173.2745	1.05533
372	-1332.292	-1505.751	173.4593	0.8613474
378	-1322.253	-1495.614	173.3613	0.9694976
384	-1329.859	-1503.213	173.3546	0.9763565
390	-1319.502	-1492.732	173.2303	1.096585
396	-1315.064	-1488.379	173.3158	1.015329
402	-1324.014	-1497.441	173.4263	0.8995596
408	-1333.036	-1506.462	173.4263	0.8995596
414	-1324.933	-1498.435	173.5013	0.8090155
420	-1321.117	-1494.467	173.3504	0.9806518
426	-1326.567	-1499.921	173.354	0.9770015
432	-1326.469	-1499.798	173.3292	1.00212
438	-1331.931	-1505.276	173.3443	0.9869453
444	-1314.803	-1488.252	173.4491	0.8734467
450	-1320.45	-1493.86	173.4106	0.9169862
456	-1315.172	-1488.546	173.3735	0.9568058
462	-1333.44	-1506.849	173.4086	0.9192454
468	-1343.689	-1517.055	173.3662	0.9644586
474	-1333.191	-1506.695	173.504	0.8054322
480	-1333.514	-1507.018	173.504	0.8054322
486	-1319.56	-1493.004	173.4437	0.8796766
492	-1318.486	-1491.938	173.452	0.8700713
498	-1315.214	-1488.603	173.3889	0.9405665
504	-1317.555	-1491.064	173.5085	0.7995299
