Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-1215.479	-1384.79	169.3108	0.00222331	0.00106253	0.0607556	0.0129342	0.0574875	0.0133291	0.0132813	0.0327276	0.0429515	0.0901367	0.0414109	0.106981	0.116197	0.0142839	0.119282	0.0336568	0.0619555	0.022496	0.0648138	0.00154161	0.0064997	0.0865493	0.0193435	0.00028427	0.0225413	0.00126226	0.0603807	0.0139116	0.00396623	0.000988484	0.0183581	0.0171931	0.0819994	0.0387399	0.00952222	0.0191628	0.0109527	0.00657033	0.0240105	0.0402835	0.0210533	0.0550048	0.0234748	0.0484495	0.0495091	0.0269013	0.143064	0.00759737	0.0255029	0.0261914	0.00269573	0.072254	0.0119816	0.0361104	0.0125015	0.0191941	0.0454344	1.35277e-05	0.0422866	0.0135919	0.0558889	0.0361067	0.0258049	0.0124252	0.0372272	0.114858	0.0176384	0.02966	0.0523838	0.133727	0.0365877	0.0654207	0.0470854	0.0521999	0.00377708	0.0218966	0.0372866	0.00174197	0.00448105	0.0723373	0.00568226	0.0309264	0.0203492	0.00795451	0.0163593	0.0256601	0.0439272	0.0739447	0.024317	0.0759666	0.171444	0.0640671	0.00400072	0.0351455	0.0402633	0.0710798	0.0143266	0.000607661	0.000290404	0.0166054	0.00353511	0.0157122	0.00364305	0.00362997	0.00894494	0.0117393	0.0246357	0.0113182	0.0292394	0.0317584	0.00390399	0.0326015	0.00919889	0.0169333	0.00614848	0.0177146	0.000421345	0.00177646	0.0236552	0.00528687	7.76951e-05	0.00616086	0.000344993	0.0165029	0.00380225	0.00108403	0.000270167	0.00501754	0.00469913	0.0224116	0.0105882	0.00260256	0.00523746	0.00299353	0.00179577	0.00656241	0.0110101	0.00575417	0.0150336	0.00641601	0.013242	0.0135315	0.0073525	0.0391014	0.00207647	0.00697032	0.00715849	0.000736782	0.0197481	0.00327473	0.00986949	0.00341683	0.00524603	0.0124179	3.69731e-06	0.0115575	0.00371486	0.0152753	0.00986848	0.00705285	0.00339598	0.0101747	0.0313925	0.00482083	0.0081065	0.0143172	0.0365496	0.00999995	0.0178804	0.0128691	0.014267	0.00103233	0.00598467	0.010191	0.000476106	0.00122473	0.0197708	0.00155304	0.00845263	0.00556174	0.00217408	0.00447123	0.00701327	0.0120059	0.0202102	0.00664617	0.0207628	0.0468581	0.0175105	0.00109346	0.00960578	0.0110046	0.0194271	0.00391568	3.658789
36	-1215.491	-1384.873	169.3821	0.0245339	0.000482317	0.0364034	0.0013946	0.0074549	0.00636812	0.00898118	0.00856001	0.0393377	0.0400454	0.0687746	0.0912999	0.0559461	0.01597	0.0946257	0.0429926	0.0311259	0.00927738	0.0245307	0.00021082	0.000116016	0.0886008	0.0220986	0.000461128	0.0159555	0.007464	0.0171757	0.00211966	0.0014719	0.00184455	0.00681742	0.0314647	0.040118	0.0707342	0.0357674	0.0319447	0.0320247	0.00738474	0.0315808	0.0407851	0.0577968	0.0259101	0.0609441	0.0867006	0.0392497	0.0269258	0.0913768	0.0169096	0.00336818	0.00817058	0.0234647	0.0295954	0.00328454	0.0117157	0.00524395	0.0582887	0.0202526	0.000136643	0.0611751	0.0194004	0.0527797	0.0206221	0.0306327	0.0497825	0.0487358	0.0807178	0.0131751	0.0444065	0.0556352	0.123881	0.0275661	0.0996211	0.0372884	0.0532592	0.000259879	0.015851	0.0358511	0.0126009	0.0121182	0.136906	0.00214924	0.000919459	0.0180618	0.0354262	0.0234441	0.0605671	0.0760454	0.0905253	0.0822418	0.0869214	0.0796987	0.119218	0.0370284	0.0626942	0.0367178	0.0727646	0.0372201	0.00678203	0.000133329	0.0100632	0.000385516	0.00206079	0.00176037	0.00248271	0.00236629	0.0108743	0.0110699	0.0190117	0.0252385	0.0154655	0.00441466	0.0261579	0.0118847	0.00860429	0.00256459	0.00678113	5.82781e-05	3.2071e-05	0.0244924	0.00610882	0.000127472	0.00441064	0.00206331	0.00474797	0.000585947	0.000406884	0.000509897	0.00188457	0.00869794	0.01109	0.0195534	0.00988735	0.00883062	0.00885274	0.0020414	0.00873002	0.0112744	0.0159771	0.00716246	0.0168471	0.0239671	0.01085	0.00744323	0.0252597	0.0046744	0.000931083	0.00225863	0.00648646	0.0081812	0.000907962	0.00323862	0.00144961	0.016113	0.00559853	3.7773e-05	0.0169109	0.00536296	0.0145902	0.00570066	0.00846795	0.0137616	0.0134723	0.0223132	0.00364207	0.0122755	0.0153795	0.0342451	0.00762022	0.0275388	0.0103078	0.0147227	7.18397e-05	0.00438178	0.0099105	0.00348334	0.00334988	0.0378456	0.000594126	0.000254171	0.00499292	0.00979305	0.00648076	0.0167429	0.0210216	0.0250243	0.0227345	0.0240281	0.0220315	0.0329559	0.0102359	0.0173309	0.0101501	0.0201147	0.0102889	3.617488
72	-1212.264	-1381	168.7362	0.0220991	0.0175575	0.0888443	0.0241081	0.0302488	0.0109194	0.0151864	0.0462895	0.0719204	0.0822033	0.146312	0.0795563	0.0280531	0.0154497	0.161532	0.0381429	0.0290448	0.0370854	0.018846	0.00164415	0.000170842	0.0515873	0.0381377	0.000609525	0.00153884	0.0226728	0.0130535	0.00500081	0.00267763	0.00132244	0.00482728	0.0294249	0.0632191	0.0841454	0.0392113	0.0268328	0.0236249	0.00218587	0.00807398	0.103621	0.0268128	0.105413	0.00742399	0.0935082	0.00303995	0.0271199	0.0520773	0.00710053	0.0309758	0.0281311	0.0195772	0.023386	0.0097998	0.00327258	0.0143273	0.0808798	0.0308528	5.37432e-05	0.030578	0.0220372	0.0880402	0.0396237	0.0418958	0.0481124	0.0213607	0.063497	0.00306051	0.0425452	0.0534362	0.0968971	0.0104567	0.0666172	0.0766914	0.0261522	0.0217742	0.0217336	0.0661241	0.00861014	0.036199	0.108477	0.000843379	0.0104729	0.0626193	0.0352822	0.00402153	0.126074	0.0374843	0.0514586	0.111829	0.0764878	0.112889	0.113873	0.0313532	0.00639568	0.0446482	0.0528196	0.0661409	0.00553954	0.0044011	0.0222704	0.00604313	0.00758241	0.00273714	0.00380674	0.0116033	0.0180281	0.0206057	0.0366757	0.0199422	0.00703202	0.00387273	0.0404908	0.00956119	0.00728061	0.00929613	0.00472408	0.000412135	4.28247e-05	0.0129313	0.0095599	0.000152788	0.000385738	0.00568333	0.00327209	0.00125354	0.000671195	0.000331493	0.00121004	0.00737589	0.015847	0.0210925	0.00982901	0.00672612	0.005922	0.000547928	0.00202389	0.0259744	0.00672111	0.0264237	0.00186096	0.0234395	0.000762019	0.00679808	0.0130541	0.00177987	0.00776462	0.00705155	0.00490738	0.00586212	0.00245649	0.000820331	0.00359138	0.020274	0.0077338	1.34717e-05	0.00766492	0.00552401	0.0220688	0.00993238	0.0105019	0.0120602	0.00535445	0.0159167	0.00076717	0.0106647	0.0133947	0.024289	0.00262115	0.0166988	0.0192241	0.00655552	0.0054581	0.00544792	0.0165752	0.00215829	0.00907392	0.0271917	0.000211408	0.00262522	0.0156966	0.00884411	0.00100807	0.0316026	0.0093961	0.012899	0.0280319	0.019173	0.0282977	0.0285442	0.00785923	0.00160319	0.0111919	0.0132402	0.0165794	3.989344
108	-1207.141	-1376.616	169.4752	0.0374015	0.0158425	0.0265135	0.0180112	0.0394806	0.0144314	0.0458982	0.039611	0.0417158	0.0775194	0.0297563	0.118485	0.0422294	0.0201774	0.123087	0.0185968	0.0262576	0.00593883	0.0266472	0.000315432	0.00143505	0.0122966	0.0226376	0.00276558	0.00933457	0.0229883	0.0811935	0.00671333	2.01575e-05	0.0152677	0.000841788	0.0337863	0.100386	0.0370051	0.00654372	0.0291006	0.0686209	0.00432151	0.000955713	0.0578027	0.0187941	0.0679834	0.0154032	0.0587175	0.0292315	0.0371856	0.061348	0.021426	0.0245871	0.0023856	0.0159066	0.0257797	0.0116989	0.0556394	0.0380833	0.0529803	0.0438251	0.000218571	0.012979	0.040961	0.0545585	0.015109	0.0590399	0.0376439	0.0474428	0.0506979	0.00501396	0.0331137	0.0495217	0.114625	0.0181094	0.119077	0.0498936	0.048383	0.0146642	0.0687718	0.00870773	0.022326	0.0191198	0.0602135	0.00201804	0.0217023	0.0624962	0.0166848	0.0318911	0.086933	0.0307702	0.0632307	0.0614427	0.0349201	0.122504	0.026591	0.0360038	0.0341243	0.0775114	0.00631791	0.0351383	0.0104961	0.00444591	0.00744056	0.00505453	0.0110795	0.00404992	0.0128805	0.0111161	0.0117068	0.0217545	0.00835058	0.0332508	0.0118509	0.00566243	0.0345422	0.00521886	0.00736873	0.00166663	0.00747808	8.85204e-05	0.000402721	0.00345084	0.00635285	0.000776111	0.00261958	0.00645125	0.0227855	0.00188398	5.65684e-06	0.0042846	0.000236233	0.00948153	0.0281716	0.0103848	0.00183638	0.00816657	0.0192572	0.00121276	0.000268204	0.0162213	0.00527423	0.0190783	0.00432265	0.016478	0.0082033	0.0104355	0.0172162	0.00601284	0.00689995	0.000669476	0.00446391	0.00723461	0.0032831	0.0156142	0.0106874	0.014868	0.0122987	6.13383e-05	0.00364234	0.011495	0.0153109	0.00424008	0.0165685	0.0105641	0.013314	0.0142275	0.00140708	0.00929278	0.0138974	0.0321675	0.00508209	0.0334169	0.0140018	0.0135778	0.00411526	0.0192996	0.00244367	0.00626539	0.00536563	0.0168979	0.000566327	0.00609036	0.0175385	0.00468231	0.00894967	0.0243962	0.00863511	0.0177446	0.0172428	0.00979971	0.0343787	0.0074623	0.0101038	0.00957639	0.0217522	0.00177301	0.00986094	3.563379
144	-1211.905	-1381.817	169.9112	0.00918956	0.0138332	0.0337433	0.00720661	0.0174663	0.00145179	0.0342307	0.0525133	0.0198625	0.0705187	0.0377544	0.122252	0.0204827	0.0334236	0.0954913	0.0062534	0.0358318	0.021341	0.0138764	0.0154886	0.0453825	0.0237579	0.0247749	0.0273899	0.0354421	0.00707431	0.0495815	0.0200503	0.000162867	0.00363032	0.0075017	0.0234511	0.0285688	0.0317125	0.0023348	0.023424	0.0916316	0.00471826	0.00847918	0.0525388	0.0526517	0.049992	0.01425	0.0849316	0.00784396	0.0162082	0.111377	0.00028616	0.00822437	0.00909673	0.0268763	0.0119086	0.13393	0.0150001	0.0428331	0.0193476	0.0175715	0.0209975	0.041533	0.0927534	0.000607532	0.0783056	0.0108352	0.088119	0.00583987	0.0154722	0.0499938	0.0261512	0.0362397	0.0175941	0.0257162	0.0282417	0.0606962	0.0437133	0.021722	0.0018419	0.0579762	0.018784	0.0420985	0.0490308	0.00827923	0.0201726	0.0217962	0.0192524	0.049409	0.068237	0.0552111	0.034103	0.09162	0.0198099	0.0857457	0.0803316	0.0177601	0.00990186	0.0584853	0.02094	0.0168084	0.00277775	0.00418139	0.0101997	0.00217836	0.00527957	0.000438836	0.010347	0.0158733	0.0060039	0.0213159	0.0114121	0.0369533	0.00619135	0.010103	0.0288644	0.00189023	0.010831	0.00645078	0.00419446	0.00468179	0.0137179	0.00718137	0.00748878	0.00827922	0.0107132	0.00213837	0.0149871	0.00606066	4.92301e-05	0.00109735	0.00226756	0.00708863	0.00863556	0.00958582	0.000705747	0.00708044	0.0276977	0.0014262	0.00256302	0.015881	0.0159152	0.0151112	0.00430738	0.0256725	0.00237101	0.00489931	0.0336661	8.64983e-05	0.002486	0.00274969	0.00812396	0.00359964	0.0404835	0.00453412	0.0129473	0.00584824	0.00531137	0.00634696	0.0125543	0.0280368	0.00018364	0.0236696	0.00327519	0.0266359	0.00176523	0.00467683	0.0151117	0.00790478	0.0109543	0.00531822	0.00777329	0.00853667	0.0183468	0.0132133	0.00656596	0.000556755	0.0175246	0.00567789	0.0127252	0.0148206	0.00250258	0.00609762	0.0065884	0.00581947	0.014935	0.0206262	0.0166888	0.0103084	0.0276942	0.005988	0.0259186	0.024282	0.0053684	0.00299306	0.0176785	0.00632958	0.00508072	3.308274
180	-1204.386	-1374.555	170.1687	0.0110864	0.0257943	0.0274616	0.00161098	0.0336536	0.000488471	0.0176943	0.051174	0.0357441	0.0967027	0.0599747	0.0822755	0.0509854	0.0109444	0.105706	0.0405048	0.0420458	0.0197388	0.0337899	0.00750999	0.0171325	0.0502212	0.0260745	0.00377439	0.039349	0.00421111	0.0572396	0.00950408	6.21474e-06	0.00756984	0.014571	0.00219496	0.0651116	0.0495086	0.00944068	0.0311789	0.0358724	0.014832	0.00748344	0.0259136	0.0227283	0.0656247	0.010127	0.0844657	0.00487459	0.006339	0.0831608	0.00787332	0.0145715	0.013968	0.0341515	0.0106918	0.0690708	0.0180442	0.0789224	0.0179547	0.0404846	0.0011168	0.0953139	0.035327	0.000806259	0.0270601	0.0176244	0.0495726	0.00363651	0.0116909	0.0847786	0.0106151	0.00746731	0.0799167	0.0203079	0.0421383	0.0845271	0.0290332	0.00851724	0.0217561	0.0336711	0.0281307	0.0186412	0.0591987	0.0214712	0.0163624	0.000860567	0.00793699	0.0441518	0.0624605	0.0329474	0.023194	0.095321	0.0160481	0.0611601	0.0650813	0.0282294	0.0351062	0.0412858	0.00887821	0.0154389	0.0035129	0.00817333	0.00870163	0.000510466	0.0106637	0.00015478	0.00560674	0.0162153	0.0113261	0.0306418	0.0190039	0.0260703	0.0161555	0.00346791	0.0334946	0.0128346	0.0133229	0.00625455	0.0107069	0.00237966	0.00542871	0.0159134	0.00826211	0.00119597	0.0124684	0.00133436	0.0181373	0.00301152	1.96924e-06	0.00239862	0.00461705	0.000695507	0.0206317	0.0156876	0.00299143	0.00987954	0.0113667	0.00469977	0.00237125	0.00821114	0.00720182	0.0207942	0.0032089	0.0267643	0.00154459	0.00200861	0.0263508	0.00249479	0.00461721	0.00442599	0.0108214	0.00338786	0.0218862	0.00571759	0.0250078	0.00568923	0.0128282	0.000353875	0.0302017	0.0111939	0.000255476	0.00857443	0.00558456	0.0157079	0.00115228	0.00370444	0.0268634	0.00336356	0.00236614	0.0253229	0.00643488	0.0133522	0.0267838	0.00919963	0.00269882	0.00689376	0.0106692	0.00891364	0.00590676	0.0187581	0.00680348	0.00518468	0.000272684	0.00251496	0.0139902	0.0197916	0.0104399	0.00734938	0.030204	0.00508511	0.0193796	0.020622	0.00894493	0.011124	0.0130821	0.0028132	0.00489205	3.15591
216	-1208.616	-1378.275	169.6589	0.0238042	0.00471124	0.0271442	0.00106632	0.0341504	0.000497703	0.0135694	0.0694157	0.0378902	0.0908081	0.0294628	0.0918271	0.0369648	0.00837584	0.114758	0.031072	0.0433244	0.0375155	0.0330846	0.000380863	0.0203342	0.0219913	0.0365617	0.000622868	0.0125223	0.0338545	0.0452723	0.0108781	0.00457455	0.000892273	0.00617631	0.0347902	0.0711221	0.0300627	0.00824443	0.0643308	0.0603858	0.0103528	0.00228679	0.0922436	0.0299902	0.0117844	0.0413088	0.0442189	0.00908888	0.0307332	0.113838	0.00608743	0.0268579	0.0113109	0.0132809	0.0458015	0.0976974	0.0188561	0.0290577	0.0357048	0.0276943	0.0319958	0.0878006	0.0254664	0.000806259	0.0348269	0.039122	0.043918	0.0160333	0.00617479	0.0349766	0.0498727	0.0437676	0.0703567	0.0124908	0.0313931	0.00664957	0.0284833	0.0102632	0.0215746	0.0107334	0.0368723	0.0467905	0.0327024	0.00344982	0.011441	0.0568674	0.0172966	0.0552276	0.0611104	0.124899	0.0287559	0.0835464	0.0295326	0.0599	0.0591471	0.0277612	0.0540613	0.0436631	0.106885	0.0190406	0.00688722	0.00136309	0.00785356	0.000308516	0.00988066	0.000143999	0.003926	0.0200839	0.0109627	0.0262733	0.0085244	0.0265681	0.0106949	0.00242336	0.0332026	0.00898998	0.0125349	0.0108543	0.00957229	0.000110194	0.00588325	0.00636268	0.0105783	0.000180213	0.00362305	0.00979503	0.0130985	0.00314734	0.00132354	0.000258159	0.00178698	0.0100657	0.0205776	0.00869795	0.00238534	0.0186127	0.0174713	0.00299535	0.000661631	0.0266886	0.00867698	0.00340956	0.0119518	0.0127937	0.00262966	0.00889197	0.0329365	0.00176126	0.00777073	0.00327255	0.00384253	0.0132516	0.0282665	0.00545559	0.00840719	0.0103304	0.00801271	0.00925728	0.0254031	0.00736813	0.000233273	0.0100764	0.0113191	0.0127067	0.00463888	0.00178654	0.0101197	0.0144296	0.0126632	0.0203561	0.00361394	0.00908289	0.0019239	0.00824099	0.00296943	0.00624213	0.00310547	0.0106682	0.0135378	0.0094617	0.000998126	0.00331018	0.0164533	0.00500438	0.0159789	0.0176809	0.0361368	0.00831987	0.0241723	0.00854459	0.0173307	0.0171129	0.00803207	0.0156414	0.0126329	0.0309248	0.00550897	3.456291
252	-1209.302	-1378.791	169.4889	0.00435162	0.0184845	0.00518692	0.00640284	0.0356923	0.00103112	0.0215466	0.0385322	0.0616623	0.0605378	0.0674389	0.0473932	0.0339845	0.024795	0.103161	0.0455711	0.0391645	0.020017	0.0151796	0.00249439	0.0199498	0.015971	0.0331093	0.0125782	0.0251074	0.00080553	0.118427	0.000384874	0.0185795	0.00156487	0.000717028	0.0363144	0.101216	0.0691636	0.0135523	0.052226	0.0221164	0.019866	0.00961698	0.0637624	0.033232	0.0204101	0.0037649	0.0391336	0.00232615	0.0118201	0.0844022	0.00531077	0.0110316	0.0411564	0.014132	0.0171023	0.0312619	0.0137672	0.0343212	0.016497	0.0780731	0.0205067	0.0754434	0.0793912	0.00877581	0.0742309	0.0462016	0.0639279	0.0167316	0.0253091	0.0526986	0.0730032	0.0142559	0.0838967	0.00494808	0.0348298	0.0113569	0.0211873	0.0194825	0.0484682	0.0277484	0.00739631	0.123224	0.0786947	0.0440079	0.0376795	0.010836	0.0383031	0.0428684	0.050966	0.0536517	0.0363534	0.0696926	0.00742725	0.0433519	0.130828	0.0642314	0.0238219	0.0543996	0.0675332	0.0223676	0.00122394	0.00519896	0.00145887	0.00180086	0.0100388	0.000290014	0.00606019	0.0108376	0.0173431	0.0170269	0.0189679	0.0133298	0.00955848	0.00697383	0.0290151	0.0128173	0.0110154	0.00562998	0.00426941	0.000701574	0.00561108	0.00449202	0.00931233	0.00353775	0.0070617	0.000226563	0.0333089	0.00010825	0.00522566	0.000440134	0.000201671	0.0102138	0.0284681	0.019453	0.00381172	0.0146891	0.00622047	0.0055875	0.00270487	0.0179338	0.00934683	0.00574054	0.00105892	0.0110067	0.000654255	0.00332452	0.023739	0.00149371	0.00310275	0.0115757	0.00397476	0.00481021	0.00879272	0.00387217	0.00965319	0.00463995	0.0219589	0.00576771	0.0212192	0.0223296	0.00246829	0.0208782	0.0129947	0.0179804	0.00470592	0.00711843	0.014822	0.0205329	0.00400962	0.0235968	0.0013917	0.00979624	0.00319424	0.00595913	0.00547966	0.0136322	0.00780452	0.00208029	0.0346579	0.0221337	0.0123777	0.0105977	0.00304773	0.0107731	0.0120572	0.0143347	0.0150901	0.0102248	0.0196018	0.00208899	0.0121932	0.0367966	0.0180657	0.00670015	0.0153004	0.0189944	0.00629112	3.555427
288	-1208.339	-1378.34	170.001	0.00470441	0.00435253	0.0152995	0.0191687	0.0377823	0.0102026	0.00256504	0.038204	0.0602883	0.100595	0.0408603	0.09318	0.0125341	0.0612072	0.0768997	0.0432099	0.0378881	0.0268767	0.0169579	0.0081152	0.0113942	0.0429773	0.0326444	0.0176788	0.0342025	0.00690165	0.0429665	0.0137136	0.0168151	0.00247756	0.00696254	0.0210188	0.0546856	0.0057829	0.0197362	0.0472593	0.0455772	0.0313252	0.000552552	0.0921686	0.0834387	0.062337	0.0278046	0.0462486	0.00882342	0.0159526	0.11761	0.0215361	0.013466	0.0137804	0.00429482	0.0373554	0.00289796	0.0410652	0.0247435	0.0518362	0.0385283	0.0106095	0.0156158	0.00173913	0.0407149	0.0484502	0.0155011	0.0246251	0.0407753	0.0383061	0.0174172	0.0371295	0.0422046	0.0379719	0.0185872	0.0972755	0.0377069	0.035492	0.0246827	0.027448	0.0241014	0.00517133	0.0255214	0.0500774	0.0172536	0.00302545	0.00201095	0.0630483	0.00841781	0.0806369	0.0484099	0.0935884	0.0419171	0.0346671	0.0850312	0.0493935	0.0153703	0.0257647	0.0181339	0.0401396	0.0419184	0.00144515	0.00133706	0.00469987	0.00588844	0.0116064	0.00313414	0.000787959	0.0117359	0.01852	0.0309019	0.0125519	0.0286241	0.00385038	0.0188023	0.0236229	0.0132737	0.0116389	0.00825628	0.00520932	0.00249292	0.00350019	0.0132023	0.0100281	0.00543077	0.0105067	0.00212013	0.0131989	0.00421271	0.00516546	0.000761085	0.00213883	0.00645679	0.0167989	0.00177646	0.0060628	0.0145176	0.0140009	0.00962282	0.000169739	0.0283134	0.0256316	0.0191494	0.00854133	0.0142072	0.00271048	0.0049005	0.0361286	0.00661569	0.00413664	0.00423323	0.00131933	0.0114753	0.000890227	0.0126149	0.00760099	0.0159236	0.0118356	0.00325916	0.00479705	0.000534246	0.0125073	0.0148835	0.00476179	0.00756461	0.0125258	0.0117673	0.0053504	0.0114058	0.0129649	0.0116646	0.00570983	0.0298822	0.0115832	0.0109028	0.00758232	0.00843179	0.00740373	0.00158859	0.00783996	0.0153833	0.00530015	0.000929391	0.000617747	0.0193679	0.00258588	0.0247709	0.0148711	0.0287495	0.0128766	0.0106494	0.0261208	0.0151733	0.00472162	0.00791469	0.00557059	0.0123305	0.012877	3.255302
324	-1228.859	-1398.354	169.4945	0.0151551	0.018384	0.0071215	0.00806197	0.0224841	0.00465905	0.0293399	0.0345431	0.0158972	0.127545	0.0581822	0.0685642	0.0268559	0.042459	0.109331	0.0095982	0.0146834	0.026663	0.045331	0.0110316	0.01562	0.052089	0.032845	0.0149121	0.0423538	0.0018202	0.0496012	0.013939	0.0621602	0.00142986	0.00383956	0.00472148	0.083249	0.0422463	0.0369886	0.0458525	0.0337855	0.00879049	0.00438435	0.0333717	0.113486	0.0329041	0.0123812	0.0586114	0.00552486	0.0323056	0.111776	0.0275214	0.0203301	0.0501644	9.69484e-05	0.0344792	0.0273022	0.00897647	0.0170803	0.0520836	0.093178	0.00440328	0.089103	0.0235789	0.00284512	0.0815307	0.0512915	0.0260605	0.0116621	0.0107435	0.0460884	0.0666603	0.00978235	0.0316782	0.0158615	0.0096608	0.0515206	0.0395522	0.0680617	0.0135822	0.00900587	0.0732367	0.0560172	0.0225637	0.0801393	0.0301158	0.0362347	0.00584533	0.0251785	0.0740855	0.0349161	0.0263665	0.112046	0.0260483	0.0377282	0.0506467	0.0348159	0.0258008	0.0668545	0.0798427	0.0129465	0.00426642	0.0051754	0.00200482	0.00226958	0.00632963	0.0013116	0.00825967	0.00972443	0.00447533	0.0359059	0.0163792	0.0193019	0.00756038	0.0119529	0.0307785	0.00270205	0.0041336	0.00750606	0.0127614	0.00310558	0.00439727	0.0146639	0.0092464	0.00419799	0.0119233	0.000512416	0.0139635	0.00392406	0.0174991	0.000402528	0.0010809	0.00132917	0.0234359	0.011893	0.0104129	0.0129082	0.00951117	0.00247466	0.00123427	0.00939466	0.0319481	0.00926304	0.00348551	0.0165001	0.00155534	0.00909456	0.0314666	0.00774771	0.00572325	0.0141221	2.72925e-05	0.00970646	0.00768602	0.00252702	0.00480839	0.0146624	0.0262311	0.00123959	0.0250839	0.00663784	0.000800946	0.0229522	0.0144394	0.00733645	0.00328306	0.00302447	0.0129746	0.0187659	0.00275389	0.00891792	0.00446526	0.00271967	0.0145039	0.0111346	0.0191605	0.0038236	0.0025353	0.0206173	0.0157697	0.00635205	0.0225605	0.00847807	0.0102006	0.00164555	0.00708816	0.0208563	0.00982945	0.0074226	0.0315429	0.00733301	0.0106211	0.0142579	0.00980124	0.00726334	0.0188206	0.022477	0.00364466	3.552193
