Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
0	-1207.708	-1366.036	158.3281	0.1792082	12.26715	0.8940479	5.536553
6	-1202.054	-1361.754	159.7009	0.1354959	10.9441	0.8820221	5.026582
12	-1208.18	-1367.537	159.3577	0.1354959	14.7186	1.091047	4.515405
18	-1212.931	-1373.882	160.9509	0.03360503	12.88828	1.091047	3.942435
24	-1215.706	-1376.35	160.6437	0.1299648	12.84114	1.099626	4.065442
30	-1225.131	-1385.122	159.9909	0.05714335	7.993024	0.8966707	5.463473
36	-1206.097	-1366.661	160.5639	0.06590609	9.224092	0.9665488	4.852711
42	-1202.541	-1363.079	160.5374	0.1774271	10.19471	1.003141	4.601707
48	-1198.682	-1358.77	160.0886	0.1477823	11.79262	1.010836	4.5885
54	-1194.68	-1357.218	162.5385	0.1898298	7.515578	1.210636	3.890407
60	-1201.454	-1362.967	161.5134	0.3383081	9.215346	1.310354	3.971193
66	-1209.556	-1371.481	161.9254	0.1893921	10.00963	1.265758	3.690405
72	-1198.767	-1358.648	159.8806	0.09746188	13.41746	1.133145	4.408527
78	-1209.759	-1369.768	160.0096	0.2638668	12.4722	1.05561	4.432348
84	-1209.308	-1368.316	159.0084	0.3000383	11.71656	1.05561	5.09352
90	-1210.01	-1370.169	160.1589	0.03103985	11.80008	1.05561	4.588219
96	-1219.863	-1381.045	161.182	0.03338562	8.867332	1.14745	4.494272
102	-1231.069	-1391.431	160.362	0.2834123	9.878878	1.14745	4.618053
108	-1216.15	-1377.568	161.4178	0.3567385	8.067384	1.263081	4.28077
114	-1218.733	-1379.599	160.8661	0.1191971	10.55885	1.185062	4.28077
120	-1212.306	-1374.457	162.1511	0.09422436	10.7705	1.557573	3.301173
126	-1212.687	-1373.165	160.4787	0.1543292	13.82218	1.562518	3.729009
132	-1211.436	-1372.55	161.1132	0.3137459	12.03301	1.261647	3.729009
138	-1207.17	-1369.228	162.0583	0.1412039	10.42723	1.409814	3.478539
144	-1207.375	-1369.017	161.642	0.002839827	13.25516	1.362484	3.344142
150	-1200.364	-1362.009	161.6448	0.03238951	11.32383	1.314471	3.675214
156	-1207.797	-1368.694	160.8974	0.02649653	12.43082	1.224339	3.974047
162	-1192.784	-1353.712	160.9275	0.0596221	12.20882	1.224339	3.974047
168	-1196.365	-1357.263	160.8983	0.1272605	12.20882	1.201797	3.964938
174	-1196.341	-1356.549	160.2078	0.1275731	13.54823	1.172965	4.163982
180	-1200.334	-1361.211	160.8773	0.1855339	10.89718	1.172965	4.18334
186	-1211.611	-1372.387	160.7761	0.2046023	13.43928	1.263077	3.759708
192	-1212.462	-1373.622	161.1599	0.2046023	10.99981	1.271311	3.937083
198	-1225.678	-1387.914	162.236	0.04401895	10.0524	1.289051	3.572931
204	-1209.752	-1371.255	161.503	0.2513259	9.49722	1.093345	4.094961
210	-1207.41	-1369.097	161.6876	0.1091663	9.162239	1.093345	4.136875
216	-1206.277	-1367.698	161.4211	0.002813791	9.162239	1.122973	4.331499
222	-1208.52	-1369.433	160.913	0.03139899	11.73624	1.158906	4.114208
228	-1211.326	-1371.344	160.0178	0.02258229	11.66486	1.224535	4.599697
234	-1213.209	-1373.893	160.6831	0.2304964	9.808721	1.034803	4.543879
240	-1214.525	-1375.46	160.9342	0.3459689	10.90406	0.9369321	4.192761
246	-1202.723	-1363.425	160.7017	0.3459689	12.1632	1.330014	3.886316
252	-1211.242	-1372.67	161.428	0.2342504	10.83839	1.037795	3.929005
258	-1210.595	-1370.848	160.2531	0.1897919	15.27154	1.327365	3.762889
264	-1213.506	-1374.331	160.8247	0.05916299	13.66891	1.130164	3.856796
270	-1206.387	-1366.726	160.3389	0.230016	16.27975	1.208021	3.620055
276	-1211.371	-1371.835	160.4631	0.2755002	12.98573	1.518039	3.823153
282	-1205.598	-1366.262	160.6639	0.1871955	12.98573	1.405478	3.823153
288	-1199.385	-1359.182	159.7966	0.01196777	14.70328	1.237	4.257217
294	-1202.669	-1363.258	160.5898	0.1681187	13.47908	1.115004	3.966637
300	-1212.193	-1373.893	161.7003	0.02553292	10.06484	1.433522	3.807545
306	-1208.089	-1369.7	161.6108	0.01982887	9.857826	1.274818	3.992495
312	-1210.776	-1371.439	160.6623	0.206261	10.08229	1.172622	4.440687
318	-1206.781	-1367.869	161.0881	0.02323856	11.09332	1.136582	4.142016
324	-1212.171	-1372.996	160.8247	0.007352811	9.074174	1.104909	4.69189
330	-1226.086	-1384.72	158.6343	0.006169935	11.88035	0.9862499	5.474105
336	-1212.302	-1373.176	160.8742	0.002029103	8.384978	1.114924	4.801373
342	-1209.463	-1371.034	161.5706	0.000270357	8.384978	1.15389	4.389755
348	-1211.642	-1372.91	161.2686	0.0006442828	11.30495	1.299943	3.921812
354	-1206.951	-1368.709	161.7581	0.01169807	8.341644	1.171519	4.276493
360	-1198.827	-1360.6	161.7721	0.042704	11.83676	1.209116	3.567847
366	-1194.892	-1356.401	161.5091	0.1044248	11.23321	1.209116	3.788674
372	-1204.044	-1364.152	160.1086	0.2383796	12.51246	1.021025	4.403973
378	-1196.969	-1359.694	162.7256	0.2305464	5.97869	0.9830593	4.268691
384	-1206.133	-1366.871	160.7383	0.068472	8.721938	0.9700261	4.85181
390	-1204.132	-1364.54	160.4075	0.2044477	8.721938	0.9869234	4.950891
396	-1203.634	-1363.082	159.4479	0.1257694	8.721938	0.9103418	5.566939
402	-1212.949	-1373.406	160.4573	0.2124094	10.85706	1.200919	4.397078
408	-1194.749	-1355.115	160.3653	0.1610112	9.087178	0.8907845	4.979273
414	-1202.428	-1363.292	160.8637	0.2112529	6.836408	1.073483	5.057483
420	-1204.071	-1364.927	160.8555	0.1633733	8.414293	0.8943295	4.838799
426	-1206.965	-1367.963	160.9988	0.1760458	9.878351	0.8943295	4.462881
432	-1216.588	-1375.928	159.3405	0.1435558	10.02393	0.9545284	5.344163
438	-1215.78	-1376.572	160.7917	0.1892504	7.695025	1.034265	4.935495
444	-1216.574	-1377.017	160.4433	0.03841692	9.876229	0.9198869	4.837322
450	-1215.18	-1374.791	159.6113	0.2316206	9.566053	0.9493192	5.233607
456	-1219.58	-1380.045	160.4645	0.1502436	10.39258	0.9933854	4.6274
462	-1206.537	-1367.02	160.4828	0.1387937	10.62243	1.067748	4.540629
468	-1207.223	-1368.126	160.9034	0.04247492	9.636598	1.06626	4.540629
474	-1202.734	-1363.081	160.347	0.0935711	10.72853	0.9703926	4.678028
480	-1197.92	-1359.437	161.5168	0.04341739	8.57489	0.9627601	4.463912
486	-1193.659	-1354.825	161.1663	0.1485315	12.84233	1.302577	3.637628
492	-1203.275	-1364.051	160.7762	0.2971557	8.868046	1.266372	4.507126
498	-1203.332	-1363.376	160.0442	0.01242053	11.00701	0.9350399	4.863714
504	-1214.557	-1375.341	160.7842	0.03807903	8.707486	0.9747517	4.843456
510	-1203.369	-1364.592	161.2228	0.0112672	9.841516	0.9870199	4.384196
516	-1194.341	-1355.397	161.0563	0.1838385	9.658567	1.05249	4.378519
522	-1197.03	-1357.431	160.4015	0.1608858	11.55834	1.127344	4.378519
528	-1199.387	-1359.513	160.1263	0.2052928	12.06394	1.173752	4.398764
534	-1199.119	-1359.501	160.3823	0.05065044	11.64034	0.954521	4.535
540	-1205.806	-1365.758	159.9519	0.2629514	10.32694	0.9819505	4.869095
546	-1205.335	-1364.855	159.5198	0.2917128	9.641236	0.8596866	5.28635
552	-1202.155	-1361.672	159.517	0.3299901	9.090295	1.0486	5.267644
558	-1192.557	-1351.657	159.1004	0.1014438	9.334465	0.8938834	5.660865
564	-1201.03	-1360.842	159.8125	0.2598127	8.127173	0.9774934	5.377294
570	-1198.818	-1358.888	160.0703	0.08045031	9.444815	0.9643646	5.077778
576	-1202.235	-1363.336	161.101	0.1509843	10.92217	1.187832	4.062808
