Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
648	-856.6765	-1027.418	170.7418	1.220296	2.095798
654	-852.5369	-1023.532	170.9951	1.290242	1.880858
660	-857.2294	-1028.374	171.1445	1.138197	1.880858
666	-855.8187	-1026.807	170.9885	0.9510232	2.109683
672	-855.5842	-1026.305	170.7211	1.219788	2.109683
678	-846.3256	-1016.791	170.4654	1.265456	2.246601
684	-848.7487	-1019.922	171.1733	0.9623026	1.979889
690	-858.8632	-1029.501	170.6373	0.838074	2.40727
696	-848.6715	-1019.407	170.7359	1.091595	2.182807
702	-867.2887	-1038.117	170.828	1.042218	2.154923
708	-858.5553	-1029.514	170.9587	1.115374	2.021028
714	-866.9888	-1038.207	171.2183	0.9227985	1.976173
720	-852.1167	-1023.155	171.0381	1.103236	1.976173
726	-850.2428	-1020.713	170.4704	1.317148	2.211001
732	-854.645	-1025.376	170.7315	0.9132259	2.300231
738	-854.3114	-1024.893	170.5817	1.379677	2.099308
744	-867.9867	-1038.51	170.5232	1.096963	2.316094
750	-860.2478	-1031.307	171.0591	1.219055	1.884653
756	-861.5934	-1032.664	171.0704	1.028255	2.004548
762	-863.9198	-1034.635	170.7156	1.071247	2.209076
768	-860.3632	-1031.119	170.7557	1.045973	2.199443
774	-872.8032	-1043.561	170.7576	0.9443405	2.263674
780	-856.5252	-1027.294	170.7687	1.124079	2.140401
786	-859.6314	-1030.554	170.923	0.986336	2.129403
792	-863.086	-1033.72	170.6344	1.098423	2.243926
798	-857.918	-1029.353	171.4352	0.8514828	1.877438
804	-855.7606	-1026.473	170.7122	0.8332378	2.362888
810	-850.1944	-1021.572	171.378	1.097384	1.747673
816	-866.9112	-1038.001	171.0896	1.008212	2.005093
822	-860.5008	-1032.203	171.7017	0.7801447	1.74136
828	-860.7062	-1031.452	170.746	1.293234	2.046032
834	-858.8782	-1030.072	171.1941	0.8693783	2.027681
840	-872.1168	-1043.385	171.268	1.073134	1.840705
846	-879.0145	-1050.063	171.0486	1.198207	1.905716
852	-874.6055	-1045.837	171.2318	0.9333695	1.960073
858	-877.3664	-1048.565	171.1987	0.792916	2.074127
864	-878.6203	-1049.967	171.347	0.7048968	2.031272
870	-870.0432	-1040.934	170.891	0.9909647	2.14728
876	-878.979	-1049.544	170.5645	1.253515	2.190148
882	-879.3022	-1049.625	170.3232	1.159979	2.403268
888	-880.1546	-1050.585	170.4307	1.403095	2.183231
894	-869.2448	-1040.772	171.5273	1.102254	1.63834
900	-872.3834	-1043.382	170.9988	1.164299	1.961858
906	-860.7705	-1032.24	171.469	0.7983217	1.889832
912	-864.2627	-1035.641	171.3788	0.7983217	1.950848
918	-866.5885	-1037.516	170.9278	1.115464	2.04146
924	-865.1217	-1036.354	171.2323	0.9575917	1.943485
930	-857.0441	-1028.063	171.0193	1.051761	2.022951
936	-845.0895	-1015.892	170.8027	1.196492	2.071119
942	-849.1304	-1020.18	171.05	0.9184458	2.090654
948	-852.8586	-1023.833	170.9741	1.074669	2.037731
954	-857.5278	-1028.917	171.3887	0.968488	1.829662
960	-854.9618	-1026.122	171.1603	1.233404	1.805547
966	-849.2358	-1020.13	170.8941	1.331084	1.922462
972	-847.8505	-1019.199	171.3488	0.8718244	1.922462
978	-850.5157	-1021.287	170.771	1.049356	2.187346
984	-850.0199	-1021.281	171.2608	0.8326664	2.007352
990	-851.9093	-1023.122	171.213	0.9463187	1.963989
996	-864.7588	-1035.832	171.0731	1.212937	1.879235
1002	-859.7652	-1030.7	170.9352	1.171187	1.999883
1008	-864.0988	-1034.938	170.8391	1.03321	2.153613
1014	-864.1487	-1034.784	170.6352	1.028293	2.288321
1020	-862.8592	-1033.877	171.0177	1.028293	2.039519
1026	-856.0134	-1026.931	170.9172	1.037681	2.099626
1032	-842.8926	-1014.024	171.1311	1.037681	1.957677
1038	-853.5168	-1024.743	171.2261	1.13706	1.825797
1044	-849.0043	-1020.416	171.4115	0.8757358	1.877292
1050	-849.335	-1019.633	170.298	1.294349	2.335669
1056	-856.5913	-1028.216	171.6248	0.8446191	1.751242
1062	-857.3945	-1028.185	170.79	1.251884	2.043555
1068	-861.3696	-1032.325	170.9556	0.8610269	2.189391
1074	-859.2918	-1030.643	171.3512	1.000131	1.833645
1080	-853.5858	-1024.721	171.1352	0.972637	1.998447
1086	-862.8567	-1033.722	170.8653	1.110637	2.085882
1092	-863.9545	-1034.847	170.8921	1.223282	1.994332
1098	-869.5979	-1040.723	171.1249	1.201243	1.851716
1104	-856.755	-1027.952	171.1966	0.9953712	1.942078
1110	-863.244	-1034.021	170.7768	1.100889	2.15021
1116	-854.8683	-1025.985	171.1168	0.940098	2.032297
1122	-864.4584	-1035.512	171.054	1.010186	2.027454
1128	-871.295	-1042.391	171.0961	1.110927	1.932046
1134	-884.9763	-1056.073	171.0962	1.276031	1.821047
1140	-868.1755	-1039.274	171.0988	0.7759385	2.150338
1146	-860.6367	-1032.1	171.4634	0.9095201	1.818687
1152	-854.094	-1025.02	170.9258	1.21388	1.977991
1158	-856.5693	-1027.585	171.016	0.9529286	2.090382
1164	-849.1339	-1019.68	170.546	1.063623	2.322739
1170	-858.7818	-1029.573	170.7908	1.063623	2.165258
1176	-860.6751	-1031.277	170.6022	1.124947	2.247687
1182	-856.3804	-1027.564	171.1832	0.9657804	1.970952
1188	-857.0679	-1028.236	171.168	0.9657804	1.981109
1194	-857.226	-1028.792	171.5664	0.8129913	1.813347
1200	-855.3064	-1026.534	171.2276	0.8314637	2.030178
1206	-858.8339	-1029.743	170.9088	1.116161	2.053598
1212	-867.6147	-1038.314	170.6989	1.445326	1.980252
1218	-870.1517	-1041.398	171.2461	0.9386601	1.946881
1224	-872.9914	-1044.369	171.3778	0.9824504	1.827524
1230	-873.0981	-1044.577	171.4793	1.038855	1.717516
1236	-876.2861	-1046.881	170.5949	1.038855	2.307341
1242	-871.5696	-1041.962	170.392	1.038855	2.435935
1248	-877.6852	-1047.987	170.3019	1.382218	2.279059
1254	-877.4116	-1048.391	170.9795	0.9941705	2.087247
1260	-871.7366	-1042.602	170.8657	1.156744	2.055471
1266	-865.1309	-1036.269	171.1378	1.159275	1.871198
1272	-876.2481	-1047.502	171.2542	0.8163112	2.022392
1278	-866.372	-1037.08	170.7075	1.425613	1.986972
1284	-862.164	-1033.303	171.139	0.9326206	2.022481
1290	-848.9275	-1019.496	170.5682	1.225376	2.205599
1296	-859.3519	-1030.45	171.0984	1.009371	1.998497
1302	-864.7031	-1035.544	170.8413	1.115787	2.098319
1308	-867.2468	-1038.363	171.1163	0.9041809	2.056296
1314	-868.5003	-1039.671	171.1712	1.179074	1.834952
1320	-877.311	-1048.452	171.1414	1.352991	1.737777
1326	-870.7621	-1041.693	170.9306	1.113339	2.041045
1332	-865.893	-1036.585	170.6915	1.21144	2.134393
1338	-861.4529	-1032.576	171.123	1.01399	1.978958
1344	-854.4802	-1025.989	171.5089	0.8141095	1.852144
1350	-861.0073	-1032.308	171.3003	1.047263	1.836253
1356	-854.672	-1025.563	170.8913	1.127804	2.0575
1362	-848.8823	-1019.916	171.0341	1.052371	2.012668
1368	-860.0544	-1030.982	170.9279	1.017896	2.105574
1374	-856.2661	-1027.369	171.1032	0.93996	2.04141
1380	-847.8791	-1019.124	171.2449	0.9548453	1.936834
1386	-861.6476	-1032.846	171.1986	1.001142	1.936834
1392	-859.3041	-1030.83	171.5261	0.912456	1.773221
1398	-853.5997	-1024.401	170.8012	1.122984	2.119879
1404	-866.109	-1037.342	171.2325	0.8935306	1.986108
1410	-856.8355	-1027.869	171.0335	0.8265065	2.160861
1416	-866.4404	-1037.968	171.5279	1.087121	1.648692
1422	-881.4668	-1052.042	170.5748	1.008285	2.339599
1428	-868.0316	-1039.15	171.118	1.10698	1.919938
1434	-876.8201	-1047.689	170.869	0.8717417	2.238495
1440	-865.385	-1036.674	171.289	1.049839	1.842287
1446	-861.5741	-1032.127	170.5527	1.041877	2.332301
1452	-869.6767	-1040.777	171.1004	1.029137	1.983919
1458	-865.0121	-1036.373	171.3605	0.8803944	1.908794
1464	-871.2072	-1042.034	170.8269	1.096565	2.12025
1470	-865.502	-1037.043	171.5405	0.9848746	1.712411
1476	-856.8309	-1027.275	170.4438	1.234271	2.280044
1482	-864.7204	-1035.284	170.5635	0.9265413	2.398532
1488	-854.3182	-1025.369	171.0507	1.0585	1.99752
1494	-865.5058	-1036.415	170.9093	1.0585	2.091175
1500	-858.4747	-1029.215	170.7398	1.23718	2.086193
1506	-858.4468	-1029.813	171.3664	0.9048474	1.888339
1512	-847.6012	-1018.783	171.1814	1.004929	1.945852
1518	-848.9918	-1020.123	171.1316	1.222128	1.832991
1524	-845.6151	-1016.426	170.8104	0.9910666	2.199548
1530	-852.7945	-1023.876	171.0811	0.8443014	2.11845
1536	-865.2939	-1035.888	170.5944	1.180102	2.21752
1542	-861.5575	-1032.352	170.7944	1.117218	2.128116
1548	-868.0246	-1038.879	170.8543	1.140336	2.073714
1554	-864.7271	-1035.721	170.9939	1.140336	1.981037
1560	-880.0979	-1050.524	170.4263	1.484682	2.135794
1566	-878.3976	-1049.823	171.4258	0.7175421	1.970918
1572	-867.2212	-1038.525	171.3039	0.9178242	1.921906
1578	-864.3165	-1035.098	170.7811	1.266822	2.039792
1584	-866.7205	-1037.507	170.7864	1.135855	2.12122
1590	-860.165	-1031.057	170.8918	1.081146	2.087793
1596	-862.1525	-1033.136	170.9834	1.021485	2.066701
1602	-855.0354	-1025.759	170.7232	1.061412	2.210504
1608	-870.193	-1041.056	170.8626	1.112818	2.086224
1614	-872.6708	-1044.064	171.3936	0.8075663	1.93481
1620	-868.556	-1040.105	171.5486	0.7658743	1.856909
1626	-862.5866	-1032.948	170.3616	1.123031	2.402193
1632	-859.8626	-1031.788	171.9257	0.6477571	1.669585
1638	-854.3969	-1025.526	171.1289	0.9633462	2.008808
1644	-859.0111	-1030.357	171.3463	0.9633462	1.862199
1650	-855.8769	-1027.19	171.3135	1.051241	1.824421
1656	-866.3295	-1037.429	171.0994	1.109142	1.931028
1662	-868.0666	-1038.957	170.8899	1.171624	2.029667
1668	-864.803	-1035.427	170.6241	1.171624	2.203739
1674	-871.755	-1042.891	171.1363	1.171624	1.863891
1680	-867.8866	-1038.645	170.7584	1.009862	2.22103
1686	-863.228	-1034.729	171.5012	0.6813305	1.942672
1692	-862.2351	-1032.766	170.5313	1.050009	2.340772
1698	-856.854	-1028.001	171.1474	1.141865	1.87645
1704	-856.1257	-1027.013	170.8874	1.333337	1.925538
1710	-863.9301	-1035.042	171.1119	1.104728	1.925538
1716	-862.5081	-1033.106	170.5976	1.444787	2.047962
1722	-862.5961	-1033.206	170.6103	1.075804	2.273881
1728	-861.2302	-1032.095	170.8645	0.9790756	2.172253
1734	-866.6667	-1037.719	171.0527	0.9824234	2.046714
1740	-860.3642	-1031.194	170.8297	1.151023	2.082963
1746	-853.97	-1024.092	170.1224	1.277148	2.457179
1752	-849.6891	-1020.553	170.8635	1.245838	1.998692
1758	-854.7015	-1025.272	170.5703	1.070861	2.302658
1764	-844.318	-1015.164	170.8462	1.182897	2.051242
1770	-859.634	-1030.154	170.52	1.443674	2.09976
1776	-860.7702	-1031.424	170.6535	0.9878014	2.302524
1782	-858.9976	-1029.887	170.8898	1.038519	2.117048
1788	-864.6763	-1035.959	171.2827	1.038519	1.854296
1794	-859.451	-1030.423	170.9715	1.038519	2.063342
1800	-847.7067	-1018.757	171.0502	1.251031	1.869337
1806	-858.4369	-1029.723	171.2861	0.9966591	1.880591
1812	-858.9759	-1029.475	170.4991	1.20927	2.260326
1818	-859.8617	-1030.567	170.7052	1.20927	2.126888
1824	-865.9785	-1036.8	170.8211	1.223445	2.041418
1830	-857.4912	-1028.468	170.9763	1.005245	2.08209
1836	-858.6459	-1029.25	170.6037	1.080859	2.274901
1842	-853.35	-1024.667	171.3168	0.7757562	2.006895
1848	-851.7983	-1022.614	170.8157	1.017769	2.178811
1854	-856.3907	-1027.809	171.4179	1.017769	1.775306
1860	-859.8551	-1030.488	170.6332	1.053283	2.273625
1866	-880.7552	-1051.228	170.4726	1.134542	2.324551
1872	-866.2382	-1037.314	171.0759	1.037191	1.994942
1878	-865.842	-1036.772	170.9302	1.123106	2.034871
1884	-859.1357	-1029.754	170.6188	1.034399	2.294934
1890	-856.3103	-1027.384	171.0736	1.075452	1.970938
1896	-866.4873	-1037.452	170.9648	1.084627	2.037313
1902	-860.2474	-1031.004	170.757	1.030146	2.208812
1908	-854.459	-1025.446	170.9865	1.030146	2.058943
1914	-864.965	-1035.988	171.0231	1.258422	1.882882
1920	-867.5022	-1038.437	170.9348	1.318536	1.90315
1926	-864.1285	-1034.901	170.7723	1.067119	2.174991
1932	-871.7087	-1042.677	170.9687	1.067119	2.046293
1938	-867.8047	-1038.49	170.6848	1.072252	2.22827
1944	-867.2469	-1038.127	170.8797	0.8534955	2.243178
1950	-856.7062	-1028.163	171.4566	1.057757	1.720207
1956	-855.1288	-1025.949	170.8202	0.9305131	2.232299
1962	-849.591	-1020.54	170.949	1.098862	2.038405
1968	-856.8072	-1028.242	171.4352	0.8812628	1.857373
1974	-863.3393	-1033.646	170.3069	1.252281	2.356096
1980	-866.2105	-1036.749	170.5386	1.024509	2.352312
1986	-866.3945	-1037.573	171.1784	1.024509	1.93466
1992	-871.3623	-1043.004	171.6422	0.8038444	1.766938
1998	-859.6388	-1030.907	171.2684	0.9714954	1.909711
2004	-870.5337	-1041.165	170.6318	1.046316	2.279007
2010	-867.1783	-1037.838	170.6597	1.166323	2.184073
2016	-868.5611	-1039.342	170.7806	1.044788	2.184073
2022	-863.1543	-1034.137	170.9825	0.8648027	2.16954
2028	-861.9043	-1033.27	171.3659	0.9384484	1.865821
2034	-862.8528	-1033.252	170.3995	1.304155	2.264735
2040	-868.3055	-1038.943	170.6379	1.062474	2.264735
2046	-875.2927	-1045.712	170.4198	1.005456	2.439454
2052	-857.1736	-1027.768	170.5945	1.148641	2.237489
2058	-870.033	-1040.71	170.6767	1.073375	2.232816
2064	-869.0337	-1040.234	171.2004	0.8607235	2.029168
2070	-880.2148	-1051.402	171.1873	1.000278	1.945001
2076	-865.8544	-1037.305	171.4508	0.9099861	1.827096
2082	-851.1049	-1022.178	171.0733	1.008008	2.016085
2088	-861.1304	-1032.235	171.1044	0.9017534	2.065724
2094	-854.7738	-1025.984	171.2105	0.8746076	2.013324
2100	-848.5082	-1019.206	170.6976	0.9229954	2.315714
2106	-850.6407	-1021.181	170.5404	0.9229954	2.41536
2112	-858.3382	-1028.426	170.0878	1.266577	2.485365
2118	-859.2863	-1029.652	170.3655	0.9865308	2.485365
2124	-858.0774	-1029.288	171.211	1.039998	1.902147
2130	-858.7692	-1029.731	170.9622	1.291779	1.902147
2136	-860.7643	-1031.428	170.6634	1.301966	2.094901
2142	-859.9564	-1031.209	171.2522	0.868604	1.989511
2148	-856.784	-1027.367	170.5828	1.106444	2.271932
2154	-854.1297	-1025.607	171.4778	0.9766808	1.762219
2160	-860.126	-1031.753	171.6274	0.7380612	1.820934
2166	-860.2353	-1030.764	170.5289	1.077837	2.32462
2172	-861.0591	-1032.105	171.0458	0.8862834	2.114388
2178	-857.06	-1027.717	170.6572	1.17116	2.182593
2184	-858.3909	-1029.34	170.9494	1.199419	1.971746
2190	-884.4619	-1054.839	170.3775	1.347237	2.252102
2196	-867.0525	-1038.386	171.3331	1.075653	1.794059
2202	-865.7318	-1036.891	171.159	1.075653	1.913268
2208	-880.8184	-1051.975	171.1564	1.025623	1.948778
2214	-870.9601	-1041.625	170.6653	0.9020875	2.349502
2220	-873.6355	-1044.623	170.9876	1.268839	1.900104
2226	-872.3749	-1043.158	170.7834	1.272168	2.034842
2232	-865.3472	-1036.436	171.0889	0.9880246	2.019033
2238	-855.3725	-1026.235	170.8628	1.175393	2.045179
2244	-863.0135	-1033.506	170.4927	1.203183	2.268278
2250	-860.8805	-1031.985	171.1043	1.097235	1.935736
2256	-856.7204	-1027.949	171.2286	0.9212467	1.970297
2262	-856.6681	-1027.897	171.2286	0.9212467	1.970297
2268	-868.8278	-1039.469	170.6408	1.246887	2.144817
2274	-870.1906	-1041.487	171.2969	0.8108431	1.997548
2280	-866.2469	-1037.38	171.1335	0.9756188	1.997548
2286	-861.7123	-1032.78	171.0682	1.041027	1.997548
2292	-879.0517	-1049.907	170.8552	0.8705084	2.248186
2298	-874.892	-1045.438	170.546	1.054371	2.32866
2304	-876.784	-1048.158	171.3745	0.8896793	1.893038
2310	-866.8398	-1038.059	171.2197	0.9861064	1.932754
2316	-869.9621	-1041.018	171.0558	0.9163428	2.088209
2322	-870.4268	-1042.196	171.7691	0.7916839	1.685912
2328	-867.0936	-1037.802	170.708	1.226441	2.114014
2334	-868.6526	-1039.982	171.3296	0.9239444	1.900358
2340	-870.1624	-1041.488	171.3254	0.7878409	1.993432
2346	-862.6847	-1033.913	171.2281	1.035291	1.893793
2352	-870.5492	-1041.725	171.1763	0.7577351	2.111089
2358	-866.3684	-1037.559	171.1903	1.47611	1.61947
2364	-876.0699	-1047.192	171.1222	0.9217472	2.040856
2370	-874.2463	-1045.04	170.7934	1.057325	2.167634
2376	-872.4749	-1043.829	171.3536	0.9207725	1.8862
2382	-861.3803	-1032.28	170.8997	1.055228	2.099605
2388	-867.7778	-1038.772	170.9942	0.9359819	2.115736
2394	-865.136	-1036.103	170.9669	0.9727229	2.10962
2400	-870.1202	-1041.268	171.1477	0.9121029	2.030326
2406	-868.7815	-1039.699	170.918	1.142317	2.030326
2412	-866.5907	-1037.225	170.6338	1.108043	2.238181
2418	-866.9808	-1037.516	170.535	1.207802	2.238181
2424	-858.3065	-1029.363	171.057	0.9747495	2.048954
2430	-864.6392	-1035.647	171.008	1.121079	1.984434
2436	-861.4792	-1032.691	171.2116	0.9404846	1.968847
2442	-859.7933	-1030.272	170.4788	1.086735	2.350824
2448	-858.8199	-1030.179	171.3587	1.110693	1.751932
2454	-849.8823	-1020.517	170.6346	1.16118	2.203644
2460	-861.7922	-1032.626	170.8334	1.186016	2.057703
2466	-875.1078	-1045.825	170.7169	1.004821	2.251009
2472	-868.3876	-1039.208	170.8205	1.145873	2.09237
2478	-871.419	-1042.048	170.6285	1.145873	2.217358
2484	-872.0801	-1042.782	170.7022	1.011384	2.256214
2490	-874.1377	-1045.18	171.0421	1.101168	1.974892
2496	-863.1226	-1033.675	170.552	1.193159	2.236557
2502	-862.366	-1033	170.6335	1.193159	2.183853
2508	-863.8424	-1034.424	170.5817	1.060106	2.302252
2514	-863.4734	-1034.119	170.6461	1.14823	2.204505
2520	-863.5997	-1034.944	171.3445	0.8553665	1.936336
2526	-862.5995	-1033.538	170.938	0.9757298	2.126534
2532	-864.2229	-1035.029	170.8065	0.9664003	2.218035
2538	-864.3097	-1035.141	170.8318	0.9782628	2.194034
2544	-876.4626	-1046.906	170.4436	0.9782628	2.441536
2550	-881.3144	-1052.571	171.2567	1.252145	1.725496
2556	-857.6089	-1027.959	170.3497	1.220122	2.348919
2562	-871.2377	-1042.443	171.2056	1.097113	1.867088
2568	-877.1821	-1047.883	170.7008	1.092696	2.204802
2574	-876.5059	-1047.527	171.0213	0.8064372	2.181552
2580	-874.8201	-1045.98	171.1603	0.9749002	1.980131
2586	-850.562	-1021.584	171.0216	0.865259	2.143766
2592	-853.6832	-1024.547	170.8637	1.29785	1.964647
2598	-876.6077	-1047.309	170.7017	1.103927	2.196973
2604	-863.45	-1034.289	170.8394	1.183775	2.055215
2610	-867.7678	-1038.687	170.919	1.103503	2.055215
2616	-869.2113	-1039.758	170.5467	1.213711	2.226917
2622	-870.279	-1041.148	170.8689	1.056205	2.119131
2628	-865.6501	-1036.183	170.5325	1.281756	2.193022
2634	-865.1836	-1036.276	171.0927	1.125735	1.924388
2640	-865.7577	-1037.038	171.28	1.009928	1.875725
2646	-852.1603	-1023.047	170.8863	1.035907	2.121032
2652	-848.4346	-1019.643	171.2082	0.9521834	1.963247
2658	-851.9927	-1022.656	170.6631	0.9521834	2.319119
2664	-856.5371	-1027.349	170.8122	0.9521834	2.223521
2670	-855.5741	-1027.01	171.4357	0.871646	1.863505
2676	-852.6719	-1024.014	171.3424	1.060498	1.798104
2682	-855.342	-1026.535	171.1931	1.060498	1.900462
2688	-859.6675	-1030.872	171.2046	0.8645244	2.023881
2694	-857.8846	-1028.989	171.1047	1.088287	1.941435
2700	-852.9844	-1023.753	170.7683	1.055513	2.185084
2706	-859.9747	-1031.368	171.3929	0.8047031	1.937153
2712	-865.6957	-1036.874	171.1786	1.015719	1.9405
2718	-852.6345	-1023.217	170.5824	1.015719	2.33009
2724	-853.5457	-1024.671	171.1254	0.9259911	2.03588
