modelID,tree_length,mean_rel_mse,n
model1,1,1.4381195196972771,48
model2,1,9.965236398740927,48
model8,1,3.9939849450263583,48
model1,1.5,0.7607535149427667,48
model2,1.5,5.609323491537192,48
model8,1.5,2.308604202459236,48
model1,2.5,0.3035188644873628,48
model2,2.5,2.7344173321795178,48
model8,2.5,1.128727422677356,48
model1,5,0.04479165427747612,48
model2,5,0.7745193476279123,48
model8,5,0.38993242986898985,48
