scenario,mean_cov_tree_len,mean_mse_tree_len,n_below_95,n_cells,pct_below_95
mk,0.8020833333333334,0.7788046803688076,412,768,53.6
nt,0.4618426770969144,4.232056697175122,2203,2304,95.6
