gridTag,tree_length,gain_loss,n_char,n_failures
tl5.00_gl1.00_pr5.00_c50,5,1,50,12
tl1.00_gl0.10_pr1.00_c100,1,0.1,100,11
tl1.00_gl0.10_pr1.00_c50,1,0.1,50,11
tl1.00_gl0.10_pr2.50_c100,1,0.1,100,11
tl1.00_gl0.10_pr2.50_c200,1,0.1,200,11
tl1.00_gl0.10_pr5.00_c100,1,0.1,100,11
tl1.00_gl0.10_pr5.00_c200,1,0.1,200,11
tl1.00_gl0.10_pr5.00_c50,1,0.1,50,11
tl1.00_gl0.25_pr2.50_c100,1,0.25,100,11
tl1.00_gl0.25_pr2.50_c200,1,0.25,200,11
tl1.00_gl0.25_pr2.50_c50,1,0.25,50,11
tl1.00_gl0.25_pr5.00_c200,1,0.25,200,11
tl1.00_gl0.25_pr5.00_c50,1,0.25,50,11
tl1.00_gl0.50_pr2.50_c100,1,0.5,100,11
tl1.00_gl0.50_pr2.50_c200,1,0.5,200,11
tl1.00_gl0.50_pr5.00_c200,1,0.5,200,11
tl1.00_gl0.50_pr5.00_c25,1,0.5,25,11
tl1.00_gl1.00_pr1.00_c25,1,1,25,11
tl1.00_gl1.00_pr2.50_c200,1,1,200,11
tl1.00_gl1.00_pr5.00_c200,1,1,200,11
tl1.00_gl1.00_pr5.00_c25,1,1,25,11
tl1.50_gl0.10_pr1.00_c100,1.5,0.1,100,11
tl1.50_gl0.10_pr1.00_c50,1.5,0.1,50,11
tl1.50_gl0.10_pr2.50_c200,1.5,0.1,200,11
tl1.50_gl0.10_pr5.00_c200,1.5,0.1,200,11
tl1.50_gl0.25_pr1.00_c100,1.5,0.25,100,11
tl1.50_gl0.25_pr2.50_c200,1.5,0.25,200,11
tl1.50_gl0.25_pr5.00_c200,1.5,0.25,200,11
tl1.50_gl0.50_pr1.00_c100,1.5,0.5,100,11
tl1.50_gl0.50_pr1.00_c25,1.5,0.5,25,11
tl1.50_gl0.50_pr1.00_c50,1.5,0.5,50,11
tl1.50_gl0.50_pr2.50_c200,1.5,0.5,200,11
tl1.50_gl0.50_pr5.00_c200,1.5,0.5,200,11
tl1.50_gl1.00_pr1.00_c100,1.5,1,100,11
tl1.50_gl1.00_pr1.00_c25,1.5,1,25,11
tl1.50_gl1.00_pr1.00_c50,1.5,1,50,11
tl1.50_gl1.00_pr2.50_c200,1.5,1,200,11
tl1.50_gl1.00_pr5.00_c200,1.5,1,200,11
tl2.50_gl0.10_c100,2.5,0.1,100,11
tl2.50_gl0.10_pr2.50_c200,2.5,0.1,200,11
tl2.50_gl0.10_pr5.00_c200,2.5,0.1,200,11
tl2.50_gl0.25_c100,2.5,0.25,100,11
tl2.50_gl0.25_pr1.00_c50,2.5,0.25,50,11
tl2.50_gl0.25_pr2.50_c200,2.5,0.25,200,11
tl2.50_gl0.25_pr5.00_c200,2.5,0.25,200,11
tl2.50_gl0.50_c100,2.5,0.5,100,11
tl2.50_gl0.50_pr1.00_c100,2.5,0.5,100,11
tl2.50_gl0.50_pr2.50_c200,2.5,0.5,200,11
tl2.50_gl0.50_pr5.00_c200,2.5,0.5,200,11
tl2.50_gl1.00_c100,2.5,1,100,11
tl2.50_gl1.00_pr2.50_c200,2.5,1,200,11
tl2.50_gl1.00_pr5.00_c200,2.5,1,200,11
tl5.00_gl0.10_c25,5,0.1,25,11
tl5.00_gl0.10_pr2.50_c200,5,0.1,200,11
tl5.00_gl0.10_pr5.00_c200,5,0.1,200,11
tl5.00_gl0.25_pr1.00_c50,5,0.25,50,11
tl5.00_gl0.25_pr5.00_c200,5,0.25,200,11
tl5.00_gl0.50_pr2.50_c200,5,0.5,200,11
tl5.00_gl0.50_pr5.00_c200,5,0.5,200,11
tl5.00_gl1.00_pr2.50_c200,5,1,200,11
tl5.00_gl1.00_pr5.00_c200,5,1,200,11
tl1.00_gl0.10_pr1.00_c200,1,0.1,200,10
tl1.00_gl0.10_pr1.00_c25,1,0.1,25,10
tl1.00_gl0.10_pr2.50_c50,1,0.1,50,10
tl1.00_gl0.25_pr1.00_c100,1,0.25,100,10
tl1.00_gl0.25_pr1.00_c200,1,0.25,200,10
tl1.00_gl0.25_pr1.00_c25,1,0.25,25,10
tl1.00_gl0.25_pr1.00_c50,1,0.25,50,10
tl1.00_gl0.25_pr5.00_c25,1,0.25,25,10
tl1.00_gl0.50_pr1.00_c100,1,0.5,100,10
tl1.00_gl0.50_pr1.00_c200,1,0.5,200,10
tl1.00_gl0.50_pr1.00_c25,1,0.5,25,10
tl1.00_gl0.50_pr2.50_c25,1,0.5,25,10
tl1.00_gl1.00_pr1.00_c200,1,1,200,10
tl1.00_gl1.00_pr1.00_c50,1,1,50,10
tl1.00_gl1.00_pr2.50_c50,1,1,50,10
tl1.50_gl0.10_c100,1.5,0.1,100,10
tl1.50_gl0.10_pr1.00_c200,1.5,0.1,200,10
tl1.50_gl0.25_c100,1.5,0.25,100,10
tl1.50_gl0.25_pr1.00_c200,1.5,0.25,200,10
tl1.50_gl0.25_pr1.00_c50,1.5,0.25,50,10
tl1.50_gl0.50_c100,1.5,0.5,100,10
tl1.50_gl0.50_pr1.00_c200,1.5,0.5,200,10
tl1.50_gl1.00_c100,1.5,1,100,10
tl1.50_gl1.00_pr1.00_c200,1.5,1,200,10
tl2.50_gl0.25_pr1.00_c200,2.5,0.25,200,10
tl2.50_gl0.50_pr1.00_c200,2.5,0.5,200,10
tl2.50_gl1.00_pr1.00_c200,2.5,1,200,10
tl5.00_gl0.10_pr1.00_c200,5,0.1,200,10
tl5.00_gl0.25_pr1.00_c200,5,0.25,200,10
tl5.00_gl0.25_pr2.50_c200,5,0.25,200,10
tl5.00_gl0.50_pr1.00_c200,5,0.5,200,10
tl5.00_gl1.00_pr1.00_c200,5,1,200,10
tl1.50_gl0.10_pr5.00_c25,1.5,0.1,25,9
tl1.50_gl0.25_pr5.00_c25,1.5,0.25,25,9
tl2.50_gl0.10_pr1.00_c200,2.5,0.1,200,9
tl2.50_gl0.10_pr1.00_c50,2.5,0.1,50,9
tl2.50_gl0.25_c25,2.5,0.25,25,9
tl1.50_gl0.10_pr1.00_c25,1.5,0.1,25,8
tl1.50_gl0.10_pr2.50_c25,1.5,0.1,25,8
tl2.50_gl0.10_c25,2.5,0.1,25,8
tl2.50_gl0.50_c25,2.5,0.5,25,8
tl2.50_gl1.00_c25,2.5,1,25,8
tl1.00_gl0.10_c100,1,0.1,100,7
tl1.00_gl0.10_pr2.50_c25,1,0.1,25,7
tl1.00_gl0.25_c100,1,0.25,100,7
tl1.00_gl0.50_c100,1,0.5,100,7
tl1.00_gl1.00_c100,1,1,100,7
tl1.50_gl0.25_pr1.00_c25,1.5,0.25,25,7
tl1.50_gl0.25_pr2.50_c25,1.5,0.25,25,7
tl1.50_gl0.50_c200,1.5,0.5,200,7
tl1.50_gl1.00_c200,1.5,1,200,7
tl2.50_gl0.10_pr1.00_c25,2.5,0.1,25,7
tl1.00_gl0.10_c50,1,0.1,50,6
tl1.00_gl0.25_c50,1,0.25,50,6
tl1.00_gl0.50_c200,1,0.5,200,6
tl1.00_gl0.50_c50,1,0.5,50,6
tl1.00_gl1.00_c200,1,1,200,6
tl1.00_gl1.00_c50,1,1,50,6
tl1.50_gl0.10_c200,1.5,0.1,200,6
tl1.50_gl0.10_c50,1.5,0.1,50,6
tl1.50_gl0.25_c200,1.5,0.25,200,6
tl1.50_gl0.25_c50,1.5,0.25,50,6
tl1.50_gl0.50_c50,1.5,0.5,50,6
tl1.50_gl1.00_c50,1.5,1,50,6
tl1.00_gl0.10_c200,1,0.1,200,5
tl1.00_gl0.25_c200,1,0.25,200,5
tl1.00_gl0.25_pr2.50_c25,1,0.25,25,5
tl1.00_gl1.00_pr2.50_c25,1,1,25,5
tl1.00_gl0.10_pr5.00_c25,1,0.1,25,4
tl5.00_gl0.10_c100,5,0.1,100,4
tl5.00_gl0.25_c100,5,0.25,100,4
tl5.00_gl0.50_c100,5,0.5,100,4
tl5.00_gl1.00_c100,5,1,100,4
tl2.50_gl0.50_c200,2.5,0.5,200,3
tl2.50_gl1.00_c200,2.5,1,200,3
tl5.00_gl0.10_c200,5,0.1,200,3
tl5.00_gl0.25_c200,5,0.25,200,3
tl5.00_gl0.50_c200,5,0.5,200,3
tl5.00_gl1.00_c200,5,1,200,3
tl1.00_gl0.50_c25,1,0.5,25,2
tl1.00_gl1.00_c25,1,1,25,2
tl1.50_gl0.25_c25,1.5,0.25,25,2
tl1.50_gl0.50_c25,1.5,0.5,25,2
tl1.50_gl1.00_c25,1.5,1,25,2
tl2.50_gl0.10_c200,2.5,0.1,200,2
tl2.50_gl0.10_c50,2.5,0.1,50,2
tl2.50_gl0.25_c200,2.5,0.25,200,2
tl2.50_gl0.25_c50,2.5,0.25,50,2
tl2.50_gl0.50_c50,2.5,0.5,50,2
tl2.50_gl1.00_c50,2.5,1,50,2
tl1.00_gl0.10_c25,1,0.1,25,1
tl1.00_gl0.25_c25,1,0.25,25,1
tl1.50_gl0.10_c25,1.5,0.1,25,1
