gridTag,tree_length,gain_loss,n_char,mean_mse_tree_len
tl5.00_gl0.50_pr2.50_c50,5,0.5,50,3.6264793330339065
tl1.00_gl0.25_pr2.50_c100,1,0.25,100,3.6021067557472177
tl2.50_gl0.50_pr2.50_c100,2.5,0.5,100,3.5997818667870125
tl1.00_gl0.10_pr5.00_c200,1,0.1,200,3.534994379952729
tl1.50_gl0.10_pr1.00_c200,1.5,0.1,200,3.52949723897587
tl5.00_gl0.25_pr2.50_c50,5,0.25,50,3.459934704974231
tl5.00_gl0.25_pr2.50_c25,5,0.25,25,3.4325505682937543
tl2.50_gl0.50_pr1.00_c25,2.5,0.5,25,3.3976414412446414
tl5.00_gl0.10_pr1.00_c100,5,0.1,100,3.322032079199443
tl2.50_gl1.00_pr1.00_c50,2.5,1,50,3.2590091107977304
tl2.50_gl1.00_pr2.50_c50,2.5,1,50,3.2515475557654585
tl1.00_gl0.50_pr1.00_c100,1,0.5,100,3.199001894744392
tl1.50_gl1.00_pr2.50_c50,1.5,1,50,3.1840260927963513
tl5.00_gl0.50_pr1.00_c25,5,0.5,25,3.16381091395871
tl1.50_gl0.25_pr1.00_c100,1.5,0.25,100,3.1534404294976026
tl2.50_gl0.10_pr2.50_c200,2.5,0.1,200,3.1324623699497787
tl1.00_gl0.50_pr5.00_c200,1,0.5,200,3.0215566940228262
tl5.00_gl0.10_pr1.00_c50,5,0.1,50,2.996146397680014
tl1.00_gl1.00_pr2.50_c100,1,1,100,2.8443317068215124
tl1.50_gl1.00_pr5.00_c50,1.5,1,50,2.773592858614056
tl2.50_gl0.10_pr2.50_c100,2.5,0.1,100,2.7106003423278193
tl1.00_gl0.25_pr1.00_c50,1,0.25,50,2.623155943202329
tl5.00_gl0.50_c25,5,0.5,25,2.6103750820378946
tl5.00_gl1.00_c25,5,1,25,2.6100563073874103
tl1.00_gl0.10_pr1.00_c200,1,0.1,200,2.6076639270637267
tl5.00_gl0.50_pr1.00_c50,5,0.5,50,2.5822703594474152
tl1.50_gl0.25_pr1.00_c50,1.5,0.25,50,2.57867797974939
tl2.50_gl0.50_pr2.50_c50,2.5,0.5,50,2.563412471829098
tl5.00_gl0.10_c25,5,0.1,25,2.5428466014179967
tl2.50_gl0.25_pr5.00_c50,2.5,0.25,50,2.5360812343068884
tl2.50_gl1.00_pr5.00_c50,2.5,1,50,2.5298738492186232
tl5.00_gl0.25_c25,5,0.25,25,2.5201756075627144
tl1.50_gl0.50_pr1.00_c25,1.5,0.5,25,2.4929654877999945
tl1.00_gl0.50_pr5.00_c100,1,0.5,100,2.4485077450220745
tl1.00_gl1.00_pr5.00_c100,1,1,100,2.440997103188815
tl1.50_gl0.50_pr5.00_c50,1.5,0.5,50,2.414139521279173
tl2.50_gl0.50_pr5.00_c50,2.5,0.5,50,2.3384006198969414
tl1.50_gl0.25_pr2.50_c100,1.5,0.25,100,2.315350227586196
tl1.50_gl0.10_pr2.50_c200,1.5,0.1,200,2.272199398643663
tl1.00_gl0.25_pr5.00_c200,1,0.25,200,2.2381688382697544
tl2.50_gl0.25_pr2.50_c50,2.5,0.25,50,2.198251542238767
tl1.00_gl0.50_pr2.50_c100,1,0.5,100,2.1921786004015
tl2.50_gl0.25_pr2.50_c25,2.5,0.25,25,2.1591151792817977
tl2.50_gl0.10_pr5.00_c100,2.5,0.1,100,2.1492808786767594
tl2.50_gl0.25_pr1.00_c50,2.5,0.25,50,2.142802571090743
tl1.50_gl0.25_pr5.00_c100,1.5,0.25,100,2.060530780939919
tl2.50_gl0.10_pr5.00_c50,2.5,0.1,50,1.9832935301105696
tl1.50_gl0.10_pr2.50_c100,1.5,0.1,100,1.967828040532741
tl1.00_gl0.10_pr2.50_c200,1,0.1,200,1.9594080791693975
