Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-187.9493	-354.3728	166.4235	0.245347	2.238674	0.405824	2.277743	0.130932	0.869068	0.322248	0.677752	2.107402
6	-188.5212	-354.8993	166.3782	0.07595527	3.435727	0.6762026	1.433589	0.267102	0.732898	0.310368	0.689632	1.942692
12	-174.3449	-340.0823	165.7374	0.03813958	4.216097	0.4837119	1.944993	0.242076	0.757924	0.337113	0.662887	1.839071
18	-177.8891	-343.6745	165.7854	0.2172641	3.501798	0.3982388	2.297619	0.226212	0.773788	0.223213	0.776787	1.866787
24	-182.7238	-348.9507	166.2269	0.6073654	2.780578	0.3980192	2.046258	0.584999	0.415001	0.281139	0.718861	1.637679
30	-186.2149	-350.7813	164.5664	0.0142128	6.531913	0.4779547	2.563032	0.271268	0.728732	0.43595	0.56405	1.350311
36	-208.837	-373.0958	164.2588	0.2811244	6.531913	0.6729749	2.767687	0.42035	0.57965	0.32303	0.67697	1.041486
42	-184.1797	-349.797	165.6173	0.3409222	3.40301	0.826786	2.104724	0.178576	0.821424	0.252798	0.747202	1.881955
48	-177.5387	-343.8121	166.2734	0.169329	2.597871	0.6868342	1.665042	0.163136	0.836864	0.310267	0.689733	2.293798
54	-174.1529	-340.3356	166.1827	0.1710541	2.652323	0.5684233	1.665042	0.196733	0.803267	0.465468	0.534532	2.293798
60	-180.2741	-345.9046	165.6304	0.05142149	3.849658	0.4232022	1.616601	0.204553	0.795447	0.354875	0.645125	2.31093
66	-177.8685	-343.7821	165.9137	0.007031335	3.418631	0.5889039	1.865252	0.384666	0.615334	0.410545	0.589455	1.963621
72	-165.6307	-331.8355	166.2047	0.03870226	3.418631	0.3646227	1.521137	0.0975246	0.902475	0.319792	0.680208	2.404999
78	-173.9335	-340.1431	166.2095	0.04096867	3.475891	0.3801664	1.209834	0.242929	0.757071	0.419584	0.580416	2.304437
84	-167.4374	-333.6787	166.2413	0.06484154	1.72008	0.6155953	0.9754949	0.465224	0.534776	0.286912	0.713088	3.11234
90	-176.0916	-342.4917	166.4	0.009314723	1.874045	0.3458619	0.9754949	0.222384	0.777616	0.380026	0.619974	3.113986
96	-176.4631	-342.564	166.1009	0.2357989	1.813082	0.504002	0.8964284	0.371814	0.628186	0.204762	0.795238	3.227861
102	-187.7376	-353.2845	165.5469	0.1264184	2.214744	0.4533595	1.212757	0.19972	0.80028	0.59276	0.40724	3.244644
108	-189.6035	-355.8995	166.296	0.1054153	1.447645	0.4605345	1.082156	0.134475	0.865525	0.415254	0.584746	3.378675
114	-184.132	-350.9674	166.8354	0.133145	1.781404	0.3784583	1.082156	0.245854	0.754146	0.408342	0.591658	2.733588
120	-183.9552	-350.412	166.4568	0.270616	1.834098	0.3992608	1.372201	0.184324	0.815676	0.427643	0.572357	2.733588
126	-187.8113	-353.6186	165.8073	0.4276172	1.267385	0.414668	2.051301	0.286562	0.713438	0.416629	0.583371	2.846249
132	-177.701	-343.6641	165.9631	0.2310255	2.036594	0.4999458	1.008087	0.168915	0.831085	0.345441	0.654559	3.187347
138	-177.6998	-345.0205	167.3207	0.1429565	1.577423	0.3948759	1.223741	0.173531	0.826469	0.21904	0.78096	2.639406
144	-173.4459	-339.3355	165.8895	0.1713051	2.9265	0.3948281	2.236668	0.164725	0.835275	0.348655	0.651345	2.118647
150	-183.7144	-349.2505	165.5361	0.002758102	3.653228	0.564455	1.853922	0.147219	0.852781	0.445762	0.554238	2.334513
156	-186.7579	-353.8513	167.0934	0.01411379	1.502438	0.4491221	1.853922	0.251943	0.748057	0.330536	0.669464	2.334513
162	-177.2206	-344.2968	167.0761	0.09921924	2.329452	0.2867395	1.539286	0.251943	0.748057	0.410208	0.589792	1.994781
168	-189.7852	-356.4219	166.6367	0.2452311	0.8757233	0.4322722	1.577277	0.516332	0.483668	0.521617	0.478383	2.904869
174	-195.4468	-362.451	167.0041	0.2215552	2.303802	0.4684372	1.783212	0.510846	0.489154	0.274791	0.725209	1.779697
180	-182.8025	-348.7197	165.9172	0.1261934	2.846892	0.4545514	1.395333	0.181536	0.818464	0.357033	0.642967	2.658001
186	-190.0087	-357.3297	167.321	0.2589457	1.45257	0.4803756	1.587776	0.180181	0.819819	0.674672	0.325328	2.303182
