Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
0	-745.7654	-915.9183	170.153	0.6604281	1.052912	0.7567918	1.642858
6	-737.5462	-907.9607	170.4145	0.5293505	0.8055596	1.111534	1.466242
12	-742.5734	-912.6768	170.1034	1.078119	0.8157479	1.068875	1.305865
18	-743.915	-914.4192	170.5041	1.047251	0.6205492	1.068875	1.145714
24	-739.1896	-909.7939	170.6043	0.7321853	0.9360565	0.6209988	1.442571
30	-741.72	-912.3646	170.6446	0.6741323	0.6740131	0.8335309	1.486649
36	-745.7329	-915.9626	170.2298	1.225126	0.5821183	0.7859732	1.478665
42	-735.4136	-905.0841	169.6705	1.916259	0.3307062	0.934524	1.33841
48	-728.307	-898.2458	169.9387	1.148401	0.9052016	0.9202118	1.427936
54	-738.9018	-909.1643	170.2625	1.304535	0.471882	1.401129	0.9087131
60	-742.8638	-912.894	170.0302	1.382772	0.7181374	1.329619	0.9444425
66	-735.7854	-906.4675	170.6822	0.9334129	0.4722714	1.300056	0.9648554
72	-739.4185	-909.244	169.8256	1.151675	1.110839	0.9283911	1.346972
78	-735.755	-905.7053	169.9503	0.7849809	0.952059	0.7870072	1.748307
84	-742.1657	-911.6166	169.4509	1.398545	0.8370679	0.7870072	1.748307
90	-743.162	-914.0459	170.884	0.1032692	0.8494031	0.9403284	1.529944
96	-744.3788	-915.2023	170.8235	0.1084936	0.8494031	0.9714963	1.547785
102	-757.2058	-926.2722	169.0664	1.971932	0.4630453	1.169925	1.561713
108	-759.7183	-929.9778	170.2595	1.592057	0.4732655	0.7509527	1.251044
114	-743.2042	-913.7075	170.5033	0.4098534	0.8136827	0.9528025	1.600935
120	-747.834	-918.2955	170.4615	0.5604329	0.8136827	0.7269358	1.685136
126	-732.2929	-900.8134	168.5205	2.000446	0.8736668	1.134062	1.709822
132	-738.316	-907.869	169.553	2.000446	0.3828408	1.134062	1.205449
138	-744.9095	-915.4717	170.5622	0.9718346	0.574394	1.089994	1.175273
144	-738.2942	-908.8024	170.5082	0.3437869	0.9548356	1.006595	1.503275
150	-746.9971	-917.0121	170.0151	1.500624	0.6903519	1.006595	1.177803
156	-748.1664	-918.419	170.2526	0.8982039	0.8365596	0.4881297	1.746863
162	-729.9603	-900.3941	170.4338	1.020891	0.8365596	0.9244706	1.181061
168	-729.1869	-898.74	169.5531	1.75148	0.5367987	1.346525	1.175987
174	-729.6293	-899.4461	169.8168	1.209948	0.9307801	1.135735	1.284828
180	-732.7839	-903.0477	170.2638	1.245794	0.494278	1.135735	1.204915
186	-730.6701	-901.4612	170.791	0.7844676	0.494278	1.069802	1.204915
192	-723.8162	-893.9647	170.1485	1.278276	0.5374209	0.9215173	1.422227
198	-728.7292	-899.8804	171.1512	0.5894226	0.4619917	0.7470437	1.34908
204	-734.0237	-904.6152	170.5915	1.164474	0.4805325	0.7832299	1.299832
210	-738.1372	-907.7776	169.6404	2.057129	0.4462763	0.8276911	1.324908
216	-746.2036	-916.7032	170.4996	0.8860733	0.4610806	0.9802344	1.444276
222	-737.4058	-908.0282	170.6223	1.063553	0.7561112	0.8957645	1.0689
228	-733.7418	-903.6489	169.9072	1.2099	0.6332878	0.8440554	1.653219
234	-737.888	-908.5622	170.6742	1.029288	0.7003201	0.839662	1.151563
240	-734.2159	-903.4849	169.269	1.487285	0.8340999	1.059936	1.622548
246	-741.6632	-912.3457	170.6825	0.9414961	0.4526294	1.11989	1.138185
252	-750.0682	-920.5904	170.5221	0.7497458	0.4700382	0.9301925	1.563617
258	-747.1447	-917.4681	170.3234	0.9690879	0.419761	0.7004876	1.729158
264	-739.1111	-909.5267	170.4155	0.6189908	0.419761	0.7004876	1.907118
270	-732.2852	-902.4436	170.1584	1.226901	0.8442064	0.7808761	1.351024
276	-736.7304	-906.6957	169.9653	1.17815	0.8159473	0.6957096	1.618806
282	-734.9179	-905.2926	170.3747	0.8667658	0.8825148	0.5321011	1.618806
288	-731.289	-901.5229	170.2339	0.4843816	0.7995746	0.6147037	1.980757
294	-731.1055	-901.5385	170.4329	0.305104	0.6283049	0.7031747	2.013996
300	-730.4691	-901.4221	170.9531	0.09503361	0.6259465	0.8692649	1.688914
306	-734.8863	-904.8429	169.9566	0.7361841	0.9173501	0.8731569	1.741993
312	-738.8231	-909.0142	170.1911	1.018598	0.6556561	0.9692775	1.478798
318	-742.3134	-912.4057	170.0922	0.6395302	0.9318026	0.7869327	1.764963
324	-746.7555	-917.3819	170.6264	0.4907236	0.5220071	0.7869327	1.754649
330	-746.2757	-916.9057	170.63	0.79732	0.6878332	0.8036682	1.417069
336	-736.3944	-907.1029	170.7085	0.06698002	0.7644975	0.6716564	1.926783
342	-739.0042	-910.1087	171.1045	0.02250544	0.7644975	0.9146699	1.506443
348	-738.708	-909.6798	170.9719	0.0562779	0.7086072	1.066206	1.506443
354	-734.0285	-904.209	170.1805	0.6876289	0.8024942	1.168594	1.482634
360	-736.3594	-907.1081	170.7487	0.8637557	0.5424334	1.031311	1.178857
366	-738.5879	-908.024	169.4361	1.770204	0.7789766	1.031311	1.34479
372	-764.1007	-933.5981	169.4974	1.592957	0.6156199	0.7083444	1.778428
378	-766.8497	-936.612	169.7623	1.557307	0.4231651	0.7844598	1.649497
384	-758.9963	-929.8845	170.8883	0.684237	0.5959163	0.7604309	1.399649
390	-743.7794	-912.9498	169.1704	1.941386	0.6713836	0.7673173	1.687885
396	-741.4701	-911.4218	169.9517	0.7818094	0.8231381	0.8909879	1.766162
402	-743.5273	-913.8313	170.304	0.9936184	0.3960517	0.974055	1.532402
408	-743.093	-914.4143	171.3213	0.1079761	0.5642762	0.6859874	1.582188
414	-753.406	-923.9852	170.5792	0.6719539	0.2418284	1.280484	1.263168
420	-742.2885	-912.6872	170.3987	0.9675285	0.4981081	0.6732633	1.669825
426	-739.8506	-909.3977	169.547	1.756655	0.9268403	0.6732633	1.434719
432	-747.3936	-917.2155	169.822	0.7229978	1.05996	1.217658	1.496454
438	-733.5147	-904.3654	170.8507	0.3129138	0.5117419	0.8373859	1.691115
444	-742.5341	-913.4674	170.9333	0.3359845	0.5117419	0.9306856	1.547175
450	-743.7013	-913.6526	169.9514	0.8179109	0.6232672	1.276284	1.5984
456	-747.495	-918.0359	170.541	1.11542	0.4096087	0.8863132	1.321216
462	-747.2061	-918.1307	170.9246	1.087076	0.4305353	0.9834629	0.8994636
468	-746.8946	-917.3889	170.4944	0.5020559	0.4881865	1.354927	1.444294
474	-741.1504	-911.4381	170.2877	0.857263	0.5938485	0.6133562	1.81875
480	-756.6927	-926.9646	170.2719	1.088539	0.3850006	0.5244514	1.809791
486	-739.454	-909.3554	169.9014	1.210325	0.7479999	0.928524	1.519223
492	-739.1953	-910.1919	170.9966	0.6804767	0.7403228	0.7357843	1.231616
498	-737.1866	-907.294	170.1074	0.6804767	0.7403228	0.6409659	1.954593
504	-728.7761	-899.2902	170.5141	0.4806544	0.6602047	0.6741647	1.841488
510	-742.3079	-912.3768	170.0689	0.8647921	0.7682084	0.5237572	1.917399
516	-735.4024	-904.0251	168.6227	1.990285	0.6901889	0.6030813	2.126387
522	-745.7147	-914.6851	168.9704	2.078627	0.5104681	0.9721669	1.677335
528	-747.051	-915.6489	168.5979	2.144029	0.5575248	1.019147	1.836301
534	-740.94	-910.1595	169.2195	1.824426	0.5447739	0.567392	1.944465
540	-741.2213	-911.2571	170.0357	1.015423	0.5837502	0.4971827	1.966942
546	-731.9324	-900.4978	168.5653	2.176097	0.6680437	0.6084563	2.051532
552	-734.9124	-904.8375	169.9251	1.040196	0.8177086	0.9667638	1.549647
558	-738.6461	-907.1546	168.5085	2.119437	0.6751745	0.9667638	1.88311
564	-735.2843	-905.8122	170.5279	0.7084116	0.5104315	0.9364369	1.567847
570	-724.6948	-895.5	170.8052	0.6101689	0.6225338	0.7952557	1.476516
576	-727.2332	-897.8403	170.6071	0.495329	0.8378389	0.9078558	1.476516
582	-729.941	-900.2967	170.3556	0.5991929	0.7491059	0.9877556	1.590483
588	-728.7365	-899.2741	170.5376	0.5991929	0.6908275	0.9633166	1.514311
594	-735.6223	-906.1389	170.5166	0.8143427	0.7601638	0.996318	1.286989
600	-738.7128	-909.2821	170.5694	0.3212345	0.6498866	1.204436	1.545327
606	-742.4159	-913.376	170.9601	0.2739734	0.8041876	0.7103728	1.550226
612	-744.3868	-915.0323	170.6455	0.5265403	0.7740818	0.7103728	1.616866
618	-737.3183	-907.7086	170.3904	0.2990036	0.7266083	0.5668173	2.077952
624	-724.9715	-895.7388	170.7674	0.3158237	0.7266083	0.9713724	1.523616
630	-724.0484	-895.1778	171.1294	0.09262435	0.574951	0.9436675	1.539086
636	-721.0187	-891.7716	170.7529	0.2724685	0.8731901	0.9436675	1.481344
642	-724.6524	-895.1822	170.5298	1.109883	0.5951422	0.9436675	1.196273
648	-725.3719	-895.4795	170.1076	0.6241969	1.007647	1.039089	1.529348
654	-738.9032	-907.3656	168.4624	1.807572	1.467873	0.8910624	1.646099
660	-738.4461	-907.982	169.5359	0.7272639	1.168639	0.7259823	1.965478
666	-735.0973	-905.3196	170.2224	0.328757	1.187909	0.7162231	1.762293
672	-728.4861	-898.538	170.0519	1.008077	1.124164	0.9084651	1.285618
678	-740.6887	-910.8629	170.1742	0.834054	0.7279891	1.045332	1.523415
684	-733.6725	-904.1466	170.4742	0.8470804	0.728634	0.7695467	1.495101
690	-738.0142	-907.2796	169.2654	1.975981	0.4285781	1.070921	1.495369
696	-729.6584	-899.2839	169.6256	1.872673	0.4594966	0.7603842	1.525743
702	-732.4791	-902.3724	169.8933	1.872673	0.4396108	0.9956392	1.127383
708	-730.2792	-900.811	170.5318	0.725602	0.7004866	1.31274	1.127383
714	-730.4425	-901.0559	170.6134	0.5235122	0.5377334	0.5622275	1.888442
720	-736.7581	-907.51	170.7519	0.09329768	0.7014767	0.9124885	1.75421
726	-742.2263	-912.6296	170.4033	0.5636513	0.8013851	1.230288	1.359611
732	-733.762	-903.7572	169.9952	0.9533544	0.8715801	1.370011	1.203509
738	-738.0531	-908.0951	170.042	1.196422	0.6094366	1.062791	1.415635
744	-736.1731	-907.0739	170.9007	0.7090847	0.4863531	0.7798514	1.415635
750	-743.0368	-913.9581	170.9213	0.05954899	0.9716902	0.7341664	1.596846
756	-739.6645	-908.6573	168.9927	2.035585	0.4976803	0.8124303	1.80948
762	-749.7574	-920.0189	170.2615	1.100484	0.2718107	0.7896003	1.589057
768	-746.3886	-916.1297	169.7412	1.322104	0.7929905	0.7959192	1.62044
774	-741.9755	-912.3724	170.3969	0.5738402	0.4736168	0.5313813	2.047447
780	-738.5333	-908.9215	170.3882	0.7967952	0.5944382	1.057582	1.469925
786	-741.1533	-912.167	171.0137	0.6980179	0.5000767	0.7340691	1.365495
792	-733.8321	-904.0118	170.1798	1.162413	0.7284968	1.125919	1.194143
798	-734.8078	-905.1881	170.3803	1.208535	0.7133111	1.125919	0.9781007
804	-742.0416	-912.9458	170.9042	0.2033509	0.5300481	0.8706989	1.69861
810	-732.9907	-902.4723	169.4815	1.569171	1.013224	0.7640981	1.492317
816	-738.7924	-909.53	170.7376	0.4983107	0.6482663	0.7602652	1.618642
822	-744.6365	-915.1514	170.5149	0.5312851	0.4812093	0.7002823	1.880708
828	-743.8448	-914.0235	170.1787	0.6261913	0.9886395	0.6609445	1.762231
834	-732.9717	-903.7797	170.808	0.4971408	0.7901494	0.8025674	1.437726
840	-743.0187	-913.4411	170.4224	1.604068	0.4958654	0.609053	1.212492
846	-737.1714	-907.5279	170.3564	0.4116637	0.6764362	0.8212541	1.885983
852	-741.5977	-911.1321	169.5343	1.382971	0.9804567	1.214968	1.268875
858	-729.6851	-900.1004	170.4152	0.7623535	0.5811454	0.6541912	1.774876
864	-738.4123	-909.108	170.6957	1.036959	0.5656125	0.7358328	1.311091
870	-731.0939	-901.613	170.5191	0.6639366	0.635912	1.275265	1.272685
876	-731.7214	-901.7508	170.0294	1.403634	0.6423585	1.14966	1.162397
882	-737.5779	-908.2525	170.6746	0.5093897	0.6423585	1.036622	1.456091
888	-742.5368	-913.6057	171.0689	0.7841651	0.665981	0.6060614	1.25021
894	-735.8131	-906.3299	170.5168	0.3531891	0.6773091	0.6888257	1.906156
900	-737.9943	-906.0157	168.0215	2.398175	0.9067245	0.7562245	2.015131
906	-738.7781	-906.5643	167.7862	2.398175	0.6939788	0.5964414	2.403509
912	-748.9302	-916.0879	167.1577	2.398175	0.563771	0.9463244	2.646024
918	-743.4615	-911.3751	167.9135	2.398175	0.3814531	1.151631	2.09362
924	-737.302	-906.9123	169.6103	0.788564	0.746317	0.8148854	2.09362
930	-726.904	-896.9602	170.0562	0.6110907	0.4914425	0.8228417	2.048759
936	-739.4966	-910.1071	170.6105	0.9165431	0.6634468	0.7029612	1.434691
