Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-1708.051	-1879.289	171.2382	1.6379	1.393508
6	-1708.532	-1879.837	171.3053	1.6379	1.340574
12	-1705.688	-1877.002	171.3139	1.931679	1.082491
18	-1709.164	-1880.425	171.2608	1.893774	1.1645
24	-1704.571	-1875.953	171.3821	1.74407	1.189162
30	-1706.344	-1877.529	171.1847	1.74407	1.352099
36	-1706.669	-1877.932	171.2628	1.745263	1.288239
42	-1708.64	-1879.682	171.0417	1.946963	1.304074
48	-1701.887	-1873.128	171.2408	1.72577	1.321913
54	-1716.549	-1887.59	171.0405	1.914222	1.331401
60	-1706.368	-1877.331	170.9628	2.065588	1.271546
66	-1708.108	-1879.165	171.0565	2.14199	1.125525
72	-1706.383	-1877.667	171.284	1.899922	1.138603
78	-1711.75	-1882.857	171.1068	1.979531	1.223182
84	-1709.138	-1880.573	171.4353	1.537491	1.316862
90	-1719.623	-1890.983	171.3605	1.499464	1.406043
96	-1713.892	-1885.451	171.559	1.5348	1.21691
102	-1729.182	-1900.309	171.1264	2.013536	1.177263
108	-1728.558	-1899.907	171.3486	1.800787	1.16901
114	-1725.066	-1896.217	171.151	1.756366	1.369034
120	-1714.545	-1885.74	171.1948	2.012141	1.117912
126	-1708.954	-1880.247	171.2936	1.93702	1.0963
132	-1719.046	-1890.166	171.1207	2.250578	0.9591737
138	-1713.636	-1885.004	171.3677	1.676142	1.258759
144	-1711.976	-1882.97	170.9942	1.731052	1.50858
150	-1703.351	-1874.175	170.8244	2.432134	1.072285
156	-1699.973	-1871.402	171.4286	1.565708	1.299502
162	-1698.538	-1870.086	171.5482	1.446011	1.299502
168	-1704.5	-1875.745	171.2451	1.635894	1.389658
174	-1712.655	-1883.945	171.2898	1.60033	1.382552
180	-1729.662	-1900.604	170.9418	1.757345	1.528093
186	-1709.357	-1880.733	171.3765	1.443289	1.43703
192	-1710.271	-1881.667	171.3966	1.544472	1.342307
198	-1716.662	-1887.881	171.2185	1.532085	1.489621
204	-1706.742	-1878.128	171.3862	1.770022	1.163019
210	-1697.539	-1868.909	171.3696	1.839476	1.115928
