Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-308.5336	-475.201	166.6674	1.315433	0.7680479	2.875454	0.5666659	0.573705	0.426295	0.548448	0.451552	1.557173
6	-306.4399	-473.5216	167.0817	1.315433	0.9315752	1.349057	0.4129537	0.655512	0.344488	0.574845	0.425155	2.170787
12	-298.5292	-465.1509	166.6217	0.8817681	1.199803	1.977291	0.4463224	0.461657	0.538343	0.631674	0.368326	2.170787
18	-294.6494	-463.0269	168.3775	0.8777102	0.5523389	1.29922	0.5280244	0.508207	0.491793	0.28338	0.71662	1.814026
24	-302.617	-470.7321	168.1151	0.8587374	0.456472	0.9130287	2.384912	0.372814	0.627186	0.452422	0.547578	0.813092
30	-294.8456	-462.026	167.1803	0.9791442	0.4498428	2.387027	0.751221	0.372814	0.627186	0.452422	0.547578	1.755874
36	-301.3804	-465.7336	164.3532	1.713781	1.838519	2.661475	0.2793069	0.684902	0.315098	0.546661	0.453339	2.491116
42	-316.6855	-481.2379	164.5525	1.608826	1.558419	1.809107	0.3116392	0.537428	0.462572	0.656127	0.343873	2.975588
48	-311.41	-479.6814	168.2714	0.8226497	1.253256	1.092131	0.4599375	0.415429	0.584571	0.605385	0.394615	1.600209
54	-311.1524	-478.9484	167.796	0.1872078	0.6101938	1.32789	0.6498299	0.558491	0.441509	0.558363	0.441637	2.459536
60	-303.74	-471.6653	167.9253	0.111688	0.6516013	1.444392	0.7475589	0.428176	0.571824	0.434652	0.565348	2.273705
66	-311.5842	-478.4001	166.8159	1.231008	1.235612	1.76108	0.4796252	0.542135	0.457865	0.624953	0.375047	1.887333
72	-314.1421	-483.0515	168.9094	0.9912266	0.7148006	0.7207293	1.156682	0.6563	0.3437	0.517293	0.482707	1.130358
78	-310.2427	-479.0575	168.8148	0.6988504	0.6106771	0.8758206	1.156682	0.534372	0.465628	0.403313	0.596687	1.37908
84	-303.2579	-472.3996	169.1417	0.2308064	0.6106771	1.012251	0.9889502	0.554687	0.445313	0.458244	0.541756	1.502322
