Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
0	-1377.199	-1525.456	148.2567	1.754217	0.9666557	1.365563	12.85471
6	-1367.016	-1517.52	150.504	1.79024	0.8356352	1.194078	11.81961
12	-1361.526	-1505.255	143.7291	1.754694	0.8016755	1.296366	15.32113
18	-1367.632	-1516.016	148.3847	1.635867	0.8115869	0.9924684	13.12079
24	-1370.679	-1517.742	147.0622	1.89537	0.6847576	1.308025	13.57317
30	-1381.948	-1532.395	150.4473	1.671747	0.720182	1.047933	12.04475
36	-1371.722	-1521.132	149.41	1.603646	0.9592943	1.261548	12.38898
42	-1368.014	-1515.252	147.2385	1.695158	0.7788126	1.508321	13.44064
48	-1368.266	-1514.09	145.8242	1.695158	0.6520048	1.151009	14.41397
54	-1364.852	-1506.415	141.5636	1.758424	0.660483	1.164325	16.57205
60	-1357.289	-1498.401	141.112	1.955185	0.9260373	1.164325	16.57205
66	-1363.933	-1506.337	142.4045	1.817848	0.9260373	1.296166	15.90942
72	-1373.647	-1520.521	146.8737	1.711267	0.9078424	1.35766	13.63014
78	-1367.764	-1515.224	147.4596	1.651249	0.9078424	1.291902	13.39007
84	-1379.355	-1520.388	141.0329	1.761535	1.120724	1.525094	16.43333
90	-1377.79	-1522.937	145.1475	1.650721	0.9466249	1.311755	14.55928
96	-1377.853	-1522.789	144.9355	1.833279	0.9739226	1.133806	14.65086
102	-1391.044	-1532.606	141.5625	1.821378	0.8737763	1.502554	16.26724
108	-1388.482	-1529.918	141.436	1.811294	1.10929	1.398536	16.26724
114	-1379.366	-1526.19	146.8234	1.793296	1.000679	1.037009	13.72929
120	-1371.387	-1516.625	145.2373	1.803348	0.9232271	1.079192	14.56446
126	-1383.536	-1531.566	148.0296	1.69148	1.085703	1.067845	13.09561
132	-1373.319	-1520.981	147.6613	1.655578	1.07516	1.270296	13.20718
138	-1386.103	-1535.574	149.4713	1.654145	1.030215	1.363867	12.24209
144	-1372.526	-1517.577	145.0512	1.654145	1.495055	1.142035	14.41584
150	-1374.663	-1520.277	145.6136	1.764599	1.383807	1.239027	14.07226
156	-1362.669	-1511.843	149.1736	1.764599	1.099376	1.158342	12.40828
162	-1377.132	-1519.649	142.5172	1.869626	0.9533284	1.148502	15.88527
168	-1367.669	-1514.527	146.8579	1.588927	0.9139648	1.218213	13.76903
174	-1362.192	-1512.078	149.8855	1.675067	1.018936	1.582842	11.91345
180	-1371.907	-1516.695	144.7873	1.747845	0.8501027	1.285731	14.75819
186	-1379.403	-1521.694	142.291	1.694216	0.6453793	0.9334013	16.35565
192	-1382.414	-1520.189	137.7744	1.911996	0.9280161	1.194935	18.29583
198	-1388.531	-1528.038	139.5072	1.951693	1.015845	1.177019	17.34793
204	-1380.013	-1528.14	148.1272	1.603276	0.6727286	0.9698978	13.35125
210	-1383.439	-1529.896	146.4566	1.771709	0.9033764	1.090386	13.95352
216	-1373.705	-1521.666	147.9616	1.650219	0.7272	1.659373	13.04143
222	-1360.308	-1508.031	147.7233	1.613452	0.7272	1.243811	13.38845
228	-1361.408	-1508.887	147.4785	1.724985	0.7473422	1.361533	13.38845
234	-1364.915	-1513.597	148.6811	1.700378	0.7473422	0.9970565	12.96289
240	-1362.327	-1510.496	148.169	1.42911	0.9259966	1.400795	13.07295
246	-1357.195	-1504.501	147.306	1.653262	0.7464004	1.141121	13.62764
252	-1360.216	-1506.298	146.0827	1.597468	1.027859	1.271176	14.08074
258	-1371.819	-1520.342	148.5236	1.530382	0.7814539	1.055736	13.08571
264	-1364.738	-1504.588	139.8497	2.063355	0.6550448	1.036039	17.36622
270	-1369.147	-1512.544	143.3972	1.872379	0.9363828	1.037953	15.49499
276	-1373.653	-1518.845	145.1924	1.801559	0.9314835	1.168899	14.53824
282	-1363.423	-1504.637	141.2131	1.97134	0.6884962	1.168899	16.62767
288	-1349.033	-1495.56	146.5269	1.818936	0.7638282	1.121416	13.9474
294	-1361.405	-1507.825	146.4195	1.818936	0.6873037	1.212649	13.99342
300	-1355.927	-1502.599	146.6724	1.734803	0.6873037	1.042606	13.99342
