Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
468	-282.5294	-451.2403	168.7109	1.653609	1.620845	1.314216	1.218408
474	-270.1833	-439.6025	169.4191	1.642145	1.13724	0.9498938	1.324937
480	-275.7233	-443.9931	168.2697	1.503477	2.361487	1.218974	1.257025
486	-268.1036	-437.2891	169.1855	1.102818	1.500702	0.945276	1.63015
492	-267.1046	-436.1418	169.0372	1.102818	2.459563	0.5377023	1.436546
498	-266.4411	-435.8902	169.4492	1.429917	0.8908591	0.9498082	1.637457
504	-256.4702	-425.8356	169.3654	1.087947	1.569929	0.9464528	1.459523
510	-269.4691	-438.5764	169.1073	0.9782807	2.263348	0.890509	1.323576
516	-255.5293	-425.6933	170.164	0.8576309	0.8647819	0.8256852	1.636332
522	-258.5844	-427.3288	168.7444	0.8125386	2.926878	1.14175	1.134357
528	-255.4513	-425.4446	169.9933	0.517789	1.855152	1.256424	0.8665993
534	-263.6596	-432.8281	169.1685	0.8063214	1.236661	2.40568	0.8665993
540	-259.5349	-429.7133	170.1784	0.822276	1.51193	1.133433	0.8460661
546	-266.767	-437.0712	170.3042	0.707783	1.281326	1.337172	0.8460661
552	-264.0428	-433.8302	169.7873	0.9512756	1.232046	1.519398	1.004904
558	-258.0237	-427.0293	169.0056	0.9839017	2.104284	1.496756	0.9862863
564	-250.778	-421.5868	170.8088	0.3865618	0.8568587	1.053979	1.245936
570	-239.9936	-410.0733	170.0797	0.3679742	1.361414	1.489323	1.06617
576	-247.4418	-416.4708	169.029	0.6406714	2.837971	0.4982912	1.596453
582	-251.5562	-420.0939	168.5377	1.242763	2.837971	0.5911459	1.456143
588	-260.8379	-429.9597	169.1217	0.8434664	2.432333	0.7230982	1.443879
594	-268.0367	-436.5618	168.5252	0.8434664	3.085331	0.8031022	1.473639
600	-256.6629	-426.9639	170.3011	0.7373362	1.290463	0.8031022	1.318108
606	-249.4559	-419.744	170.2881	0.616323	1.52087	0.9441325	1.114736
612	-249.5986	-418.3665	168.7678	1.131494	1.741776	0.9499015	1.746665
618	-260.6347	-430.1774	169.5428	1.135145	1.701101	1.220984	0.9189984
624	-257.4684	-425.9996	168.5312	1.040817	2.693845	0.6037749	1.676056
630	-261.6476	-431.9022	170.2547	0.5827196	1.494316	0.7537959	1.347568
636	-250.1196	-419.1288	169.0091	1.534652	2.035851	0.7345253	1.241011
642	-257.1437	-427.0907	169.9471	0.780063	1.271518	1.099186	1.346605
648	-255.7183	-424.9183	169.2	0.780063	2.294094	1.053569	1.254534
654	-264.7332	-434.6409	169.9077	0.9150474	1.224357	0.8197829	1.524915
660	-268.944	-438.1292	169.1852	1.400468	1.521309	0.6885509	1.591679
666	-265.4818	-434.9915	169.5097	1.172491	1.492516	1.276229	1.053663
672	-259.2218	-428.9399	169.7181	0.974224	1.270025	1.42696	1.101666
678	-262.9491	-433.314	170.3649	0.5993469	1.426111	0.9044019	1.173561
684	-262.0042	-431.9924	169.9883	0.6269778	1.025532	0.8140459	1.807771
690	-265.5513	-435.0937	169.5424	1.285016	1.265815	1.107598	1.267284
696	-259.2078	-428.7214	169.5136	1.40438	1.537099	0.7625986	1.267284
702	-264.9752	-433.9232	168.9479	0.8307441	1.628087	0.7773273	2.015545
708	-269.3986	-439.533	170.1344	0.7391903	1.856506	0.6006305	1.188924
714	-262.7736	-433.151	170.3774	0.836803	0.9475986	0.9605997	1.326173
720	-255.1044	-425.3004	170.196	0.8075658	0.9338535	1.063204	1.421441
726	-256.455	-426.5218	170.0668	0.5282782	1.540748	1.384699	0.9494211
732	-260.9459	-431.3957	170.4497	0.5707294	1.148769	1.275865	1.022802
738	-255.5196	-425.8701	170.3506	0.8072973	0.9769711	1.031258	1.290336
744	-267.8603	-438.1554	170.295	0.8072973	0.9232023	0.8844347	1.490432
750	-258.4656	-427.812	169.3465	0.865311	2.037154	0.8190605	1.426189
756	-284.334	-452.6083	168.2743	1.591054	2.561929	1.130832	1.125518
762	-261.0757	-430.7135	169.6378	0.7831676	2.061244	1.202266	0.8743631
768	-249.1849	-418.947	169.762	1.239743	1.196242	1.10715	1.176965
774	-254.1043	-423.7707	169.6664	1.143	1.41452	1.228726	1.047642
780	-247.7201	-416.7184	168.9983	1.333773	1.760559	0.9482129	1.421898
786	-260.0493	-429.551	169.5018	0.5461961	1.452694	1.478599	1.421898
792	-266.3568	-435.1817	168.8249	1.083807	2.617074	1.057252	1.098167
798	-259.5562	-429.5631	170.0069	0.4560097	1.692383	1.306484	0.9923761
804	-268.8487	-438.2544	169.4057	0.5964466	1.692383	1.815767	0.9905552
810	-265.477	-435.2174	169.7403	0.4855878	1.692383	1.668726	0.8723537
816	-269.9292	-440.0791	170.1499	0.4855878	1.109987	1.75671	0.936338
822	-269.2977	-438.7164	169.4187	0.6978384	1.854942	1.282031	1.25181
828	-260.0553	-430.8828	170.8275	0.796073	0.7542197	0.6651732	1.385603
834	-250.2918	-420.6653	170.3734	0.7246838	1.022339	1.235122	1.125407
840	-259.0847	-429.2738	170.1891	0.7246838	1.261304	1.376031	0.9373365
846	-254.0565	-423.484	169.4275	0.7246838	1.849953	1.299658	1.212263
852	-257.653	-427.1746	169.5216	0.9435513	1.549938	1.264998	1.209682
858	-245.4656	-415.0865	169.6209	0.8759571	1.320559	1.405942	1.247183
864	-254.2789	-425.1006	170.8217	0.7280489	0.7691455	0.793322	1.328911
870	-250.4887	-420.8124	170.3238	0.6506187	1.732947	0.7102123	1.091928
876	-251.7231	-420.0736	168.3505	2.171664	1.456696	0.6791419	1.75018
882	-252.8236	-422.2246	169.401	0.7455724	1.53268	1.096657	1.598594
888	-265.1272	-435.5066	170.3794	0.6995589	1.541393	0.7838071	1.093266
894	-265.1187	-434.5131	169.3944	0.8583651	1.741521	0.8100047	1.593741
900	-263.9754	-432.9257	168.9503	1.037573	1.693707	1.263556	1.486217
906	-248.4337	-417.6172	169.1836	1.037573	1.678425	1.63505	0.9851793
912	-250.4686	-420.6199	170.1513	0.6771223	1.442369	0.9632382	1.235375
918	-257.3401	-426.998	169.6579	0.848767	1.587288	1.157871	1.235375
924	-245.8671	-415.6636	169.7964	1.038596	1.277883	0.8112195	1.482964
