Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
0	2.094173	-169.3473	171.4414	0.2349914	1.676799	0.4842229
6	-3.295706	-172.4536	169.1579	2.62974	2.126199	0.520039
12	-11.27361	-181.0912	169.8175	2.164245	1.656813	0.8564639
18	-15.49177	-187.8293	172.3376	0.5400845	0.7910283	0.4136383
24	-4.490464	-176.4831	171.9926	0.4978111	1.150157	0.6342248
30	-4.649409	-175.5788	170.9294	1.02798	1.757756	0.5466604
36	-11.86472	-183.0586	171.1939	0.6869648	1.757756	0.7154039
42	1.809205	-168.9692	170.7784	0.5800428	2.3267	0.4312313
48	2.080237	-168.3303	170.4106	0.5255084	2.744572	0.4845745
54	-2.052892	-172.5933	170.5404	0.7462377	2.410802	0.6005126
60	6.141012	-165.6855	171.8265	0.4620116	1.365542	0.5246389
66	4.999404	-167.4037	172.4031	0.5885729	0.5518941	0.8307271
72	2.06797	-169.3428	171.4108	1.015035	1.262326	0.6352392
78	1.33257	-170.5277	171.8603	0.5278943	1.173524	0.7867086
84	8.646446	-163.3335	171.98	0.850873	0.8805522	0.5621815
90	-1.185481	-172.2642	171.0787	0.8271821	1.797736	0.4195837
96	2.094918	-167.7461	169.841	2.026774	1.913248	0.5698025
102	8.346122	-162.839	171.1852	1.083913	1.450141	0.4940654
108	-2.667317	-172.6604	169.9931	2.396162	1.450141	0.6075569
114	-3.280628	-175.1577	171.8771	1.02747	0.7905872	0.6178784
120	-7.137575	-178.3551	171.2175	0.5848401	1.711067	0.8665619
126	-4.606007	-172.6782	168.0722	2.012986	3.700773	0.4698189
132	-2.314714	-172.1752	169.8605	2.243806	1.673924	0.6751964
138	-2.962772	-171.7487	168.7859	3.066176	2.135167	0.6751964
144	-10.25714	-179.5676	169.3105	2.375063	2.135167	0.3801116
150	-6.93674	-178.2265	171.2898	1.474104	0.6171008	1.041274
156	-7.489017	-178.8569	171.3679	1.255858	0.8054585	0.9851436
162	-3.565115	-175.3194	171.7543	0.4192975	1.157948	0.9914789
168	2.082901	-169.1129	171.1958	1.127357	1.289278	0.7683989
174	4.608647	-166.168	170.7767	1.547606	1.360197	0.6757382
180	0.8503405	-170.5696	171.42	1.174044	1.125821	0.5059303
186	-1.087242	-172.9827	171.8954	0.2709885	1.266304	0.5769261
192	-6.889945	-178.3772	171.4873	0.3974458	1.718159	0.5769261
198	-5.246045	-176.5802	171.3341	0.7423896	1.552858	0.7365402
204	-3.817908	-175.3988	171.5809	0.7423896	1.350705	0.6574587
210	-4.18729	-175.6068	171.4195	0.6812873	1.576352	0.3815408
216	-3.116774	-174.1377	171.0209	1.676465	0.8060252	0.9328419
222	-0.3348731	-171.8705	171.5357	0.6628805	1.407804	0.7615651
228	-2.243796	-174.3186	172.0748	0.8423731	0.7383391	0.6989089
234	-2.837212	-173.9565	171.1193	1.551253	0.9388568	0.7940938
240	-1.686915	-172.9356	171.2487	0.3335644	1.840084	0.7940938
246	-5.396286	-175.9898	170.5935	0.4848656	2.530034	0.3489628
252	3.723774	-168.1645	171.8883	0.5690398	1.233889	0.4698898
258	-13.00348	-181.3369	168.3334	1.505326	3.892355	0.5197604
