Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-2586.67	-2747.044	160.3741	0.8080226	7.453249	7.173523	1.03025
6	-2600.565	-2762.885	162.3208	0.825279	5.594099	5.730964	1.294987
12	-2596.62	-2759.904	163.2841	0.825279	5.080419	4.558701	1.649057
18	-2598.62	-2761.627	163.007	0.6680721	5.523253	4.776445	1.644496
24	-2598.252	-2763.204	164.9524	0.6527399	3.634046	3.67099	1.800776
30	-2604.964	-2769.435	164.4716	0.6835675	4.8329	3.67099	1.628776
36	-2596.153	-2759.677	163.5239	0.82842	4.8329	4.47379	1.628776
42	-2583.468	-2746.338	162.8705	0.5382348	6.073233	5.174562	1.348635
48	-2582.212	-2745.809	163.5967	0.9016217	3.848771	5.25985	1.348635
54	-2594.82	-2758.896	164.0757	0.5880557	5.333548	3.711374	1.765115
60	-2591.182	-2754.735	163.5523	0.7533159	3.475023	5.71309	1.32793
66	-2585.928	-2749.178	163.25	0.7533159	4.147299	5.308338	1.553571
72	-2591.628	-2755.998	164.3708	0.5685484	3.805444	4.696118	1.464457
78	-2581.177	-2744.722	163.5451	0.5732393	4.479069	5.086841	1.491791
84	-2581.525	-2744.83	163.3049	0.6310444	4.81326	5.086841	1.491791
90	-2576.422	-2740.064	163.6425	0.6460274	4.899605	4.9194	1.312093
96	-2579.217	-2742.764	163.5476	0.7258168	4.433113	5.087877	1.391987
102	-2587.508	-2750.043	162.5356	0.4652914	4.396407	6.581257	1.230047
108	-2584.25	-2746.744	162.4936	0.4163566	4.35034	6.768516	1.169781
114	-2584.113	-2746.251	162.1378	0.7109152	4.792556	6.438897	1.293621
120	-2585.33	-2747.947	162.6176	1.040226	4.671858	5.662937	1.319551
126	-2582.504	-2744.71	162.2054	0.8482329	5.88615	5.653254	1.319551
132	-2588.609	-2752.093	163.4832	0.5783728	6.875577	4.239241	1.289746
138	-2587.53	-2751.467	163.9367	0.579794	5.909869	3.472099	1.839105
144	-2589.761	-2753.803	164.0418	0.764415	3.794902	4.493381	1.714421
150	-2595.444	-2759.528	164.0837	0.5646205	5.028519	4.18247	1.55027
156	-2584.536	-2748.105	163.569	0.7213384	4.21213	5.039488	1.512082
162	-2589.918	-2754.291	164.3734	1.14205	3.417207	4.326354	1.494108
168	-2587.104	-2752.177	165.0735	0.4789329	3.577255	4.341849	1.3747
174	-2598.426	-2763.26	164.8334	0.5386046	4.237485	4.122632	1.3747
180	-2594.937	-2760.097	165.1603	0.6113826	3.234941	4.187606	1.496518
186	-2600.301	-2764.801	164.4998	0.6579765	4.226753	4.151299	1.521276
192	-2596.244	-2760.622	164.3783	0.7192072	3.863107	4.048126	1.792905
198	-2590.852	-2753.363	162.5108	0.7192072	4.992656	5.639543	1.535434
204	-2581.276	-2743.806	162.5302	0.7192072	5.16754	5.801535	1.326391
210	-2590.85	-2753.421	162.5719	0.6898629	6.118473	5.607849	1.087351
216	-2598.822	-2761.259	162.4369	0.8122754	4.814704	6.265413	1.087351
222	-2595.068	-2760.883	165.8157	0.5161339	3.128729	3.579998	1.584945
228	-2582.62	-2746.229	163.6084	0.8744086	4.205832	4.903116	1.47262
234	-2580.864	-2743.975	163.1112	0.5669207	5.700103	4.957332	1.44491
240	-2584.605	-2746.914	162.3093	0.7310008	5.700103	5.636243	1.413321
246	-2584.181	-2746.763	162.5816	0.6033891	5.763063	5.636243	1.274022
252	-2606.408	-2768.246	161.8381	0.7134968	7.241017	5.636243	1.256748
258	-2602.187	-2765.569	163.3825	0.7134968	3.651914	5.636243	1.463407
264	-2591.717	-2755.398	163.6804	0.7463693	3.98459	5.192979	1.393012
270	-2600.205	-2764.144	163.939	0.6271498	5.25109	4.381457	1.374658
276	-2592.91	-2755.081	162.1712	0.8750167	4.365931	6.617891	1.174625
282	-2602.503	-2764.755	162.252	0.8114947	5.706839	5.767102	1.288364
288	-2584.42	-2746.372	161.9526	0.8114947	5.982963	5.93589	1.288364
294	-2595.286	-2757.577	162.2905	0.7796801	4.320988	6.473132	1.297608
300	-2582.973	-2746.836	163.8626	0.6434077	4.330651	4.886438	1.412805
306	-2589.307	-2751.649	162.3421	0.6401952	5.297799	6.037277	1.298338
312	-2602.175	-2765.14	162.9654	0.6924119	3.822416	6.364947	1.140626
318	-2596.829	-2758.641	161.8119	0.707157	5.282311	6.520043	1.288718
324	-2583.597	-2747.014	163.4168	0.7161482	3.247364	6.102673	1.2735
330	-2591.755	-2756.788	165.0331	0.5246412	3.528728	4.0772	1.593824
336	-2582.056	-2747.627	165.5708	0.4987053	2.961003	4.114339	1.469244
342	-2598.043	-2763.211	165.1684	0.3585598	2.755163	5.228296	1.123031
348	-2588.815	-2751.183	162.3684	0.586528	5.378591	6.229676	1.123031
354	-2582.499	-2746.51	164.0114	0.5379948	4.739504	4.60845	1.419015
