Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-92.30843	-258.4353	166.1269	2.315886	0.4926144	4.936566	0.530542
6	-107.1135	-273.8063	166.6928	2.315886	0.9171368	3.573708	1.11148
12	-106.2361	-274.0322	167.7961	1.883155	0.7830803	3.07663	1.002
18	-100.7286	-267.9047	167.1761	1.976956	1.127921	3.07663	1.184098
24	-116.0389	-284.0341	167.9952	1.496192	0.6264035	3.433226	0.9372346
30	-108.0073	-275.244	167.2367	1.424707	0.5783904	4.096087	1.133449
36	-112.1109	-280.0853	167.9743	1.367504	0.5783904	3.413082	1.133449
42	-92.86205	-261.2543	168.3922	1.724767	0.9552408	1.330022	1.875593
48	-89.93708	-258.5858	168.6487	1.724767	0.9316656	2.017936	1.186001
54	-88.82826	-258.2833	169.455	1.327109	0.6883552	1.910149	1.103884
60	-103.0921	-271.9073	168.8152	1.4334	0.7672588	2.117408	1.322727
66	-94.38575	-263.5888	169.2031	1.422872	0.7893967	1.982299	1.097235
72	-90.83923	-259.6821	168.8429	1.18263	0.5783858	1.56339	1.997417
78	-104.3631	-273.5149	169.1519	1.055802	0.8869192	1.943457	1.393439
84	-99.73478	-268.2992	168.5644	0.9024835	1.006126	1.948274	1.841173
90	-91.39096	-260.9413	169.5503	1.371117	0.6338188	1.521173	1.356833
96	-83.55688	-251.2484	167.6915	2.493044	1.067324	1.995363	1.356833
102	-80.56608	-248.7129	168.1468	1.761904	1.468966	2.126244	1.034509
108	-95.04692	-263.6063	168.5594	0.8522678	2.443527	1.627323	1.150824
114	-89.05025	-257.6377	168.5875	1.403074	0.8780333	2.541376	1.086587
120	-90.2087	-258.7254	168.5167	0.6981748	0.9802129	3.425741	0.8535692
126	-88.39815	-253.1404	164.7422	3.331766	0.8834496	5.146837	0.7577219
132	-84.22977	-252.5862	168.3564	1.666575	0.6485852	2.888964	0.9444328
138	-86.12762	-253.5007	167.3731	2.010779	0.6630364	3.558264	0.9444328
144	-86.70672	-255.1043	168.3976	1.201145	1.145532	2.963705	0.7488752
150	-89.68317	-257.2075	167.5243	1.161713	0.6208267	4.293702	0.8677588
156	-96.58556	-264.0644	167.4789	1.606876	1.406422	3.050418	0.9779121
162	-98.48461	-264.7958	166.3112	3.260543	1.385067	3.163852	0.7043813
168	-91.13021	-259.8214	168.6912	1.780396	0.6496284	2.384524	1.012684
174	-88.67881	-257.0016	168.3228	1.125236	0.7258466	3.214548	1.0959
180	-110.9699	-281.0085	170.0387	0.7009907	0.5978854	1.944669	1.171148
186	-93.1051	-262.0665	168.9614	1.023081	0.6805942	2.619741	1.184707
192	-100.4475	-268.7961	168.3486	1.702095	0.794255	2.100326	1.485302
198	-92.94268	-262.5008	169.5581	1.148896	0.6407929	1.398837	1.602951
204	-97.38176	-266.3055	168.9237	1.148896	0.7345276	2.330013	1.311757
210	-98.87087	-265.6895	166.8186	3.404716	0.7592163	2.944681	0.9919014
216	-92.80059	-261.4702	168.6697	1.826667	1.170392	1.323137	1.464061
