Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
0	-876.0015	-1043.307	167.3059	1.099297	1.726062	2.199915	1.991567
6	-879.2969	-1046.844	167.5476	1.239726	1.350645	2.199915	1.969416
12	-872.0634	-1039.169	167.1057	1.301671	1.089438	2.654462	2.156121
18	-877.6512	-1044.848	167.1967	1.146721	1.340756	1.852346	2.452116
24	-877.7987	-1044.975	167.1766	1.504267	1.339617	2.101721	2.100516
30	-879.5382	-1046.513	166.9744	1.295278	1.177193	2.067363	2.483461
36	-888.0395	-1054.451	166.4114	1.295278	1.41707	1.372205	3.065582
42	-875.9289	-1044.006	168.0775	1.502034	0.558678	1.405479	2.402346
48	-867.3062	-1035.571	168.265	1.397203	1.011697	1.817254	1.821806
54	-874.2398	-1042.963	168.7232	1.193143	0.8842356	1.255986	2.087254
60	-864.7306	-1032.487	167.7561	1.277328	1.023982	2.034534	2.110134
66	-864.9524	-1031.464	166.5114	1.567147	1.040966	2.034534	2.702861
72	-876.6819	-1043.07	166.3881	1.458934	2.033473	1.760096	2.42209
78	-877.9474	-1044.605	166.6578	1.477123	2.033473	1.654979	2.299411
84	-882.3975	-1048.094	165.6965	1.477123	1.664928	2.017337	2.898027
90	-879.2238	-1046.618	167.3945	1.363163	1.035155	2.017337	2.290733
96	-877.8787	-1045.221	167.342	1.425655	1.341204	1.661378	2.290733
102	-872.035	-1039.391	167.3557	1.293534	0.8785906	2.040658	2.446
108	-883.4159	-1050.471	167.0548	1.63753	0.7270996	1.811479	2.6333
114	-885.1248	-1053.505	168.3803	1.356002	0.6079433	1.453198	2.248901
120	-882.7517	-1051.295	168.5435	1.066663	1.334132	1.243391	2.003345
126	-879.0633	-1046.689	167.626	1.462053	1.002787	2.189438	2.003345
132	-873.5075	-1041.649	168.1415	1.362538	1.30905	1.719219	1.788146
138	-870.1207	-1037.615	167.4938	1.112935	1.449377	1.743392	2.280327
144	-881.4345	-1048.581	167.147	1.482939	1.894109	1.59768	2.089715
150	-874.5377	-1040.652	166.1146	1.495873	1.764581	2.797605	2.189792
156	-864.0515	-1031.43	167.3788	1.502513	1.055279	1.655031	2.400966
162	-863.5237	-1030.575	167.0511	1.44148	1.084513	2.403854	2.227888
168	-866.6542	-1034.671	168.0168	1.301579	1.742337	1.122554	2.024281
174	-857.5926	-1025.328	167.7353	1.368843	1.047379	1.628574	2.279614
180	-863.7989	-1030.844	167.0455	1.831711	1.317602	1.578556	2.283744
186	-881.4225	-1047.506	166.0832	1.88218	1.352255	1.409009	2.926427
192	-872.2223	-1039.59	167.3682	1.445289	1.080772	1.819807	2.334522
198	-871.0375	-1038.174	167.1369	1.437762	1.032055	2.071374	2.380302
204	-865.6763	-1033.35	167.6732	1.076341	1.51641	2.071374	1.960263
210	-893.7831	-1059.115	165.3316	1.4471	2.048064	1.633467	3.13639
216	-899.685	-1067.071	167.3864	1.784491	0.6761592	2.199999	2.152232
222	-878.9678	-1046.053	167.0852	1.372267	1.45145	2.104255	2.175212
228	-884.6556	-1051.461	166.8051	1.406392	1.52832	1.638248	2.542819
234	-881.8669	-1048.264	166.397	1.855412	0.7659573	2.105384	2.726753
240	-886.9516	-1054.158	167.2067	1.587445	0.8652132	1.315064	2.770649
246	-890.9789	-1058.301	167.3217	1.542421	2.224972	0.9840763	2.14421
252	-882.5322	-1048.123	165.5908	1.752578	1.368629	2.091101	2.925323
258	-875.5558	-1043.081	167.525	1.66817	1.23786	2.130241	1.806679
264	-869.0095	-1036.246	167.2366	1.190788	1.187442	1.983776	2.422283
270	-866.7637	-1035.52	168.7565	1.142923	1.060409	0.979132	2.162988
276	-869.927	-1036.872	166.9451	1.533175	1.282382	2.058257	2.291029
282	-874.5942	-1042.406	167.8117	1.59055	1.064885	1.099814	2.401361
288	-883.8181	-1052.086	168.2677	1.265223	0.8555647	1.052578	2.479977
294	-871.6963	-1039.212	167.5154	1.502921	0.8555647	2.210731	2.134605
300	-881.856	-1049.172	167.3157	1.32995	1.324241	1.851765	2.270854
306	-877.54	-1045.455	167.9154	1.32995	0.9886927	2.125774	1.942364
312	-883.7558	-1050.543	166.787	1.441945	1.465176	2.840217	1.942364
318	-876.8771	-1043.558	166.6805	1.500649	1.516075	2.840217	1.942364
324	-871.2541	-1039.133	167.8793	1.539248	1.436468	1.43485	1.942364
330	-877.0932	-1044.12	167.0268	1.435998	1.730185	2.173025	1.965222
336	-879.5677	-1046.329	166.7616	1.061881	1.802445	2.92934	1.965222
342	-875.7808	-1043.418	167.6375	1.380264	1.055005	1.788532	2.237916
348	-874.642	-1042.084	167.442	1.660501	1.285541	1.41275	2.258929
354	-871.8903	-1038.939	167.0489	1.493405	0.8509466	1.69042	2.718364
360	-879.0787	-1045.709	166.63	1.35586	1.274061	2.049322	2.61025
366	-876.4738	-1044.191	167.7176	1.330753	0.8559779	1.618668	2.441834
372	-888.738	-1056.027	167.2892	1.363476	1.642651	1.519942	2.266635
378	-879.1167	-1046.062	166.9455	1.608064	1.01594	1.804852	2.547001
384	-874.5625	-1042.178	167.6155	1.338828	0.9637772	1.709212	2.381676
390	-869.9794	-1038.19	168.2111	1.438148	1.074698	2.10883	1.610905
396	-879.5913	-1046.773	167.1817	1.607276	1.289711	3.223238	1.475747
402	-869.6388	-1036.063	166.4244	1.558818	1.504794	1.48548	2.783901
408	-874.1065	-1040.152	166.0457	1.719876	1.342051	1.54912	2.973286
414	-874.4766	-1041.378	166.9016	1.210401	1.189327	1.745779	2.745219
420	-877.6229	-1044.854	167.2311	1.461298	1.189327	1.515065	2.516958
426	-888.0759	-1054.8	166.7244	1.301522	1.686769	2.227656	2.24822
432	-879.0862	-1046.906	167.8195	1.102649	0.9087862	2.045668	2.250923
438	-869.5621	-1036.649	167.0872	1.401376	1.627856	1.787988	2.224149
444	-869.9667	-1038.156	168.1897	1.475438	0.8483121	1.263222	2.26875
450	-872.6613	-1040.198	167.5368	1.056021	0.9709545	2.346488	2.265375
456	-873.3598	-1041.207	167.8475	0.9686018	0.9715604	2.070632	2.265375
462	-863.1208	-1030.585	167.4643	1.169018	1.140262	2.070632	2.274636
468	-870.9735	-1037.66	166.6869	1.681028	1.12511	2.369427	2.29923
474	-874.6752	-1041.703	167.0282	1.37043	1.382872	2.022215	2.29923
480	-876.0842	-1043.495	167.4105	1.088111	1.484905	2.014315	2.176834
486	-873.7383	-1039.424	165.6855	1.384598	1.484905	2.738383	2.717335
492	-872.255	-1038.816	166.5606	1.889108	0.9820585	2.429527	2.308184
498	-872.9781	-1038.737	165.7588	1.741985	1.207617	1.459763	3.25887
504	-876.6488	-1044.385	167.7366	1.5254	1.102709	1.812897	2.033318
510	-876.8147	-1043.568	166.7529	1.602378	2.005886	1.812897	2.080171
516	-883.0063	-1050.345	167.3384	1.127746	1.194412	1.777269	2.506037
522	-870.7179	-1038.339	167.6209	1.643005	0.7560759	1.652325	2.347547
528	-876.0906	-1042.802	166.711	1.532062	1.000074	1.320781	3.019171
534	-871.3917	-1037.96	166.5681	2.026463	0.661868	1.296098	3.019171
540	-870.8822	-1039.383	168.5006	1.239275	1.126148	1.684669	1.770771
546	-873.0406	-1040.074	167.0335	1.587902	1.070546	2.165404	2.276584
552	-865.437	-1033.608	168.1709	1.542585	0.8513102	1.135817	2.316178
558	-865.2518	-1033.555	168.3035	1.542585	0.8094537	1.067899	2.30093
564	-879.7145	-1046.712	166.997	1.838268	1.062809	1.172867	2.710086
570	-878.1924	-1044.865	166.6728	1.915841	1.103642	1.281215	2.770968
576	-866.5242	-1033.449	166.9249	1.567268	0.5967823	2.141462	2.65454
582	-869.1764	-1035.903	166.7266	1.675751	0.7890746	1.947035	2.702951
588	-864.8335	-1033.377	168.5434	1.284577	1.15913	1.18895	2.007999
594	-871.2706	-1039.953	168.6824	1.147003	1.129388	1.2032	2.017314
600	-862.3106	-1030.271	167.9603	1.468557	0.9419581	1.775747	2.050855
606	-871.9823	-1039.56	167.5773	1.475816	1.371545	1.91605	1.93691
612	-889.8777	-1056.071	166.1929	1.7401	1.458376	2.413878	2.347962
618	-872.6262	-1039.571	166.945	1.381149	1.207776	1.561302	2.705622
624	-883.7397	-1052.331	168.5909	1.281183	1.065124	1.492755	1.843558
630	-872.1962	-1040.101	167.9052	1.095012	1.065124	1.471768	2.42677
636	-876.3472	-1044.091	167.7437	1.532416	0.813914	1.455908	2.419744
642	-872.1599	-1039.081	166.921	1.445024	1.201173	2.045145	2.419744
648	-880.6109	-1048.411	167.8003	1.525312	0.8151332	2.045145	2.048482
654	-882.2403	-1050.844	168.6033	1.368757	0.9142139	1.708683	1.741189
660	-874.5972	-1042.464	167.8666	1.595531	0.9263629	1.515455	2.194278
666	-875.043	-1042.566	167.5226	1.264128	1.48169	1.748322	2.141507
672	-872.1503	-1038.908	166.758	1.648985	1.072057	1.384244	2.84015
678	-877.19	-1044.308	167.1184	1.283969	0.8900752	2.262095	2.479689
684	-877.8191	-1045.787	167.9684	1.230474	1.556173	1.288377	2.107218
690	-868.7736	-1036.698	167.9241	1.285703	1.117888	1.288377	2.372114
696	-878.9884	-1046.259	167.2709	1.409396	1.172935	1.58646	2.493248
