Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
0	-872.6312	-1038.758	166.1267	1.858299	1.046361	1.944907	2.803165
6	-872.9192	-1038.017	165.0982	1.823859	1.360154	1.746921	3.357047
12	-858.9914	-1025.321	166.3295	1.823859	1.128054	1.870673	2.689621
18	-858.7073	-1026.732	168.0244	1.36449	1.052194	1.58645	2.117241
24	-863.7569	-1030.689	166.9317	1.649564	1.032171	2.145375	2.337153
30	-873.2621	-1040.992	167.7298	1.649564	1.032171	2.145375	1.810423
36	-868.7779	-1036.484	167.706	1.444118	1.125394	2.510594	1.703244
42	-867.7315	-1035.557	167.8258	1.209096	0.9364283	2.978476	1.675599
48	-869.6636	-1036.441	166.777	1.591355	1.186951	2.224951	2.333398
54	-871.2351	-1038.729	167.4936	1.416796	1.186951	1.867055	2.178039
60	-874.1781	-1040.45	166.2723	1.862996	1.021508	2.047478	2.673236
66	-864.0454	-1031.592	167.5463	1.337454	1.179782	1.829075	2.221315
72	-865.2335	-1032.323	167.0898	1.81978	0.7598214	2.052701	2.348401
78	-880.5387	-1048.098	167.5588	1.298752	1.043653	1.673261	2.412855
84	-872.2867	-1039.23	166.9435	1.595618	0.8027164	1.738614	2.722726
90	-882.5766	-1049.181	166.6041	1.741997	1.071761	1.773413	2.658083
96	-883.8363	-1052.269	168.4323	1.369325	0.6044994	1.586269	2.127847
102	-889.4795	-1056.405	166.9255	1.369325	1.78845	1.571637	2.380647
108	-891.9395	-1060.448	168.5081	0.9241599	1.443821	1.106683	2.140472
114	-874.1652	-1041.525	167.36	1.270065	1.096911	1.776071	2.464641
120	-864.7325	-1031.529	166.7963	1.648137	1.096911	1.776071	2.580388
126	-871.3368	-1036.593	165.2558	1.617078	2.200451	2.463489	2.580388
132	-872.0801	-1038.835	166.7548	1.371369	1.755168	1.588519	2.495501
138	-864.8133	-1032.169	167.3553	1.371369	0.6403056	2.565847	2.274286
144	-867.5086	-1034.974	167.4659	1.696661	0.8070062	1.677848	2.366034
150	-862.6579	-1029.974	167.3162	1.34181	1.179037	1.833299	2.36382
156	-867.5998	-1033.489	165.8892	1.537725	1.510229	1.565369	3.071441
162	-869.4438	-1035.942	166.4986	1.539643	0.9750403	1.565369	3.018133
168	-869.7889	-1036.693	166.9038	1.294067	1.301559	2.362956	2.300297
174	-866.1857	-1033.858	167.6727	1.402385	0.5823749	2.133978	2.300297
180	-886.3393	-1054.204	167.8644	1.714456	0.7144584	1.337914	2.359615
186	-885.813	-1053.562	167.7486	1.284023	1.350763	1.506804	2.206059
192	-879.2912	-1046.492	167.201	1.449754	1.223562	1.3573	2.614793
198	-871.5724	-1039.476	167.904	1.139969	1.332929	1.3573	2.300969
204	-871.3925	-1039.299	167.9064	1.151787	1.202463	1.3573	2.37293
210	-883.5883	-1051.979	168.3911	1.356134	1.435741	1.027978	1.989479
216	-885.6592	-1053.887	168.2275	1.173079	1.005378	2.273817	1.741749
222	-871.6832	-1038.885	167.2019	1.504499	1.337521	1.4114	2.478858
228	-882.5588	-1051.336	168.7768	1.337148	0.9114316	1.4114	1.835704
234	-881.077	-1047.818	166.7407	1.337148	0.9114316	1.815306	2.896784
240	-872.8336	-1040.444	167.6107	1.496221	0.9114316	2.478644	1.898001
246	-869.9694	-1036.631	166.6615	1.60878	1.195535	1.871059	2.576022
252	-870.9997	-1037.923	166.9233	1.357273	1.191569	2.272251	2.362079
258	-866.7402	-1033.917	167.1766	1.522498	1.191569	1.506882	2.516128
264	-883.6792	-1050.782	167.1026	1.596514	1.191569	1.506882	2.516128
270	-893.7589	-1061.041	167.2825	0.987687	1.568655	1.658298	2.471347
276	-879.7831	-1046.443	166.6594	1.588517	0.9039976	1.444835	3.002548
282	-885.6806	-1052.658	166.9775	1.403602	1.120603	1.795364	2.594461
288	-875.1	-1041.973	166.873	1.620333	1.292754	2.269521	2.163286
294	-876.6172	-1042.741	166.1237	1.91854	1.292754	1.656031	2.775255
300	-867.8033	-1034.81	167.0071	1.436352	1.263643	1.656031	2.545682
306	-885.1091	-1051.8	166.691	1.520045	1.761399	2.07322	2.1673
312	-896.8764	-1065.233	168.3568	1.014113	1.092545	0.8820817	2.539925
318	-881.9143	-1047.948	166.0337	1.816821	1.092545	1.849658	2.90666
324	-878.514	-1044.561	166.047	1.54255	1.090986	1.653734	3.16831
330	-882.3187	-1046.084	163.7654	1.429906	1.440319	1.564178	4.400456
336	-876.9932	-1045.422	168.4286	1.271016	1.07719	0.6823185	2.463754
342	-873.3747	-1041.832	168.4569	1.005248	1.124029	1.79951	1.892731
348	-875.0106	-1041.962	166.9513	1.753019	1.216799	1.79951	2.329624
354	-874.285	-1040.88	166.595	1.878246	0.889576	1.537552	2.82265
360	-870.412	-1037.348	166.936	1.564093	1.136978	1.456534	2.701945
366	-867.0029	-1033.366	166.3635	1.675549	1.862118	2.080976	2.217115
372	-872.9677	-1040.968	168	1.150466	0.7874739	1.555154	2.456466
378	-879.4386	-1046.198	166.7598	1.684462	1.393751	1.547758	2.528799
384	-878.4225	-1045.44	167.0173	1.684462	1.302962	1.547758	2.422208
390	-873.1214	-1039.715	166.5938	1.500152	1.302962	1.435149	2.862485
396	-876.4145	-1044.602	168.1871	1.032662	1.302962	1.402902	2.178348
402	-869.527	-1037.228	167.7007	1.48876	1.110451	1.806281	2.079963
408	-877.3102	-1045.598	168.2882	0.9702654	1.110451	1.806281	2.034394
414	-870.6458	-1037.828	167.1821	1.340543	1.110451	1.960782	2.42269
420	-864.9202	-1031.784	166.8637	1.63857	1.362242	1.661116	2.446245
426	-865.0144	-1032.557	167.5426	1.424355	1.362242	1.642553	2.160169
432	-876.2897	-1044.72	168.4302	1.153302	0.8056921	1.770897	2.040543
438	-862.2152	-1030.1	167.8852	1.428607	1.266643	1.564221	2.040543
444	-879.3472	-1047.359	168.0121	1.428607	0.91553	1.583703	2.174111
450	-866.4386	-1033.805	167.3661	1.498879	0.91553	2.006804	2.304189
456	-863.5919	-1031.202	167.6101	1.278067	1.455947	1.688527	2.126113
462	-863.9142	-1031.587	167.6729	1.132228	1.223721	2.237039	2.019888
468	-870.234	-1038.215	167.9813	1.411656	1.1314	1.657095	2.019888
474	-870.4909	-1038.87	168.3794	1.352008	0.7080161	1.744048	2.019888
480	-867.7203	-1035.225	167.5044	1.749857	1.186436	1.808129	1.986013
486	-873.6032	-1040.211	166.6081	1.184124	1.459648	1.884251	2.706471
492	-879.7506	-1045.761	166.0103	1.866645	1.165593	2.957413	2.307771
498	-877.4031	-1043.869	166.4659	1.496067	1.711051	2.137865	2.322024
504	-879.1743	-1045.407	166.2325	1.183126	1.850867	1.374274	3.001631
510	-879.7127	-1048.055	168.3425	1.415977	0.9931186	1.635828	1.879906
516	-881.2174	-1048.847	167.63	1.14149	0.9105834	2.508215	2.107078
522	-877.0868	-1042.923	165.8362	1.954341	1.163166	1.189835	3.267746
528	-878.4373	-1044.71	166.2731	1.494673	1.163166	2.527447	2.576158
534	-866.376	-1033.856	167.4802	1.839565	0.8664556	1.826841	2.14219
540	-881.1795	-1046.943	165.763	1.790831	1.559887	2.432674	2.517647
546	-878.5703	-1045.925	167.3546	1.476093	1.31286	1.007214	2.662831
552	-875.7396	-1042.434	166.6942	1.671669	0.7573352	2.095424	2.667252
558	-866.7633	-1032.838	166.0748	1.671669	1.582201	3.117608	2.061343
564	-866.9594	-1034.292	167.3326	1.666871	1.007845	1.882538	2.227006
570	-874.7429	-1042.12	167.3768	1.333988	1.007845	1.174965	2.818363
576	-864.2982	-1031.744	167.4463	1.333988	1.313757	1.975071	2.121439
582	-861.5912	-1030.093	168.502	1.246074	0.7619479	0.9071779	2.49328
588	-874.7437	-1042.718	167.9738	1.408148	0.8589419	1.593169	2.242734
594	-877.6943	-1045.79	168.0959	1.260157	1.138335	1.70165	2.013097
600	-875.8911	-1043.545	167.6539	1.395727	0.9903901	1.469291	2.444148
606	-881.751	-1047.839	166.0879	1.516005	1.313257	2.193798	2.74829
612	-874.099	-1040.86	166.7615	1.41487	0.9568975	1.399594	3.039598
618	-882.1989	-1050.395	168.1957	1.369189	1.23119	1.368019	2.019711
624	-867.3717	-1035.529	168.1574	1.41291	1.040124	1.597835	1.998464
630	-866.4739	-1033.796	167.3219	1.517958	0.9705542	1.921434	2.331588
636	-878.5484	-1045.737	167.1882	1.956666	0.8610884	1.170738	2.644727
642	-880.9872	-1046.73	165.7432	1.527756	1.329753	1.968716	3.053094
648	-876.5389	-1044.462	167.9233	1.140296	1.308091	2.115095	1.85735
654	-874.1941	-1041.764	167.5702	1.286676	1.462939	2.115095	1.897236
660	-879.5924	-1046.613	167.0204	1.515447	0.9973012	3.509264	1.73347
666	-874.0159	-1042.672	168.6562	1.264872	0.8857038	1.343067	2.027314
672	-870.6923	-1037.919	167.2264	1.329392	1.608743	1.330906	2.461625
678	-872.7405	-1039.912	167.1719	1.588701	0.8969354	1.860065	2.461625
684	-874.1934	-1040.924	166.731	1.382797	1.481403	2.252952	2.300111
690	-871.711	-1038.932	167.2207	1.93244	1.065358	1.776088	2.150645
696	-875.2789	-1042.313	167.0339	1.876911	1.09153	1.521695	2.436995
702	-872.1246	-1039.78	167.6551	1.535531	0.8319619	1.658945	2.343643
708	-878.9528	-1045.97	167.0174	1.819566	0.8319619	1.783508	2.496149
714	-871.6772	-1039.867	168.1896	1.367638	0.8260188	1.783508	2.037391
720	-871.578	-1039.187	167.6094	1.480343	0.618246	2.427404	2.120167
726	-862.588	-1030.319	167.7307	1.176625	0.7574345	2.487385	2.126723
732	-866.4841	-1035.143	168.6588	1.140244	1.101984	1.095936	2.12536
738	-871.7769	-1039.995	168.218	0.944251	1.078527	1.126741	2.526524
744	-867.7355	-1035.646	167.9104	1.242633	1.434392	1.19222	2.27197
750	-873.0872	-1039.486	166.3991	1.472999	1.766188	1.655035	2.609572
756	-865.4828	-1033.812	168.3295	1.472999	0.9239935	1.714454	1.848354
762	-879.0078	-1045.982	166.9741	1.814951	0.9239935	1.943705	2.381199
768	-871.5021	-1038.602	167.1002	1.318396	1.302068	1.938776	2.381199
774	-878.5805	-1045.966	167.3859	1.449453	1.422752	1.86825	2.076911
780	-885.7128	-1053.663	167.95	1.160186	1.07696	1.848569	2.12956
786	-883.1807	-1051.181	168.0005	1.205061	0.9361652	1.618266	2.291907
792	-878.5964	-1046.336	167.7396	1.291336	0.8426397	1.615682	2.462737
798	-871.996	-1040.121	168.1251	1.323052	0.8426397	1.991186	1.979303
804	-879.6553	-1047.052	167.3966	1.369098	1.395057	2.438883	1.826368
810	-865.8235	-1032.349	166.5251	1.635867	1.448761	2.149001	2.343544
816	-866.6554	-1033.917	167.2613	1.663878	1.011301	1.542449	2.46616
822	-859.6913	-1026.275	166.5842	1.782615	0.9705663	2.113786	2.527309
828	-866.5018	-1034.389	167.887	1.33687	0.921845	1.296268	2.481691
834	-868.104	-1035.386	167.282	1.535852	0.8515715	1.887826	2.438732
840	-888.1542	-1054.577	166.4229	1.274535	1.909865	1.88274	2.514379
846	-869.2429	-1037.217	167.9738	1.395596	1.024839	1.963912	1.925968
852	-873.7196	-1041.694	167.9741	1.395596	0.7096027	2.050784	2.082724
858	-872.8227	-1040.938	168.1149	1.338501	0.6316704	1.414891	2.439141
864	-874.08	-1041.072	166.9922	1.593071	1.085614	2.667605	2.035378
870	-876.1447	-1043.723	167.5785	1.354242	1.482337	1.379599	2.267324
876	-874.2451	-1041.755	167.5102	1.232654	1.134029	1.773706	2.371559
882	-873.5179	-1038.241	164.723	1.679691	1.160145	2.023235	3.634248
888	-862.9788	-1030.694	167.7153	1.367451	0.9715601	1.462284	2.439321
894	-864.3234	-1031.561	167.2373	1.369036	1.113642	1.526561	2.610305
900	-863.1352	-1030.729	167.594	1.373003	1.137577	2.194464	1.991676
906	-863.776	-1031.187	167.4106	1.208031	1.360942	1.698916	2.351946
912	-863.6633	-1030.081	166.4178	1.49039	1.1008	1.698916	2.947572
918	-873.4128	-1041.238	167.8254	1.203744	1.130838	1.00972	2.649135
924	-866.3268	-1033.939	167.6122	1.804142	0.6772603	1.639886	2.304337
930	-879.207	-1045.636	166.4292	1.580745	1.547362	2.297386	2.304337
936	-880.0447	-1047.998	167.9536	1.217422	0.6889904	2.327485	2.077547
942	-874.9044	-1041.853	166.9489	1.238124	1.501601	1.491695	2.657356
948	-875.7164	-1043.467	167.7509	1.36322	0.9409123	1.509172	2.411068
954	-899.4394	-1066.627	167.1871	1.381875	0.5895544	2.062604	2.651074
960	-875.0491	-1042.444	167.3951	1.371929	1.272177	2.160878	2.054749
966	-883.6769	-1050.472	166.7954	1.178393	1.649053	2.080759	2.380161
972	-880.0289	-1047.152	167.1227	1.910203	0.8458627	1.755118	2.380161
978	-874.7826	-1042.98	168.1971	1.273558	0.8710048	1.731988	2.095477
984	-871.1073	-1038.015	166.9074	1.685759	1.268827	1.099363	2.778178
990	-879.3563	-1046.403	167.0469	1.158774	1.942135	1.653833	2.304384
996	-858.4152	-1026.206	167.791	1.238012	1.111908	1.781994	2.197734
1002	-866.1311	-1033.898	167.7667	1.238012	1.43346	2.405832	1.650959
1008	-861.7344	-1028.291	166.5567	1.797307	0.9491261	2.211044	2.498898
1014	-857.7376	-1025.297	167.5591	1.24515	1.286599	2.039009	2.087565
1020	-865.5195	-1032.877	167.3576	1.55758	1.085879	1.989429	2.171784
1026	-869.314	-1036.104	166.7904	1.55758	0.9197382	3.116335	2.090049
