"scenario","modelID","gridTag","parameter","true_value","coverage_rate","n_covers","n_total","tree_length","gain_loss","n_char"
"mk","model6","tl5.00_gl0.50_c25","gain_loss_neo",2,NA,0,0,5,0.5,25
"mk","model6","tl5.00_gl0.50_c25","gain_loss_trans",2,NA,0,0,5,0.5,25
"mk","model6","tl1.00_gl1.00_c25","tree_length",1,1,10,10,1,1,25
"mk","model6","tl1.00_gl1.00_c25","gain_loss_neo",1,NA,0,0,1,1,25
"mk","model6","tl1.00_gl1.00_c25","gain_loss_trans",1,NA,0,0,1,1,25
"mk","model6","tl1.50_gl1.00_c25","tree_length",1.5,1,10,10,1.5,1,25
"mk","model6","tl1.50_gl1.00_c25","gain_loss_neo",1,NA,0,0,1.5,1,25
"mk","model6","tl1.50_gl1.00_c25","gain_loss_trans",1,NA,0,0,1.5,1,25
"mk","model6","tl2.50_gl1.00_c25","tree_length",2.5,0.9,9,10,2.5,1,25
"mk","model6","tl2.50_gl1.00_c25","gain_loss_neo",1,NA,0,0,2.5,1,25
"mk","model6","tl2.50_gl1.00_c25","gain_loss_trans",1,NA,0,0,2.5,1,25
"mk","model6","tl5.00_gl1.00_c25","tree_length",5,0.6,6,10,5,1,25
"mk","model6","tl5.00_gl1.00_c25","gain_loss_neo",1,NA,0,0,5,1,25
"mk","model6","tl5.00_gl1.00_c25","gain_loss_trans",1,NA,0,0,5,1,25
"mk","model6","tl1.00_gl0.10_c50","tree_length",1,1,10,10,1,0.1,50
"mk","model6","tl1.00_gl0.10_c50","gain_loss_neo",10,NA,0,0,1,0.1,50
"mk","model6","tl1.00_gl0.10_c50","gain_loss_trans",10,NA,0,0,1,0.1,50
"mk","model6","tl1.50_gl0.10_c50","tree_length",1.5,1,10,10,1.5,0.1,50
"mk","model6","tl1.50_gl0.10_c50","gain_loss_neo",10,NA,0,0,1.5,0.1,50
"mk","model6","tl1.50_gl0.10_c50","gain_loss_trans",10,NA,0,0,1.5,0.1,50
"mk","model6","tl2.50_gl0.10_c50","tree_length",2.5,1,10,10,2.5,0.1,50
"mk","model6","tl2.50_gl0.10_c50","gain_loss_neo",10,NA,0,0,2.5,0.1,50
"mk","model6","tl2.50_gl0.10_c50","gain_loss_trans",10,NA,0,0,2.5,0.1,50
"mk","model6","tl5.00_gl0.10_c50","tree_length",5,0.9,9,10,5,0.1,50
"mk","model6","tl5.00_gl0.10_c50","gain_loss_neo",10,NA,0,0,5,0.1,50
"mk","model6","tl5.00_gl0.10_c50","gain_loss_trans",10,NA,0,0,5,0.1,50
"mk","model6","tl1.00_gl0.25_c50","tree_length",1,1,10,10,1,0.25,50
"mk","model6","tl1.00_gl0.25_c50","gain_loss_neo",4,NA,0,0,1,0.25,50
"mk","model6","tl1.00_gl0.25_c50","gain_loss_trans",4,NA,0,0,1,0.25,50
"mk","model6","tl1.50_gl0.25_c50","tree_length",1.5,1,10,10,1.5,0.25,50
"mk","model6","tl1.50_gl0.25_c50","gain_loss_neo",4,NA,0,0,1.5,0.25,50
"mk","model6","tl1.50_gl0.25_c50","gain_loss_trans",4,NA,0,0,1.5,0.25,50
"mk","model6","tl2.50_gl0.25_c50","tree_length",2.5,1,10,10,2.5,0.25,50
"mk","model6","tl2.50_gl0.25_c50","gain_loss_neo",4,NA,0,0,2.5,0.25,50
"mk","model6","tl2.50_gl0.25_c50","gain_loss_trans",4,NA,0,0,2.5,0.25,50
"mk","model6","tl5.00_gl0.25_c50","tree_length",5,0.9,9,10,5,0.25,50
"mk","model6","tl5.00_gl0.25_c50","gain_loss_neo",4,NA,0,0,5,0.25,50
"mk","model6","tl5.00_gl0.25_c50","gain_loss_trans",4,NA,0,0,5,0.25,50
"mk","model6","tl1.00_gl0.50_c50","tree_length",1,1,10,10,1,0.5,50
"mk","model6","tl1.00_gl0.50_c50","gain_loss_neo",2,NA,0,0,1,0.5,50
"mk","model6","tl1.00_gl0.50_c50","gain_loss_trans",2,NA,0,0,1,0.5,50
"mk","model6","tl1.50_gl0.50_c50","tree_length",1.5,1,10,10,1.5,0.5,50
"mk","model6","tl1.50_gl0.50_c50","gain_loss_neo",2,NA,0,0,1.5,0.5,50
"mk","model6","tl1.50_gl0.50_c50","gain_loss_trans",2,NA,0,0,1.5,0.5,50
"mk","model6","tl2.50_gl0.50_c50","tree_length",2.5,1,10,10,2.5,0.5,50
"mk","model6","tl2.50_gl0.50_c50","gain_loss_neo",2,NA,0,0,2.5,0.5,50
"mk","model6","tl2.50_gl0.50_c50","gain_loss_trans",2,NA,0,0,2.5,0.5,50
"mk","model6","tl5.00_gl0.50_c50","tree_length",5,0.9,9,10,5,0.5,50
"mk","model6","tl5.00_gl0.50_c50","gain_loss_neo",2,NA,0,0,5,0.5,50
"mk","model6","tl5.00_gl0.50_c50","gain_loss_trans",2,NA,0,0,5,0.5,50
"mk","model6","tl1.00_gl1.00_c50","tree_length",1,1,10,10,1,1,50
"mk","model6","tl1.00_gl1.00_c50","gain_loss_neo",1,NA,0,0,1,1,50
"mk","model6","tl1.00_gl1.00_c50","gain_loss_trans",1,NA,0,0,1,1,50
"mk","model6","tl1.50_gl1.00_c50","tree_length",1.5,1,10,10,1.5,1,50
"mk","model6","tl1.50_gl1.00_c50","gain_loss_neo",1,NA,0,0,1.5,1,50
"mk","model6","tl1.50_gl1.00_c50","gain_loss_trans",1,NA,0,0,1.5,1,50
"mk","model6","tl2.50_gl1.00_c50","tree_length",2.5,1,10,10,2.5,1,50
"mk","model6","tl2.50_gl1.00_c50","gain_loss_neo",1,NA,0,0,2.5,1,50
"mk","model6","tl2.50_gl1.00_c50","gain_loss_trans",1,NA,0,0,2.5,1,50
"mk","model6","tl5.00_gl1.00_c50","tree_length",5,0.9,9,10,5,1,50
"mk","model6","tl5.00_gl1.00_c50","gain_loss_neo",1,NA,0,0,5,1,50
"mk","model6","tl5.00_gl1.00_c50","gain_loss_trans",1,NA,0,0,5,1,50
"mk","model6","tl1.00_gl0.10_c100","tree_length",1,1,10,10,1,0.1,100
"mk","model6","tl1.00_gl0.10_c100","gain_loss_neo",10,NA,0,0,1,0.1,100
"mk","model6","tl1.00_gl0.10_c100","gain_loss_trans",10,NA,0,0,1,0.1,100
"mk","model6","tl1.50_gl0.10_c100","tree_length",1.5,1,10,10,1.5,0.1,100
"mk","model6","tl1.50_gl0.10_c100","gain_loss_neo",10,NA,0,0,1.5,0.1,100
"mk","model6","tl1.50_gl0.10_c100","gain_loss_trans",10,NA,0,0,1.5,0.1,100
"mk","model6","tl2.50_gl0.10_c100","tree_length",2.5,0.9,9,10,2.5,0.1,100
"mk","model6","tl2.50_gl0.10_c100","gain_loss_neo",10,NA,0,0,2.5,0.1,100
"mk","model6","tl2.50_gl0.10_c100","gain_loss_trans",10,NA,0,0,2.5,0.1,100
"mk","model6","tl5.00_gl0.10_c100","tree_length",5,1,10,10,5,0.1,100
"mk","model6","tl5.00_gl0.10_c100","gain_loss_neo",10,NA,0,0,5,0.1,100
"mk","model6","tl5.00_gl0.10_c100","gain_loss_trans",10,NA,0,0,5,0.1,100
"mk","model6","tl1.00_gl0.25_c100","tree_length",1,1,10,10,1,0.25,100
"mk","model6","tl1.00_gl0.25_c100","gain_loss_neo",4,NA,0,0,1,0.25,100
"mk","model6","tl1.00_gl0.25_c100","gain_loss_trans",4,NA,0,0,1,0.25,100
"mk","model6","tl1.50_gl0.25_c100","tree_length",1.5,1,10,10,1.5,0.25,100
"mk","model6","tl1.50_gl0.25_c100","gain_loss_neo",4,NA,0,0,1.5,0.25,100
"mk","model6","tl1.50_gl0.25_c100","gain_loss_trans",4,NA,0,0,1.5,0.25,100
"mk","model6","tl2.50_gl0.25_c100","tree_length",2.5,0.9,9,10,2.5,0.25,100
"mk","model6","tl2.50_gl0.25_c100","gain_loss_neo",4,NA,0,0,2.5,0.25,100
"mk","model6","tl2.50_gl0.25_c100","gain_loss_trans",4,NA,0,0,2.5,0.25,100
"mk","model6","tl5.00_gl0.25_c100","tree_length",5,1,10,10,5,0.25,100
"mk","model6","tl5.00_gl0.25_c100","gain_loss_neo",4,NA,0,0,5,0.25,100
"mk","model6","tl5.00_gl0.25_c100","gain_loss_trans",4,NA,0,0,5,0.25,100
"mk","model6","tl1.00_gl0.50_c100","tree_length",1,1,10,10,1,0.5,100
"mk","model6","tl1.00_gl0.50_c100","gain_loss_neo",2,NA,0,0,1,0.5,100
"mk","model6","tl1.00_gl0.50_c100","gain_loss_trans",2,NA,0,0,1,0.5,100
"mk","model6","tl1.50_gl0.50_c100","tree_length",1.5,1,10,10,1.5,0.5,100
"mk","model6","tl1.50_gl0.50_c100","gain_loss_neo",2,NA,0,0,1.5,0.5,100
"mk","model6","tl1.50_gl0.50_c100","gain_loss_trans",2,NA,0,0,1.5,0.5,100
"mk","model6","tl2.50_gl0.50_c100","tree_length",2.5,0.9,9,10,2.5,0.5,100
"mk","model6","tl2.50_gl0.50_c100","gain_loss_neo",2,NA,0,0,2.5,0.5,100
"mk","model6","tl2.50_gl0.50_c100","gain_loss_trans",2,NA,0,0,2.5,0.5,100
"mk","model6","tl5.00_gl0.50_c100","tree_length",5,1,10,10,5,0.5,100
"mk","model6","tl5.00_gl0.50_c100","gain_loss_neo",2,NA,0,0,5,0.5,100
"mk","model6","tl5.00_gl0.50_c100","gain_loss_trans",2,NA,0,0,5,0.5,100
"mk","model6","tl1.00_gl1.00_c100","tree_length",1,1,10,10,1,1,100
"mk","model6","tl1.00_gl1.00_c100","gain_loss_neo",1,NA,0,0,1,1,100
"mk","model6","tl1.00_gl1.00_c100","gain_loss_trans",1,NA,0,0,1,1,100
"mk","model6","tl1.50_gl1.00_c100","tree_length",1.5,1,10,10,1.5,1,100
"mk","model6","tl1.50_gl1.00_c100","gain_loss_neo",1,NA,0,0,1.5,1,100
"mk","model6","tl1.50_gl1.00_c100","gain_loss_trans",1,NA,0,0,1.5,1,100
"mk","model6","tl2.50_gl1.00_c100","tree_length",2.5,0.9,9,10,2.5,1,100
"mk","model6","tl2.50_gl1.00_c100","gain_loss_neo",1,NA,0,0,2.5,1,100
"mk","model6","tl2.50_gl1.00_c100","gain_loss_trans",1,NA,0,0,2.5,1,100
"mk","model6","tl5.00_gl1.00_c100","tree_length",5,1,10,10,5,1,100
"mk","model6","tl5.00_gl1.00_c100","gain_loss_neo",1,NA,0,0,5,1,100
"mk","model6","tl5.00_gl1.00_c100","gain_loss_trans",1,NA,0,0,5,1,100
"mk","model6","tl1.00_gl0.10_c200","tree_length",1,1,10,10,1,0.1,200
"mk","model6","tl1.00_gl0.10_c200","gain_loss_neo",10,NA,0,0,1,0.1,200
"mk","model6","tl1.00_gl0.10_c200","gain_loss_trans",10,NA,0,0,1,0.1,200
"mk","model6","tl1.50_gl0.10_c200","tree_length",1.5,1,10,10,1.5,0.1,200
"mk","model6","tl1.50_gl0.10_c200","gain_loss_neo",10,NA,0,0,1.5,0.1,200
"mk","model6","tl1.50_gl0.10_c200","gain_loss_trans",10,NA,0,0,1.5,0.1,200
"mk","model6","tl2.50_gl0.10_c200","tree_length",2.5,1,10,10,2.5,0.1,200
"mk","model6","tl2.50_gl0.10_c200","gain_loss_neo",10,NA,0,0,2.5,0.1,200
"mk","model6","tl2.50_gl0.10_c200","gain_loss_trans",10,NA,0,0,2.5,0.1,200
"mk","model6","tl5.00_gl0.10_c200","tree_length",5,1,10,10,5,0.1,200
"mk","model6","tl5.00_gl0.10_c200","gain_loss_neo",10,NA,0,0,5,0.1,200
"mk","model6","tl5.00_gl0.10_c200","gain_loss_trans",10,NA,0,0,5,0.1,200
"mk","model6","tl1.00_gl0.25_c200","tree_length",1,1,10,10,1,0.25,200
"mk","model6","tl1.00_gl0.25_c200","gain_loss_neo",4,NA,0,0,1,0.25,200
"mk","model6","tl1.00_gl0.25_c200","gain_loss_trans",4,NA,0,0,1,0.25,200
"mk","model6","tl1.50_gl0.25_c200","tree_length",1.5,1,10,10,1.5,0.25,200
"mk","model6","tl1.50_gl0.25_c200","gain_loss_neo",4,NA,0,0,1.5,0.25,200
"mk","model6","tl1.50_gl0.25_c200","gain_loss_trans",4,NA,0,0,1.5,0.25,200
"mk","model6","tl2.50_gl0.25_c200","tree_length",2.5,1,10,10,2.5,0.25,200
"mk","model6","tl2.50_gl0.25_c200","gain_loss_neo",4,NA,0,0,2.5,0.25,200
"mk","model6","tl2.50_gl0.25_c200","gain_loss_trans",4,NA,0,0,2.5,0.25,200
"mk","model6","tl5.00_gl0.25_c200","tree_length",5,1,10,10,5,0.25,200
"mk","model6","tl5.00_gl0.25_c200","gain_loss_neo",4,NA,0,0,5,0.25,200
"mk","model6","tl5.00_gl0.25_c200","gain_loss_trans",4,NA,0,0,5,0.25,200
"mk","model6","tl1.00_gl0.50_c200","tree_length",1,1,10,10,1,0.5,200
"mk","model6","tl1.00_gl0.50_c200","gain_loss_neo",2,NA,0,0,1,0.5,200
"mk","model6","tl1.00_gl0.50_c200","gain_loss_trans",2,NA,0,0,1,0.5,200
"mk","model6","tl1.50_gl0.50_c200","tree_length",1.5,1,10,10,1.5,0.5,200
"mk","model6","tl1.50_gl0.50_c200","gain_loss_neo",2,NA,0,0,1.5,0.5,200
"mk","model6","tl1.50_gl0.50_c200","gain_loss_trans",2,NA,0,0,1.5,0.5,200
"mk","model6","tl2.50_gl0.50_c200","tree_length",2.5,1,10,10,2.5,0.5,200
"mk","model6","tl2.50_gl0.50_c200","gain_loss_neo",2,NA,0,0,2.5,0.5,200
"mk","model6","tl2.50_gl0.50_c200","gain_loss_trans",2,NA,0,0,2.5,0.5,200
"mk","model6","tl5.00_gl0.50_c200","tree_length",5,1,10,10,5,0.5,200
"mk","model6","tl5.00_gl0.50_c200","gain_loss_neo",2,NA,0,0,5,0.5,200
"mk","model6","tl5.00_gl0.50_c200","gain_loss_trans",2,NA,0,0,5,0.5,200
"mk","model6","tl1.00_gl1.00_c200","tree_length",1,1,10,10,1,1,200
"mk","model6","tl1.00_gl1.00_c200","gain_loss_neo",1,NA,0,0,1,1,200
"mk","model6","tl1.00_gl1.00_c200","gain_loss_trans",1,NA,0,0,1,1,200
"mk","model6","tl1.50_gl1.00_c200","tree_length",1.5,1,10,10,1.5,1,200
"mk","model6","tl1.50_gl1.00_c200","gain_loss_neo",1,NA,0,0,1.5,1,200
"mk","model6","tl1.50_gl1.00_c200","gain_loss_trans",1,NA,0,0,1.5,1,200
"mk","model6","tl2.50_gl1.00_c200","tree_length",2.5,1,10,10,2.5,1,200
"mk","model6","tl2.50_gl1.00_c200","gain_loss_neo",1,NA,0,0,2.5,1,200
"mk","model6","tl2.50_gl1.00_c200","gain_loss_trans",1,NA,0,0,2.5,1,200
"mk","model6","tl5.00_gl1.00_c200","tree_length",5,1,10,10,5,1,200
"mk","model6","tl5.00_gl1.00_c200","gain_loss_neo",1,NA,0,0,5,1,200
"mk","model6","tl5.00_gl1.00_c200","gain_loss_trans",1,NA,0,0,5,1,200
"mk","model7","tl1.00_gl0.10_c25","tree_length",1,1,10,10,1,0.1,25
"mk","model7","tl1.00_gl0.10_c25","gain_loss_neo",10,0,0,10,1,0.1,25
"mk","model7","tl1.00_gl0.10_c25","gain_loss_trans",10,NA,0,0,1,0.1,25
"mk","model7","tl1.50_gl0.10_c25","tree_length",1.5,1,10,10,1.5,0.1,25
"mk","model7","tl1.50_gl0.10_c25","gain_loss_neo",10,0,0,10,1.5,0.1,25
"mk","model7","tl1.50_gl0.10_c25","gain_loss_trans",10,NA,0,0,1.5,0.1,25
"mk","model7","tl2.50_gl0.10_c25","tree_length",2.5,0.8,8,10,2.5,0.1,25
"mk","model7","tl2.50_gl0.10_c25","gain_loss_neo",10,0,0,10,2.5,0.1,25
"mk","model7","tl2.50_gl0.10_c25","gain_loss_trans",10,NA,0,0,2.5,0.1,25
"mk","model7","tl5.00_gl0.10_c25","tree_length",5,0.3,3,10,5,0.1,25
"mk","model7","tl5.00_gl0.10_c25","gain_loss_neo",10,0,0,10,5,0.1,25
"mk","model7","tl5.00_gl0.10_c25","gain_loss_trans",10,0,0,2,5,0.1,25
"mk","model7","tl1.00_gl0.25_c25","tree_length",1,1,10,10,1,0.25,25
"mk","model7","tl1.00_gl0.25_c25","gain_loss_neo",4,0.5,5,10,1,0.25,25
"mk","model7","tl1.00_gl0.25_c25","gain_loss_trans",4,NA,0,0,1,0.25,25
"mk","model7","tl1.50_gl0.25_c25","tree_length",1.5,1,10,10,1.5,0.25,25
"mk","model7","tl1.50_gl0.25_c25","gain_loss_neo",4,0.1,1,10,1.5,0.25,25
"mk","model7","tl1.50_gl0.25_c25","gain_loss_trans",4,NA,0,0,1.5,0.25,25
"mk","model7","tl2.50_gl0.25_c25","tree_length",2.5,0.8,8,10,2.5,0.25,25
"mk","model7","tl2.50_gl0.25_c25","gain_loss_neo",4,0.4,4,10,2.5,0.25,25
"mk","model7","tl2.50_gl0.25_c25","gain_loss_trans",4,NA,0,0,2.5,0.25,25
"mk","model7","tl5.00_gl0.25_c25","tree_length",5,0.3,3,10,5,0.25,25
"mk","model7","tl5.00_gl0.25_c25","gain_loss_neo",4,0,0,10,5,0.25,25
"mk","model7","tl5.00_gl0.25_c25","gain_loss_trans",4,0,0,2,5,0.25,25
"mk","model7","tl1.00_gl0.50_c25","tree_length",1,1,10,10,1,0.5,25
"mk","model7","tl1.00_gl0.50_c25","gain_loss_neo",2,1,10,10,1,0.5,25
"mk","model7","tl1.00_gl0.50_c25","gain_loss_trans",2,NA,0,0,1,0.5,25
"mk","model7","tl1.50_gl0.50_c25","tree_length",1.5,1,10,10,1.5,0.5,25
"mk","model7","tl1.50_gl0.50_c25","gain_loss_neo",2,0.6,6,10,1.5,0.5,25
"mk","model7","tl1.50_gl0.50_c25","gain_loss_trans",2,NA,0,0,1.5,0.5,25
"mk","model7","tl2.50_gl0.50_c25","tree_length",2.5,0.8,8,10,2.5,0.5,25
"mk","model7","tl2.50_gl0.50_c25","gain_loss_neo",2,1,10,10,2.5,0.5,25
"mk","model7","tl2.50_gl0.50_c25","gain_loss_trans",2,NA,0,0,2.5,0.5,25
"mk","model7","tl5.00_gl0.50_c25","tree_length",5,0.3,3,10,5,0.5,25
"mk","model7","tl5.00_gl0.50_c25","gain_loss_neo",2,0.8,8,10,5,0.5,25
"mk","model7","tl5.00_gl0.50_c25","gain_loss_trans",2,0.5,1,2,5,0.5,25
"mk","model7","tl1.00_gl1.00_c25","tree_length",1,1,10,10,1,1,25
"mk","model7","tl1.00_gl1.00_c25","gain_loss_neo",1,1,10,10,1,1,25
"mk","model7","tl1.00_gl1.00_c25","gain_loss_trans",1,NA,0,0,1,1,25
"mk","model7","tl1.50_gl1.00_c25","tree_length",1.5,1,10,10,1.5,1,25
"mk","model7","tl1.50_gl1.00_c25","gain_loss_neo",1,1,10,10,1.5,1,25
"mk","model7","tl1.50_gl1.00_c25","gain_loss_trans",1,NA,0,0,1.5,1,25
"mk","model7","tl2.50_gl1.00_c25","tree_length",2.5,0.8,8,10,2.5,1,25
"mk","model7","tl2.50_gl1.00_c25","gain_loss_neo",1,1,10,10,2.5,1,25
"mk","model7","tl2.50_gl1.00_c25","gain_loss_trans",1,NA,0,0,2.5,1,25
"mk","model7","tl5.00_gl1.00_c25","tree_length",5,0.3,3,10,5,1,25
"mk","model7","tl5.00_gl1.00_c25","gain_loss_neo",1,1,10,10,5,1,25
"mk","model7","tl5.00_gl1.00_c25","gain_loss_trans",1,1,2,2,5,1,25
"mk","model7","tl1.00_gl0.10_c50","tree_length",1,0.8,8,10,1,0.1,50
"mk","model7","tl1.00_gl0.10_c50","gain_loss_neo",10,0,0,10,1,0.1,50
"mk","model7","tl1.00_gl0.10_c50","gain_loss_trans",10,NA,0,0,1,0.1,50
"mk","model7","tl1.50_gl0.10_c50","tree_length",1.5,0.7,7,10,1.5,0.1,50
"mk","model7","tl1.50_gl0.10_c50","gain_loss_neo",10,0,0,10,1.5,0.1,50
"mk","model7","tl1.50_gl0.10_c50","gain_loss_trans",10,NA,0,0,1.5,0.1,50
"mk","model7","tl2.50_gl0.10_c50","tree_length",2.5,0.9,9,10,2.5,0.1,50
"mk","model7","tl2.50_gl0.10_c50","gain_loss_neo",10,0,0,10,2.5,0.1,50
"mk","model7","tl2.50_gl0.10_c50","gain_loss_trans",10,NA,0,0,2.5,0.1,50
"mk","model7","tl5.00_gl0.10_c50","tree_length",5,0.5,4,8,5,0.1,50
"mk","model7","tl5.00_gl0.10_c50","gain_loss_neo",10,0,0,8,5,0.1,50
"mk","model7","tl5.00_gl0.10_c50","gain_loss_trans",10,0,0,3,5,0.1,50
"mk","model7","tl1.00_gl0.25_c50","tree_length",1,0.8,8,10,1,0.25,50
"mk","model7","tl1.00_gl0.25_c50","gain_loss_neo",4,0.3,3,10,1,0.25,50
"mk","model7","tl1.00_gl0.25_c50","gain_loss_trans",4,NA,0,0,1,0.25,50
"mk","model7","tl1.50_gl0.25_c50","tree_length",1.5,0.7,7,10,1.5,0.25,50
"mk","model7","tl1.50_gl0.25_c50","gain_loss_neo",4,0.1,1,10,1.5,0.25,50
"mk","model7","tl1.50_gl0.25_c50","gain_loss_trans",4,NA,0,0,1.5,0.25,50
"mk","model7","tl2.50_gl0.25_c50","tree_length",2.5,0.9,9,10,2.5,0.25,50
"mk","model7","tl2.50_gl0.25_c50","gain_loss_neo",4,0,0,10,2.5,0.25,50
"mk","model7","tl2.50_gl0.25_c50","gain_loss_trans",4,NA,0,0,2.5,0.25,50
"mk","model7","tl5.00_gl0.25_c50","tree_length",5,0.5,4,8,5,0.25,50
"mk","model7","tl5.00_gl0.25_c50","gain_loss_neo",4,0,0,8,5,0.25,50
"mk","model7","tl5.00_gl0.25_c50","gain_loss_trans",4,0,0,3,5,0.25,50
"mk","model7","tl1.00_gl0.50_c50","tree_length",1,0.8,8,10,1,0.5,50
"mk","model7","tl1.00_gl0.50_c50","gain_loss_neo",2,0.8,8,10,1,0.5,50
"mk","model7","tl1.00_gl0.50_c50","gain_loss_trans",2,NA,0,0,1,0.5,50
"mk","model7","tl1.50_gl0.50_c50","tree_length",1.5,0.7,7,10,1.5,0.5,50
"mk","model7","tl1.50_gl0.50_c50","gain_loss_neo",2,0.7,7,10,1.5,0.5,50
"mk","model7","tl1.50_gl0.50_c50","gain_loss_trans",2,NA,0,0,1.5,0.5,50
"mk","model7","tl2.50_gl0.50_c50","tree_length",2.5,0.9,9,10,2.5,0.5,50
"mk","model7","tl2.50_gl0.50_c50","gain_loss_neo",2,0.4,4,10,2.5,0.5,50
"mk","model7","tl2.50_gl0.50_c50","gain_loss_trans",2,NA,0,0,2.5,0.5,50
"mk","model7","tl5.00_gl0.50_c50","tree_length",5,0.5,4,8,5,0.5,50
"mk","model7","tl5.00_gl0.50_c50","gain_loss_neo",2,0.125,1,8,5,0.5,50
"mk","model7","tl5.00_gl0.50_c50","gain_loss_trans",2,0,0,3,5,0.5,50
"mk","model7","tl1.00_gl1.00_c50","tree_length",1,0.8,8,10,1,1,50
"mk","model7","tl1.00_gl1.00_c50","gain_loss_neo",1,1,10,10,1,1,50
"mk","model7","tl1.00_gl1.00_c50","gain_loss_trans",1,NA,0,0,1,1,50
"mk","model7","tl1.50_gl1.00_c50","tree_length",1.5,0.7,7,10,1.5,1,50
"mk","model7","tl1.50_gl1.00_c50","gain_loss_neo",1,1,10,10,1.5,1,50
"mk","model7","tl1.50_gl1.00_c50","gain_loss_trans",1,NA,0,0,1.5,1,50
"mk","model7","tl2.50_gl1.00_c50","tree_length",2.5,0.9,9,10,2.5,1,50
"mk","model7","tl2.50_gl1.00_c50","gain_loss_neo",1,0.9,9,10,2.5,1,50
"mk","model7","tl2.50_gl1.00_c50","gain_loss_trans",1,NA,0,0,2.5,1,50
"mk","model7","tl5.00_gl1.00_c50","tree_length",5,0.5,4,8,5,1,50
"mk","model7","tl5.00_gl1.00_c50","gain_loss_neo",1,0.875,7,8,5,1,50
"mk","model7","tl5.00_gl1.00_c50","gain_loss_trans",1,1,3,3,5,1,50
"mk","model7","tl1.00_gl0.10_c100","tree_length",1,0.6,6,10,1,0.1,100
"mk","model7","tl1.00_gl0.10_c100","gain_loss_neo",10,0,0,10,1,0.1,100
"mk","model7","tl1.00_gl0.10_c100","gain_loss_trans",10,0,0,1,1,0.1,100
"mk","model7","tl1.50_gl0.10_c100","tree_length",1.5,0.7,7,10,1.5,0.1,100
"mk","model7","tl1.50_gl0.10_c100","gain_loss_neo",10,0,0,10,1.5,0.1,100
"mk","model7","tl1.50_gl0.10_c100","gain_loss_trans",10,NA,0,0,1.5,0.1,100
"mk","model7","tl2.50_gl0.10_c100","tree_length",2.5,0.625,5,8,2.5,0.1,100
"mk","model7","tl2.50_gl0.10_c100","gain_loss_neo",10,0,0,8,2.5,0.1,100
"mk","model7","tl2.50_gl0.10_c100","gain_loss_trans",10,0,0,1,2.5,0.1,100
"mk","model7","tl5.00_gl0.10_c100","tree_length",5,0.666666666666667,6,9,5,0.1,100
"mk","model7","tl5.00_gl0.10_c100","gain_loss_neo",10,0,0,9,5,0.1,100
"mk","model7","tl5.00_gl0.10_c100","gain_loss_trans",10,0,0,2,5,0.1,100
"mk","model7","tl1.00_gl0.25_c100","tree_length",1,0.6,6,10,1,0.25,100
"mk","model7","tl1.00_gl0.25_c100","gain_loss_neo",4,0,0,10,1,0.25,100
"mk","model7","tl1.00_gl0.25_c100","gain_loss_trans",4,0,0,1,1,0.25,100
"mk","model7","tl1.50_gl0.25_c100","tree_length",1.5,0.7,7,10,1.5,0.25,100
"mk","model7","tl1.50_gl0.25_c100","gain_loss_neo",4,0,0,10,1.5,0.25,100
"mk","model7","tl1.50_gl0.25_c100","gain_loss_trans",4,NA,0,0,1.5,0.25,100
"mk","model7","tl2.50_gl0.25_c100","tree_length",2.5,0.625,5,8,2.5,0.25,100
"mk","model7","tl2.50_gl0.25_c100","gain_loss_neo",4,0,0,8,2.5,0.25,100
"mk","model7","tl2.50_gl0.25_c100","gain_loss_trans",4,0,0,1,2.5,0.25,100
"mk","model7","tl5.00_gl0.25_c100","tree_length",5,0.666666666666667,6,9,5,0.25,100
"mk","model7","tl5.00_gl0.25_c100","gain_loss_neo",4,0,0,9,5,0.25,100
"mk","model7","tl5.00_gl0.25_c100","gain_loss_trans",4,0,0,2,5,0.25,100
"mk","model7","tl1.00_gl0.50_c100","tree_length",1,0.6,6,10,1,0.5,100
"mk","model7","tl1.00_gl0.50_c100","gain_loss_neo",2,0.3,3,10,1,0.5,100
"mk","model7","tl1.00_gl0.50_c100","gain_loss_trans",2,1,1,1,1,0.5,100
"mk","model7","tl1.50_gl0.50_c100","tree_length",1.5,0.7,7,10,1.5,0.5,100
"mk","model7","tl1.50_gl0.50_c100","gain_loss_neo",2,0.5,5,10,1.5,0.5,100
"mk","model7","tl1.50_gl0.50_c100","gain_loss_trans",2,NA,0,0,1.5,0.5,100
"mk","model7","tl2.50_gl0.50_c100","tree_length",2.5,0.666666666666667,6,9,2.5,0.5,100
"mk","model7","tl2.50_gl0.50_c100","gain_loss_neo",2,0.222222222222222,2,9,2.5,0.5,100
"mk","model7","tl2.50_gl0.50_c100","gain_loss_trans",2,0,0,2,2.5,0.5,100
"mk","model7","tl5.00_gl0.50_c100","tree_length",5,0.666666666666667,6,9,5,0.5,100
"mk","model7","tl5.00_gl0.50_c100","gain_loss_neo",2,0,0,9,5,0.5,100
"mk","model7","tl5.00_gl0.50_c100","gain_loss_trans",2,0,0,2,5,0.5,100
"mk","model7","tl1.00_gl1.00_c100","tree_length",1,0.6,6,10,1,1,100
"mk","model7","tl1.00_gl1.00_c100","gain_loss_neo",1,1,10,10,1,1,100
"mk","model7","tl1.00_gl1.00_c100","gain_loss_trans",1,1,1,1,1,1,100
"mk","model7","tl1.50_gl1.00_c100","tree_length",1.5,0.7,7,10,1.5,1,100
