Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-704.6358	-869.7962	165.1604	0.7252538	0.7459789	1.315737	5.651011	0.2458194
6	-703.4615	-869.6255	166.1641	0.08760719	0.8604675	1.211586	5.247439	0.2329134
12	-702.6158	-868.6466	166.0308	0.07020528	1.567616	1.365623	4.730706	0.3487624
18	-701.4321	-867.7824	166.3503	0.07100773	0.9987561	1.617587	4.730706	0.3545085
24	-690.5122	-855.4741	164.9619	0.07100773	1.497766	1.736088	5.423042	0.2707057
30	-704.2203	-868.9329	164.7126	0.07265816	1.583576	1.347611	5.951834	0.2707057
36	-695.0254	-859.5645	164.5391	0.1036623	1.707781	1.458594	5.875353	0.2707057
42	-696.1603	-860.4125	164.2522	0.05674133	0.9839024	1.661632	6.813346	0.3491857
48	-713.7416	-877.2434	163.5018	0.05674133	1.89889	0.8856398	7.407959	0.3076683
54	-718.2079	-881.2349	163.027	0.05674133	1.89889	1.260821	7.504156	0.3030113
60	-719.5667	-884.1066	164.54	0.05813497	0.9322961	0.9571809	7.205542	0.3028424
66	-721.0972	-885.2814	164.1842	0.06606135	2.255168	1.169035	6.137092	0.3078625
72	-712.4812	-876.3865	163.9052	0.05580329	2.743545	1.117566	6.137092	0.339377
78	-703.4754	-869.3964	165.921	0.06347314	1.305359	1.105645	5.382001	0.3939157
84	-699.8201	-864.0826	164.2625	0.06347314	3.324038	0.9923344	5.51361	0.3635996
90	-705.3039	-869.6087	164.3048	0.06347314	3.028162	1.162454	5.51361	0.3794298
96	-710.4815	-874.7931	164.3116	0.07257894	1.360219	1.043289	6.889982	0.2878725
102	-697.3906	-864.2213	166.8307	0.07257894	0.9971785	0.8233158	4.95349	0.2920119
108	-709.7596	-873.9519	164.1923	0.06501923	1.475174	1.049678	6.906454	0.2915404
114	-709.8346	-874.0949	164.2603	0.06501923	1.137619	1.193621	7.022521	0.2915404
120	-703.6186	-867.2629	163.6443	0.06126882	1.965098	1.010533	7.022521	0.2689864
126	-711.2464	-874.5935	163.3471	0.06417046	0.8216945	1.364353	8.062938	0.2772414
132	-695.7772	-862.1314	166.3543	0.06417046	1.245827	1.383957	4.7245	0.3781356
138	-705.4599	-868.9561	163.4962	0.06417046	2.5003	1.271742	6.513894	0.2929967
144	-705.1566	-869.4768	164.3202	0.06417046	1.569928	1.143165	6.599337	0.2925634
150	-705.6609	-867.4731	161.8121	0.06368855	2.809601	1.435359	7.747295	0.2547794
156	-711.8701	-876.2433	164.3732	0.06096301	0.8044591	1.362279	7.115705	0.3190452
162	-708.5047	-874.1608	165.6561	0.06405213	0.624123	1.246089	6.082721	0.2980144
168	-706.5994	-872.1047	165.5053	0.07995842	0.9385512	1.246089	5.867077	0.2648613
174	-708.1396	-874.0647	165.925	0.07995842	1.033695	0.7241954	5.867077	0.2648613
180	-704.4059	-869.2756	164.8697	0.07995842	1.027255	1.219648	6.386151	0.2377209
186	-705.6646	-870.1118	164.4471	0.08106586	1.184727	1.276206	6.562298	0.2234712
192	-704.9251	-870.8441	165.919	0.08538107	0.7799741	1.442069	5.402805	0.2580444
198	-712.5041	-877.3537	164.8496	0.08538107	1.163508	1.728609	5.827661	0.2580444
204	-706.1394	-872.0526	165.9132	0.08538107	1.206147	1.212011	5.292201	0.3136027
210	-711.4633	-878.7614	167.2981	0.08802033	1.206147	1.130237	4.034743	0.3653245
216	-704.404	-871.9964	167.5924	0.08802033	0.9213466	1.443143	3.719784	0.3653245
222	-694.8926	-863.4086	168.516	0.09206108	0.7687984	1.198029	3.204319	0.4081611
228	-710.3656	-877.6805	167.3149	0.09206108	0.7687984	1.464688	4.105269	0.3440909
234	-694.278	-858.9439	164.6658	0.08803396	2.088383	1.210696	5.589626	0.2286247
240	-709.9769	-876.0648	166.0879	0.09741064	1.193543	1.48209	4.735627	0.2391105
246	-711.5465	-877.0791	165.5326	0.06315685	1.017062	1.16425	5.989405	0.3799902
252	-700.7533	-865.0741	164.3208	0.05762926	1.122805	1.202855	7.06619	0.3849913
258	-706.7544	-872.1531	165.3987	0.05762926	1.754971	1.215435	5.408149	0.4772787
264	-705.28	-871.656	166.376	0.05762926	1.136533	1.215435	5.014009	0.4666368
270	-714.5355	-880.4348	165.8993	0.05826698	1.360161	1.414267	5.078753	0.4666368
276	-714.3123	-879.9581	165.6458	0.05826698	0.7261368	1.241018	6.124434	0.4743668
282	-709.6319	-873.9834	164.3515	0.05512273	0.8976415	1.390724	7.022803	0.3178183
288	-698.3619	-862.1504	163.7885	0.0526888	0.8494842	1.388576	7.664141	0.3433192
294	-696.8628	-860.9823	164.1194	0.0526888	1.982619	1.365004	6.344607	0.4501548
300	-690.7563	-855.6277	164.8714	0.0526888	1.490701	1.274714	6.110146	0.4185773
306	-692.1722	-856.6521	164.48	0.0526888	1.716933	1.179057	6.396819	0.4476978
312	-705.9571	-870.8752	164.9181	0.0526888	1.068514	1.641149	6.125594	0.4127713
318	-695.5506	-860.8687	165.318	0.0526888	1.162467	1.658413	5.632572	0.4750878
324	-702.0953	-867.0113	164.916	0.0526888	1.562647	1.458953	5.835534	0.5224305
330	-694.5627	-857.9483	163.3856	0.04432361	1.562647	1.179551	7.644785	0.480645
336	-696.3662	-859.837	163.4707	0.04432361	0.9241474	1.615602	7.763207	0.4623203
342	-699.8707	-863.1666	163.2959	0.04432361	1.481241	1.225254	7.763207	0.5393112
348	-691.185	-855.2247	164.0397	0.04432361	1.176687	1.499386	7.052228	0.4785818
354	-694.4099	-858.8582	164.4484	0.04432361	1.000855	1.242259	7.052228	0.5884398
360	-692.4637	-858.816	166.3524	0.05639564	0.9404793	1.313663	5.139588	0.5265297
366	-697.26	-864.9751	167.7151	0.06245863	1.16424	1.211453	3.646098	0.5379669
372	-697.6406	-864.8327	167.1921	0.06245863	0.9252392	1.205701	4.413267	0.4653926
378	-697.3459	-864.4989	167.153	0.06245863	1.338593	1.140865	4.097496	0.4245391
384	-694.2339	-858.568	164.3341	0.0609188	1.946098	1.450826	5.996304	0.3256813
390	-708.0094	-874.5014	166.492	0.06969243	1.311032	1.002578	4.897711	0.3860011
396	-704.2978	-870.6208	166.323	0.06969243	1.145245	0.8813185	5.372396	0.4367947
402	-706.2332	-871.9669	165.7337	0.06969243	1.132835	0.8813185	5.91969	0.3428096
408	-705.7208	-872.1929	166.4721	0.07603944	1.492093	1.187178	4.572989	0.4248546
414	-702.4919	-868.7584	166.2665	0.09196082	1.516223	1.548087	4.292729	0.2978371
420	-706.372	-871.9294	165.5574	0.091987	1.481361	1.362622	5.209713	0.2978371
426	-695.5288	-861.8444	166.3157	0.1015414	0.6949854	1.362622	5.209713	0.2978371
432	-708.8313	-873.9059	165.0745	0.1015414	2.994376	1.032642	4.786318	0.3028385
438	-703.6064	-869.4007	165.7943	0.1015414	0.9847123	0.9822704	5.724835	0.2406399
444	-695.0303	-860.4341	165.4037	0.06140508	0.9847123	2.086012	5.213954	0.2858141
450	-694.2543	-860.029	165.7747	0.05668281	1.269408	1.202391	5.49985	0.4814212
456	-700.8504	-866.2111	165.3607	0.05668281	1.117783	1.790539	5.49985	0.4229467
462	-709.803	-875.5793	165.7763	0.05753553	1.744306	1.31483	4.944046	0.49321
468	-702.1235	-866.9929	164.8694	0.05753553	1.76748	1.252663	5.874973	0.4159528
474	-708.8019	-873.3841	164.5822	0.052459	1.76748	1.559337	5.874973	0.4159528
480	-705.1052	-870.0605	164.9553	0.052459	2.448468	1.286653	5.21094	0.474188
486	-705.7593	-871.2408	165.4815	0.052459	1.299523	1.150761	5.819442	0.5115702
