Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-784.1051	-951.2417	167.1366	0.6004041	4.542575	1.129376	1.712588
6	-791.417	-956.9332	165.5163	0.3994359	6.959974	1.637743	1.816851
12	-793.3366	-959.2157	165.8791	0.8364697	7.09426	1.055871	1.623322
18	-789.8563	-955.8981	166.0418	0.9218872	6.522704	1.35047	1.40076
24	-777.5612	-943.9281	166.3669	0.6046928	6.38017	1.405846	1.40076
30	-798.5198	-964.5599	166.0401	0.9962081	5.337021	1.086485	1.936863
36	-792.0221	-956.448	164.4259	0.4906009	10.25466	1.156551	1.997047
42	-784.4045	-951.2798	166.8753	0.5932889	5.20904	0.7665688	1.904551
48	-790.8833	-956.8056	165.9223	0.5701573	5.397156	1.111421	2.258004
54	-801.2844	-965.9852	164.7008	1.222266	7.766645	1.089054	1.961634
60	-811.4464	-976.5332	165.0868	0.2754633	6.723689	2.586387	1.608957
66	-804.4898	-971.6835	167.1937	0.637799	4.274919	1.156871	1.732859
72	-806.0519	-971.7677	165.7158	0.6624362	7.860393	1.237236	1.511198
78	-803.0144	-966.4906	163.4762	0.6656091	12.93898	1.228141	1.931489
84	-795.115	-960.037	164.922	0.5105543	6.84231	2.576696	1.527052
90	-781.524	-946.8269	165.3029	0.3550429	6.84231	2.623712	1.316742
96	-785.127	-950.3453	165.2183	0.3930983	7.748158	2.715812	0.9397541
102	-777.0887	-942.5966	165.5078	0.608081	7.748158	1.215658	1.747822
108	-781.0208	-947.1977	166.177	0.874459	3.902678	1.872326	1.928243
114	-791.9086	-959.2137	167.3051	0.5845069	3.902678	1.872326	1.319468
120	-786.5591	-953.215	166.6559	0.7997747	5.306779	1.411222	1.415647
126	-785.3723	-950.8656	165.4933	0.7372588	7.821445	0.9364668	1.841945
132	-787.0175	-954.092	167.0745	0.5425871	4.457552	1.611644	1.483113
138	-799.0698	-962.148	163.0782	0.8348396	13.57621	1.917251	1.483113
144	-800.5023	-965.2854	164.7831	0.6078218	8.038971	1.326545	2.087083
150	-791.0181	-955.9815	164.9634	0.8231921	7.829387	0.7223089	2.275074
156	-797.2106	-963.2307	166.0201	0.9188373	4.50189	0.6122937	2.587863
162	-778.2397	-942.9688	164.7291	0.5898257	11.23985	1.14284	1.507241
168	-788.4636	-954.2229	165.7592	0.8177417	8.656129	0.922667	1.370135
174	-785.6396	-951.4174	165.7778	0.7637883	7.190875	1.52658	1.370135
180	-787.8318	-953.7915	165.9597	0.6097278	6.997399	0.8542051	1.89489
186	-797.0033	-961.644	164.6407	0.5985635	11.06309	0.8055346	1.843443
192	-782.4767	-947.3658	164.8891	0.5600971	10.13747	1.115162	1.685753
198	-801.421	-967.756	166.3351	0.445155	6.037009	0.6610325	2.164574
204	-797.4169	-962.0907	164.6738	0.6472414	12.32329	0.6926212	1.602482
210	-802.6993	-968.2806	165.5813	0.678163	6.656094	1.218429	1.956887
216	-797.3714	-963.9799	166.6085	0.6549386	5.651479	1.205656	1.586553
222	-793.8071	-959.7052	165.898	0.9725706	7.191023	0.8208771	1.651975
228	-794.4207	-959.2862	164.8655	0.8579566	8.613164	1.509614	1.583684
234	-794.3006	-960.6916	166.391	0.3763379	5.540918	1.75948	1.583684
240	-805.734	-970.4167	164.6827	0.3763379	10.77658	1.442389	1.583684
246	-796.1748	-961.8908	165.716	0.4308676	7.557589	2.124602	1.070581
252	-789.7849	-952.6781	162.8932	0.4308676	14.25201	2.155	1.612243
258	-784.636	-948.8438	164.2078	0.4308676	10.33966	2.7242	0.9849362
264	-785.8009	-950.0258	164.2249	0.5414101	10.13328	2.430989	1.200041
270	-788.7481	-954.3575	165.6093	0.5300823	6.450656	2.093041	1.487657
276	-786.358	-952.6994	166.3413	0.5300823	6.096627	1.48198	1.516995
282	-781.278	-945.8974	164.6194	0.421359	11.45239	1.108285	1.688165
288	-794.5811	-959.7671	165.1861	0.4546893	9.508068	1.350923	1.528315
294	-796.0508	-963.0677	167.017	0.3559291	3.881721	0.8652313	2.383345
300	-789.4902	-956.3467	166.8564	0.3689638	4.504916	1.34026	1.934223
306	-804.7125	-970.082	165.3694	0.69473	8.928886	1.211617	1.466984
312	-799.4414	-966.6844	167.243	0.6622024	3.754669	1.706198	1.506194
318	-795.9134	-963.0899	167.1765	0.6052345	4.920049	1.53387	1.21398
324	-801.1636	-966.6865	165.5229	0.4482947	7.611135	1.846535	1.432325
330	-794.6819	-960.4598	165.778	0.5251385	6.935919	1.828819	1.403687
336	-791.3784	-956.7638	165.3854	0.4637926	7.297903	2.066207	1.454324
342	-789.8358	-956.0551	166.2193	0.5162304	5.119235	2.281397	1.373081
348	-793.0828	-959.8524	166.7696	0.3584148	4.893096	2.187445	1.226211
354	-790.5034	-955.9854	165.482	0.3843984	5.829182	2.89216	1.29952
360	-791.3748	-957.4338	166.059	0.4114861	6.04493	1.8031	1.593389
366	-805.9363	-971.6659	165.7296	0.2356607	6.776071	2.380516	1.28777
372	-806.9205	-972.7394	165.8189	0.2566334	6.499801	2.705319	1.007876
378	-803.9262	-970.4236	166.4974	0.5125079	4.903035	1.342375	1.932639
384	-799.2378	-966.131	166.8933	0.5740009	4.903035	1.271743	1.664642
390	-800.2234	-967.4483	167.2249	0.8428406	4.282088	1.172311	1.548834
396	-791.1186	-958.0654	166.9468	0.5007528	5.066335	0.9554042	1.840029
