Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
636	-2878.243	-3046.528	168.2841	0.1645415	4.153248
642	-2865.154	-3033.036	167.8823	0.2248131	4.346782
648	-2880.667	-3048.403	167.7361	0.2630177	4.407758
654	-2888.4	-3056.247	167.8472	0.1757471	4.394336
660	-2886.91	-3054.799	167.8885	0.282903	4.310477
666	-2892.104	-3059.756	167.6516	0.29207	4.439027
672	-2895.53	-3062.702	167.1718	0.3132807	4.696513
678	-2887.987	-3055.769	167.7817	0.224497	4.40375
684	-2889.081	-3056.631	167.5506	0.2866454	4.498953
690	-2888.643	-3055.771	167.1271	0.2194531	4.773969
696	-2893.512	-3060.01	166.4973	0.3424266	5.056057
702	-2881.686	-3049.424	167.7374	0.3003863	4.385935
708	-2895.819	-3063.598	167.7794	0.258385	4.385935
714	-2894.721	-3062.641	167.9196	0.2358239	4.319507
720	-2891.455	-3059.893	168.4388	0.268655	4.005755
726	-2887.259	-3055.012	167.7532	0.1040374	4.48772
732	-2887.113	-3054.469	167.3553	0.2133166	4.649743
738	-2894.533	-3062.499	167.9659	0.3091672	4.251787
744	-2883.138	-3050.346	167.2085	0.1605115	4.761412
750	-2892.21	-3059.725	167.5148	0.3194486	4.500648
756	-2893.383	-3061.582	168.1994	0.1361975	4.217474
762	-2887.269	-3055.302	168.0324	0.2145358	4.267686
768	-2892.937	-3060.116	167.1797	0.1590244	4.778339
774	-2876.591	-3044.335	167.7431	0.1864359	4.446976
780	-2878.541	-3046.282	167.7415	0.3019095	4.382762
786	-2876.589	-3043.896	167.3063	0.3019095	4.627546
792	-2891.688	-3059.561	167.8725	0.2055902	4.3632
798	-2896.863	-3064.331	167.4688	0.2137722	4.585837
804	-2889.17	-3056.446	167.2762	0.232916	4.683068
810	-2894.39	-3061.891	167.5005	0.1457491	4.606199
816	-2895.187	-3063.415	168.2286	0.1837752	4.173902
822	-2889.584	-3056.447	166.8625	0.3122585	4.869773
828	-2882.471	-3049.39	166.9185	0.2562772	4.869773
834	-2876.584	-3044.508	167.9241	0.05860179	4.417037
840	-2882.935	-3050.688	167.7533	0.3834466	4.330046
846	-2887.077	-3054.296	167.2193	0.09372592	4.792671
852	-2889.532	-3057.261	167.7289	0.3573871	4.35857
858	-2901.164	-3069.536	168.3723	0.2514071	4.053587
864	-2899.33	-3067.313	167.9827	0.1288067	4.344317
870	-2883.293	-3051.026	167.7322	0.1047398	4.499134
876	-2885.916	-3053.434	167.5183	0.2638222	4.52992
882	-2871.631	-3039.093	167.462	0.3493092	4.513509
888	-2879.245	-3047.308	168.0633	0.1632359	4.279281
894	-2878.084	-3045.41	167.3264	0.1942191	4.676637
900	-2886.898	-3054.038	167.1405	0.3464029	4.695492
906	-2903.264	-3071.244	167.9799	0.2602432	4.271554
912	-2899.458	-3066.777	167.3186	0.2187017	4.667286
918	-2891.44	-3059.431	167.9911	0.1491569	4.328068
924	-2901.038	-3069.003	167.9651	0.1825949	4.323868
930	-2894.036	-3061.978	167.9419	0.1759063	4.340756
936	-2895.756	-3063.109	167.353	0.0834244	4.723719
942	-2894.76	-3062.107	167.3472	0.08827724	4.724241
948	-2882.113	-3050.165	168.0525	0.2791156	4.219737
954	-2885.307	-3052.878	167.5714	0.1464534	4.566055
960	-2889.964	-3057.528	167.564	0.1538454	4.566055
966	-2885.425	-3053.437	168.0117	0.2721469	4.246817
972	-2888.183	-3056.405	168.221	0.1738273	4.183826
978	-2894.254	-3061.272	167.0176	0.1960058	4.848154
984	-2888.294	-3055.858	167.564	0.008725875	4.647429
990	-2893.207	-3061.155	167.948	0.02039782	4.425066
996	-2898.168	-3065.822	167.6541	0.02312795	4.588842
1002	-2888.943	-3056.907	167.964	0.02643267	4.412682
1008	-2882.676	-3050.197	167.5214	0.2157168	4.555232
1014	-2892.57	-3059.459	166.8892	0.4497416	4.778227
1020	-2887.262	-3054.725	167.4631	0.2599809	4.563094
1026	-2881.247	-3048.644	167.3969	0.4502115	4.493368
1032	-2884.376	-3051.799	167.4231	0.2189979	4.608536
1038	-2888.566	-3056.5	167.9337	0.08074587	4.399124
1044	-2889.219	-3057.548	168.3295	0.1893767	4.11331
1050	-2891.19	-3058.578	167.3879	0.1036839	4.692896
1056	-2881.154	-3048.245	167.0905	0.2774345	4.762033
1062	-2874.757	-3041.768	167.0114	0.2551005	4.818616
1068	-2882.499	-3050.054	167.5555	0.2551005	4.513923
1074	-2882.002	-3049.402	167.4005	0.2551005	4.600985
1080	-2880.997	-3048.294	167.297	0.3338632	4.614858
1086	-2891.103	-3059.173	168.0696	0.2695042	4.215452
1092	-2891.052	-3058.653	167.6007	0.1116956	4.569112
1098	-2877.167	-3044.872	167.7045	0.1658429	4.480341
1104	-2877.224	-3044.255	167.0311	0.3438528	4.758101
1110	-2890.297	-3058.171	167.8735	0.2179278	4.355679
1116	-2887.269	-3054.699	167.4302	0.1275395	4.655805
1122	-2879.49	-3046.987	167.4979	0.228454	4.561292
1128	-2880.752	-3048.18	167.4281	0.2046007	4.613818
1134	-2868.688	-3036.699	168.0116	0.1984409	4.288612
1140	-2884.373	-3052.137	167.7644	0.3586032	4.337841
1146	-2877.723	-3045.498	167.7748	0.3482027	4.337841
1152	-2883.25	-3050.716	167.4661	0.1299616	4.634337
1158	-2884.777	-3052.65	167.8729	0.2309138	4.348672
1164	-2883.766	-3051.24	167.4749	0.3147856	4.525675
1170	-2885.091	-3053.294	168.2027	0.01391856	4.284868
1176	-2896.851	-3063.94	167.0893	0.02121324	4.905557
1182	-2884.467	-3052.056	167.5895	0.216291	4.516642
1188	-2885.027	-3052.792	167.7644	0.2379771	4.405916
1194	-2881.323	-3048.948	167.6251	0.3773172	4.405916
1200	-2880.443	-3047.991	167.5477	0.2565141	4.517491
1206	-2892.726	-3060.341	167.6151	0.1891313	4.517491
1212	-2886.442	-3053.716	167.2743	0.1202206	4.747175
1218	-2885	-3052.715	167.7148	0.2552733	4.424142
1224	-2890.499	-3057.777	167.2779	0.0997761	4.756572
1230	-2888.835	-3056.665	167.8304	0.09447652	4.449606
1236	-2890.23	-3058.068	167.8372	0.08770151	4.449606
1242	-2895.149	-3062.98	167.8307	0.01618045	4.493508
