Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-272.6879	-319.6643	46.97637	0.3815481	0.46134	0.1069619	0.262742	0.737258	0.9857226
6	-270.6097	-317.6485	47.03879	0.3901347	0.4520961	0.07495095	0.466804	0.533196	1.06986
12	-271.3635	-318.0942	46.73075	0.3354319	0.4520961	0.1670842	0.515314	0.484686	1.06986
18	-269.8104	-316.5163	46.70585	0.3038076	0.3872103	0.3104707	0.382192	0.617808	0.8462907
24	-273.4126	-319.993	46.58044	0.3406925	0.3872103	0.3134559	0.18011	0.81989	0.9392963
30	-270.6762	-317.4944	46.81821	0.5084895	0.3872103	0.2168706	0.204979	0.795021	0.7386225
36	-268.9974	-315.5365	46.53905	0.2933548	0.4507687	0.1804049	0.495934	0.504066	1.240261
42	-264.0137	-311.0558	47.04205	0.2547131	0.4507687	0.1815907	0.244294	0.755706	0.7638583
48	-266.7471	-313.9529	47.20578	0.3948455	0.4507687	0.06907101	0.30896	0.69104	0.9280752
54	-266.8731	-312.9428	46.06968	0.3352889	0.8561804	0.1708872	0.492161	0.507839	1.148092
60	-274.5388	-319.5504	45.01164	0.1941819	3.320385	0.1708872	0.662424	0.337576	0.802296
66	-276.2877	-321.4026	45.11494	0.175194	3.784131	0.1016213	0.786997	0.213003	0.802296
72	-275.0082	-320.5415	45.53326	0.6108123	0.95322	0.3471931	0.592764	0.407236	0.8417334
78	-270.3072	-315.8044	45.49724	0.4073771	1.719696	0.158594	0.733744	0.266256	0.9677418
84	-277.2147	-322.953	45.73833	0.1542986	1.685022	0.08187944	0.649757	0.350243	1.273691
90	-275.2153	-321.028	45.8127	0.5922595	1.685022	0.08187944	0.331769	0.668231	0.7580909
96	-269.4055	-315.4906	46.08507	0.7239068	0.9031713	0.1331092	0.331769	0.668231	0.8143217
102	-276.3567	-321.3785	45.02186	0.5315368	1.418883	0.3820031	0.599062	0.400938	0.9614541
108	-271.4428	-317.1691	45.72636	0.4143514	1.329163	0.2550848	0.606244	0.393756	0.6519737
114	-267.5302	-313.2699	45.73977	0.2075697	1.439886	0.221278	0.635297	0.364703	0.9268388
120	-268.8054	-314.3748	45.56939	0.7552778	1.439886	0.1473182	0.428834	0.571166	0.746037
126	-267.9758	-314.8188	46.84293	0.3055739	0.715887	0.07010362	0.426219	0.573781	0.9805969
132	-272.1882	-316.6215	44.43333	0.143665	5.435191	0.1566545	0.823775	0.176225	0.8094194
138	-277.5944	-322.5349	44.94054	0.1391984	2.761606	0.06184382	0.836239	0.163761	1.522461
144	-263.1008	-309.9284	46.82764	0.01233752	0.8644906	0.1088563	0.366559	0.633441	0.9381452
150	-265.8684	-312.4362	46.56774	0.1561619	0.7731242	0.1121581	0.392309	0.607691	1.13991
156	-269.0518	-315.1445	46.09271	0.7265087	0.7731242	0.2118064	0.392309	0.607691	0.6119385
162	-269.2897	-315.3528	46.06302	0.3266694	1.03687	0.2184352	0.326896	0.673104	0.8221684
168	-270.2806	-316.0675	45.78695	0.3834276	0.6573608	0.4473431	0.326087	0.673913	0.9847897
174	-276.289	-322.6319	46.34289	0.348592	0.498331	0.3008591	0.248381	0.751619	0.9993698
180	-273.2034	-319.1439	45.94047	0.5268127	0.9019985	0.1645835	0.617794	0.382206	1.064154
186	-272.286	-317.3931	45.10716	1.080842	0.9965884	0.3589704	0.601996	0.398004	0.3583476
192	-271.4325	-318.089	46.65656	0.8101692	0.5433027	0.09389841	0.503156	0.496844	0.7638943
198	-268.1073	-313.8075	45.70019	0.4858274	1.020305	0.2770812	0.59455	0.40545	0.9002525
204	-267.8129	-313.2668	45.45388	0.1238487	1.782227	0.2488258	0.536756	0.463244	0.9859228
210	-270.132	-316.106	45.97399	0.2245541	1.449066	0.1251215	0.632748	0.367252	0.9859228
216	-268.2208	-313.6656	45.44474	0.2372958	1.449066	0.2692128	0.688736	0.311264	1.059372
222	-266.0701	-312.2988	46.22867	0.3923357	0.8364366	0.1292342	0.50099	0.49901	1.105431
228	-270.3575	-316.0656	45.70811	0.43043	0.8721164	0.2248349	0.445103	0.554897	1.222543
234	-268.6841	-315.0708	46.38673	0.2608068	0.4532534	0.3162832	0.215975	0.784025	1.082008
240	-269.4328	-315.4768	46.04396	0.3783829	0.6464159	0.3162832	0.340258	0.659742	1.009823
246	-275.7056	-320.7465	45.04096	0.2455632	1.175825	0.3261524	0.340258	0.659742	1.463316
252	-276.5334	-320.4143	43.88084	1.003677	2.439986	0.434803	0.618056	0.381944	0.8989207
258	-271.9277	-316.682	44.75424	1.004548	2.170917	0.1977339	0.556578	0.443422	0.6189073
264	-265.5913	-311.9315	46.34026	0.8084608	0.5275186	0.2154852	0.355575	0.644425	0.4040331
270	-265.8285	-311.2003	45.37176	1.47857	0.8211862	0.1766906	0.488637	0.511363	0.370595
276	-272.9133	-318.267	45.35368	1.74003	0.5228032	0.1427701	0.606691	0.393309	0.2000195
282	-281.0502	-324.792	43.74179	0.4090836	8.435626	0.08942268	0.866692	0.133308	0.8568343
288	-265.7164	-309.6794	43.96294	0.3738721	6.401501	0.1611427	0.894351	0.105649	0.7943894
294	-268.7313	-312.8669	44.13559	0.3124172	4.031823	0.1993301	0.655169	0.344831	1.216198
300	-277.9533	-322.7171	44.76373	0.825543	2.43214	0.2097514	0.786843	0.213157	0.6101475
306	-276.6308	-321.249	44.61823	0.8659151	1.766793	0.4265424	0.591665	0.408335	0.5683015
312	-278.1282	-323.1621	45.03389	0.5981215	1.347786	0.4265424	0.612445	0.387555	0.8394379
318	-273.4762	-319.0511	45.57494	0.2048196	1.308134	0.2313495	0.372232	0.627768	1.161088
324	-268.0703	-313.1529	45.08256	0.1762092	3.222087	0.1496751	0.749487	0.250513	0.8739953
330	-268.1968	-313.9102	45.71345	0.02315884	1.076113	0.4705169	0.457946	0.542054	0.9012336
336	-266.4461	-312.0742	45.62806	0.009055297	1.610969	0.217313	0.432911	0.567089	1.120315
342	-271.8858	-317.4731	45.58723	0.06034954	1.610969	0.217313	0.553907	0.446093	1.110835
348	-267.3782	-313.6117	46.23352	0.1976355	0.974541	0.1962014	0.572511	0.427489	0.9226801
354	-271.7234	-317.3178	45.59442	0.4608656	0.974541	0.3650366	0.438497	0.561503	0.8772348
360	-266.073	-312.1575	46.08453	0.3412632	0.7766326	0.2779475	0.511798	0.488202	0.9257471
366	-269.1024	-314.4976	45.39514	0.6304837	1.063274	0.2714381	0.508326	0.491674	1.037542
372	-272.165	-317.599	45.43392	0.6875611	1.173336	0.2407138	0.387572	0.612428	0.9166338
378	-268.3651	-313.8736	45.50855	0.6120049	1.253357	0.2568218	0.706766	0.293234	0.7819298
384	-269.8226	-315.852	46.02948	0.2960361	1.144071	0.1873931	0.50598	0.49402	0.8892508
390	-263.1067	-308.8886	45.78191	0.430998	1.144071	0.2435047	0.552255	0.447745	0.8316353
396	-264.8692	-310.2348	45.36555	0.8760864	1.498435	0.1869409	0.524871	0.475129	0.4996621
402	-265.2051	-311.442	46.23688	0.4272719	1.033759	0.1121628	0.524871	0.475129	0.9230998
408	-267.1556	-313.7005	46.5449	0.1779658	1.170291	0.0931328	0.485896	0.514104	0.7963459
414	-273.7132	-321.1216	47.4084	0.1487707	0.3177236	0.03270016	0.267875	0.732125	1.363774
420	-264.0378	-311.0484	47.01066	0.02324318	0.7454324	0.06601611	0.517924	0.482076	1.07514
426	-263.1913	-310.2172	47.02583	0.01269111	0.7153523	0.07979784	0.296026	0.703974	1.044919
432	-265.7875	-311.6517	45.86421	0.01410692	1.223772	0.1069736	0.581153	0.418847	1.473638
438	-267.9873	-313.5902	45.60285	0.01895532	1.667399	0.1108974	0.471615	0.528385	1.399663
444	-270.7976	-316.2781	45.48048	0.09035283	2.443717	0.1590715	0.477727	0.522273	0.8778799
450	-266.8145	-311.1573	44.34277	0.09858492	5.158232	0.146534	0.8694	0.1306	1.072759
456	-273.8688	-318.6028	44.73408	0.06324688	4.317653	0.215359	0.932799	0.0672013	0.68343
462	-279.1786	-324.6497	45.47106	0.8689065	0.7296131	0.4571845	0.494648	0.505352	0.5741434
468	-286.4625	-332.1559	45.69342	0.8002751	0.6110349	0.4571845	0.444006	0.555994	0.5940512
474	-278.4297	-323.8134	45.38372	0.5614473	0.9865667	0.4571845	0.5203	0.4797	0.7802596
480	-287.1048	-332.031	44.92628	0.6925951	1.488661	0.4280328	0.379583	0.620417	0.6992161
486	-276.9517	-322.0896	45.13795	0.7140102	1.303145	0.3056409	0.495577	0.504423	0.9145546
492	-268.9368	-314.4163	45.47949	0.9229846	1.343413	0.1714999	0.51622	0.48378	0.5618002
498	-265.2385	-311.0905	45.85197	0.8637135	0.8394288	0.2273575	0.412198	0.587802	0.5434171
504	-274.9422	-320.1927	45.25055	1.124046	1.213392	0.178588	0.405055	0.594945	0.2932401
510	-269.7779	-315.6882	45.91032	0.04365457	1.555609	0.05054199	0.483961	0.516039	1.416786
516	-277.7108	-323.6913	45.98049	0.03251338	1.555609	0.02931139	0.69241	0.30759	1.449132
522	-276.6049	-323.1352	46.53031	0.1208636	1.203051	0.03311981	0.689236	0.310764	1.140954
528	-269.2452	-315.3735	46.12829	0.09012474	1.834117	0.07173437	0.715853	0.284147	0.9275105
534	-274.8999	-320.5477	45.64774	0.212191	1.799917	0.1363275	0.378604	0.621396	1.038965
540	-269.3411	-313.7804	44.43925	0.5237368	2.964585	0.1719932	0.769141	0.230859	1.193267
546	-270.1774	-314.1954	44.01804	0.1533926	5.614745	0.1719932	0.876224	0.123776	1.130403
552	-272.0951	-317.4561	45.361	0.3756167	2.642356	0.1176306	0.800104	0.199896	0.7313332
558	-272.4143	-316.7673	44.35298	0.5012481	3.478856	0.2391727	0.778204	0.221796	0.909384
564	-281.0996	-324.737	43.6374	0.1538909	9.238492	0.1093073	0.931806	0.0681938	1.002708
570	-271.9507	-315.7529	43.80218	0.05853095	7.777864	0.1897646	0.893259	0.106741	0.9084958
576	-267.1757	-311.5709	44.39517	0.04555452	4.785689	0.1794105	0.781391	0.218609	1.06833
582	-268.261	-312.8993	44.63828	0.05030659	5.589742	0.05794095	0.771213	0.228787	1.085265
588	-279.7235	-323.3635	43.64004	0.006701695	7.103537	0.2552345	0.771213	0.228787	1.076108
594	-273.5783	-318.1732	44.5949	0.5280089	2.71447	0.3274625	0.669118	0.330882	0.6855974
600	-267.2792	-312.5737	45.29451	0.1637772	1.387205	0.3394937	0.600592	0.399408	1.158319
606	-265.9419	-311.6399	45.69805	0.1713654	1.214639	0.2329849	0.600592	0.399408	1.147247
612	-263.3138	-308.4274	45.11363	0.0859652	3.359338	0.1730823	0.783568	0.216432	0.7804246
618	-263.1087	-308.0476	44.93888	0.1814566	3.401953	0.1730823	0.783568	0.216432	0.8609101
624	-266.6223	-311.0632	44.44087	0.5573362	1.731926	0.5065903	0.585601	0.414399	1.069038
630	-264.4108	-310.1064	45.69561	0.7372551	1.328784	0.1664626	0.556326	0.443674	0.551551
636	-271.889	-317.4027	45.51371	0.571283	1.328784	0.2709699	0.47121	0.52879	0.6834136
642	-267.3288	-313.1747	45.84588	0.3687236	1.40504	0.1694679	0.468156	0.531844	0.8299795
