Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-272.6879	-319.6643	46.97637	0.00677335	0.0111143	0.0223106	0.024103	0.190108	0.020299	0.000307319	0.00720428	0.0119165	0.018104	0.00521201	0.0405533	0.00984099	0.021847	0.0556553	0.0367569	0.0198709	0.0289165	0.0823657	0.0159972	0.00371555	0.0349117	0.0109689	0.00193053	0.006807	0.0251707	0.0102543	0.018089	0.00907182	0.0376083	0.000555013	0.0208675	0.0236683	0.00549754	0.0414793	0.0445034	0.0613674	0.193253	1.806747	1.368607	0.6313931	0.589973	0.773097	0.92285	1.0836	1.2935	1.69499	0.3815481	0.46134	0.1069619	0.00687146	0.0112753	0.0226338	0.0244521	0.192861	0.0205931	0.000311771	0.00730863	0.0120891	0.0183663	0.0052875	0.0411406	0.00998353	0.0221634	0.0564614	0.0372893	0.0201587	0.0293353	0.0835587	0.0162289	0.00376937	0.0354174	0.0111278	0.00195849	0.00690559	0.0255353	0.0104028	0.018351	0.00920322	0.038153	0.000563051	0.0211698	0.0240112	0.00557717	0.0420801	0.045148	0.0622563	0.262742	0.737258	0.262742	0.9857226
36	-268.9974	-315.5365	46.53905	0.0177436	0.0382239	0.0745641	0.000108975	0.0754634	0.00983932	0.000130187	0.0224142	0.00737066	0.00133291	0.0154812	0.0225893	0.0139878	0.0142922	0.0379535	0.0674221	0.0231503	0.0503808	0.0501879	0.0156661	0.000689367	0.0316313	0.00722454	0.00235722	0.0214439	0.0562039	0.011974	0.0302519	0.03668	0.057075	0.047105	0.0277106	0.0677417	0.00911184	0.066401	0.0395607	0.168796	0.3056661	1.694334	1.378579	0.6214205	0.666505	0.820481	0.940137	1.06368	1.2188	1.50036	0.2933548	0.4507687	0.1804049	0.0143064	0.0308192	0.0601197	8.7865e-05	0.0608448	0.00793327	0.000104968	0.0180722	0.00594283	0.0010747	0.0124822	0.0182133	0.0112781	0.0115235	0.0306012	0.0543612	0.0186657	0.0406211	0.0404656	0.0126313	0.000555824	0.0255038	0.00582501	0.00190058	0.0172898	0.0453162	0.00965445	0.0243915	0.0295744	0.0460186	0.0379799	0.0223426	0.0546189	0.00734672	0.0535379	0.0318971	0.136097	0.495934	0.504066	0.4959337	1.240261
72	-275.0082	-320.5415	45.53326	0.0241483	0.0155058	0.0393476	0.0037421	0.10342	0.0139044	0.00454493	0.014212	0.00758942	0.0147193	0.00379626	0.00575903	0.0138716	0.055615	0.0313398	0.0253724	0.0254121	0.00760533	0.00600033	0.0195561	0.0135887	0.0463702	0.0325024	0.0076025	0.0201229	0.0328038	0.00416862	0.019214	0.0129034	0.0351716	0.0544688	0.0769051	0.00775446	0.00212599	0.00351461	0.00512469	0.0319294	0.5154318	1.484568	1.02395	0.9760498	0.429665	0.662333	0.879385	1.13716	1.50981	2.3274	0.6108123	0.95322	0.3471931	0.0286888	0.0184213	0.0467459	0.00444571	0.122866	0.0165188	0.00539948	0.0168842	0.00901642	0.0174868	0.00451006	0.00684187	0.0164798	0.066072	0.0372324	0.030143	0.0301902	0.00903532	0.00712854	0.0232331	0.0161437	0.055089	0.0386137	0.00903196	0.0239065	0.0389717	0.00495242	0.0228267	0.0153296	0.0417848	0.0647103	0.0913652	0.00921248	0.00252573	0.00417545	0.00608826	0.0379329	0.592764	0.407236	0.5927644	0.8417334
108	-271.4428	-317.1691	45.72636	0.0046402	0.00622781	0.0158399	0.00762075	0.109595	0.00652609	0.00353059	0.00732092	0.00624312	0.000738975	0.0217597	0.0360973	0.00115663	0.00649801	0.0118177	0.0431471	0.0097723	0.0144274	0.0383512	0.00266157	0.00132519	0.0307957	0.0195266	0.00750935	0.0186203	0.0121566	0.000709394	0.0381256	0.0241797	0.00999593	0.0297404	0.0408801	0.00229073	0.0236847	0.00149846	0.0110547	0.0259074	0.4064821	1.593518	0.8586777	1.141322	0.563806	0.75618	0.916502	1.09111	1.32244	1.77366	0.4143514	1.329163	0.2550848	0.00711716	0.00955224	0.0242953	0.0116887	0.168098	0.0100098	0.00541523	0.0112289	0.00957572	0.00113344	0.0333751	0.0553662	0.00177404	0.00996668	0.0181261	0.0661792	0.0149888	0.0221288	0.0588232	0.00408232	0.00203258	0.0472347	0.02995	0.0115179	0.02856	0.0186458	0.00108807	0.0584772	0.0370869	0.0153318	0.0456159	0.0627021	0.00351353	0.0363277	0.00229834	0.0169558	0.0397368	0.606244	0.393756	0.606244	0.6519737
144	-263.1008	-309.9284	46.82764	0.0135618	0.0178348	0.0464432	0.00802143	0.0773028	0.00275301	0.00119174	0.00609687	0.00383647	0.00321636	0.00918286	0.0157237	0.00847943	0.0232672	0.0603368	0.0687256	0.00463236	0.0475298	0.0298087	0.0127751	2.68243e-05	0.0285858	0.000378138	0.040907	0.0196699	0.0439293	0.00659124	0.0251928	0.00383329	0.0420971	0.02182	0.0216601	0.0344424	0.0456997	0.0884599	0.00495027	0.0491814	0.1963398	1.80366	1.072679	0.9273209	0.983082	0.991713	0.997407	1.0026	1.00836	1.01721	0.01233752	0.8644906	0.1088563	0.0144559	0.0190107	0.0495054	0.00855031	0.0823996	0.00293453	0.00127032	0.00649886	0.00408942	0.00342842	0.00978831	0.0167604	0.00903851	0.0248013	0.064315	0.0732569	0.00493778	0.0506636	0.031774	0.0136175	2.85929e-05	0.0304706	0.00040307	0.0436042	0.0209668	0.0468257	0.00702582	0.0268539	0.00408603	0.0448726	0.0232586	0.0230882	0.0367132	0.0487128	0.0942923	0.00527666	0.0524241	0.366559	0.633441	0.3665594	0.9381452
180	-273.2034	-319.1439	45.94047	0.0116484	0.032657	0.0234503	0.0300853	0.0384891	0.00158517	0.00300916	0.0106068	0.00358214	0.0107445	0.00172735	0.0388899	0.00935572	0.029509	0.0151643	0.0477561	0.00413476	0.0398899	0.0313217	0.00672048	0.00500983	0.0449771	0.00170732	0.0626918	0.0282223	0.0513062	0.00436546	0.0280986	0.000516163	0.0575877	0.0312247	0.0338799	0.128835	0.0242955	0.0842051	0.0266995	0.0602047	0.2826478	1.717352	1.051526	0.9484745	0.482594	0.700942	0.895067	1.11723	1.42665	2.07213	0.5268127	0.9019985	0.1645835	0.0109462	0.0306882	0.0220366	0.0282716	0.0361688	0.00148961	0.00282775	0.00996734	0.00336618	0.0100968	0.00162322	0.0365454	0.0087917	0.02773	0.0142501	0.0448771	0.00388549	0.0374851	0.0294334	0.00631533	0.00470781	0.0422656	0.00160439	0.0589123	0.0265209	0.0482132	0.00410228	0.0264047	0.000485045	0.0541159	0.0293423	0.0318374	0.121068	0.0228308	0.0791287	0.0250899	0.0565752	0.617794	0.382206	0.6177943	1.064154
216	-268.2208	-313.6656	45.44474	0.0111544	0.0144396	0.0363313	0.00138833	0.0840196	0.0105356	0.0094929	0.0022854	0.0176456	0.00365042	0.0182046	0.0467009	0.0102935	0.0633094	0.0250201	0.0778137	0.00448761	0.00391593	0.060367	0.0250234	0.10734	0.0331354	0.00483504	0.000870775	0.0432862	0.0630383	0.00134043	0.00263378	0.00205931	0.0277869	0.0510356	0.0230079	0.0337553	0.0116942	0.0577549	0.0308526	0.0388659	0.4242202	1.57578	0.816638	1.183362	0.720234	0.852098	0.951292	1.0512	1.17357	1.38844	0.2372958	1.449066	0.2692128	0.0105292	0.0136303	0.0342951	0.00131053	0.0793108	0.00994513	0.00896088	0.00215732	0.0166567	0.00344583	0.0171843	0.0440836	0.00971661	0.0597613	0.0236179	0.0734527	0.0042361	0.00369646	0.0569837	0.023621	0.101324	0.0312783	0.00456407	0.000821973	0.0408603	0.0595054	0.0012653	0.00248618	0.0019439	0.0262296	0.0481754	0.0217184	0.0318635	0.0110388	0.0545181	0.0291235	0.0366877	0.688736	0.311264	0.6887357	1.059372
252	-276.5334	-320.4143	43.88084	0.00562874	0.0136429	0.0357729	0.00769829	0.124428	0.00929688	0.00131049	0.00694212	0.00778601	0.0081075	0.00631328	0.024903	0.00445841	0.0125998	0.0161645	0.0279088	0.00184667	0.0121834	0.0193963	0.00479177	0.139959	0.0142892	0.0584517	0.0550179	0.0502331	0.0441169	0.00689947	0.0361255	0.00329249	0.0149603	0.0245292	0.0106626	0.00162253	0.0360444	0.00934848	0.0245973	0.0175911	0.6060805	1.39392	0.5813978	1.418602	0.249554	0.508155	0.80961	1.23516	1.96791	4.00715	1.003677	2.439986	0.434803	0.00626166	0.015177	0.0397954	0.00856393	0.138419	0.0103423	0.00145785	0.00772273	0.00866151	0.00901914	0.00702318	0.0277032	0.00495974	0.0140166	0.0179822	0.031047	0.00205432	0.0135533	0.0215773	0.00533058	0.155697	0.015896	0.0650243	0.0612044	0.0558816	0.0490776	0.00767528	0.0401876	0.00366272	0.0166425	0.0272874	0.0118615	0.00180498	0.0400975	0.0103997	0.0273632	0.0195691	0.618056	0.381944	0.6180558	0.8989207
288	-265.7164	-309.6794	43.96294	0.0062755	0.00688452	0.0279571	0.00548245	0.0443476	0.0135404	0.00862635	0.00383183	0.00509416	0.00174326	0.027178	0.0312645	0.0257858	0.043924	0.0164104	0.0476	0.00178757	0.0114254	0.0142796	0.0230673	0.111231	0.015161	0.0336517	0.031781	0.00612804	0.0314185	0.00666416	0.0125344	0.00109179	0.0509938	0.0298032	0.00980465	0.0387634	0.0196456	0.00238768	0.0213909	0.00543307	0.2775588	1.722441	0.2702155	1.729785	0.596269	0.77711	0.924342	1.08185	1.28682	1.67709	0.3738721	6.401501	0.1611427	0.00789978	0.00866643	0.0351931	0.00690147	0.055826	0.0170451	0.0108591	0.00482362	0.00641268	0.00219447	0.0342124	0.0393567	0.03246	0.0552928	0.0206579	0.0599203	0.00225025	0.0143827	0.0179755	0.0290378	0.14002	0.0190851	0.0423618	0.0400068	0.00771416	0.0395505	0.00838903	0.0157787	0.00137437	0.0641925	0.0375171	0.0123424	0.0487965	0.0247304	0.00300568	0.0269274	0.0068393	0.894351	0.105649	0.8943512	0.7943894
324	-268.0703	-313.1529	45.08256	0.000264025	0.00853249	0.0587662	0.00540368	0.0645437	0.0221457	0.000133335	0.0214262	0.00491948	0.00426527	0.00925982	0.0127989	0.00873438	0.0398577	0.0445011	0.0416322	0.00431461	0.00742717	0.051802	0.0348326	0.0689251	0.00906844	0.0381297	0.0585942	0.00216098	0.0458453	0.018028	0.036754	0.00252672	0.0568458	0.0121427	0.0196229	0.0200758	0.00463246	0.000258857	0.0220965	0.0127271	0.260378	1.739622	0.4736994	1.526301	0.783726	0.88794	0.9636	1.03778	1.1262	1.27596	0.1762092	3.222087	0.1496751	0.000302089	0.00976262	0.0672386	0.00618273	0.0738491	0.0253385	0.000152558	0.0245152	0.00562872	0.0048802	0.0105948	0.0146441	0.00999362	0.045604	0.0509169	0.0476344	0.00493665	0.00849795	0.0592703	0.0398545	0.0788621	0.0103758	0.0436269	0.0670418	0.00247253	0.0524549	0.0206271	0.0420529	0.002891	0.0650414	0.0138933	0.022452	0.0229702	0.00530032	0.000296177	0.0252822	0.014562	0.749487	0.250513	0.7494875	0.8739953
