Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
366	-265.534	-310.7426	45.2086	0.4632424	1.933074	0.2176082	0.791867	0.208133	0.8747252
372	-267.9841	-313.9048	45.92073	0.5180479	1.039921	0.2176082	0.608026	0.391974	0.7541151
378	-271.5662	-316.284	44.71777	0.9277105	2.315796	0.2108377	0.608026	0.391974	0.6108315
384	-273.9217	-321.3375	47.41588	0.5358787	0.3623741	0.07801352	0.257658	0.742342	0.4233752
390	-271.8861	-317.103	45.2169	0.7107173	1.884667	0.1959951	0.795135	0.204865	0.6258325
396	-272.9448	-316.4913	43.54653	1.063221	5.856945	0.1464197	0.81886	0.18114	0.3823131
402	-275.358	-320.6494	45.29139	1.033699	1.557257	0.1464197	0.777506	0.222494	0.5676321
408	-266.3062	-311.6154	45.30922	1.02152	1.557257	0.1464197	0.686681	0.313319	0.463848
414	-276.9697	-324.0581	47.08843	0.4993862	0.4286297	0.1358035	0.260207	0.739793	0.5700211
420	-271.0955	-317.7518	46.65635	0.3184838	0.4286297	0.1358035	0.337329	0.662671	1.281617
426	-270.9259	-317.8891	46.96325	0.09500086	0.4286297	0.246429	0.134649	0.865351	0.8811903
432	-272.8942	-318.4202	45.52601	0.842665	0.9630562	0.2547186	0.646112	0.353888	0.8179033
438	-271.6393	-316.5559	44.91658	0.9345912	1.218558	0.4326802	0.387434	0.612566	0.6494244
444	-269.1139	-314.6911	45.57712	0.2460001	1.923049	0.1679172	0.557055	0.442945	0.8825727
450	-273.0095	-318.0581	45.0486	0.7425289	1.448612	0.3575951	0.465834	0.534166	0.6907614
456	-266.7351	-312.59	45.85487	0.1738525	1.511367	0.2148288	0.635094	0.364906	0.7868631
462	-277.4951	-322.8562	45.36106	0.6142533	1.437901	0.2545098	0.472555	0.527445	0.787065
468	-281.6234	-326.981	45.35761	0.6937852	1.437901	0.2511073	0.670022	0.329978	0.6812562
474	-270.7824	-315.3768	44.59442	0.7120421	3.675549	0.1325029	0.778994	0.221006	0.6364911
480	-269.1985	-313.5712	44.37273	0.5117507	3.613463	0.1998897	0.778994	0.221006	0.9430731
486	-262.1797	-306.7481	44.56843	0.1768115	4.048245	0.1957372	0.795253	0.204747	0.9430731
492	-271.9278	-316.4858	44.55803	0.1888406	4.048245	0.2045353	0.795253	0.204747	0.9128118
498	-276.3042	-320.4305	44.1263	0.06168891	3.833549	0.2045353	0.795253	0.204747	1.465577
504	-271.1545	-316.4487	45.29424	0.2424448	1.60332	0.2570848	0.781402	0.218598	1.11877
510	-270.2098	-316.6773	46.46746	0.1268264	0.7952883	0.1760978	0.584199	0.415801	1.021883
516	-272.4215	-318.9534	46.5319	0.1702626	0.7952883	0.2149702	0.340381	0.659619	0.7628684
522	-274.886	-320.5479	45.6619	0.0624473	0.7955629	0.4332758	0.296734	0.703266	1.253434
528	-275.2465	-320.6857	45.43915	0.2797543	1.180691	0.2541721	0.499556	0.500444	1.253434
534	-273.9252	-319.263	45.33774	0.6235941	1.180691	0.3253447	0.449356	0.550644	0.8573336
540	-273.2556	-318.3533	45.09774	0.258877	1.71024	0.2825756	0.595754	0.404246	1.157839
546	-271.3592	-316.0655	44.70626	0.5149722	2.335239	0.243596	0.698619	0.301381	1.03722
552	-274.3055	-318.8207	44.51522	0.3332344	1.407667	0.7872749	0.634586	0.365414	1.059535
558	-273.2578	-319.0891	45.83127	0.1074761	0.6066352	0.5691269	0.421327	0.578673	1.084615
564	-266.3108	-313.408	47.0972	0.1025177	0.5263852	0.1192557	0.333416	0.666584	0.9858849
570	-278.7806	-324.4785	45.69783	0.6444805	1.348619	0.1504261	0.503157	0.496843	0.805629
576	-282.0359	-327.7477	45.71181	0.3457113	1.438182	0.1504261	0.554548	0.445452	1.041713
582	-266.5527	-313.7282	47.1755	0.2965489	0.3565367	0.1646341	0.232292	0.767708	0.844174
588	-267.0832	-313.3289	46.24564	0.4772346	0.7671405	0.2439286	0.375203	0.624797	0.6476495
594	-269.0222	-314.7029	45.68068	0.4099774	1.298896	0.2211629	0.533081	0.466919	0.8914072
600	-269.5735	-314.8587	45.28516	0.3306429	1.849269	0.1701599	0.498829	0.501171	1.127799
606	-269.9547	-315.5987	45.644	0.4519713	1.170479	0.2340701	0.576163	0.423837	0.9656855
612	-272.9678	-318.0255	45.05765	0.1896613	2.183433	0.1672442	0.720379	0.279621	1.284254
618	-278.0052	-323.8642	45.85906	0.2258647	1.038425	0.2604266	0.631078	0.368922	1.030124
624	-267.892	-313.5527	45.66071	0.2632517	1.079089	0.3714508	0.514315	0.485685	0.8952565
630	-268.535	-313.96	45.42497	0.1946162	2.255489	0.1230246	0.763131	0.236869	1.0632
636	-271.0543	-315.6734	44.61916	0.5042313	2.884083	0.2228798	0.7594	0.2406	0.9281189
642	-271.1633	-315.5393	44.37599	0.1309081	4.496824	0.2211985	0.733131	0.266869	0.964982
648	-267.5573	-312.0754	44.5181	0.5163077	4.496824	0.1088606	0.757497	0.242503	0.7915282
654	-276.8274	-322.2094	45.38203	0.3011461	1.468924	0.1686759	0.649408	0.350592	1.295295
660	-274.1799	-317.3121	43.13215	0.9444309	9.324198	0.111294	0.874074	0.125926	0.5307582
666	-277.8523	-321.8638	44.01152	1.261042	3.010431	0.1937257	0.701258	0.298742	0.2938919
672	-264.1513	-310.5163	46.36496	0.7929456	0.797656	0.1102671	0.413152	0.586848	0.5038372
678	-265.3146	-311.6156	46.30092	0.9471713	0.5444813	0.1806003	0.331712	0.668288	0.5038372
684	-265.6481	-312.9799	47.33173	0.7090639	0.3148781	0.08370798	0.369137	0.630863	0.5120696
690	-266.3886	-313.6604	47.27174	0.8060371	0.3148781	0.06416405	0.212182	0.787818	0.6855409
696	-266.13	-312.5471	46.41706	0.3819503	0.7935884	0.1579982	0.366141	0.633859	0.8700534
702	-271.4409	-317.9167	46.47583	0.552428	0.6562914	0.1770767	0.428408	0.571592	0.7083104
708	-267.7711	-313.8454	46.07424	1.275371	0.576811	0.1363576	0.352944	0.647056	0.493689
714	-270.2629	-315.7815	45.51857	1.885537	0.3046059	0.1098669	0.209184	0.790816	0.1409956
720	-273.6855	-319.584	45.89851	0.5335477	1.314533	0.1489517	0.633117	0.366883	0.7228395
726	-271.0763	-315.7863	44.71	0.9885313	2.769137	0.1285085	0.773539	0.226461	0.6063948
732	-271.389	-316.2234	44.83445	0.3901024	3.289299	0.1593366	0.798992	0.201008	0.8430349
738	-276.7258	-320.9954	44.26963	0.2327162	3.289299	0.1622888	0.645798	0.354202	1.480824
744	-268.8681	-314.6754	45.80726	0.5629436	1.487389	0.135471	0.521075	0.478925	0.682123
750	-276.7659	-321.6502	44.88437	0.09400533	1.728745	0.3730719	0.437204	0.562796	1.298225
756	-276.3183	-320.4162	44.09785	0.2065178	3.762361	0.3240066	0.746726	0.253274	1.144086
762	-274.0964	-318.5978	44.50146	0.04434276	2.689297	0.303604	0.696897	0.303103	1.343094
768	-271.3175	-316.469	45.1515	0.1221727	1.985996	0.2547422	0.592518	0.407482	1.140316
774	-275.6271	-320.9064	45.27935	0.102986	0.8559188	0.3493284	0.529589	0.470411	1.591198
780	-272.4754	-317.7723	45.2969	0.4573872	1.472586	0.3299284	0.637314	0.362686	0.8082212
786	-271.9994	-316.4653	44.4659	0.5738274	1.912892	0.4528936	0.674526	0.325474	1.006936
792	-270.9453	-316.6584	45.71313	0.2548708	0.8948269	0.4003975	0.602082	0.397918	0.9862827
798	-271.0662	-316.1712	45.10504	0.2861377	2.492973	0.1570005	0.602082	0.397918	1.047173
804	-276.8577	-322.0737	45.21605	0.6654421	1.999818	0.1951803	0.533806	0.466194	0.5598218
810	-278.1783	-323.8369	45.65857	0.8222416	1.394174	0.1373784	0.688385	0.311615	0.5598218
816	-279.1766	-323.6085	44.43189	1.130059	2.796241	0.1538559	0.798246	0.201754	0.3549969
822	-276.9443	-322.1295	45.18521	1.127273	1.29493	0.1871145	0.508702	0.491298	0.3196499
828	-282.7787	-327.9362	45.15748	1.444304	0.7747958	0.1871145	0.368952	0.631048	0.201708
834	-288.0124	-332.5343	44.52189	1.444304	1.376512	0.2546004	0.433713	0.566287	0.2585213
840	-284.2065	-328.1941	43.98753	0.1349038	7.409243	0.1125296	0.75568	0.24432	0.9956978
846	-276.1954	-319.7039	43.50854	0.3519214	7.302843	0.1914908	0.856335	0.143665	1.002742
852	-273.5579	-317.1686	43.61065	0.4656221	7.302843	0.1336992	0.865129	0.134871	0.9814193
858	-270.9803	-314.8845	43.90411	0.8205201	5.448667	0.1336992	0.698245	0.301755	0.7074612
864	-274.7893	-318.7456	43.95626	0.5700492	5.448667	0.09958094	0.622334	0.377666	1.090975
870	-271.0831	-315.9327	44.8496	0.3361259	2.893269	0.2639176	0.826536	0.173464	0.6976227
876	-273.7251	-318.1456	44.42049	0.3720081	3.358453	0.3516692	0.739465	0.260535	0.6976227
882	-283.3736	-326.1799	42.80637	1.860363	1.703845	0.6706982	0.566345	0.433655	0.1540457
888	-276.4849	-320.6184	44.13357	1.409065	1.57216	0.3616725	0.565856	0.434144	0.2427271
894	-276.0823	-321.3576	45.27524	0.6626934	2.183334	0.1155324	0.822597	0.177403	0.7892656
900	-268.1218	-313.3012	45.17946	0.6716685	2.389502	0.1053677	0.721899	0.278101	0.8148841
906	-273.3073	-319.3799	46.07255	0.6329586	1.063892	0.1053677	0.640056	0.359944	0.8751014
912	-266.4384	-311.0686	44.63018	1.030657	2.8207	0.1371822	0.668673	0.331327	0.532533
918	-270.6154	-315.2723	44.65683	0.8986527	3.43687	0.08926568	0.535701	0.464299	0.6692113
924	-268.7979	-313.1952	44.39727	1.017763	3.323598	0.142465	0.535701	0.464299	0.6029559
930	-265.2616	-309.628	44.36636	1.247769	2.307943	0.1763026	0.553108	0.446892	0.2665307
936	-268.4278	-313.3574	44.92966	0.8559972	1.440715	0.3510319	0.553108	0.446892	0.7330504
942	-266.6984	-311.7723	45.07389	0.4746534	1.754781	0.3510319	0.580948	0.419052	0.7589051
948	-279.8377	-324.5809	44.74324	1.133508	1.185291	0.4546053	0.335828	0.664172	0.4743297
954	-270.8906	-315.6788	44.78824	0.9267776	1.341135	0.4546053	0.461439	0.538561	0.3832704
960	-269.7396	-315.5709	45.83127	0.9267776	1.155228	0.1154264	0.473233	0.526767	0.425011
966	-268.1768	-314.7335	46.55662	0.4151883	0.8343602	0.1327463	0.57771	0.42229	0.6862519
