Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-264.94	-310.469	45.52902	0.0081711	0.0151847	0.0568323	0.00875442	0.0885645	0.0106343	0.00181459	0.0437422	0.00366647	0.00714061	0.0015715	0.012392	0.035061	0.0250631	0.0341897	0.0602649	0.00392135	0.034991	0.0296988	0.0377799	0.0116555	0.0201201	0.04885	0.0362492	0.00399666	0.000950505	0.00254987	0.104409	0.0446442	0.0119003	0.00212656	0.0543042	0.0384429	0.0116983	0.025763	0.0473861	0.00698113	0.2173428	1.782657	0.6818784	1.318122	0.615339	0.789134	0.92878	1.07668	1.26721	1.62512	0.3511091	1.933074	0.1219207	0.00824144	0.0153154	0.0573215	0.00882978	0.0893269	0.0107258	0.00183021	0.0441187	0.00369803	0.00720208	0.00158503	0.0124987	0.0353628	0.0252788	0.034484	0.0607837	0.0039551	0.0352922	0.0299545	0.0381051	0.0117558	0.0202933	0.0492705	0.0365612	0.00403106	0.000958687	0.00257182	0.105307	0.0450285	0.0120027	0.00214486	0.0547716	0.0387738	0.011799	0.0259848	0.047794	0.00704122	0.603299	0.396701	0.603299	0.9914658
396	-272.9448	-316.4913	43.54653	9.89284e-05	0.00924337	0.0152529	0.00637761	0.0321369	0.00746999	0.00281722	0.0061516	0.00189769	0.00478721	0.00518353	0.0079705	0.00201282	0.0154268	0.00516897	0.0326401	0.000238108	0.00415183	0.017018	0.016363	0.014041	0.00240409	0.0149888	0.0110731	0.013389	4.73252e-05	0.00232704	0.0243449	0.00904385	0.0256927	0.00188311	0.0245282	0.0144662	0.00333422	0.0081439	0.0103833	0.00981525	0.2554382	1.744562	0.2916751	1.708325	0.229827	0.48815	0.799529	1.25074	2.04855	4.3511	1.063221	5.856945	0.1464197	0.000258763	0.0241775	0.0398964	0.0166816	0.0840592	0.0195389	0.00736889	0.0160905	0.0049637	0.0125217	0.0135584	0.0208481	0.00526484	0.0403511	0.0135202	0.0853752	0.000622809	0.0108598	0.0445131	0.0428	0.0367264	0.00628827	0.0392056	0.0289635	0.0350211	0.000123786	0.00608675	0.0636779	0.0236556	0.0672034	0.00492557	0.0641575	0.0378387	0.00872119	0.0213016	0.0271591	0.0256733	0.81886	0.18114	0.8188601	0.3823131
432	-272.8942	-318.4202	45.52601	0.00156824	0.0391509	0.0580867	0.0030846	0.0717025	0.0261838	0.0201601	0.00331575	0.0158857	0.00307705	0.00714472	0.0272721	0.025921	0.0234725	0.040955	0.0346542	0.000431901	0.00456978	0.0118533	0.0175658	0.0172524	0.0535636	0.0147363	0.0331582	0.00652462	2.17869e-05	0.0052701	0.0595213	0.0246324	0.0456902	0.00542675	0.0319878	0.0315239	0.00281038	0.0318131	0.0155547	0.00236007	0.4060171	1.593983	1.01882	0.9811804	0.311798	0.566449	0.837511	1.19401	1.76539	3.20721	0.842665	0.9630562	0.2547186	0.0019174	0.0478674	0.0710191	0.00377135	0.0876662	0.0320134	0.0246486	0.00405397	0.0194224	0.00376212	0.0087354	0.0333439	0.031692	0.0286984	0.0500731	0.0423696	0.000528059	0.00558719	0.0144923	0.0214767	0.0210934	0.0654889	0.0180172	0.0405405	0.00797725	2.66376e-05	0.00644342	0.0727731	0.0301165	0.0558626	0.00663495	0.0391095	0.0385423	0.00343608	0.0388959	0.0190177	0.00288551	0.646112	0.353888	0.6461124	0.8179033
468	-281.6234	-326.981	45.35761	0.0083107	0.00175954	0.0211892	0.0103751	0.0346651	0.0202228	0.00316061	0.0134496	0.00289697	0.0129912	0.00421894	0.00550061	0.0149301	0.0191547	0.00291146	0.0287988	0.00248811	0.0149078	0.0491761	0.0189977	0.00945003	0.0217499	0.00690757	0.00402049	0.051553	0.0162758	0.0310385	0.0237774	0.0181002	0.0344354	0.011364	0.0132558	0.0426784	0.0116477	0.0287311	0.00543755	0.0607283	0.4014161	1.598584	0.8203779	1.179622	0.383084	0.626284	0.864165	1.15719	1.59672	2.61039	0.6937852	1.437901	0.2511073	0.0121991	0.00258279	0.0311031	0.0152293	0.050884	0.0296846	0.00463939	0.0197423	0.0042524	0.0190695	0.00619288	0.00807421	0.0219155	0.0281168	0.00427367	0.0422731	0.00365224	0.0218828	0.0721845	0.0278862	0.0138715	0.0319261	0.0101395	0.00590158	0.0756735	0.0238908	0.0455608	0.0349023	0.0265688	0.0505469	0.0166809	0.0194579	0.0626466	0.0170973	0.0421736	0.00798165	0.0891417	0.670022	0.329978	0.6700216	0.6812562
504	-271.1545	-316.4487	45.29424	0.0144256	0.0258866	0.0901023	0.00192105	0.0496886	0.0208338	0.0294969	0.0210774	0.00723063	0.00746025	0.0172066	0.028352	0.0407659	0.0377257	0.00552868	0.0685444	0.0213645	0.0418544	0.0550244	0.0432637	0.0338704	0.00666379	0.0100663	0.00612486	0.0533711	0.04837	0.0111349	0.0470352	0.0252231	0.0151483	0.057463	0.00465467	0.054406	0.00506292	0.0164867	0.00692938	0.0890056	0.4090174	1.590983	0.7682498	1.23175	0.715124	0.849144	0.950262	1.05234	1.17766	1.39836	0.2424448	1.60332	0.2570848	0.0128941	0.0231384	0.080537	0.00171711	0.0444136	0.0186221	0.0263654	0.0188398	0.00646302	0.00666827	0.0153799	0.0253421	0.0364381	0.0337207	0.00494175	0.0612677	0.0190964	0.0374111	0.049183	0.0386707	0.0302747	0.00595635	0.00899768	0.00547464	0.0477052	0.0432349	0.00995285	0.0420419	0.0225454	0.0135402	0.0513626	0.00416053	0.0486302	0.00452543	0.0147365	0.00619375	0.0795567	0.781402	0.218598	0.7814024	1.11877
540	-273.2556	-318.3533	45.09774	0.00543481	0.00798156	0.107476	0.000926764	0.0900108	0.00597592	0.00597146	0.0192107	0.049248	0.0218817	0.0207581	0.0200475	0.0170748	0.0153068	0.00345288	0.0321327	0.0353663	0.0135554	0.0710764	0.0401504	0.0390006	0.00324433	0.0282147	0.0107942	0.0185871	0.01468	0.0426997	0.0443254	0.115853	0.038028	0.02868	0.0038384	0.0304204	0.00198918	0.0533949	0.00139684	0.0996533	0.4406377	1.559362	0.737942	1.262058	0.699055	0.839785	0.946982	1.05599	1.19078	1.4305	0.258877	1.71024	0.2825756	0.00469393	0.0068935	0.0928245	0.000800426	0.0777404	0.00516127	0.00515742	0.0165918	0.0425344	0.0188987	0.0179283	0.0173146	0.0147471	0.0132201	0.00298217	0.0277523	0.0305451	0.0117075	0.0613871	0.0346771	0.033684	0.00280206	0.0243685	0.00932271	0.0160533	0.0126788	0.0368788	0.0382829	0.10006	0.0328439	0.0247703	0.00331514	0.0262735	0.00171801	0.046116	0.00120642	0.0860684	0.595754	0.404246	0.5957535	1.157839
576	-282.0359	-327.7477	45.71181	0.0149173	0.00834907	0.0122858	0.000864981	0.0437944	0.025877	0.00391097	0.0337347	0.0366821	0.0102747	0.0553615	0.0429147	0.0067107	0.0290496	0.0366493	0.0356834	0.00914955	0.0169195	0.057242	0.0468687	0.00186109	0.0304097	0.0134715	0.0244369	0.0465044	0.00821245	0.0362768	0.0408507	0.0422152	0.000413163	0.137186	0.000994145	0.0441053	0.0360659	0.0346315	0.0138086	0.00302962	0.2615137	1.738486	0.8202834	1.179717	0.61995	0.792012	0.929836	1.07546	1.26261	1.61303	0.3457113	1.438182	0.1504261	0.0143199	0.00801475	0.0117939	0.000830345	0.0420407	0.0248408	0.00375436	0.0323839	0.0352133	0.00986324	0.0531447	0.0411962	0.00644199	0.0278863	0.0351818	0.0342546	0.00878317	0.016242	0.0549499	0.044992	0.00178657	0.029192	0.0129321	0.0234584	0.0446422	0.0078836	0.0348242	0.0392149	0.0405248	0.000396618	0.131693	0.000954336	0.0423392	0.0346217	0.0332448	0.0132556	0.0029083	0.554548	0.445452	0.5545477	1.041713
612	-272.9678	-318.0255	45.05765	0.000860835	0.066881	0.0321397	0.00126063	0.111115	0.0140662	0.0196866	0.0516911	0.00259615	0.00582568	0.0291921	0.03312	0.00597594	0.0407657	0.0248553	0.0848192	0.000488275	0.122395	0.0150051	0.018731	0.0113233	0.0606636	0.0434611	0.0398993	0.0349788	0.0127297	0.0028692	0.179525	0.031908	0.0322094	0.0476491	0.0018144	0.00777997	0.0259285	0.0536648	0.00866537	0.00771437	0.2865625	1.713437	0.6282526	1.371747	0.76928	0.87992	0.960876	1.04072	1.13647	1.29992	0.1896613	2.183433	0.1672442	0.0006703	0.0520777	0.025026	0.000981608	0.086521	0.0109529	0.0153292	0.0402499	0.00202152	0.00453624	0.0227308	0.0257893	0.00465324	0.0317427	0.0193538	0.0660455	0.000380201	0.0953046	0.0116839	0.0145851	0.00881699	0.0472365	0.0338415	0.0310681	0.0272367	0.0099121	0.00223414	0.139789	0.0248455	0.0250802	0.0371025	0.0014128	0.00605797	0.0201895	0.0417867	0.00674739	0.00600689	0.720379	0.279621	0.7203785	1.284254
648	-267.5573	-312.0754	44.5181	0.00161865	0.0174083	0.0262385	0.00515634	0.0659697	0.024342	0.0101065	0.0150447	0.00846713	0.00223926	0.00762907	0.0231747	0.0113249	0.0568234	0.0367958	0.0338973	4.16188e-05	0.0143218	0.0767888	0.0196684	0.00717403	0.0150437	0.0162594	0.0319187	0.00520642	0.0102323	0.00136637	0.0687804	0.0452604	0.0198962	0.0390283	0.00265337	0.0355892	0.0100296	0.0148	0.00486365	0.00636946	0.1963468	1.803653	0.3638464	1.636154	0.489657	0.705926	0.897048	1.11477	1.41658	2.04225	0.5163077	4.496824	0.1088606	0.00204497	0.0219933	0.0331492	0.00651441	0.0833447	0.0307532	0.0127684	0.0190071	0.0106972	0.00282904	0.0096384	0.0292784	0.0143076	0.0717895	0.046487	0.0428251	5.25804e-05	0.0180938	0.0970133	0.0248487	0.00906351	0.0190059	0.0205418	0.0403254	0.00657768	0.0129272	0.00172624	0.0868957	0.057181	0.0251364	0.0493075	0.00335221	0.0449627	0.0126712	0.0186979	0.00614463	0.00804704	0.757497	0.242503	0.7574974	0.7915282
684	-265.6481	-312.9799	47.33173	0.00227351	0.00465645	0.0158047	0.000403797	0.0385926	0.00512719	0.00728304	0.0120835	0.000479275	0.00300834	0.0136698	0.0128275	0.014924	0.0173979	0.00591243	0.0461313	9.65371e-05	0.00849547	0.0219214	0.035208	0.00530879	0.020922	0.0160344	0.0185699	0.00464013	0.0179465	0.00649149	0.0583908	0.0193101	0.00794018	0.0258871	0.00237535	0.00706633	0.00578812	0.0125612	0.0155696	0.000970805	0.1544844	1.845516	1.521054	0.4789464	0.375074	0.619863	0.861391	1.16091	1.61326	2.66614	0.7090639	0.3148781	0.08370798	0.00443985	0.00909339	0.0308644	0.00078856	0.075366	0.0100127	0.0142227	0.0235973	0.000935957	0.00587487	0.0266952	0.0250503	0.0291445	0.0339757	0.0115461	0.0900879	0.000188523	0.0165905	0.0428094	0.0687563	0.0103673	0.0408577	0.0313129	0.0362644	0.00906153	0.035047	0.012677	0.114029	0.0377099	0.0155061	0.0505538	0.00463872	0.0137996	0.0113034	0.0245303	0.0304053	0.00189585	0.369137	0.630863	0.3691373	0.5120696
