Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
276	-636.6008	-799.217	162.6162	0.2166657	0.8215631	0.9221933	1.015697	0.509404	0.490596	0.494416	0.505584	5.335618
282	-651.6498	-814.9274	163.2776	0.3725653	0.6076346	0.7809384	0.9788052	0.597353	0.402647	0.648523	0.351477	5.125939
288	-645.7965	-811.6073	165.8108	0.225462	0.3628315	1.037993	1.376508	0.489745	0.510255	0.628851	0.371149	3.4572
294	-643.6932	-809.074	165.3808	0.028829	0.6321075	0.849351	1.448575	0.624201	0.375799	0.662349	0.337651	3.833379
300	-646.8847	-812.1249	165.2402	0.1498447	0.586068	0.9045725	1.370119	0.750294	0.249706	0.52345	0.47655	3.913301
306	-634.3866	-799.8046	165.418	0.09917053	0.6748551	0.8255768	1.260985	0.47936	0.52064	0.597386	0.402614	3.832538
312	-639.8707	-804.1807	164.31	0.2436597	0.6628685	0.8090405	1.181725	0.539752	0.460248	0.582147	0.417853	4.439157
318	-633.8795	-798.3038	164.4243	0.05147658	0.7000745	0.8090405	1.212874	0.501234	0.498766	0.45659	0.54341	4.439157
324	-635.2219	-799.5628	164.3409	0.228344	0.861206	0.7278769	1.164164	0.616381	0.383619	0.28932	0.71068	4.439157
330	-629.6007	-793.3736	163.7729	0.1259675	0.8941669	0.9270747	1.164164	0.617476	0.382524	0.495137	0.504863	4.633736
336	-642.6303	-807.1895	164.5592	0.6408635	0.8190379	0.7539959	2.11013	0.469579	0.530421	0.473566	0.526434	3.475656
342	-629.5815	-794.7838	165.2022	0.4814379	0.5835686	0.897402	1.557395	0.696809	0.303191	0.35234	0.64766	3.632398
348	-632.3441	-799.0762	166.7321	0.4814379	0.306618	0.9094982	1.987153	0.432232	0.567768	0.362185	0.637815	2.455158
354	-636.7388	-802.9158	166.177	0.4814379	0.3719249	0.6299661	1.511317	0.424003	0.575997	0.599806	0.400194	3.24198
360	-632.1032	-797.9828	165.8796	0.1882412	0.4160903	0.6731105	1.406704	0.439836	0.560164	0.484252	0.515748	3.608331
366	-653.7751	-819.2346	165.4596	0.4122575	0.3702635	0.7648515	1.725108	0.540687	0.459313	0.555049	0.444951	3.492779
372	-651.7722	-816.1834	164.4112	0.1118258	0.6362407	0.9912584	1.0429	0.68976	0.31024	0.394207	0.605793	4.493089
378	-633.6606	-797.9392	164.2786	0.206069	0.7506393	0.9220059	0.977088	0.533793	0.466207	0.619208	0.380792	4.493089
384	-629.1229	-793.7145	164.5916	0.008331469	0.6706416	0.7577275	1.087418	0.533793	0.466207	0.598528	0.401472	4.493089
