Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
0	-316.624	-486.9848	170.3608	2.821409	1.410007
6	-317.0853	-487.6051	170.5198	2.605447	1.410007
12	-319.2861	-489.2787	169.9926	3.074849	1.552849
18	-317.8877	-487.9228	170.035	2.626434	1.753562
24	-323.8558	-495.2113	171.3555	1.480702	1.494567
30	-325.0681	-495.1701	170.1019	2.911543	1.556591
36	-315.1132	-485.4037	170.2905	2.652247	1.556591
42	-314.823	-485.3206	170.4976	1.855612	1.864085
48	-322.899	-493.4526	170.5536	2.112858	1.672652
54	-324.5975	-494.9646	170.3671	2.112858	1.803637
60	-328.6268	-499.1877	170.5609	2.159321	1.640047
66	-326.0469	-496.2762	170.2293	3.401694	1.192831
72	-320.0943	-490.5658	170.4715	2.62118	1.438151
78	-319.3924	-490.2115	170.8191	2.405095	1.294268
84	-314.0093	-484.5761	170.5669	2.498811	1.436139
90	-318.7106	-488.8683	170.1576	3.14331	1.392277
96	-326.8269	-497.1036	170.2767	3.261242	1.231565
102	-324.2263	-494.4738	170.2475	2.690439	1.567436
108	-331.0023	-501.8709	170.8686	1.912152	1.567436
114	-325.8044	-496.5005	170.6961	1.912152	1.691875
120	-337.6272	-508.2942	170.667	1.77725	1.794941
126	-320.0616	-490.8838	170.8222	2.148473	1.45345
132	-317.6856	-488.3179	170.6323	2.385126	1.45345
138	-312.8992	-483.7235	170.8243	2.000339	1.544584
144	-326.3924	-497.1406	170.7482	2.511873	1.284738
150	-323.9943	-494.5717	170.5774	3.108643	1.056087
156	-330.1037	-500.4797	170.3761	3.108643	1.234962
162	-336.0755	-506.8557	170.7802	1.704914	1.761141
168	-324.3898	-495.3001	170.9103	2.329331	1.268353
174	-320.3631	-490.3595	169.9964	3.821627	1.164385
180	-337.6601	-507.2909	169.6308	3.218955	1.742156
186	-333.8189	-504.1573	170.3384	1.833937	1.984464
192	-330.0752	-500.0474	169.9722	2.678377	1.77039
198	-328.6246	-499.1494	170.5248	2.475168	1.481952
204	-335.1836	-505.2591	170.0754	3.067702	1.494897
210	-333.4374	-504.3064	170.869	1.688919	1.708897
216	-342.5326	-512.1501	169.6175	3.218331	1.751741
222	-349.8226	-519.5504	169.7278	3.178594	1.692985
228	-342.2262	-512.2227	169.9965	3.063691	1.555708
234	-349.6956	-520.5134	170.8178	2.726139	1.085362
240	-334.7405	-504.5506	169.8101	2.857735	1.792174
246	-322.6642	-493.2008	170.5366	1.962041	1.773922
252	-330.7213	-500.8178	170.0965	2.506659	1.773922
258	-318.2872	-488.2238	169.9367	2.867654	1.698497
264	-329.7528	-499.8632	170.1104	2.323729	1.862661
270	-336.2771	-506.4108	170.1338	3.14877	1.407934
276	-336.5304	-506.4213	169.8909	3.14877	1.590267
282	-334.599	-505.3224	170.7234	1.507238	1.924608
288	-323.7583	-494.9601	171.2019	1.391876	1.668569
294	-331.7078	-502.2045	170.4967	2.22173	1.649676
300	-331.0855	-501.2943	170.2089	2.22173	1.851198
306	-339.3254	-509.5878	170.2624	2.10902	1.877645
312	-320.7206	-490.6564	169.9358	2.644793	1.812953
318	-309.7853	-480.2134	170.4281	2.235115	1.690844
324	-305.4753	-475.7217	170.2464	2.866861	1.472535
330	-312.6261	-482.511	169.8849	3.394991	1.472535
336	-316.1282	-486.5002	170.3719	2.620809	1.513666
342	-319.295	-489.3633	170.0683	2.001974	2.067741
348	-324.4473	-495.3557	170.9084	2.001974	1.480727
354	-325.4576	-495.8346	170.377	2.75005	1.43747
360	-336.509	-506.7071	170.1981	2.549085	1.679668
366	-329.8526	-500.3221	170.4695	2.549085	1.481036
372	-317.4623	-487.6615	170.1991	2.49435	1.708542
378	-323.1559	-492.8756	169.7196	3.245717	1.666517
384	-331.6061	-501.351	169.7449	3.388376	1.579916
390	-326.8861	-496.5379	169.6517	2.753314	1.951838
396	-318.9515	-489.5838	170.6323	2.167006	1.583741
402	-315.6112	-485.6465	170.0353	3.347215	1.38096
408	-322.1198	-492.3098	170.19	2.715138	1.596131
414	-329.3453	-499.8523	170.507	2.818978	1.295348
420	-317.3035	-488.3896	171.0862	2.015594	1.333853
426	-321.3399	-491.8358	170.4959	2.191307	1.667869
432	-318.5428	-488.5075	169.9647	3.070861	1.575396
438	-318.1553	-489.1035	170.9482	1.972039	1.469832
444	-323.8812	-494.0029	170.1217	2.45264	1.785278
450	-324.7571	-495.3661	170.609	2.097292	1.642234
456	-324.132	-494.1167	169.9847	2.467682	1.871627
462	-332.2497	-502.842	170.5923	2.726607	1.280647
468	-333.6059	-504.6018	170.9959	2.204023	1.280647
474	-338.2916	-507.9117	169.6201	1.861249	2.433704
480	-338.3951	-508.4063	170.0112	1.861249	2.184042
486	-339.5437	-509.4961	169.9523	1.929319	2.184042
492	-335.2939	-504.917	169.6232	3.014154	1.844789
498	-339.0658	-509.2404	170.1746	2.855652	1.532401
504	-324.7365	-495.203	170.4665	2.611243	1.447644
510	-328.8339	-498.4757	169.6418	4.367196	1.193307
516	-328.4273	-499.2765	170.8492	2.62153	1.12744
522	-341.9314	-511.8714	169.94	3.100391	1.578556
528	-335.8569	-506.8244	170.9675	1.828751	1.547999
534	-332.4662	-503.1642	170.698	1.57937	1.896433
540	-323.3746	-493.9205	170.5459	2.748957	1.305086
546	-325.779	-496.853	171.0741	1.51258	1.678296
552	-337.1164	-508.0046	170.8882	1.412611	1.873399
558	-335.0729	-505.7983	170.7254	1.586357	1.873399
564	-313.6362	-484.649	171.0128	1.968668	1.422653
570	-310.5635	-481.2435	170.68	1.725268	1.817969
576	-322.2325	-492.7011	170.4686	2.156026	1.707796
582	-318.6993	-489.1885	170.4892	1.802627	1.901449
588	-321.6313	-492.1257	170.4945	2.273253	1.621364
594	-327.8824	-498.2836	170.4012	3.014476	1.268285
600	-329.0406	-499.4422	170.4015	2.805838	1.387038
606	-333.0914	-503.32	170.2286	2.080113	1.916905
612	-319.8419	-490.2897	170.4478	2.204296	1.694578
618	-328.0491	-497.8479	169.7988	2.293264	2.087572
624	-319.1598	-489.5105	170.3506	2.428686	1.636679
630	-320.6476	-491.5598	170.9122	1.570697	1.754403
636	-327.8653	-498.6285	170.7632	1.592861	1.843433
642	-331.0495	-501.3007	170.2512	2.724712	1.546083
648	-338.3243	-509.2565	170.9322	1.505682	1.782631
654	-327.0937	-497.5069	170.4132	2.426449	1.592571
660	-321.9566	-492.3699	170.4132	2.426449	1.592571
666	-326.9693	-496.8096	169.8403	2.653153	1.874225
672	-318.7966	-489.128	170.3315	2.462237	1.631734
678	-322.4827	-492.8036	170.321	2.462237	1.639304
684	-325.4129	-496.2173	170.8044	1.896906	1.623775
690	-325.9913	-496.9847	170.9933	1.414057	1.800232
696	-326.1467	-496.877	170.7303	1.60699	1.85712
702	-330.3966	-501.3594	170.9628	1.91077	1.498401
708	-327.1791	-498.0048	170.8257	2.347967	1.325217
714	-328.5338	-498.4265	169.8928	3.553098	1.387961
720	-332.7724	-503.0362	170.2638	2.242575	1.801798
726	-344.7804	-516.3435	171.5631	1.33818	1.440092
732	-333.4476	-504.5097	171.0621	1.342885	1.799803
738	-339.1921	-509.5189	170.3268	2.433678	1.65099
744	-340.3498	-509.9657	169.6159	2.310873	2.197736
750	-326.0878	-496.4367	170.349	2.42387	1.640566
756	-334.8444	-505.1757	170.3313	2.446584	1.640566
762	-340.4763	-510.5313	170.055	1.891596	2.138432
768	-339.2498	-509.2111	169.9612	1.717752	2.297876
774	-344.8938	-515.4723	170.5785	1.460143	2.050976
780	-336.6796	-507.9261	171.2465	1.541431	1.533516
786	-338.4988	-508.7944	170.2955	2.256761	1.771821
792	-333.8785	-504.2474	170.3689	2.491085	1.588477
798	-329.4757	-499.7513	170.2756	2.133022	1.855087
804	-336.2694	-506.3967	170.1273	2.900772	1.543545
810	-331.3139	-500.9781	169.6642	3.411791	1.627415
816	-332.6876	-502.7891	170.1015	2.725911	1.654291
822	-338.0901	-507.9745	169.8844	3.595193	1.373504
828	-328.7702	-499.2722	170.502	2.692085	1.373504
834	-337.2001	-507.7184	170.5184	2.459684	1.495787
840	-335.6898	-505.7394	170.0496	2.800054	1.652729
846	-340.9637	-511.2133	170.2496	2.704468	1.558253
852	-344.8569	-515.5674	170.7105	2.242217	1.480329
858	-330.1056	-500.9032	170.7976	1.794555	1.692632
864	-325.6104	-495.8933	170.2829	1.794555	2.044403
870	-329.5628	-500.4199	170.857	1.827206	1.629593
876	-333.8317	-503.7042	169.8725	2.860827	1.747154
882	-333.0607	-503.685	170.6243	2.256209	1.536398
888	-335.6797	-506.008	170.3283	2.638318	1.536398
894	-326.2023	-496.6276	170.4253	2.509924	1.536398
900	-316.4205	-486.649	170.2285	2.172661	1.865084
906	-326.1672	-497.1501	170.9829	1.540009	1.724786
912	-323.5371	-494.2235	170.6864	2.434115	1.382205
918	-319.4787	-490.3814	170.9027	2.529367	1.141931
924	-318.095	-488.3179	170.2229	3.125253	1.350635
930	-311.1302	-481.8221	170.6919	2.545643	1.309603
936	-311.4816	-481.6662	170.1846	2.568397	1.678835
942	-318.0655	-488.4963	170.4308	2.46152	1.55978
948	-317.2529	-487.344	170.091	2.519508	1.770884
954	-318.871	-489.421	170.5499	1.953281	1.769837
960	-317.7107	-488.3101	170.5994	2.632093	1.331674
966	-315.958	-486.4439	170.4859	2.64097	1.415649
972	-329.4371	-499.923	170.4859	2.64097	1.415649
978	-329.1521	-499.2372	170.0851	2.834828	1.609039
984	-310.4953	-480.7506	170.2554	2.106675	1.883774
990	-317.6169	-488.0601	170.4432	1.985096	1.824977
996	-330.4543	-501.5154	171.0611	2.086929	1.305878
1002	-311.0975	-481.3754	170.2779	2.681731	1.5498
1008	-317.5349	-488.1242	170.5893	2.63025	1.340837
1014	-343.617	-514.4026	170.7857	2.199531	1.449486
1020	-339.3661	-509.5786	170.2125	2.665348	1.606545
1026	-328.7403	-499.0289	170.2886	2.441209	1.674113
1032	-333.233	-503.3534	170.1204	2.999146	1.496933
1038	-331.4573	-501.7972	170.3399	2.947284	1.355943
1044	-325.5427	-496.0259	170.4832	2.502455	1.497456
1050	-330.129	-500.1965	170.0675	2.163611	1.978911
1056	-331.0374	-500.9661	169.9287	2.337891	1.97793
1062	-338.6794	-508.8373	170.1579	2.849041	1.548262
1068	-328.6012	-498.8067	170.2056	2.849041	1.512861
1074	-328.0249	-498.8047	170.7798	1.709416	1.758582
1080	-332.9688	-503.4838	170.515	1.826977	1.869308
1086	-329.5709	-499.3765	169.8056	1.796602	2.35232
1092	-322.2869	-492.8783	170.5913	2.000149	1.712817
1098	-324.3046	-495.0189	170.7142	1.822693	1.734036
1104	-325.2141	-495.9186	170.7045	2.553183	1.294778
1110	-316.7892	-487.2092	170.42	2.553183	1.515846
1116	-324.037	-494.0428	170.0058	3.317934	1.418956
1122	-332.2148	-502.5682	170.3534	2.628129	1.523406
1128	-344.5461	-514.7335	170.1874	3.011402	1.439644
1134	-339.566	-509.9686	170.4027	3.072345	1.233632
1140	-325.4985	-495.956	170.4575	3.195821	1.112234
1146	-321.5243	-491.7856	170.2614	2.788664	1.503732
1152	-325.0523	-495.7381	170.6858	2.417844	1.392547
1158	-321.1767	-491.5389	170.3622	2.417844	1.634411
1164	-337.0055	-506.645	169.6395	2.332054	2.171539
1170	-328.9065	-498.8664	169.9599	3.542083	1.340493
1176	-326.2236	-496.2254	170.0018	3.053487	1.556989
1182	-321.6808	-491.8112	170.1304	2.163707	1.936629
1188	-324.313	-495.2177	170.9047	2.163707	1.380004
1194	-324.2877	-495.373	171.0853	2.187547	1.217237
1200	-336.1381	-506.8913	170.7531	1.811819	1.713372
1206	-332.1517	-502.5654	170.4137	1.866486	1.914714
1212	-334.6082	-504.4795	169.8714	2.53278	1.914714
1218	-333.6022	-503.849	170.2468	2.491822	1.676106
1224	-330.7431	-500.7078	169.9646	2.514845	1.860566
1230	-333.7942	-504.3089	170.5147	2.107065	1.703734
1236	-319.0267	-489.4038	170.377	2.107065	1.800037
1242	-325.1093	-495.3236	170.2143	2.107065	1.911462
1248	-325.4513	-495.5469	170.0956	3.095865	1.46501
1254	-327.0812	-497.6232	170.5419	2.481974	1.46501
1260	-326.5025	-496.8409	170.3384	2.481974	1.615777
1266	-323.4728	-493.9916	170.5188	2.205941	1.642993
1272	-325.9049	-496.463	170.5581	2.074885	1.691905
1278	-321.9684	-491.9998	170.0314	1.802252	2.204471
1284	-329.4143	-500.1297	170.7154	1.585313	1.880841
1290	-327.3574	-497.5572	170.1998	2.179531	1.880841
1296	-325.4894	-495.784	170.2947	1.671503	2.109143
1302	-315.9686	-486.6284	170.6598	1.671503	1.865079
1308	-320.2943	-491.0267	170.7323	1.555784	1.887917
1314	-328.7508	-499.1226	170.3718	1.913887	1.915289
1320	-328.2837	-499.24	170.9562	1.68768	1.647542
1326	-316.4349	-487.0139	170.5791	2.296276	1.546098
1332	-319.5703	-489.9293	170.359	2.577593	1.547418
1338	-315.9085	-486.2177	170.3092	2.020552	1.896113
1344	-315.0959	-485.6709	170.575	2.035469	1.703285
1350	-319.4062	-490.475	171.0688	1.735214	1.5343
1356	-324.1736	-494.6055	170.4318	2.179695	1.720057
1362	-313.7727	-484.6346	170.8619	1.887096	1.588145
1368	-326.3966	-496.8473	170.4507	2.502321	1.521853
1374	-323.5351	-494.033	170.4979	1.810252	1.89096
1380	-323.2583	-493.279	170.0207	2.304718	1.933799
1386	-328.6736	-498.7528	170.0792	2.459002	1.81135
1392	-321.7971	-492.1153	170.3183	3.25968	1.197103
1398	-326.9865	-497.6293	170.6428	2.5116	1.369513
1404	-323.9328	-493.8989	169.9661	2.365281	1.938296
1410	-336.6162	-507.0823	170.466	1.880047	1.871149
1416	-331.3574	-501.2261	169.8688	2.806542	1.777053
1422	-326.8963	-497.6332	170.7369	1.688175	1.801736
1428	-326.4559	-495.8354	169.3794	2.368129	2.32048
1434	-318.205	-488.4436	170.2386	1.548667	2.218868
1440	-321.1056	-491.8735	170.7679	1.53917	1.87421
1446	-326.0505	-495.9615	169.911	3.658924	1.320381
1452	-334.7669	-505.0137	170.2468	2.106036	1.889945
1458	-336.5703	-506.7731	170.2028	1.700922	2.151809
1464	-341.5333	-512.2199	170.6866	1.752753	1.796442
1470	-328.8047	-499.8824	171.0777	1.96858	1.372189
1476	-316.7754	-487.9613	171.1859	1.794442	1.405642
1482	-325.1342	-496.1037	170.9695	1.30274	1.889954
1488	-328.2488	-498.7774	170.5285	1.88176	1.827294
1494	-325.899	-496.2519	170.353	3.175274	1.21607
1500	-328.5068	-498.8682	170.3614	2.095064	1.817739
1506	-328.8616	-499.341	170.4793	2.49569	1.504271
1512	-322.3307	-492.9887	170.658	1.987274	1.67326
1518	-323.2061	-494.385	171.1789	1.542558	1.582554
1524	-312.2272	-482.3037	170.0766	2.927156	1.567112
1530	-324.541	-495.6996	171.1586	1.144334	1.867126
1536	-326.4972	-496.8512	170.3539	1.662289	2.075684
1542	-331.7418	-502.8526	171.1108	1.390333	1.734075
1548	-332.5087	-502.5904	170.0817	2.77394	1.643325
1554	-320.6231	-491.0179	170.3948	2.77394	1.410322
1560	-322.7044	-492.9057	170.2014	2.511597	1.69762
1566	-328.0465	-498.2498	170.2033	1.74295	2.126928
1572	-324.1138	-494.9121	170.7983	2.050812	1.532337
1578	-325.0148	-495.2025	170.1877	2.22028	1.866489
1584	-321.6962	-491.7879	170.0917	3.225487	1.400248
1590	-314.1754	-484.3604	170.185	2.50557	1.712438
1596	-320.1815	-490.4459	170.2644	2.17053	1.841703
1602	-329.8342	-500.6339	170.7997	1.808856	1.682222
1608	-320.1641	-490.5898	170.4257	2.412039	1.591691
1614	-328.0244	-498.6293	170.6049	2.466234	1.426115
1620	-335.0718	-505.8432	170.7714	2.254919	1.426115
1626	-324.3555	-494.6802	170.3247	1.765416	2.033825
1632	-326.2406	-496.2628	170.0223	1.681216	2.279861
1638	-326.2928	-497.1878	170.895	1.681216	1.695414
1644	-328.8358	-499.2358	170.4	2.692781	1.452079
1650	-332.7842	-503.002	170.2178	2.390024	1.75231
1656	-326.8099	-496.9389	170.129	3.014934	1.482192
1662	-330.1627	-499.8515	169.6888	3.478101	1.578248
1668	-341.3349	-511.4886	170.1537	3.214575	1.357335
1674	-336.7179	-506.586	169.8681	2.525141	1.920851
1680	-333.9718	-504.1545	170.1827	2.335401	1.806628
1686	-336.0546	-506.4549	170.4003	1.86361	1.925492
1692	-335.7838	-505.9851	170.2014	1.86361	2.058285
1698	-342.2143	-512.5094	170.295	2.387532	1.699287
1704	-318.4646	-489.4664	171.0018	2.276336	1.227206
1710	-317.6705	-487.8052	170.1346	2.982847	1.494825
1716	-320.5438	-491.2602	170.7164	2.012587	1.615922
1722	-321.3625	-491.904	170.5416	2.087392	1.696255
1728	-328.0743	-498.2301	170.1559	2.339754	1.822736
1734	-325.4	-495.586	170.1861	2.906066	1.496921
1740	-318.0837	-488.9684	170.8847	1.803274	1.624817
1746	-332.4098	-502.6612	170.2514	3.579763	1.070122
1752	-334.4419	-504.4288	169.987	2.942653	1.624371
1758	-318.992	-489.498	170.5059	2.026729	1.757045
1764	-329.7756	-500.1439	170.3684	2.246399	1.726678
1770	-325.4619	-495.8315	170.3696	1.999112	1.867316
1776	-329.0173	-499.1475	170.1303	2.17936	1.928043
1782	-328.5728	-499.8575	171.2847	1.408154	1.597665
1788	-329.2569	-499.8054	170.5485	2.093107	1.687967
1794	-330.3013	-500.8917	170.5904	2.042927	1.687967
1800	-325.1178	-495.7049	170.587	2.318433	1.527123
1806	-328.0217	-498.4128	170.3911	2.612732	1.503816
1812	-330.9922	-501.2639	170.2717	2.967187	1.398481
1818	-328.0494	-498.215	170.1655	2.967187	1.479829
1824	-325.9895	-497.0119	171.0223	1.806524	1.521822
1830	-333.283	-503.3129	170.0299	2.155856	2.008227
1836	-317.1367	-487.7007	170.564	1.879539	1.804181
1842	-320.2203	-490.5735	170.3532	1.796991	1.996261
1848	-320.6462	-490.7906	170.1444	2.235771	1.887449
1854	-314.6294	-485.0592	170.4298	2.831758	1.350023
1860	-318.0701	-488.2974	170.2274	2.42862	1.724452
1866	-317.6039	-488.1922	170.5883	2.609877	1.353775
1872	-324.6864	-495.3935	170.7071	1.712692	1.807065
1878	-320.527	-491.3789	170.8519	1.609789	1.7714
1884	-325.7691	-496.1392	170.3701	1.770445	2.000653
1890	-323.4303	-493.7721	170.3418	2.399421	1.659365
1896	-331.9238	-501.5222	169.5984	2.2387	2.246311
1902	-343.813	-514.3611	170.5481	1.71665	1.913369
1908	-328.0268	-498.2964	170.2696	1.876399	2.00566
1914	-327.1785	-497.4617	170.2832	2.649472	1.5635
1920	-318.8511	-489.26	170.409	2.52652	1.539114
1926	-326.0968	-496.4796	170.3827	2.205051	1.740071
1932	-323.1829	-493.7275	170.5446	2.205051	1.624877
1938	-333.0348	-503.5434	170.5086	2.620921	1.409684
1944	-314.8662	-485.3999	170.5337	2.235642	1.614887
1950	-315.0694	-484.9162	169.8469	3.881902	1.260359
1956	-321.4235	-491.3892	169.9657	2.945534	1.638219
1962	-336.9772	-506.8925	169.9153	2.298949	2.007501
1968	-341.5049	-512.177	170.6721	1.793079	1.781687
1974	-335.1971	-505.1024	169.9053	1.780322	2.297983
1980	-330.6522	-500.7721	170.1199	2.133761	1.960227
1986	-333.0989	-503.6514	170.5525	2.627662	1.371468
1992	-320.2774	-489.7025	169.4252	3.818662	1.614241
1998	-320.2913	-490.4671	170.1758	3.526848	1.169012
2004	-325.8064	-495.6724	169.866	3.526848	1.421786
