Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-98.92886	-264.5531	165.6242	1.231164	4.715262	0.6469877	0.854603	0.145397	0.49142	0.50858	2.194594
6	-104.4316	-268.3552	163.9235	1.28652	6.278017	0.98573	0.745907	0.254093	0.690151	0.309849	2.451013
12	-87.68461	-253.4465	165.7619	0.121573	6.859973	0.8334009	0.763262	0.236738	0.579625	0.420375	1.919987
18	-93.2727	-258.2848	165.0121	0.2276277	8.771088	0.8338741	0.70558	0.29442	0.664743	0.335257	1.830581
24	-96.45762	-262.0765	165.6189	0.958741	4.629597	1.307525	0.861047	0.138953	0.764388	0.235612	2.094548
30	-98.20261	-262.8238	164.6212	0.958741	10.33218	1.1041	0.988262	0.0117378	0.751048	0.248952	2.09051
36	-104.5011	-266.2429	161.7418	1.148041	11.5524	2.056062	0.832273	0.167727	0.751048	0.248952	2.166175
42	-107.5104	-271.3681	163.8578	1.550644	7.318375	1.855432	0.807831	0.192169	0.53533	0.46467	1.439629
48	-100.9049	-266.3894	165.4844	1.51043	4.55021	2.211487	0.897393	0.102607	0.53533	0.46467	1.133506
54	-94.39628	-260.6738	166.2775	0.7376319	4.817064	1.590399	0.91049	0.0895104	0.62887	0.37113	1.57108
60	-96.11932	-262.9078	166.7885	0.09663069	3.659388	1.590399	0.817907	0.182093	0.594484	0.405516	1.909414
66	-98.24958	-262.4479	164.1984	0.6473268	10.096	2.28657	0.877797	0.122203	0.765665	0.234335	0.9805179
72	-106.1523	-272.3052	166.153	1.122055	3.964376	0.9232336	0.678569	0.321431	0.689768	0.310232	1.88157
78	-96.00694	-261.7737	165.7668	2.174898	4.041023	1.979423	0.97066	0.0293396	0.806363	0.193637	1.457266
84	-100.7922	-266.2501	165.4579	1.986841	4.041023	1.269937	0.83513	0.16487	0.383404	0.616596	1.613834
90	-91.6417	-258.9456	167.3039	0.4337145	3.812173	0.7693044	0.909914	0.0900861	0.697804	0.302196	2.069232
96	-95.48522	-260.5755	165.0902	0.4616013	8.199657	1.609682	0.778501	0.221499	0.807498	0.192502	1.392003
102	-90.14518	-254.4282	164.283	1.01912	12.1751	0.8282846	0.932719	0.0672808	0.555912	0.444088	1.392003
108	-86.25893	-254.4411	168.1822	0.2457905	3.200219	0.9590733	0.874258	0.125742	0.671814	0.328186	1.618859
114	-88.06263	-254.5731	166.5105	0.6268698	4.918902	1.497003	0.841044	0.158956	0.558051	0.441949	1.295839
120	-92.34324	-256.8236	164.4803	0.6268698	5.556151	1.208793	0.841044	0.158956	0.582954	0.417046	2.655744
126	-100.4956	-263.8081	163.3125	0.866012	12.00885	1.240773	0.841044	0.158956	0.274392	0.725608	1.751031
132	-99.37651	-264.5639	165.1874	0.8246754	6.467658	1.894676	0.720617	0.279383	0.379798	0.620202	1.124015
138	-107.6935	-274.3851	166.6916	0.06915303	4.996734	0.9892247	0.720617	0.279383	0.759205	0.240795	1.874789
144	-97.54831	-264.4812	166.9329	0.1537591	3.993597	0.8216176	0.707773	0.292227	0.690002	0.309998	2.081764
150	-112.1719	-278.376	166.2041	0.5407204	4.910912	0.8035862	0.735614	0.264386	0.730996	0.269004	2.027702
156	-110.7109	-275.2181	164.5072	0.6043421	6.490534	1.276522	0.761598	0.238402	0.495614	0.504386	2.232325
162	-102.7976	-267.0215	164.2239	0.2876489	7.675819	1.749321	0.797035	0.202965	0.445072	0.554928	2.033365
168	-106.3923	-272.1472	165.7549	0.1272835	5.411902	2.247532	0.797035	0.202965	0.729126	0.270874	1.504637
