Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1131.76	-1294.594	162.8341	2.041222	0.8949438	7.089467	2.117608	0.56801	0.08716787	0.0308456	0.4729207
6	-1124.827	-1286.593	161.7666	3.193789	1.274497	7.06991	1.956086	0.3924183	0.2295211	0.06950848	0.4835664
12	-1132.818	-1293.934	161.1156	4.201021	1.274497	7.174037	1.956086	0.3940925	0.141016	0.05209751	0.4028903
18	-1130.123	-1290.954	160.8306	3.073001	1.075929	8.647809	1.73958	0.3940925	0.06735632	0.07442508	0.5719968
24	-1128.436	-1287.815	159.3787	4.425146	1.312886	8.83923	1.835988	0.3696655	0.09252218	0.1311033	0.6597286
30	-1136.024	-1296.084	160.0595	2.942918	1.224153	9.007771	2.091429	0.3575866	0.06290127	0.1091486	0.6039998
36	-1135.936	-1294.826	158.8897	3.514839	1.226291	9.464622	2.297658	0.4609264	0.03143064	0.1568363	0.6039998
42	-1141.417	-1302.163	160.7465	3.991705	1.302921	8.053737	0.06820245	0.03508122	0.3228223	1.407364	1.009545
48	-1133.419	-1295.273	161.8542	3.991705	1.339919	7.380762	0.07050366	0.02470741	0.1613591	1.22187	0.8871891
54	-1137.153	-1299.95	162.7978	3.579842	1.449425	6.271312	0.05406005	0.1189438	0.1898622	1.22187	1.098241
60	-1128.106	-1293.372	165.2665	2.027718	1.134	5.374367	0.08569811	0.02756729	0.1875234	1.40192	0.8360126
66	-1134.66	-1294.433	159.7731	4.483211	1.496571	8.666552	0.08569811	0.03733084	0.1581543	1.666096	0.7503677
72	-1124.445	-1286.052	161.6072	3.43208	1.427199	7.164747	0.1262351	0.2115572	0.05278337	1.666096	1.043128
78	-1136.068	-1294.618	158.5499	3.267088	1.451036	10.33774	0.133339	0.2115572	0.04268887	1.666096	1.017457
84	-1137.917	-1299.603	161.6865	3.151219	1.331227	7.847455	0.1027856	0.2115572	0.02699244	1.427732	0.8328341
90	-1132.136	-1294.238	162.1021	2.608799	1.058449	7.165396	0.1278032	0.4268916	0.09402725	2.00983	0.8732534
96	-1120.89	-1282.728	161.838	3.495298	1.13619	5.941032	0.08640843	0.4822095	0.08429709	2.763609	0.9155213
102	-1137.921	-1295.088	157.1661	3.112387	1.095409	9.980916	0.1266114	0.6327051	0.248856	3.390277	0.8523222
108	-1152.213	-1304.667	152.4534	6.420338	1.110991	9.980916	0.3832645	1.116452	0.2400226	5.354954	1.055559
114	-1146.339	-1301.915	155.5762	5.148648	1.402198	7.3063	5.671048	0.9445705	0.1761584	0.2238872	1.010291
120	-1143.946	-1301.99	158.0441	3.015254	1.402198	6.288162	5.468819	1.022848	0.2374183	0.1253088	0.9905721
126	-1152.373	-1309.101	156.7284	3.000039	1.279256	7.892591	5.468819	0.9128972	0.2301182	0.104427	0.9687153
132	-1139.377	-1294.68	155.3028	4.453447	1.334624	8.473187	5.092636	1.074668	0.1376148	0.2016854	1.061266
138	-1152.438	-1309.319	156.8814	5.643662	1.38599	6.477396	4.434927	1.205447	0.2542464	0.1989388	1.20643
144	-1147.155	-1302.327	155.1726	5.583824	1.141115	9.846137	0.2322572	0.6966753	0.09449924	4.115538	0.7502503
150	-1132.296	-1287.398	155.1016	4.107872	1.256315	10.78678	0.07877063	0.6966753	0.1312301	4.115538	0.4155434
