tree_length,gain_loss,n_char,part_rate,M11,M5,M7,M9,M10,M3,M4,M6,M1 (Mk baseline),M12,M8 (NT baseline),M2
1,0.1,25,1,0.504558369673854,0.5322373154591415,0.5409182997296108,0.5391558596888855,0.5416489448149329,0.5327930595502404,0.5332951270301041,0.5388739255787536,0.5353195243069168,0.5360782768808305,0.5375193026711323,0.5410221971779705
1,0.1,25,2.5,0.5104061259717614,0.5463294157125356,0.5503769137513143,0.5479895268360175,0.5459722602026724,0.5470164979766206,0.545709326064989,0.5471621839071963,0.5445902344523756,0.5362330243269888,0.548244004281182,0.547342279369337
1,0.1,25,5,0.5713450722535418,0.5935595719862271,0.5986028529089673,0.5988053394342979,0.5973925562057348,0.6007817392453838,0.5934562258952597,0.596993116963077,0.5940420026035044,0.5818129238417253,0.597120653858564,0.5963128355118015
1,0.1,50,1,0.4368519960603986,0.45045242282367787,0.44470820440209746,0.44256269109942026,0.44420661545217544,0.46063351650723394,0.464905223831457,0.46024636041578393,0.46612981799152237,0.43618954057966663,0.44517400719196343,0.461577735641865
1,0.1,50,2.5,0.4192997327834197,0.43175089154670154,0.4321982625962718,0.4317678900908569,0.4328400167052698,0.43395908438828396,0.43453546435353096,0.43648802009791443,0.433533727748687,0.4083897051069194,0.43212105223401154,0.4335880859189317
1,0.1,50,5,0.39892640363208587,0.40777248554807244,0.4061977888257602,0.4070366052024158,0.4004896711084275,0.41606421159050505,0.4069455619329133,0.40006385530492306,0.42289097720733126,0.39501059982902603,0.40843406516447345,0.4060428512041375
1,0.1,100,1,0.27059639770238697,0.3215336741389601,0.32973647743037365,0.330136762555348,0.3278096261332704,0.29353727315426154,0.2981972871934056,0.30570030635055584,0.2967762527350642,0.27638233659291733,0.32990816807077633,0.3018126143005899
1,0.1,100,2.5,0.28478235838623644,0.2975926969290001,0.28971796056443017,0.29303461440308604,0.2845784067133715,0.2998752802833637,0.2943981796428408,0.28306430484274,0.30200404181412843,0.290939848943232,0.2885451282363898,0.29085550497390583
1,0.1,100,5,0.3010949390326987,0.3182905523353124,0.32001748200249747,0.31578298696871077,0.3171328493688171,0.32241174322040744,0.31457290246160896,0.3136098535981454,0.32112954931461435,0.2949272598632642,0.3167457403679399,0.3174889285193695
1,0.1,200,1,0.18247703210183186,0.17506763802824682,0.1767494326214189,0.1969058001891289,0.17524928152185432,0.1773321365451358,0.17971241856808412,0.18083183055241644,0.18061540344843113,0.17971241856808412,0.17653712642857122,0.1795217960470467
