tree_length,gain_loss,n_char,M1 (Mk baseline),M2,M11,M10,M6,M7,M4,M3,M5,M9,M12,M8 (NT baseline)
1,0.1,25,0.5349029905948726,0.541687158020391,0.5281509374259394,0.542360176025558,0.5449728733763436,0.5420566248844927,0.5427246096563696,0.5430628637492112,0.5449934595126777,0.5426926893462436,0.5350142299182477,0.5418487868550409
1,0.1,50,0.3883581648908468,0.3881951652360411,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38996827345409035,0.3854376681885849,0.38697677244093825,0.3837942321255861,0.38823894752735605,0.38046358829327576,0.3865788320441381
1,0.1,100,0.2666642063335943,0.2690181395183373,0.2598559330299321,0.2697723006762066,0.2688322581724435,0.26906328355322484,0.26802352842516797,0.26639808643037544,0.2686821756310094,0.2695738971639583,0.2605513795373854,0.2678323114385139
1,0.1,200,0.17365407223839938,0.19817605786293854,0.17985327669909185,0.196644970377018,0.1984403843939444,0.195782894800952,0.19832123986395533,0.19802216198271,0.19789019902822647,0.19797943633707477,0.199528677215137,0.1976061194945384
1,0.25,25,0.5322022648078457,0.541687158020391,0.5309219113311752,0.542360176025558,0.5449728733763436,0.5420566248844927,0.5427246096563696,0.5430628637492112,0.5449934595126777,0.5426926893462436,0.5348678311099959,0.5418487868550409
1,0.25,50,0.3883581648908468,0.3881951652360411,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38996827345409035,0.3854376681885849,0.38697677244093825,0.38548755829717973,0.38823894752735605,0.3804334864167396,0.3865788320441381
1,0.25,100,0.2666642063335943,0.2690181395183373,0.2598559330299321,0.2697723006762066,0.26898428521804996,0.26906328355322484,0.26802352842516797,0.26639808643037544,0.2686821756310094,0.2695738971639583,0.26043072977573567,0.2678323114385139
1,0.25,200,0.17365407223839938,0.19817605786293854,0.17985327669909185,0.196644970377018,0.1984403843939444,0.195782894800952,0.19832123986395533,0.19802216198271,0.19789019902822647,0.19797943633707477,0.19711380251277366,0.1976061194945384
1,0.5,25,0.5322022648078457,0.541687158020391,0.5309219113311752,0.542360176025558,0.5449728733763436,0.5420566248844927,0.5427246096563696,0.5430628637492112,0.5449934595126777,0.5426926893462436,0.5350450646795588,0.5418487868550409
1,0.5,50,0.3883581648908468,0.3881951652360411,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38996827345409035,0.3854376681885849,0.38697677244093825,0.38548755829717973,0.38823894752735605,0.38040420750550663,0.3865788320441381
1,0.5,100,0.2666642063335943,0.2690181395183373,0.2598559330299321,0.2697723006762066,0.2688479560939514,0.26906328355322484,0.26802352842516797,0.26639808643037544,0.2686821756310094,0.2695738971639583,0.26028156106225087,0.2678323114385139
1,0.5,200,0.17365407223839938,0.19817605786293854,0.17985327669909185,0.196644970377018,0.1984403843939444,0.195782894800952,0.19832123986395533,0.19802216198271,0.19789019902822647,0.19797943633707477,0.18689775362000652,0.1975893180093904
1,1,25,0.5322022648078457,0.541687158020391,0.5309219113311752,0.542360176025558,0.5449728733763436,0.5420566248844927,0.5427246096563696,0.5430628637492112,0.5427286352206224,0.5426926893462436,0.5350520778111927,0.5418487868550409
1,1,50,0.3883581648908468,0.3881951652360411,0.35398437677147276,0.3866148534299437,0.38990550425420667,0.38996827345409035,0.3854376681885849,0.38697677244093825,0.38548755829717973,0.38823894752735605,0.38045168720171996,0.3865788320441381
1,1,100,0.2666642063335943,0.2690181395183373,0.2598559330299321,0.2697723006762066,0.2688479560939514,0.26906328355322484,0.26802352842516797,0.26639808643037544,0.2686821756310094,0.2695738971639583,0.2603558129664622,0.2678323114385139
1,1,200,0.17365407223839938,0.19817605786293854,0.17985327669909185,0.196644970377018,0.1984403843939444,0.195782894800952,0.19832123986395533,0.19802216198271,0.19789019902822647,0.19797943633707477,0.1880100598996244,0.1976061194945384
1.5,0.1,25,0.5409200259553102,0.5837062871721309,0.5485877804452496,0.586157228702323,0.5842614784719211,0.589657973239372,0.5836355760146289,0.5821389830575273,0.5830316226885311,0.5872108147560067,0.572012033623494,0.5874243051593495
1.5,0.1,50,0.3823915687620796,0.4168621011438527,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.4198694015657057,0.4162953786607272,0.41585224529943987,0.41714407030022904,0.41734021145690414,0.40291201091728257,0.4184262979663177
1.5,0.1,100,0.25441595102550785,0.2660626736427845,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2703124721715688,0.2670539664856115,0.2651765042104108,0.2683007083493355,0.2667778231375161,0.2554054317804395,0.2668643725663311
1.5,0.1,200,0.16575108820211873,0.16055807912693304,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.1608240439421873,0.15838332754232082,0.15965059879054705,0.16047292706998229,0.16215027905165583,0.15838332754232082,0.16185046869073827
1.5,0.25,25,0.5246544769782413,0.5837062871721309,0.5485877804452496,0.586157228702323,0.5842614784719211,0.589657973239372,0.5836355760146289,0.5821389830575273,0.5830316226885311,0.5872108147560067,0.5721350358778113,0.5874243051593495
1.5,0.25,50,0.3823915687620796,0.4168621011438527,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.4198694015657057,0.4162953786607272,0.41585224529943987,0.41714407030022904,0.41734021145690414,0.4029392182030967,0.4184262979663177
1.5,0.25,100,0.25441595102550785,0.2660626736427845,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2703124721715688,0.2670539664856115,0.2651765042104108,0.2683007083493355,0.2667778231375161,0.2554054317804395,0.2668643725663311
1.5,0.25,200,0.16575108820211873,0.16055807912693304,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.1608240439421873,0.15838332754232082,0.15965059879054705,0.16047292706998229,0.16221921798745567,0.15838332754232082,0.16185046869073827
1.5,0.5,25,0.5246544769782413,0.5837062871721309,0.5485877804452496,0.586157228702323,0.5842614784719211,0.589657973239372,0.5836355760146289,0.5821389830575273,0.5830316226885311,0.5872108147560067,0.5642085250742417,0.5874243051593495
1.5,0.5,50,0.3823915687620796,0.4168621011438527,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.4198694015657057,0.4162953786607272,0.41585224529943987,0.41714407030022904,0.41734021145690414,0.4037607365004694,0.4184262979663177
1.5,0.5,100,0.25441595102550785,0.2660626736427845,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2703124721715688,0.2670539664856115,0.2651765042104108,0.2683007083493355,0.2667778231375161,0.2554054317804395,0.2668643725663311
1.5,0.5,200,0.16575108820211873,0.16055807912693304,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.16104157709767686,0.15838332754232082,0.15965059879054705,0.16047292706998229,0.16214758217214625,0.15801639959760083,0.16185046869073827
1.5,1,25,0.5246544769782413,0.5837062871721309,0.5485877804452496,0.586157228702323,0.5842614784719211,0.589657973239372,0.5836355760146289,0.5821389830575273,0.5849688958606692,0.5872108147560067,0.5642052948083625,0.5874243051593495
1.5,1,50,0.3823915687620796,0.4168621011438527,0.3954491713404955,0.4163599379962263,0.41518712140518055,0.4198694015657057,0.4162953786607272,0.41585224529943987,0.41714407030022904,0.41734021145690414,0.4029110868681883,0.4184262979663177
1.5,1,100,0.25441595102550785,0.2660626736427845,0.25463160221784376,0.2705338969061399,0.26926596640752654,0.2703124721715688,0.2670539664856115,0.2651765042104108,0.2683007083493355,0.2667778231375161,0.2554054317804395,0.2668643725663311
1.5,1,200,0.16575108820211873,0.16055807912693304,0.13336383765328835,0.16181916958090264,0.1617513417075287,0.1608240439421873,0.15838332754232082,0.15965059879054705,0.16047292706998229,0.1622187910308633,0.1459516241071115,0.16185046869073827
2.5,0.1,25,0.5226105214881553,0.5317912783550905,0.48413660007364223,0.5277388384556709,0.5305509077449253,0.5319197882434714,0.5267083813934779,0.5271974940032359,0.5283478313047236,0.5311293074621077,0.5129635429602009,0.5303938879836876
2.5,0.1,50,0.3571517637517406,0.3831840602811146,0.37315242487784755,0.38606100730235676,0.38713279725337546,0.3859501342097042,0.38277290992858953,0.3856786825028153,0.38468263280316967,0.3866699688078238,0.374169429186872,0.3859981170174353
