"scenario","modelID","metric","rho","lower","upper","p.value","n"
"mk","model1","mean_rhat_max",0.840267425895306,0.675306871381244,0.936080397344088,3.92013225944466e-18,64
"mk","model1","mean_ess_min",0.244067178825233,0.00469463330303518,0.451519178538212,0.0519489065051913,64
"mk","model1","mean_asdsf",-0.962301015307922,-0.979098252882567,-0.920402838316015,9.16421864151529e-37,64
"mk","model1","pass_rate",NA,NA,NA,NA,64
"mk","model1","mse_tree_len",0.571940557608528,0.362633015196241,0.717758060797265,7.93920681594013e-07,64
"mk","model1","cov_error_tree_len",0.331058903880056,0.139731656085642,0.507080440803962,0.00753834737754013,64
"mk","model1","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model1","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model1","cov_error_cgr",0.331058903880056,0.139731656085642,0.507080440803962,0.00753834737754013,64
"mk","model10","mean_rhat_max",0.546933163984047,0.299867484063317,0.741050007945385,2.92427085494059e-06,64
"mk","model10","mean_ess_min",0.435929255702338,0.222034067669238,0.618186616059888,0.00031749954185922,64
"mk","model10","mean_asdsf",-0.767479543656835,-0.872112008540519,-0.626536842953986,1.38864939994609e-13,64
"mk","model10","pass_rate",NA,NA,NA,NA,64
"mk","model10","mse_tree_len",0.635148190433087,0.40878530771373,0.775390888819789,1.72771358027336e-08,64
"mk","model10","cov_error_tree_len",-0.0519649845552798,-0.286453356796558,0.164908325909923,0.683418975964758,64
"mk","model10","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model10","cov_error_rate_loss",NA,NA,NA,NA,0
"mk","model10","cov_error_cgr",-0.161607741719725,-0.398896208868281,0.0712231650977125,0.202031251128004,64
"mk","model11","mean_rhat_max",0.897741273100616,0.806852776841992,0.95429132523059,5.9348101420937e-22,59
"mk","model11","mean_ess_min",0.566265767087122,0.351292536153699,0.726144083786908,2.94569127519029e-06,59
"mk","model11","mean_asdsf",-0.933587562334996,-0.971922372669739,-0.865718570053877,4.42937903806132e-27,59
"mk","model11","pass_rate",-0.193131678492298,-0.370683725342208,-0.170025717173591,0.142765538078741,59
"mk","model11","mse_tree_len",0.354356116163098,0.107042461030733,0.540299664994668,0.00589449863323194,59
"mk","model11","cov_error_tree_len",-0.0762251927408515,-0.339597984762029,0.192932540177006,0.566099553153561,59
"mk","model11","mean_mse_rate_loss",NA,NA,NA,NA,0
"mk","model11","cov_error_rate_loss",NA,NA,NA,NA,0
