"gridTag","tree_length","gain_loss","n_char","cov_tree_len","mse_tree_len","rate_param","cov_rate_loss","mse_rate_loss","modelID","scenario"
"tl2.50_gl0.50_c200",2.5,0.5,200,1,0.00898104178848107,NA,NA,NA,"model1","mk"
"tl5.00_gl0.50_c200",5,0.5,200,1,0.0226607700287969,NA,NA,NA,"model1","mk"
"tl1.00_gl1.00_c200",1,1,200,0.9,0.0119018729802606,NA,NA,NA,"model1","mk"
"tl1.50_gl1.00_c200",1.5,1,200,0.9,0.0120544910437404,NA,NA,NA,"model1","mk"
"tl2.50_gl1.00_c200",2.5,1,200,1,0.00898104178848107,NA,NA,NA,"model1","mk"
"tl5.00_gl1.00_c200",5,1,200,1,0.0226607700287969,NA,NA,NA,"model1","mk"
"tl1.00_gl0.10_c25",1,0.1,25,1,0.0964253039846236,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.10_c25",1.5,0.1,25,1,0.102863755833264,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.10_c25",2.5,0.1,25,0.9,0.580912677712381,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.10_c25",5,0.1,25,0.5,3.21934701404883,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.25_c25",1,0.25,25,1,0.0964253039846236,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.25_c25",1.5,0.25,25,1,0.102863755833264,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.25_c25",2.5,0.25,25,0.9,0.580912677712381,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.25_c25",5,0.25,25,0.5,3.21934701404883,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.50_c25",1,0.5,25,1,0.0964253039846236,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.50_c25",1.5,0.5,25,1,0.102863755833264,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.50_c25",2.5,0.5,25,0.9,0.580912677712381,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.50_c25",5,0.5,25,0.5,3.21934701404883,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl1.00_c25",1,1,25,1,0.0964253039846236,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl1.00_c25",1.5,1,25,1,0.102863755833264,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl1.00_c25",2.5,1,25,0.9,0.580912677712381,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl1.00_c25",5,1,25,0.5,3.21934701404883,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.10_c50",1,0.1,50,1,0.0810079965886186,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.50_gl0.10_c50",1.5,0.1,50,1,0.185954643690773,"gain_loss_trans",NA,NA,"model10","mk"
"tl2.50_gl0.10_c50",2.5,0.1,50,1,0.12649655784062,"gain_loss_trans",NA,NA,"model10","mk"
"tl5.00_gl0.10_c50",5,0.1,50,0.9,0.575268504637317,"gain_loss_trans",NA,NA,"model10","mk"
"tl1.00_gl0.25_c50",1,0.25,50,1,0.0813151000810622,"gain_loss_trans",NA,NA,"model10","mk"
