Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-96.33242	-265.122	168.7895	1.37946	0.6601965	1.320297	2.021494
6	-97.16221	-265.1089	167.9467	1.939887	0.8355354	1.506189	2.009991
12	-103.3179	-271.6335	168.3156	2.395553	0.6804837	1.186606	1.823881
18	-104.531	-272.3311	167.8001	2.808984	0.4370086	1.618141	1.78748
24	-108.057	-276.2279	168.1709	1.880741	0.3811784	1.034934	2.419708
30	-96.21233	-265.2802	169.0679	1.75985	1.024134	1.140414	1.455785
36	-96.73741	-266.6992	169.9618	0.9667517	0.7821723	1.434354	1.306815
42	-87.97691	-255.9021	167.9252	1.878461	1.361232	1.61992	1.624032
48	-91.18205	-259.1152	167.9331	2.451613	0.5499156	1.746168	1.745853
54	-98.22741	-265.8085	167.5811	1.808301	0.8401061	1.109742	2.568575
60	-97.93969	-265.9785	168.0388	1.808301	0.8401061	1.223947	2.206679
66	-95.9309	-264.375	168.4441	1.816748	0.8073766	1.223947	1.95601
72	-101.2404	-269.6691	168.4287	2.118623	0.636706	0.845338	2.151177
78	-111.4897	-280.1728	168.6831	1.044838	0.9183749	1.609864	1.953341
84	-111.1806	-280.1293	168.9487	1.644315	0.4655027	1.355622	1.819463
90	-103.0502	-271.1891	168.139	2.954322	0.4760283	1.556824	1.499896
96	-105.3071	-273.391	168.0839	3.821283	0.6919309	1.361062	1.104616
102	-109.9447	-277.916	167.9713	2.021681	0.5878267	2.392461	1.480117
108	-107.6084	-275.8517	168.2433	2.643195	0.5998524	1.326788	1.692935
114	-104.1705	-271.8	167.6295	1.730107	0.6742915	1.532936	2.415447
120	-100.0461	-268.6503	168.6042	1.170067	0.4636421	1.244063	2.415447
126	-101.9881	-271.3479	169.3598	1.26497	0.5661174	0.7956721	2.115912
132	-107.2512	-275.5843	168.3332	1.941926	0.5858022	1.532424	1.884738
138	-101.3228	-269.4036	168.0808	2.020642	0.7679848	1.592691	1.859199
144	-102.7738	-271.1071	168.3334	1.986155	0.3813539	1.894991	1.681108
150	-101.1741	-269.0078	167.8337	1.986155	1.127499	1.070733	2.153656
156	-111.406	-279.4006	167.9946	1.986155	0.7508376	0.9585399	2.361752
162	-100.5244	-268.0572	167.5328	1.986155	0.8345541	0.743885	2.732407
168	-93.57425	-262.1375	168.5632	1.705745	0.4744707	0.7033421	2.458789
174	-103.9094	-273.074	169.1647	1.359693	0.2207424	1.212014	1.882109
180	-106.2705	-274.9871	168.7166	1.260789	0.529181	1.181104	2.302508
186	-105.0774	-273.7022	168.6248	1.963588	0.2356216	0.9851279	2.049789
192	-108.4842	-277.8744	169.3902	1.673536	0.6005029	1.296163	1.458384
198	-96.98651	-266.0667	169.0802	1.034508	0.7396294	1.521843	1.869283
204	-96.41494	-264.3204	167.9054	1.567262	0.8808777	1.426631	2.276187
210	-87.6241	-255.4366	167.8125	1.495009	1.688582	0.9670236	2.1729
216	-85.63155	-254.373	168.7414	1.495009	0.7412767	0.7275339	2.318458
222	-99.08477	-268.6122	169.5274	0.9403746	0.5186601	1.203535	1.97072
228	-102.9755	-271.6201	168.6447	1.734357	0.6635598	1.142759	2.015252
234	-104.481	-273.0621	168.5811	2.571859	0.5262991	0.990033	1.768819
240	-101.7683	-270.9288	169.1605	0.9269475	0.6326982	1.100014	2.230545
246	-107.2374	-276.4941	169.2567	1.302388	0.5416087	1.354367	1.797401
252	-104.309	-273.0782	168.7692	1.741405	1.252569	0.4877299	1.980323
258	-97.61615	-266.3781	168.762	0.9811775	0.9178992	0.705358	2.526956
264	-99.46156	-268.3071	168.8455	2.253364	0.9135326	0.6927752	1.720948
270	-103.8182	-271.1554	167.3372	1.149247	0.9135326	0.7048457	3.289866
276	-99.89498	-266.5865	166.6915	1.93289	0.833619	0.7022415	3.289866
282	-91.42235	-259.6909	168.2686	2.697806	0.9539713	0.9607756	1.668546
288	-104.6281	-272.3357	167.7075	2.838802	0.8777482	1.379083	1.750406
294	-92.25456	-260.2573	168.0028	3.177034	0.7431979	1.538505	1.334813
300	-90.7711	-259.1027	168.3316	1.907297	0.5997279	1.201507	2.118757
306	-98.7216	-267.0871	168.3655	2.106744	0.7144478	1.135866	1.961282
312	-101.6326	-269.9294	168.2969	2.208634	0.6055756	1.367515	1.859377
318	-103.2173	-271.5371	168.3198	2.815289	0.5588102	1.097837	1.734031
324	-105.9099	-275.5639	169.654	0.8856229	0.3885465	2.007074	1.385473
330	-97.04649	-266.3515	169.305	1.148098	0.2608554	1.064947	2.072827
336	-105.03	-271.441	166.4111	5.079064	0.3757558	2.621691	1.014687
342	-107.1102	-274.6462	167.536	3.313994	0.5725668	2.331782	1.106517
348	-120.3884	-287.3196	166.9312	3.70618	0.70543	2.534289	1.139059
354	-123.6712	-290.3383	166.6671	3.883443	0.5300456	2.977901	1.004634
360	-117.93	-284.9303	167.0003	3.985313	0.6864384	1.946523	1.438659
366	-106.0608	-274.2541	168.1933	2.532732	0.6434411	1.794789	1.418914
372	-109.4466	-278.5407	169.0941	1.802996	0.3605905	1.434804	1.578916
378	-121.0248	-289.591	168.5662	2.785497	0.4395594	1.890733	0.9710344
384	-109.0995	-276.6543	167.5548	3.51102	0.6213914	2.285229	0.9710344
390	-110.3739	-275.5965	165.2225	6.016837	1.377827	2.693582	0.7689537
396	-101.0213	-269.1747	168.1533	2.455697	1.016364	1.228054	1.646024
402	-116.0257	-283.818	167.7923	1.861236	1.031589	2.061636	1.646024
408	-118.7707	-284.5469	165.7762	3.887543	1.011854	2.980015	1.386171
414	-101.3872	-269.2039	167.8167	3.938473	0.5438946	1.484953	1.273293
420	-95.5479	-262.5958	167.0479	3.279261	0.9674422	2.061723	1.446207
426	-99.8064	-266.4498	166.6434	4.192367	0.8739685	2.574338	0.9389851
432	-98.02621	-266.0782	168.052	1.85407	0.5950258	2.009075	1.797617
438	-96.57392	-263.8587	167.2848	3.445783	0.6508897	2.389812	1.144113
444	-98.80048	-267.1833	168.3828	2.370731	0.6809833	1.086245	1.859707
450	-104.9895	-273.6454	168.6559	1.661021	0.535698	1.895042	1.604129
456	-104.9233	-273.2498	168.3265	2.542983	0.3794613	1.599258	1.576815
462	-100.4536	-267.6581	167.2045	3.58661	0.5954033	1.913445	1.553665
468	-92.83654	-261.3034	168.4669	2.278434	0.5954033	1.58135	1.553665
474	-99.38076	-267.4667	168.086	1.29226	0.6230835	0.9574593	2.770454
480	-102.9568	-271.3048	168.348	2.682196	0.3271269	1.202325	1.765652
486	-97.92041	-266.6986	168.7782	0.8308357	1.158624	0.7009638	2.462817
492	-96.23912	-265.5545	169.3154	1.07285	0.7898472	0.9222989	2.055859
498	-112.6737	-280.5383	167.8646	2.701963	0.47752	1.28701	2.008629
504	-108.6223	-277.7553	169.133	1.891099	0.4796339	1.28701	1.57671
510	-95.02156	-263.3709	168.3493	1.891099	0.4419632	1.160902	2.209477
516	-100.3993	-269.0496	168.6503	2.277068	0.4419632	1.180473	1.780691
522	-92.48439	-260.8902	168.4058	2.206597	0.3716409	1.520272	1.765545
528	-102.0016	-271.8825	169.8809	0.6902152	0.5019876	1.071425	1.991936
534	-92.19897	-260.743	168.5441	1.975387	0.6231324	1.519995	1.706102
540	-97.00126	-265.3237	168.3225	1.826755	0.7911342	2.060522	1.453623
546	-103.4922	-270.5579	167.0656	3.983566	0.6539602	2.293237	1.1245
552	-98.57445	-266.2528	167.6784	2.59727	0.8934503	1.450975	1.833263
558	-103.7087	-270.5595	166.8509	3.393993	0.828429	2.555113	1.260315
564	-108.489	-276.0384	167.5494	3.393993	1.016338	0.8128793	1.891838
570	-102.1405	-270.1462	168.0057	2.498658	0.7632042	0.9820623	2.064643
576	-102.6361	-270.5746	167.9385	1.680192	0.7736962	1.72069	2.064643
582	-104.2914	-272.2534	167.962	2.4617	0.6897483	1.188075	2.021485
588	-92.28423	-261.9117	169.6275	1.314049	0.6622229	1.134508	1.613221
594	-109.2533	-277.4383	168.1851	1.749689	0.4341744	1.134508	2.412398
600	-114.1261	-281.8572	167.7312	3.168155	0.403404	1.849868	1.496676
606	-113.0138	-280.9892	167.9754	2.684531	0.7490587	1.849868	1.381791
612	-103.4945	-271.5145	168.02	2.879767	0.7991505	1.698803	1.315339
618	-101.576	-269.6093	168.0333	2.879767	0.6429144	1.744722	1.383545
624	-103.2348	-272.285	169.0501	1.36175	0.6282602	2.22165	1.203665
630	-99.12445	-267.8861	168.7616	1.485891	0.7736693	1.472225	1.79766
636	-99.75006	-268.4839	168.7339	1.833926	0.6662897	1.59793	1.574356
642	-92.81418	-262.0211	169.2069	1.242321	0.4603524	1.145812	2.045255
648	-92.45427	-262.2567	169.8024	0.883005	0.5851679	1.277273	1.737587
654	-89.33281	-257.4983	168.1655	3.211769	0.5851679	0.8979232	1.773935
660	-102.4015	-270.2476	167.8461	2.201928	0.9949462	0.910601	2.218982
666	-103.0045	-271.7044	168.6999	1.852463	0.3685157	1.600602	1.711968
