Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1964.768	-2129.368	164.6001	2.696306	1.294306	4.564971	1.75099	0.3514283	0.0344342	0.5113426	0.5444489
6	-1970.692	-2133.625	162.9329	1.80259	1.229965	6.005286	2.583568	0.4378525	0.1212982	0.5164782	0.5423317
12	-1964.969	-2128.877	163.9075	1.935952	1.082488	6.005286	2.036172	0.552677	0.08922319	0.03853399	0.4742002
18	-1970.632	-2135.484	164.8515	1.860575	1.036469	4.582198	2.225586	0.2893656	0.4188727	0.3743447	0.5053516
24	-1971.161	-2137.081	165.9208	1.672095	0.9650727	3.924051	2.089096	0.1932547	0.5234228	0.329882	0.5108793
30	-1966.498	-2132.731	166.2325	1.450226	0.9650727	4.260953	1.925549	0.2013169	0.4105722	0.1525842	0.4642957
36	-1954.986	-2120.988	166.0014	1.778347	0.8143456	4.050476	1.925549	0.217149	0.2882105	0.5249844	0.3922977
42	-1954.591	-2117.332	162.7403	1.901149	1.038536	5.58445	3.184456	0.4287489	0.1937176	0.5181248	0.3521089
48	-1972.274	-2135.532	163.2571	1.983519	0.9858642	4.337551	3.862129	0.2541247	0.1247057	0.7661259	0.3211333
54	-1966.265	-2128.693	162.428	2.520063	0.9637675	4.337551	4.071474	0.418501	0.09945946	0.8368045	0.3211333
60	-1954.918	-2117.125	162.2066	1.857162	0.8926946	5.037352	4.078994	0.5982808	0.03268532	0.8368045	0.3102873
66	-1969.675	-2129.285	159.6098	2.275923	1.101109	6.674809	4.078994	0.4927907	0.2194705	1.211182	0.3666945
72	-1967.274	-2126.247	158.9733	2.284682	0.9853091	6.044267	4.92242	0.4818328	0.3550548	1.591346	0.3345099
78	-1961.189	-2121.113	159.9245	2.055938	1.120277	4.678766	5.307062	0.6134568	0.4879329	1.416698	0.3427526
84	-1968.114	-2129.469	161.3551	1.307164	0.8338753	5.036267	5.307062	0.6094547	0.107588	0.891806	0.2759961
90	-1973.434	-2133.908	160.4742	1.809757	0.98885	4.872513	5.307062	0.6651691	0.2281717	1.231082	0.3509309
96	-1974.431	-2135.285	160.8538	1.836925	0.9304717	4.569848	4.849934	1.120292	0.1540001	1.316872	0.4580162
102	-1972.09	-2130.701	158.6113	2.147835	0.9635947	7.146633	4.849934	0.7029883	0.2075964	0.9775269	0.3297856
108	-1970.085	-2130.192	160.1074	2.111257	1.062785	5.901507	4.781018	0.2323836	0.4741488	0.9775269	0.3894685
114	-1977.703	-2136.35	158.6465	2.071726	1.157729	6.759366	5.386033	0.03889034	0.5465931	1.044001	0.407
120	-1967.312	-2127.977	160.6654	2.780905	1.047786	6.759366	3.494175	0.07897574	0.3523186	0.6482461	0.4984756
126	-1973.8	-2135.251	161.451	1.755508	0.8447944	7.479722	2.787301	0.1911716	0.4611982	0.6479818	0.5614235
132	-1963.819	-2127.852	164.0332	2.185624	0.9179366	4.448883	2.843905	0.6358267	0.1412228	0.4500644	0.640335
138	-1965.604	-2128.591	162.9871	1.673184	0.9412216	4.502345	4.25754	0.8651899	0.2302231	0.1601037	0.4774416
144	-1957.826	-2123.236	165.4094	1.673184	1.124923	4.155198	2.095391	0.5198199	0.258061	0.369475	0.5842749
150	-1976.431	-2140.766	164.3346	2.30035	1.045641	4.84626	0.1729313	0.4785133	0.1657275	2.262716	0.3040165
156	-1965.739	-2131.066	165.3268	1.462485	1.156748	4.227236	0.2235563	0.5563434	0.2949511	2.262716	0.3151585
162	-1952.858	-2119.307	166.449	1.289498	0.8658699	3.749628	2.16217	0.2118733	0.4101586	0.3689664	0.73899
168	-1947.782	-2113.298	165.5164	1.738587	1.051369	3.819745	2.407778	0.1843971	0.4789176	0.3689664	0.6910122
174	-1941.606	-2106.761	165.155	1.445283	0.8632767	3.796662	2.924337	0.339217	0.3052157	0.7043992	0.7064921
180	-1948.458	-2113.73	165.2716	1.445283	1.05084	3.365376	2.77768	0.4804275	0.1418929	0.894901	0.8545693
186	-1962.265	-2127.412	165.147	1.445283	0.759419	4.045907	2.531198	0.4290905	0.1956429	0.894901	0.8253323
192	-1951.443	-2117.104	165.6612	1.171066	1.129182	4.007295	2.485783	0.3982783	0.1372724	0.5101989	0.747362
198	-1959.747	-2126.517	166.77	1.312805	0.7561623	3.859273	1.821345	0.3982783	0.205654	0.3173586	0.827629
204	-1961.65	-2128.326	166.6755	1.372063	0.8585118	3.814053	1.821345	0.1630247	0.1511284	0.6017228	0.8128709
210	-1962.699	-2127.915	165.217	1.647573	0.8859766	4.527222	2.180881	0.2064414	0.3753039	0.4667834	0.7699819
216	-1971.556	-2135.622	164.0653	1.865191	1.228111	5.356085	2.023789	0.4960136	0.3558034	0.2406494	0.5744507
222	-1964.731	-2129.157	164.4259	1.865191	1.104305	4.483003	2.552925	0.8199391	0.2935163	0.07973845	0.5923381
228	-1960.689	-2124.076	163.3873	1.865191	0.8457519	4.209361	3.713221	0.9438083	0.3904507	0.2686045	0.5920081
234	-1955.722	-2117.89	162.1676	2.330119	0.9489843	5.989556	3.176316	0.620988	0.1051751	0.377719	0.4691686
240	-1958.919	-2123.325	164.4058	1.92433	0.8308233	5.04232	2.657806	0.2793734	0.01872899	0.4640347	0.6159386
246	-1965.809	-2130.405	164.5964	2.081814	1.112899	4.787641	2.412876	0.288443	0.03920603	0.350161	0.5364352
252	-1963.504	-2129.44	165.9363	1.164973	1.135773	4.791405	1.506146	0.2852761	0.08159973	0.391236	0.993397
258	-1967.991	-2134.15	166.1594	1.164973	0.9904773	4.269337	1.803726	0.4121862	0.03784965	0.2462679	1.186097
264	-1973.812	-2139.501	165.6886	1.416674	0.6997944	5.312225	1.475349	0.3563163	0.09809432	0.252446	0.9863075
270	-1970.607	-2135.169	164.5623	1.713606	1.004715	4.418358	0.8130437	0.3249091	0.2823008	2.500956	0.5305102
